current_path,filename,extension,file_size,created_date,modified_date,sha256,git_tracking_status,referenced_by,references_to,relationship_to_current_research,used_in_latest_presentation,used_in_current_analysis,required_for_reproduction,planned_for_near_term_use,reproducible_or_regenerable,classification,proposed_action,reason,confidence
/Users/tstakuma/Desktop/github/research/.DS_Store,.DS_Store,(none),8196,2026-07-07T02:09:15.282Z,2026-07-11T17:10:32.045Z,e16a09dc360cc8f92376a881ad3ba4d29c7d35790a8ab5ff6c11c7f3288d2528,ignored,,,,pending_asset_match,unknown,unknown,unknown,unknown,generated_unused,quarantine,Regenerable metadata/preview,medium
/Users/tstakuma/Desktop/github/research/.git/COMMIT_EDITMSG,COMMIT_EDITMSG,(none),47,2026-04-11T12:55:38.141Z,2026-04-13T07:50:11.883Z,185d4f9c26f8770f25f1a1675bc3888b8d44998b1eb1d1a48730129ff7cfffdd,untracked,,,,pending_asset_match,unknown,unknown,unknown,unknown,reproducibility_required,keep_in_place,Git internal object; excluded from research-artifact renaming,medium
/Users/tstakuma/Desktop/github/research/.git/FETCH_HEAD,FETCH_HEAD,(none),100,2026-04-11T13:06:10.922Z,2026-04-13T07:06:50.952Z,a14d9a07d41e5dde28701859b9920452c74c516ccef674bfdadfe733036bf2fc,untracked,,,,pending_asset_match,unknown,unknown,unknown,unknown,reproducibility_required,keep_in_place,Git internal object; excluded from research-artifact renaming,medium
/Users/tstakuma/Desktop/github/research/.git/HEAD,HEAD,(none),21,2025-12-07T06:56:51.295Z,2025-12-07T06:56:51.295Z,28d25bf82af4c0e2b72f50959b2beb859e3e60b9630a5e8c603dad4ddb2b6e80,untracked,,,,pending_asset_match,unknown,unknown,unknown,unknown,reproducibility_required,keep_in_place,Git internal object; excluded from research-artifact renaming,medium
/Users/tstakuma/Desktop/github/research/.git/ORIG_HEAD,ORIG_HEAD,(none),41,2026-04-11T13:47:44.327Z,2026-04-11T13:47:44.331Z,da2247dfd8624160b6d9684d919b3273e4b7f1c4f8d0600d4a066defc6dd4d0e,untracked,,,,pending_asset_match,unknown,unknown,unknown,unknown,reproducibility_required,keep_in_place,Git internal object; excluded from research-artifact renaming,medium
/Users/tstakuma/Desktop/github/research/.git/config,config,(none),306,2026-04-11T13:48:42.044Z,2026-04-11T13:48:42.046Z,df9954c5d2802f7e04ee6cfa241e77ea22b3d8a70ba99cf3054e8bb297cd3be7,untracked,,,,pending_asset_match,unknown,unknown,unknown,unknown,reproducibility_required,keep_in_place,Git internal object; excluded from research-artifact renaming,medium
/Users/tstakuma/Desktop/github/research/.git/description,description,(none),73,2025-12-07T06:56:51.000Z,2025-12-07T06:56:51.000Z,85ab6c163d43a17ea9cf7788308bca1466f1b0a8d1cc92e26e9bf63da4062aee,untracked,,,,pending_asset_match,unknown,unknown,unknown,unknown,reproducibility_required,keep_in_place,Git internal object; excluded from research-artifact renaming,medium
/Users/tstakuma/Desktop/github/research/.git/hooks/applypatch-msg.sample,applypatch-msg.sample,sample,478,2025-12-07T06:56:51.000Z,2025-12-07T06:56:51.000Z,0223497a0b8b033aa58a3a521b8629869386cf7ab0e2f101963d328aa62193f7,untracked,,,,pending_asset_match,unknown,unknown,unknown,unknown,reproducibility_required,keep_in_place,Git internal object; excluded from research-artifact renaming,medium
/Users/tstakuma/Desktop/github/research/.git/hooks/commit-msg.sample,commit-msg.sample,sample,896,2025-12-07T06:56:51.000Z,2025-12-07T06:56:51.000Z,1f74d5e9292979b573ebd59741d46cb93ff391acdd083d340b94370753d92437,untracked,,,,pending_asset_match,unknown,unknown,unknown,unknown,reproducibility_required,keep_in_place,Git internal object; excluded from research-artifact renaming,medium
/Users/tstakuma/Desktop/github/research/.git/hooks/fsmonitor-watchman.sample,fsmonitor-watchman.sample,sample,4726,2025-12-07T06:56:51.000Z,2025-12-07T06:56:51.000Z,e0549964e93897b519bd8e333c037e51fff0f88ba13e086a331592bf801fa1d0,untracked,,,,pending_asset_match,unknown,unknown,unknown,unknown,reproducibility_required,keep_in_place,Git internal object; excluded from research-artifact renaming,medium
/Users/tstakuma/Desktop/github/research/.git/hooks/post-update.sample,post-update.sample,sample,189,2025-12-07T06:56:51.000Z,2025-12-07T06:56:51.000Z,81765af2daef323061dcbc5e61fc16481cb74b3bac9ad8a174b186523586f6c5,untracked,,,,pending_asset_match,unknown,unknown,unknown,unknown,reproducibility_required,keep_in_place,Git internal object; excluded from research-artifact renaming,medium
/Users/tstakuma/Desktop/github/research/.git/hooks/pre-applypatch.sample,pre-applypatch.sample,sample,424,2025-12-07T06:56:51.000Z,2025-12-07T06:56:51.000Z,e15c5b469ea3e0a695bea6f2c82bcf8e62821074939ddd85b77e0007ff165475,untracked,,,,pending_asset_match,unknown,unknown,unknown,unknown,reproducibility_required,keep_in_place,Git internal object; excluded from research-artifact renaming,medium
/Users/tstakuma/Desktop/github/research/.git/hooks/pre-commit.sample,pre-commit.sample,sample,1649,2025-12-07T06:56:51.000Z,2025-12-07T06:56:51.000Z,57185b7b9f05239d7ab52db045f5b89eb31348d7b2177eab214f5eb872e1971b,untracked,,,,pending_asset_match,unknown,unknown,unknown,unknown,reproducibility_required,keep_in_place,Git internal object; excluded from research-artifact renaming,medium
/Users/tstakuma/Desktop/github/research/.git/hooks/pre-merge-commit.sample,pre-merge-commit.sample,sample,416,2025-12-07T06:56:51.000Z,2025-12-07T06:56:51.000Z,d3825a70337940ebbd0a5c072984e13245920cdf8898bd225c8d27a6dfc9cb53,untracked,,,,pending_asset_match,unknown,unknown,unknown,unknown,reproducibility_required,keep_in_place,Git internal object; excluded from research-artifact renaming,medium
