file,referenced_by,references_to,used_in_latest_presentation,used_in_current_analysis,required_for_reproduction,classification
/Users/tstakuma/Desktop/github/research/.DS_Store,,,pending_asset_match,unknown,unknown,generated_unused
/Users/tstakuma/Desktop/github/research/.gitignore,,,pending_asset_match,unknown,unknown,needs_review
/Users/tstakuma/Desktop/github/research/.mypy_cache/.gitignore,,,pending_asset_match,unknown,unknown,generated_unused
/Users/tstakuma/Desktop/github/research/.mypy_cache/3.11/@plugins_snapshot.json,,,pending_asset_match,unknown,likely,generated_unused
/Users/tstakuma/Desktop/github/research/.mypy_cache/3.11/__future__.data.json,,/opt/anaconda3/lib/python3.11/site-packages/mypy/typeshed/stdlib/__future__.pyi,pending_asset_match,unknown,likely,generated_unused
/Users/tstakuma/Desktop/github/research/.mypy_cache/3.11/__future__.meta.json,,/opt/anaconda3/lib/python3.11/site-packages/mypy/typeshed/stdlib/__future__.pyi,pending_asset_match,unknown,likely,generated_unused
/Users/tstakuma/Desktop/github/research/.mypy_cache/3.11/_ast.data.json,,_ast.Py; /opt/anaconda3/lib/python3.11/site-packages/mypy/typeshed/stdlib/_ast.pyi,pending_asset_match,unknown,likely,generated_unused
/Users/tstakuma/Desktop/github/research/.mypy_cache/3.11/_ast.meta.json,,/opt/anaconda3/lib/python3.11/site-packages/mypy/typeshed/stdlib/_ast.pyi,pending_asset_match,unknown,likely,generated_unused
/Users/tstakuma/Desktop/github/research/.mypy_cache/3.11/_codecs.data.json,,/opt/anaconda3/lib/python3.11/site-packages/mypy/typeshed/stdlib/_codecs.pyi,pending_asset_match,unknown,likely,generated_unused
/Users/tstakuma/Desktop/github/research/.mypy_cache/3.11/_codecs.meta.json,,/opt/anaconda3/lib/python3.11/site-packages/mypy/typeshed/stdlib/_codecs.pyi,pending_asset_match,unknown,likely,generated_unused
/Users/tstakuma/Desktop/github/research/.mypy_cache/3.11/_collections_abc.data.json,,/opt/anaconda3/lib/python3.11/site-packages/mypy/typeshed/stdlib/_collections_abc.pyi,pending_asset_match,unknown,likely,generated_unused
/Users/tstakuma/Desktop/github/research/.mypy_cache/3.11/_collections_abc.meta.json,,/opt/anaconda3/lib/python3.11/site-packages/mypy/typeshed/stdlib/_collections_abc.pyi,pending_asset_match,unknown,likely,generated_unused
/Users/tstakuma/Desktop/github/research/.mypy_cache/3.11/_csv.data.json,,/opt/anaconda3/lib/python3.11/site-packages/mypy/typeshed/stdlib/_csv.pyi,pending_asset_match,unknown,likely,generated_unused
/Users/tstakuma/Desktop/github/research/.mypy_cache/3.11/_csv.meta.json,,/opt/anaconda3/lib/python3.11/site-packages/mypy/typeshed/stdlib/_csv.pyi,pending_asset_match,unknown,likely,generated_unused
/Users/tstakuma/Desktop/github/research/.mypy_cache/3.11/_ctypes.data.json,,/opt/anaconda3/lib/python3.11/site-packages/mypy/typeshed/stdlib/_ctypes.pyi,pending_asset_match,unknown,likely,generated_unused
/Users/tstakuma/Desktop/github/research/.mypy_cache/3.11/_ctypes.meta.json,,/opt/anaconda3/lib/python3.11/site-packages/mypy/typeshed/stdlib/_ctypes.pyi,pending_asset_match,unknown,likely,generated_unused
/Users/tstakuma/Desktop/github/research/.mypy_cache/3.11/_decimal.data.json,,/opt/anaconda3/lib/python3.11/site-packages/mypy/typeshed/stdlib/_decimal.pyi,pending_asset_match,unknown,likely,generated_unused
/Users/tstakuma/Desktop/github/research/.mypy_cache/3.11/_decimal.meta.json,,/opt/anaconda3/lib/python3.11/site-packages/mypy/typeshed/stdlib/_decimal.pyi,pending_asset_match,unknown,likely,generated_unused
/Users/tstakuma/Desktop/github/research/.mypy_cache/3.11/_operator.data.json,,/opt/anaconda3/lib/python3.11/site-packages/mypy/typeshed/stdlib/_operator.pyi,pending_asset_match,unknown,likely,generated_unused
/Users/tstakuma/Desktop/github/research/.mypy_cache/3.11/_operator.meta.json,,/opt/anaconda3/lib/python3.11/site-packages/mypy/typeshed/stdlib/_operator.pyi,pending_asset_match,unknown,likely,generated_unused
/Users/tstakuma/Desktop/github/research/.mypy_cache/3.11/_random.data.json,,/opt/anaconda3/lib/python3.11/site-packages/mypy/typeshed/stdlib/_random.pyi,pending_asset_match,unknown,likely,generated_unused
/Users/tstakuma/Desktop/github/research/.mypy_cache/3.11/_random.meta.json,,/opt/anaconda3/lib/python3.11/site-packages/mypy/typeshed/stdlib/_random.pyi,pending_asset_match,unknown,likely,generated_unused
/Users/tstakuma/Desktop/github/research/.mypy_cache/3.11/_socket.data.json,,/opt/anaconda3/lib/python3.11/site-packages/mypy/typeshed/stdlib/_socket.pyi,pending_asset_match,unknown,likely,generated_unused
/Users/tstakuma/Desktop/github/research/.mypy_cache/3.11/_socket.meta.json,,/opt/anaconda3/lib/python3.11/site-packages/mypy/typeshed/stdlib/_socket.pyi,pending_asset_match,unknown,likely,generated_unused
/Users/tstakuma/Desktop/github/research/.mypy_cache/3.11/_stat.data.json,,/opt/anaconda3/lib/python3.11/site-packages/mypy/typeshed/stdlib/_stat.pyi,pending_asset_match,unknown,likely,generated_unused
/Users/tstakuma/Desktop/github/research/.mypy_cache/3.11/_stat.meta.json,,/opt/anaconda3/lib/python3.11/site-packages/mypy/typeshed/stdlib/_stat.pyi,pending_asset_match,unknown,likely,generated_unused
/Users/tstakuma/Desktop/github/research/.mypy_cache/3.11/_thread.data.json,,/opt/anaconda3/lib/python3.11/site-packages/mypy/typeshed/stdlib/_thread.pyi,pending_asset_match,unknown,likely,generated_unused
/Users/tstakuma/Desktop/github/research/.mypy_cache/3.11/_thread.meta.json,,/opt/anaconda3/lib/python3.11/site-packages/mypy/typeshed/stdlib/_thread.pyi,pending_asset_match,unknown,likely,generated_unused
/Users/tstakuma/Desktop/github/research/.mypy_cache/3.11/_typeshed/__init__.data.json,,/opt/anaconda3/lib/python3.11/site-packages/mypy/typeshed/stdlib/_typeshed/__init__.pyi,pending_asset_match,unknown,likely,generated_unused
/Users/tstakuma/Desktop/github/research/.mypy_cache/3.11/_typeshed/__init__.meta.json,,/opt/anaconda3/lib/python3.11/site-packages/mypy/typeshed/stdlib/_typeshed/__init__.pyi,pending_asset_match,unknown,likely,generated_unused
/Users/tstakuma/Desktop/github/research/.mypy_cache/3.11/_warnings.data.json,,/opt/anaconda3/lib/python3.11/site-packages/mypy/typeshed/stdlib/_warnings.pyi,pending_asset_match,unknown,likely,generated_unused
/Users/tstakuma/Desktop/github/research/.mypy_cache/3.11/_warnings.meta.json,,/opt/anaconda3/lib/python3.11/site-packages/mypy/typeshed/stdlib/_warnings.pyi,pending_asset_match,unknown,likely,generated_unused
/Users/tstakuma/Desktop/github/research/.mypy_cache/3.11/_weakref.data.json,,/opt/anaconda3/lib/python3.11/site-packages/mypy/typeshed/stdlib/_weakref.pyi,pending_asset_match,unknown,likely,generated_unused
/Users/tstakuma/Desktop/github/research/.mypy_cache/3.11/_weakref.meta.json,,/opt/anaconda3/lib/python3.11/site-packages/mypy/typeshed/stdlib/_weakref.pyi,pending_asset_match,unknown,likely,generated_unused
/Users/tstakuma/Desktop/github/research/.mypy_cache/3.11/_weakrefset.data.json,,/opt/anaconda3/lib/python3.11/site-packages/mypy/typeshed/stdlib/_weakrefset.pyi,pending_asset_match,unknown,likely,generated_unused
/Users/tstakuma/Desktop/github/research/.mypy_cache/3.11/_weakrefset.meta.json,,/opt/anaconda3/lib/python3.11/site-packages/mypy/typeshed/stdlib/_weakrefset.pyi,pending_asset_match,unknown,likely,generated_unused
/Users/tstakuma/Desktop/github/research/.mypy_cache/3.11/abc.data.json,,/opt/anaconda3/lib/python3.11/site-packages/mypy/typeshed/stdlib/abc.pyi,pending_asset_match,unknown,likely,generated_unused
