origin_region_id,origin_region_name_ja,destination_city_id,industry_group_id,inflow_2025,unit,representative_distance_km,car_share
hokkaido_outside,北海道（札幌除く）,tokyo,metal,314,person_day,850,0.63
hokkaido_outside,北海道（札幌除く）,tokyo,chem_polymer,314,person_day,850,0.59
hokkaido_outside,北海道（札幌除く）,tokyo,inorganic,205,person_day,850,0.55
hokkaido_outside,北海道（札幌除く）,osaka,metal,138,person_day,1100,0.57
hokkaido_outside,北海道（札幌除く）,osaka,chem_polymer,148,person_day,1100,0.55
hokkaido_outside,北海道（札幌除く）,osaka,inorganic,95,person_day,1100,0.58
hokkaido_outside,北海道（札幌除く）,sapporo,metal,297,person_day,180,0.69
hokkaido_outside,北海道（札幌除く）,sapporo,chem_polymer,220,person_day,180,0.68
hokkaido_outside,北海道（札幌除く）,sapporo,inorganic,178,person_day,180,0.72
hokkaido_outside,北海道（札幌除く）,sendai,metal,143,person_day,650,0.6
hokkaido_outside,北海道（札幌除く）,sendai,chem_polymer,136,person_day,650,0.58
hokkaido_outside,北海道（札幌除く）,sendai,inorganic,96,person_day,650,0.61
hokkaido_outside,北海道（札幌除く）,nagoya,metal,146,person_day,1000,0.58
hokkaido_outside,北海道（札幌除く）,nagoya,chem_polymer,121,person_day,1000,0.55
hokkaido_outside,北海道（札幌除く）,nagoya,inorganic,107,person_day,1000,0.5
hokkaido_outside,北海道（札幌除く）,hiroshima,metal,62,person_day,1350,0.45
hokkaido_outside,北海道（札幌除く）,hiroshima,chem_polymer,47,person_day,1350,0.52
hokkaido_outside,北海道（札幌除く）,hiroshima,inorganic,48,person_day,1350,0.51
hokkaido_outside,北海道（札幌除く）,fukuoka,metal,57,person_day,1600,0.39
hokkaido_outside,北海道（札幌除く）,fukuoka,chem_polymer,58,person_day,1600,0.42
hokkaido_outside,北海道（札幌除く）,fukuoka,inorganic,38,person_day,1600,0.43
tohoku_outside,東北（仙台除く）,tokyo,metal,490,person_day,350,0.72
tohoku_outside,東北（仙台除く）,tokyo,chem_polymer,475,person_day,350,0.7
tohoku_outside,東北（仙台除く）,tokyo,inorganic,376,person_day,350,0.68
tohoku_outside,東北（仙台除く）,osaka,metal,201,person_day,900,0.54
tohoku_outside,東北（仙台除く）,osaka,chem_polymer,204,person_day,900,0.6
tohoku_outside,東北（仙台除く）,osaka,inorganic,157,person_day,900,0.61
tohoku_outside,東北（仙台除く）,sapporo,metal,156,person_day,700,0.65
tohoku_outside,東北（仙台除く）,sapporo,chem_polymer,120,person_day,700,0.58
tohoku_outside,東北（仙台除く）,sapporo,inorganic,92,person_day,700,0.59
tohoku_outside,東北（仙台除く）,sendai,metal,273,person_day,55,0.72
tohoku_outside,東北（仙台除く）,sendai,chem_polymer,279,person_day,55,0.72
tohoku_outside,東北（仙台除く）,sendai,inorganic,185,person_day,55,0.74
tohoku_outside,東北（仙台除く）,nagoya,metal,184,person_day,700,0.64
tohoku_outside,東北（仙台除く）,nagoya,chem_polymer,162,person_day,700,0.66
tohoku_outside,東北（仙台除く）,nagoya,inorganic,157,person_day,700,0.58
tohoku_outside,東北（仙台除く）,hiroshima,metal,64,person_day,1150,0.55
tohoku_outside,東北（仙台除く）,hiroshima,chem_polymer,72,person_day,1150,0.54
tohoku_outside,東北（仙台除く）,hiroshima,inorganic,57,person_day,1150,0.48
tohoku_outside,東北（仙台除く）,fukuoka,metal,77,person_day,1350,0.44
tohoku_outside,東北（仙台除く）,fukuoka,chem_polymer,80,person_day,1350,0.49
tohoku_outside,東北（仙台除く）,fukuoka,inorganic,53,person_day,1350,0.44
kanto_outside,関東（東京除く）,tokyo,metal,1327,person_day,65,0.72
kanto_outside,関東（東京除く）,tokyo,chem_polymer,1353,person_day,65,0.75
kanto_outside,関東（東京除く）,tokyo,inorganic,1099,person_day,65,0.73
kanto_outside,関東（東京除く）,osaka,metal,494,person_day,500,0.67
kanto_outside,関東（東京除く）,osaka,chem_polymer,541,person_day,500,0.66
kanto_outside,関東（東京除く）,osaka,inorganic,422,person_day,500,0.65
kanto_outside,関東（東京除く）,sapporo,metal,220,person_day,900,0.56
kanto_outside,関東（東京除く）,sapporo,chem_polymer,169,person_day,900,0.53
kanto_outside,関東（東京除く）,sapporo,inorganic,131,person_day,900,0.58
kanto_outside,関東（東京除く）,sendai,metal,327,person_day,400,0.67
kanto_outside,関東（東京除く）,sendai,chem_polymer,350,person_day,400,0.64
kanto_outside,関東（東京除く）,sendai,inorganic,236,person_day,400,0.7
kanto_outside,関東（東京除く）,nagoya,metal,504,person_day,350,0.64
kanto_outside,関東（東京除く）,nagoya,chem_polymer,463,person_day,350,0.65
kanto_outside,関東（東京除く）,nagoya,inorganic,434,person_day,350,0.71
kanto_outside,関東（東京除く）,hiroshima,metal,203,person_day,820,0.62
kanto_outside,関東（東京除く）,hiroshima,chem_polymer,192,person_day,820,0.55
kanto_outside,関東（東京除く）,hiroshima,inorganic,153,person_day,820,0.59
kanto_outside,関東（東京除く）,fukuoka,metal,208,person_day,1100,0.57
kanto_outside,関東（東京除く）,fukuoka,chem_polymer,162,person_day,1100,0.49
kanto_outside,関東（東京除く）,fukuoka,inorganic,123,person_day,1100,0.52
chubu_outside,中部（名古屋除く）,tokyo,metal,811,person_day,350,0.72
chubu_outside,中部（名古屋除く）,tokyo,chem_polymer,568,person_day,350,0.68
chubu_outside,中部（名古屋除く）,tokyo,inorganic,505,person_day,350,0.65
chubu_outside,中部（名古屋除く）,osaka,metal,509,person_day,180,0.7
chubu_outside,中部（名古屋除く）,osaka,chem_polymer,586,person_day,180,0.7
chubu_outside,中部（名古屋除く）,osaka,inorganic,405,person_day,180,0.73
chubu_outside,中部（名古屋除く）,sapporo,metal,135,person_day,1000,0.6
chubu_outside,中部（名古屋除く）,sapporo,chem_polymer,145,person_day,1000,0.53
chubu_outside,中部（名古屋除く）,sapporo,inorganic,99,person_day,1000,0.53
chubu_outside,中部（名古屋除く）,sendai,metal,168,person_day,700,0.56
chubu_outside,中部（名古屋除く）,sendai,chem_polymer,167,person_day,700,0.61
chubu_outside,中部（名古屋除く）,sendai,inorganic,109,person_day,700,0.59
chubu_outside,中部（名古屋除く）,nagoya,metal,628,person_day,40,0.72
chubu_outside,中部（名古屋除く）,nagoya,chem_polymer,450,person_day,40,0.74
chubu_outside,中部（名古屋除く）,nagoya,inorganic,449,person_day,40,0.72
chubu_outside,中部（名古屋除く）,hiroshima,metal,224,person_day,450,0.69
chubu_outside,中部（名古屋除く）,hiroshima,chem_polymer,177,person_day,450,0.68
chubu_outside,中部（名古屋除く）,hiroshima,inorganic,143,person_day,450,0.67
chubu_outside,中部（名古屋除く）,fukuoka,metal,200,person_day,800,0.59
chubu_outside,中部（名古屋除く）,fukuoka,chem_polymer,152,person_day,800,0.62
chubu_outside,中部（名古屋除く）,fukuoka,inorganic,127,person_day,800,0.56
kansai_outside,関西（大阪除く）,tokyo,metal,623,person_day,500,0.66
kansai_outside,関西（大阪除く）,tokyo,chem_polymer,685,person_day,500,0.6
kansai_outside,関西（大阪除く）,tokyo,inorganic,508,person_day,500,0.62
kansai_outside,関西（大阪除く）,osaka,metal,800,person_day,50,0.71
kansai_outside,関西（大阪除く）,osaka,chem_polymer,729,person_day,50,0.73
kansai_outside,関西（大阪除く）,osaka,inorganic,607,person_day,50,0.7
kansai_outside,関西（大阪除く）,sapporo,metal,131,person_day,1150,0.48
kansai_outside,関西（大阪除く）,sapporo,chem_polymer,140,person_day,1150,0.56
kansai_outside,関西（大阪除く）,sapporo,inorganic,90,person_day,1150,0.54
kansai_outside,関西（大阪除く）,sendai,metal,181,person_day,900,0.58
kansai_outside,関西（大阪除く）,sendai,chem_polymer,150,person_day,900,0.54
kansai_outside,関西（大阪除く）,sendai,inorganic,102,person_day,900,0.61
kansai_outside,関西（大阪除く）,nagoya,metal,619,person_day,180,0.73
kansai_outside,関西（大阪除く）,nagoya,chem_polymer,473,person_day,180,0.7
kansai_outside,関西（大阪除く）,nagoya,inorganic,413,person_day,180,0.75
kansai_outside,関西（大阪除く）,hiroshima,metal,306,person_day,350,0.71
kansai_outside,関西（大阪除く）,hiroshima,chem_polymer,258,person_day,350,0.64
kansai_outside,関西（大阪除く）,hiroshima,inorganic,173,person_day,350,0.72
kansai_outside,関西（大阪除く）,fukuoka,metal,271,person_day,650,0.57
kansai_outside,関西（大阪除く）,fukuoka,chem_polymer,208,person_day,650,0.64
kansai_outside,関西（大阪除く）,fukuoka,inorganic,156,person_day,650,0.59
chugoku_outside,中国（広島除く）,tokyo,metal,343,person_day,820,0.61
chugoku_outside,中国（広島除く）,tokyo,chem_polymer,318,person_day,820,0.56
chugoku_outside,中国（広島除く）,tokyo,inorganic,251,person_day,820,0.56
chugoku_outside,中国（広島除く）,osaka,metal,347,person_day,350,0.7
chugoku_outside,中国（広島除く）,osaka,chem_polymer,344,person_day,350,0.71
chugoku_outside,中国（広島除く）,osaka,inorganic,268,person_day,350,0.69
chugoku_outside,中国（広島除く）,sapporo,metal,65,person_day,1350,0.47
chugoku_outside,中国（広島除く）,sapporo,chem_polymer,62,person_day,1350,0.45
chugoku_outside,中国（広島除く）,sapporo,inorganic,59,person_day,1350,0.47
chugoku_outside,中国（広島除く）,sendai,metal,93,person_day,1150,0.53
chugoku_outside,中国（広島除く）,sendai,chem_polymer,82,person_day,1150,0.52
chugoku_outside,中国（広島除く）,sendai,inorganic,60,person_day,1150,0.52
chugoku_outside,中国（広島除く）,nagoya,metal,248,person_day,450,0.68
chugoku_outside,中国（広島除く）,nagoya,chem_polymer,229,person_day,450,0.61
chugoku_outside,中国（広島除く）,nagoya,inorganic,199,person_day,450,0.63
chugoku_outside,中国（広島除く）,hiroshima,metal,283,person_day,70,0.78
chugoku_outside,中国（広島除く）,hiroshima,chem_polymer,253,person_day,70,0.72
chugoku_outside,中国（広島除く）,hiroshima,inorganic,149,person_day,70,0.78
chugoku_outside,中国（広島除く）,fukuoka,metal,258,person_day,280,0.74
chugoku_outside,中国（広島除く）,fukuoka,chem_polymer,270,person_day,280,0.73
chugoku_outside,中国（広島除く）,fukuoka,inorganic,173,person_day,280,0.68
kyushu_outside,九州（福岡除く）,tokyo,metal,274,person_day,1100,0.51
kyushu_outside,九州（福岡除く）,tokyo,chem_polymer,201,person_day,1100,0.54
kyushu_outside,九州（福岡除く）,tokyo,inorganic,196,person_day,1100,0.55
kyushu_outside,九州（福岡除く）,osaka,metal,268,person_day,650,0.58
kyushu_outside,九州（福岡除く）,osaka,chem_polymer,244,person_day,650,0.67
