industry_group_id,effect,sum_sq,df,F,PR(>F),partial_eta2
chem_polymer,C(destination_city_id),28.8612928675743,6.0,13.53575961739586,1.1006191605610855e-10,0.49157022742327305
chem_polymer,C(compute_condition),9.893914645136724e-06,1.0,2.7841091719504563e-05,0.9958025199539069,3.314414582358634e-07
chem_polymer,C(destination_city_id):C(compute_condition),2.6345249547852306e-08,6.0,1.235575157967645e-08,0.9999999999999999,8.825536834837025e-10
chem_polymer,Residual,29.851158085487395,84.0,,,
inorganic,C(destination_city_id),32.731409828942766,6.0,15.226453565001286,1.0066429593150259e-11,0.5209819087744187
inorganic,C(compute_condition),4.434874180188108e-06,1.0,1.2378459612493605e-05,0.9972011479336761,1.4736259271871073e-07
inorganic,C(destination_city_id):C(compute_condition),9.769076686283426e-09,6.0,4.544515293230675e-09,0.9999999999999999,3.2460823512539197e-10
inorganic,Residual,30.09497488361204,84.0,,,
metal,C(destination_city_id),27.31369099079465,6.0,12.266838122892054,7.241373484329252e-10,0.46700855525512486
metal,C(compute_condition),2.1006029292185507e-05,1.0,5.660404396142836e-05,0.9940149589591566,6.738572121236321e-07
metal,C(destination_city_id):C(compute_condition),5.2050765358865554e-08,6.0,2.3376493240881647e-08,0.9999999999999999,1.6697495144177684e-09
metal,Residual,31.172798567995752,84.0,,,
