file,reads,writes,imported_by,used_in_presentation,required_for_reproduction,decision
/Users/tstakuma/Desktop/github/research/.mypy_cache/3.11/@plugins_snapshot.json,,,,pending exact asset match,likely,quarantine
/Users/tstakuma/Desktop/github/research/.mypy_cache/3.11/__future__.data.json,/opt/anaconda3/lib/python3.11/site-packages/mypy/typeshed/stdlib/__future__.pyi,,,pending exact asset match,likely,quarantine
/Users/tstakuma/Desktop/github/research/.mypy_cache/3.11/__future__.meta.json,/opt/anaconda3/lib/python3.11/site-packages/mypy/typeshed/stdlib/__future__.pyi,,,pending exact asset match,likely,quarantine
/Users/tstakuma/Desktop/github/research/.mypy_cache/3.11/_ast.data.json,_ast.Py; /opt/anaconda3/lib/python3.11/site-packages/mypy/typeshed/stdlib/_ast.pyi,,,pending exact asset match,likely,quarantine
/Users/tstakuma/Desktop/github/research/.mypy_cache/3.11/_ast.meta.json,/opt/anaconda3/lib/python3.11/site-packages/mypy/typeshed/stdlib/_ast.pyi,,,pending exact asset match,likely,quarantine
/Users/tstakuma/Desktop/github/research/.mypy_cache/3.11/_codecs.data.json,/opt/anaconda3/lib/python3.11/site-packages/mypy/typeshed/stdlib/_codecs.pyi,,,pending exact asset match,likely,quarantine
/Users/tstakuma/Desktop/github/research/.mypy_cache/3.11/_codecs.meta.json,/opt/anaconda3/lib/python3.11/site-packages/mypy/typeshed/stdlib/_codecs.pyi,,,pending exact asset match,likely,quarantine
/Users/tstakuma/Desktop/github/research/.mypy_cache/3.11/_collections_abc.data.json,/opt/anaconda3/lib/python3.11/site-packages/mypy/typeshed/stdlib/_collections_abc.pyi,,,pending exact asset match,likely,quarantine
/Users/tstakuma/Desktop/github/research/.mypy_cache/3.11/_collections_abc.meta.json,/opt/anaconda3/lib/python3.11/site-packages/mypy/typeshed/stdlib/_collections_abc.pyi,,,pending exact asset match,likely,quarantine
/Users/tstakuma/Desktop/github/research/.mypy_cache/3.11/_csv.data.json,/opt/anaconda3/lib/python3.11/site-packages/mypy/typeshed/stdlib/_csv.pyi,,,pending exact asset match,likely,quarantine
/Users/tstakuma/Desktop/github/research/.mypy_cache/3.11/_csv.meta.json,/opt/anaconda3/lib/python3.11/site-packages/mypy/typeshed/stdlib/_csv.pyi,,,pending exact asset match,likely,quarantine
/Users/tstakuma/Desktop/github/research/.mypy_cache/3.11/_ctypes.data.json,/opt/anaconda3/lib/python3.11/site-packages/mypy/typeshed/stdlib/_ctypes.pyi,,,pending exact asset match,likely,quarantine
/Users/tstakuma/Desktop/github/research/.mypy_cache/3.11/_ctypes.meta.json,/opt/anaconda3/lib/python3.11/site-packages/mypy/typeshed/stdlib/_ctypes.pyi,,,pending exact asset match,likely,quarantine
/Users/tstakuma/Desktop/github/research/.mypy_cache/3.11/_decimal.data.json,/opt/anaconda3/lib/python3.11/site-packages/mypy/typeshed/stdlib/_decimal.pyi,,,pending exact asset match,likely,quarantine
/Users/tstakuma/Desktop/github/research/.mypy_cache/3.11/_decimal.meta.json,/opt/anaconda3/lib/python3.11/site-packages/mypy/typeshed/stdlib/_decimal.pyi,,,pending exact asset match,likely,quarantine
/Users/tstakuma/Desktop/github/research/.mypy_cache/3.11/_operator.data.json,/opt/anaconda3/lib/python3.11/site-packages/mypy/typeshed/stdlib/_operator.pyi,,,pending exact asset match,likely,quarantine
/Users/tstakuma/Desktop/github/research/.mypy_cache/3.11/_operator.meta.json,/opt/anaconda3/lib/python3.11/site-packages/mypy/typeshed/stdlib/_operator.pyi,,,pending exact asset match,likely,quarantine
/Users/tstakuma/Desktop/github/research/.mypy_cache/3.11/_random.data.json,/opt/anaconda3/lib/python3.11/site-packages/mypy/typeshed/stdlib/_random.pyi,,,pending exact asset match,likely,quarantine
/Users/tstakuma/Desktop/github/research/.mypy_cache/3.11/_random.meta.json,/opt/anaconda3/lib/python3.11/site-packages/mypy/typeshed/stdlib/_random.pyi,,,pending exact asset match,likely,quarantine
/Users/tstakuma/Desktop/github/research/.mypy_cache/3.11/_socket.data.json,/opt/anaconda3/lib/python3.11/site-packages/mypy/typeshed/stdlib/_socket.pyi,,,pending exact asset match,likely,quarantine
/Users/tstakuma/Desktop/github/research/.mypy_cache/3.11/_socket.meta.json,/opt/anaconda3/lib/python3.11/site-packages/mypy/typeshed/stdlib/_socket.pyi,,,pending exact asset match,likely,quarantine
/Users/tstakuma/Desktop/github/research/.mypy_cache/3.11/_stat.data.json,/opt/anaconda3/lib/python3.11/site-packages/mypy/typeshed/stdlib/_stat.pyi,,,pending exact asset match,likely,quarantine
/Users/tstakuma/Desktop/github/research/.mypy_cache/3.11/_stat.meta.json,/opt/anaconda3/lib/python3.11/site-packages/mypy/typeshed/stdlib/_stat.pyi,,,pending exact asset match,likely,quarantine
/Users/tstakuma/Desktop/github/research/.mypy_cache/3.11/_thread.data.json,/opt/anaconda3/lib/python3.11/site-packages/mypy/typeshed/stdlib/_thread.pyi,,,pending exact asset match,likely,quarantine
/Users/tstakuma/Desktop/github/research/.mypy_cache/3.11/_thread.meta.json,/opt/anaconda3/lib/python3.11/site-packages/mypy/typeshed/stdlib/_thread.pyi,,,pending exact asset match,likely,quarantine
/Users/tstakuma/Desktop/github/research/.mypy_cache/3.11/_typeshed/__init__.data.json,/opt/anaconda3/lib/python3.11/site-packages/mypy/typeshed/stdlib/_typeshed/__init__.pyi,,,pending exact asset match,likely,quarantine
/Users/tstakuma/Desktop/github/research/.mypy_cache/3.11/_typeshed/__init__.meta.json,/opt/anaconda3/lib/python3.11/site-packages/mypy/typeshed/stdlib/_typeshed/__init__.pyi,,,pending exact asset match,likely,quarantine
/Users/tstakuma/Desktop/github/research/.mypy_cache/3.11/_warnings.data.json,/opt/anaconda3/lib/python3.11/site-packages/mypy/typeshed/stdlib/_warnings.pyi,,,pending exact asset match,likely,quarantine
/Users/tstakuma/Desktop/github/research/.mypy_cache/3.11/_warnings.meta.json,/opt/anaconda3/lib/python3.11/site-packages/mypy/typeshed/stdlib/_warnings.pyi,,,pending exact asset match,likely,quarantine
/Users/tstakuma/Desktop/github/research/.mypy_cache/3.11/_weakref.data.json,/opt/anaconda3/lib/python3.11/site-packages/mypy/typeshed/stdlib/_weakref.pyi,,,pending exact asset match,likely,quarantine
/Users/tstakuma/Desktop/github/research/.mypy_cache/3.11/_weakref.meta.json,/opt/anaconda3/lib/python3.11/site-packages/mypy/typeshed/stdlib/_weakref.pyi,,,pending exact asset match,likely,quarantine
