origin_region,city,industry_group,distance_km,car_dependency,time_cost,non_energy_cost,base_energy_cost_per_km,flow_count
北海道,東京,金属素材群,832.2,0.615,10286.7,4311.1,6.0,1
北海道,東京,化学・高分子素材群,832.2,0.615,10286.7,4311.1,6.0,1
北海道,東京,無機素材群,832.2,0.615,10286.7,4311.1,6.0,25
北海道,大阪,金属素材群,1058.7,0.627,13004.3,5443.5,6.0,0
北海道,大阪,化学・高分子素材群,1058.7,0.627,13004.3,5443.5,6.0,1
北海道,大阪,無機素材群,1058.7,0.627,13004.3,5443.5,6.0,19
北海道,札幌,金属素材群,5.0,0.557,360.0,175.0,6.0,11
北海道,札幌,化学・高分子素材群,5.0,0.557,360.0,175.0,6.0,23
北海道,札幌,無機素材群,5.0,0.557,360.0,175.0,6.0,81
北海道,仙台,金属素材群,534.8,0.703,6717.7,2824.0,6.0,1
北海道,仙台,化学・高分子素材群,534.8,0.703,6717.7,2824.0,6.0,1
北海道,仙台,無機素材群,534.8,0.703,6717.7,2824.0,6.0,14
北海道,名古屋,金属素材群,956.2,0.715,11774.2,4930.9,6.0,1
北海道,名古屋,化学・高分子素材群,956.2,0.715,11774.2,4930.9,6.0,0
北海道,名古屋,無機素材群,956.2,0.715,11774.2,4930.9,6.0,13
北海道,広島,金属素材群,1233.9,0.727,15106.7,6319.5,6.0,0
北海道,広島,化学・高分子素材群,1233.9,0.727,15106.7,6319.5,6.0,0
北海道,広島,無機素材群,1233.9,0.727,15106.7,6319.5,6.0,10
北海道,福岡,金属素材群,1419.3,0.69,17331.1,7246.3,6.0,0
北海道,福岡,化学・高分子素材群,1419.3,0.69,17331.1,7246.3,6.0,1
北海道,福岡,無機素材群,1419.3,0.69,17331.1,7246.3,6.0,10
青森,東京,金属素材群,578.2,0.595,7238.9,3041.2,6.0,1
青森,東京,化学・高分子素材群,578.2,0.595,7238.9,3041.2,6.0,5
青森,東京,無機素材群,578.2,0.595,7238.9,3041.2,6.0,45
青森,大阪,金属素材群,822.2,0.608,10167.0,4261.2,6.0,0
青森,大阪,化学・高分子素材群,822.2,0.608,10167.0,4261.2,6.0,3
青森,大阪,無機素材群,822.2,0.608,10167.0,4261.2,6.0,11
青森,札幌,金属素材群,253.9,0.708,3347.2,1419.7,6.0,2
青森,札幌,化学・高分子素材群,253.9,0.708,3347.2,1419.7,6.0,1
青森,札幌,無機素材群,253.9,0.708,3347.2,1419.7,6.0,11
青森,仙台,金属素材群,284.4,0.683,3713.3,1572.2,6.0,0
青森,仙台,化学・高分子素材群,284.4,0.683,3713.3,1572.2,6.0,6
青森,仙台,無機素材群,284.4,0.683,3713.3,1572.2,6.0,25
青森,名古屋,金属素材群,711.5,0.695,8838.0,3707.5,6.0,0
青森,名古屋,化学・高分子素材群,711.5,0.695,8838.0,3707.5,6.0,2
青森,名古屋,無機素材群,711.5,0.695,8838.0,3707.5,6.0,15
青森,広島,金属素材群,1021.5,0.708,12557.5,5257.3,6.0,0
青森,広島,化学・高分子素材群,1021.5,0.708,12557.5,5257.3,6.0,0
青森,広島,無機素材群,1021.5,0.708,12557.5,5257.3,6.0,13
青森,福岡,金属素材群,1217.2,0.67,14905.8,6235.8,6.0,1
青森,福岡,化学・高分子素材群,1217.2,0.67,14905.8,6235.8,6.0,2
青森,福岡,無機素材群,1217.2,0.67,14905.8,6235.8,6.0,7
宮城,東京,金属素材群,305.4,0.455,3964.3,1676.8,6.0,4
宮城,東京,化学・高分子素材群,305.4,0.455,3964.3,1676.8,6.0,12
宮城,東京,無機素材群,305.4,0.455,3964.3,1676.8,6.0,28
宮城,大阪,金属素材群,623.1,0.468,7777.3,3265.6,6.0,3
宮城,大阪,化学・高分子素材群,623.1,0.468,7777.3,3265.6,6.0,7
宮城,大阪,無機素材群,623.1,0.468,7777.3,3265.6,6.0,25
宮城,札幌,金属素材群,534.5,0.568,6714.1,2822.5,6.0,0
宮城,札幌,化学・高分子素材群,534.5,0.568,6714.1,2822.5,6.0,5
宮城,札幌,無機素材群,534.5,0.568,6714.1,2822.5,6.0,14
宮城,仙台,金属素材群,5.0,0.372,360.0,175.0,6.0,11
宮城,仙台,化学・高分子素材群,5.0,0.372,360.0,175.0,6.0,59
宮城,仙台,無機素材群,5.0,0.372,360.0,175.0,6.0,77
宮城,名古屋,金属素材群,492.6,0.555,6211.2,2613.0,6.0,1
宮城,名古屋,化学・高分子素材群,492.6,0.555,6211.2,2613.0,6.0,8
宮城,名古屋,無機素材群,492.6,0.555,6211.2,2613.0,6.0,24
宮城,広島,金属素材群,868.4,0.568,10720.5,4491.9,6.0,0
宮城,広島,化学・高分子素材群,868.4,0.568,10720.5,4491.9,6.0,1
宮城,広島,無機素材群,868.4,0.568,10720.5,4491.9,6.0,5
宮城,福岡,金属素材群,1075.8,0.53,13209.3,5528.9,6.0,1
宮城,福岡,化学・高分子素材群,1075.8,0.53,13209.3,5528.9,6.0,2
宮城,福岡,無機素材群,1075.8,0.53,13209.3,5528.9,6.0,6
埼玉,東京,金属素材群,19.6,0.185,535.2,248.0,6.0,76
埼玉,東京,化学・高分子素材群,19.6,0.185,535.2,248.0,6.0,74
埼玉,東京,無機素材群,19.6,0.185,535.2,248.0,6.0,119
埼玉,大阪,金属素材群,397.9,0.368,5074.2,2139.3,6.0,7
埼玉,大阪,化学・高分子素材群,397.9,0.368,5074.2,2139.3,6.0,10
埼玉,大阪,無機素材群,397.9,0.368,5074.2,2139.3,6.0,20
埼玉,札幌,金属素材群,813.9,0.468,10066.7,4219.5,6.0,0
埼玉,札幌,化学・高分子素材群,813.9,0.468,10066.7,4219.5,6.0,2
埼玉,札幌,無機素材群,813.9,0.468,10066.7,4219.5,6.0,6
埼玉,仙台,金属素材群,288.8,0.443,3765.3,1593.9,6.0,1
