id,status,priority,year,type,title,authors,venue_or_source,problem,method,encoding_or_formulation,hardware_or_backend,scale_reported,key_takeaway,limitations_or_questions,url,doi,related_id
qaoa-2014-farhi,unread,foundation,2014,arxiv,A Quantum Approximate Optimization Algorithm,Edward Farhi; Jeffrey Goldstone; Sam Gutmann,arXiv:1411.4028,General combinatorial optimization; MaxCut,QAOA,Cost Hamiltonian plus mixer Hamiltonian; p-layer alternating unitaries,Theory and simulation,MaxCut on 2-regular and 3-regular graphs,Defines QAOA and the p-depth approximation framework used by the later VRP papers.,Not VRP-specific; use as method foundation and notation source.,https://arxiv.org/pdf/1411.4028,10.48550/arXiv.1411.4028,
vrp-2020-azad,unread,high,2020,arxiv+journal,Solving Vehicle Routing Problem Using Quantum Approximate Optimization Algorithm,Utkarsh Azad; Bikash K. Behera; Emad A. Ahmed; Prasanta K. Panigrahi; Ahmed Farouk,arXiv:2002.01351; IEEE Transactions on Intelligent Transportation Systems,VRP,QAOA,Ising formulation for VRP using Qiskit,IBM Qiskit simulation,"(4,2), (5,2), (5,3) VRP instances",Early concrete QAOA-to-VRP formulation; useful baseline for later critiques.,"Performance depends strongly on optimizer, p, initialization, and instance.",https://arxiv.org/pdf/2002.01351,10.1109/TITS.2022.3172241,
vrp-2025-azfar-arxiv,unread,high,2025,arxiv,Quantum-Assisted Vehicle Routing: Realizing QAOA-based Approach on Gate-Based Quantum Computer,Talha Azfar; Osama Muhammad Raisuddin; Ruimin Ke; Jose Holguin-Veras,arXiv:2505.01614,VRP,QAOA,Link-based VRP formulation; flow conservation and subtour elimination in cost Hamiltonian,IBM Quantum System One,Small VRP instances on gate-based hardware,"End-to-end gate-based implementation path; highlights penalty scaling, normalization, circuit depth, and noise.",Scalability limited by circuit complexity and decoherence; cite as arXiv version unless a confirmed publication record is identified.,https://arxiv.org/pdf/2505.01614,10.48550/arXiv.2505.01614,
hvrp-2024-fitzek,unread,high,2024,journal,Applying quantum approximate optimization to the heterogeneous vehicle routing problem,David Fitzek; Toheed Ghandriz; Leo Laine; Mats Granath; et al.; Anton Frisk Kockum,"Scientific Reports 14, 25415",HVRP,QAOA,Ising Hamiltonian mapping for heterogeneous fleet capacities,Simulation,"Up to 21 qubits, corresponding to three customers and two trucks",Extends QAOA routing work to heterogeneous fleets; reports quadratic qubit scaling in customer count and optimizer runtime trade-offs.,Simulation scale remains small; optimizer trade-off needs careful extraction from results.,https://www.nature.com/articles/s41598-024-76967-w,10.1038/s41598-024-76967-w,
vrptw-2023-leonidas,unread,high,2023,arxiv,Qubit efficient quantum algorithms for the vehicle routing problem on NISQ processors,Ioannis D. Leonidas; Alexander Dukakis; Benjamin Tan; Dimitris G. Angelakis,arXiv:2306.08507,VRPTW,Variational quantum optimization with qubit-efficient encoding,Reduced binary-variable encoding; QUBO based on realistic shipping scenarios,Simulators; IBMQ; AWS Rigetti; IonQ,11 to 3964 routes in testbed; compared with Gurobi,Important for resource reduction: approximate quality comparable to full encodings with fewer qubits.,"Even with encoding gains, larger instances still need more resources; inspect benchmark fairness versus Gurobi.",https://arxiv.org/pdf/2306.08507,10.48550/arXiv.2306.08507,
cvrp-2023-xie,unread,high,2023,arxiv,A Feasibility-Preserved Quantum Approximate Solver for the Capacitated Vehicle Routing Problem,Ningyi Xie; Xinwei Lee; Dongsheng Cai; Yoshiyuki Saito; Nobuyoshi Asai; Hoong Chuin Lau,arXiv:2308.08785,CVRP,Quantum Alternating Operator Ansatz / QAOA variant,New binary encoding; feasibility-preserving mixer; alternative shortest-path objective,Simulation,Illustrative CVRP examples,"Core contribution is feasibility preservation, improving probability of sampling feasible and optimal solutions versus penalty QAOA.",Need check how capacity constraint is bypassed/reintroduced and whether objective changes the original CVRP.,https://arxiv.org/pdf/2308.08785,10.48550/arXiv.2308.08785,
cvrp-2023-palackal,unread,high,2023,arxiv+conference,Quantum-Assisted Solution Paths for the Capacitated Vehicle Routing Problem,Lilly Palackal; Benedikt Poggel; Matthias Wulff; Hans Ehm; Jeanette Miriam Lorenz; Christian B. Mendl,arXiv:2304.09629; IEEE QCE 2023,CVRP; TSP decomposition,QAOA and VQE,CVRP reduced to clustering plus TSP subproblems; application-driven solution-quality metric,Simulation,Small TSP/CVRP-derived instances,"Useful negative/critical evidence: QAOA often fails feasibility threshold, while VQE reaches it more reliably in their tests.",Read carefully for hyperparameter settings and whether comparisons are problem-size limited.,https://arxiv.org/pdf/2304.09629,10.1109/QCE57702.2023.00080,
bench-2024-lubinski,unread,medium,2024,arxiv,Quantum Algorithm Exploration using Application-Oriented Performance Benchmarks,Thomas Lubinski; Joshua J. Goings; Karl Mayer; Sonika Johri; Nithin Reddy; Aman Mehta; Niranjan Bhatia; Sonny Rappaport; Daniel Mills; Charles H. Baldwin; Luning Zhao; Aaron Barbosa; Smarak Maity; Pranav S. Mundada,arXiv:2402.08985,Application-oriented quantum benchmarking,Benchmark framework,"QED-C benchmark extensions: HHL, VQE hydrogen lattice, ML classification, optimization/error mitigation workflow",Benchmarking across quantum platforms/workflows,21 pages; multiple benchmark applications,"Not VRP-specific, but useful for defining fair performance metrics: result quality, runtime, gate resources, and overhead.",Use as methodology lens rather than direct VRP solution paper.,https://arxiv.org/pdf/2402.08985,10.48550/arXiv.2402.08985,
bench-2021-lubinski,unread,medium,2021,arxiv+journal,Application-Oriented Performance Benchmarks for Quantum Computing,Thomas Lubinski; Sonika Johri; Paul Varosy; Jeremiah Coleman; Luning Zhao; Jason Necaise; Charles H. Baldwin; Karl Mayer; Timothy Proctor,arXiv:2110.03137; IEEE Transactions on Quantum Engineering,Application-oriented quantum benchmarking,Benchmark framework,Volumetric benchmarking over circuit width and depth; quality and time-to-solution metrics,Benchmarking suite,"33 pages, 36 figures",Foundation paper for QED-C application-oriented benchmarks; defines how to evaluate quantum applications beyond single hardware metrics.,Not VRP-specific; use for benchmark methodology and reporting structure.,https://arxiv.org/pdf/2110.03137,10.1109/TQE.2023.3253761,
bench-2023-lubinski-optimization,unread,medium,2023,arxiv+journal,Optimization Applications as Quantum Performance Benchmarks,Thomas Lubinski; Carleton Coffrin; Catherine McGeoch; Pratik Sathe; Joshua Apanavicius; David E. Bernal Neira,arXiv:2302.02278; ACM Transactions on Quantum Computing,Combinatorial optimization benchmarking,QAOA and quantum annealing benchmark framework,Max-Cut benchmark; performance profiles; solution quality versus runtime,Simulators and quantum hardware,"31 pages, 22 figures",Closest benchmark-method paper for QAOA/QA optimization: emphasizes performance progression over time and problem size.,"Direct benchmark example is Max-Cut, not VRP/CVRP; adapt metrics carefully.",https://arxiv.org/pdf/2302.02278,10.48550/arXiv.2302.02278,
logistics-2024-phillipson,unread,medium,2024,arxiv,Quantum Computing in Logistics and Supply Chain Management an Overview,Frank Phillipson,arXiv:2402.17520,Logistics and supply chain management,Review,"Surveys quantum annealing, gate-based quantum computing, QAOA, routing, network design, fleet maintenance, cargo loading, prediction, scheduling",Literature review,Revised 2025 version,Useful map of quantum computing applications in logistics; highlights hybrid methods and hardware limitations.,Overview paper; verify original sources before citing specific empirical claims.,https://arxiv.org/pdf/2402.17520,10.48550/arXiv.2402.17520,
cvrp-2025-onah-utility,unread,high,2025,arxiv,Requirements for Early Quantum Utility and Quantum Utility in the Capacitated Vehicle Routing Problem,Chinonso Onah; Kristel Michielsen,arXiv:2509.11469,CVRP,Resource estimation and utility framework,Encoding-agnostic go/no-go framework; QUBO versus HOBO/direct encoding resource counts,Analytical resource estimation with hardware benchmarks,"Golden-5 example; HOBO 7,685 qubits versus QUBO above 200,000 qubits",Important reality-check paper: early quantum utility for CVRP is unlikely on NISQ hardware without decomposition or better encodings.,The title in the user list omits one 'and Quantum Utility'; cite the arXiv title exactly.,https://arxiv.org/pdf/2509.11469,10.48550/arXiv.2509.11469,
