id,source_pdf,pdf_bytes,page_count,text_path,text_char_count,metadata_path
bench-2021-lubinski,literature/pdf_derived/pdfs/bench-2021-lubinski.pdf,2062784,35,literature/pdf_derived/text/bench-2021-lubinski.txt,177047,literature/pdf_derived/metadata/bench-2021-lubinski.json
bench-2023-lubinski-optimization,literature/pdf_derived/pdfs/bench-2023-lubinski-optimization.pdf,1338274,31,literature/pdf_derived/text/bench-2023-lubinski-optimization.txt,166606,literature/pdf_derived/metadata/bench-2023-lubinski-optimization.json
bench-2024-lubinski,literature/pdf_derived/pdfs/bench-2024-lubinski.pdf,1921738,26,literature/pdf_derived/text/bench-2024-lubinski.txt,138557,literature/pdf_derived/metadata/bench-2024-lubinski.json
cvrp-2023-palackal,literature/pdf_derived/pdfs/241_20260622_cvrp_2023_palackal.pdf,715189,13,literature/pdf_derived/text/263_20260622_cvrp_2023_palackal.txt,61075,literature/pdf_derived/metadata/222_20260622_cvrp_2023_palackal.json
cvrp-2023-xie,literature/pdf_derived/pdfs/242_20260622_cvrp_2023_xie.pdf,871395,10,literature/pdf_derived/text/264_20260622_cvrp_2023_xie.txt,46102,literature/pdf_derived/metadata/223_20260622_cvrp_2023_xie.json
cvrp-2025-onah-utility,literature/pdf_derived/pdfs/cvrp-2025-onah-utility.pdf,811257,14,literature/pdf_derived/text/cvrp-2025-onah-utility.txt,31643,literature/pdf_derived/metadata/cvrp-2025-onah-utility.json
encoding-2022-glos,literature/pdf_derived/pdfs/244_20260622_encoding_2022_glos.pdf,664865,8,literature/pdf_derived/text/266_20260622_encoding_2022_glos.txt,50900,literature/pdf_derived/metadata/225_20260622_encoding_2022_glos.json
hvrp-2024-fitzek,literature/pdf_derived/pdfs/246_20260622_hvrp_2024_fitzek.pdf,9367747,18,literature/pdf_derived/text/267_20260622_hvrp_2024_fitzek.txt,74905,literature/pdf_derived/metadata/226_20260622_hvrp_2024_fitzek.json
logistics-2024-phillipson,literature/pdf_derived/pdfs/247_20260622_logistics_2024_phillipson.pdf,624719,52,literature/pdf_derived/text/268_20260622_logistics_2024_phillipson.txt,158830,literature/pdf_derived/metadata/227_20260622_logistics_2024_phillipson.json
nisq-2018-preskill,literature/pdf_derived/pdfs/249_20260622_nisq_2018_preskill.pdf,474551,20,literature/pdf_derived/text/269_20260622_nisq_2018_preskill.txt,68202,literature/pdf_derived/metadata/228_20260622_nisq_2018_preskill.json
qaoa-2014-farhi,literature/pdf_derived/pdfs/252_20260622_qaoa_2014_farhi.pdf,163872,16,literature/pdf_derived/text/271_20260622_qaoa_2014_farhi.txt,29289,literature/pdf_derived/metadata/229_20260622_qaoa_2014_farhi.json
resource-2022-beverland-practical-advantage,literature/pdf_derived/pdfs/253_20260623_resource_2022_beverland_practical_advantage.pdf,4047190,41,literature/pdf_derived/text/272_20260623_resource_2022_beverland_practical_advantage.txt,154688,literature/pdf_derived/metadata/230_20260623_resource_2022_beverland_practical_advantage.json
vqa-2021-cerezo,literature/pdf_derived/pdfs/255_20260622_vqa_2021_cerezo.pdf,6345153,33,literature/pdf_derived/text/274_20260622_vqa_2021_cerezo.txt,171742,literature/pdf_derived/metadata/232_20260622_vqa_2021_cerezo.json
vrp-2020-azad,literature/pdf_derived/pdfs/256_20260622_vrp_2020_azad.pdf,241007,8,literature/pdf_derived/text/275_20260622_vrp_2020_azad.txt,23791,literature/pdf_derived/metadata/233_20260622_vrp_2020_azad.json
vrp-2025-azfar-arxiv,literature/pdf_derived/pdfs/257_20260622_vrp_2025_azfar_arxiv.pdf,1843010,25,literature/pdf_derived/text/276_20260622_vrp_2025_azfar_arxiv.txt,74292,literature/pdf_derived/metadata/234_20260622_vrp_2025_azfar_arxiv.json
vrptw-2023-leonidas,literature/pdf_derived/pdfs/258_20260622_vrptw_2023_leonidas.pdf,2707819,15,literature/pdf_derived/text/277_20260622_vrptw_2023_leonidas.txt,64381,literature/pdf_derived/metadata/235_20260622_vrptw_2023_leonidas.json
utility-2023-herrmann,literature/pdf_derived/pdfs/utility-2023-herrmann.pdf,1070104,15,literature/pdf_derived/text/utility-2023-herrmann.txt,77336,literature/pdf_derived/metadata/utility-2023-herrmann.json
