reference_id,category,title,authors,year,url,source_record,used_in_current_presentation,notes
qaoa-2014-farhi,quantum_routing,A Quantum Approximate Optimization Algorithm,Edward Farhi; Jeffrey Goldstone; Sam Gutmann,2014,https://arxiv.org/pdf/1411.4028,literature/papers.csv,candidate,Verify against canonical slide references
vrp-2020-azad,quantum_routing,Solving Vehicle Routing Problem Using Quantum Approximate Optimization Algorithm,Utkarsh Azad; Bikash K. Behera; Emad A. Ahmed; Prasanta K. Panigrahi; Ahmed Farouk,2020,https://arxiv.org/pdf/2002.01351,literature/papers.csv,candidate,Verify against canonical slide references
vrp-2025-azfar-arxiv,quantum_routing,Quantum-Assisted Vehicle Routing: Realizing QAOA-based Approach on Gate-Based Quantum Computer,Talha Azfar; Osama Muhammad Raisuddin; Ruimin Ke; Jose Holguin-Veras,2025,https://arxiv.org/pdf/2505.01614,literature/papers.csv,candidate,Verify against canonical slide references
hvrp-2024-fitzek,quantum_routing,Applying quantum approximate optimization to the heterogeneous vehicle routing problem,David Fitzek; Toheed Ghandriz; Leo Laine; Mats Granath; et al.; Anton Frisk Kockum,2024,https://www.nature.com/articles/s41598-024-76967-w,literature/papers.csv,candidate,Verify against canonical slide references
vrptw-2023-leonidas,quantum_routing,Qubit efficient quantum algorithms for the vehicle routing problem on NISQ processors,Ioannis D. Leonidas; Alexander Dukakis; Benjamin Tan; Dimitris G. Angelakis,2023,https://arxiv.org/pdf/2306.08507,literature/papers.csv,candidate,Verify against canonical slide references
cvrp-2023-xie,quantum_routing,A Feasibility-Preserved Quantum Approximate Solver for the Capacitated Vehicle Routing Problem,Ningyi Xie; Xinwei Lee; Dongsheng Cai; Yoshiyuki Saito; Nobuyoshi Asai; Hoong Chuin Lau,2023,https://arxiv.org/pdf/2308.08785,literature/papers.csv,candidate,Verify against canonical slide references
cvrp-2023-palackal,quantum_routing,Quantum-Assisted Solution Paths for the Capacitated Vehicle Routing Problem,Lilly Palackal; Benedikt Poggel; Matthias Wulff; Hans Ehm; Jeanette Miriam Lorenz; Christian B. Mendl,2023,https://arxiv.org/pdf/2304.09629,literature/papers.csv,candidate,Verify against canonical slide references
bench-2024-lubinski,quantum_routing,Quantum Algorithm Exploration using Application-Oriented Performance Benchmarks,Thomas Lubinski; Joshua J. Goings; Karl Mayer; Sonika Johri; Nithin Reddy; Aman Mehta; Niranjan Bhatia; Sonny Rappaport; Daniel Mills; Charles H. Baldwin; Luning Zhao; Aaron Barbosa; Smarak Maity; Pranav S. Mundada,2024,https://arxiv.org/pdf/2402.08985,literature/papers.csv,candidate,Verify against canonical slide references
bench-2021-lubinski,quantum_routing,Application-Oriented Performance Benchmarks for Quantum Computing,Thomas Lubinski; Sonika Johri; Paul Varosy; Jeremiah Coleman; Luning Zhao; Jason Necaise; Charles H. Baldwin; Karl Mayer; Timothy Proctor,2021,https://arxiv.org/pdf/2110.03137,literature/papers.csv,candidate,Verify against canonical slide references
bench-2023-lubinski-optimization,quantum_routing,Optimization Applications as Quantum Performance Benchmarks,Thomas Lubinski; Carleton Coffrin; Catherine McGeoch; Pratik Sathe; Joshua Apanavicius; David E. Bernal Neira,2023,https://arxiv.org/pdf/2302.02278,literature/papers.csv,candidate,Verify against canonical slide references
logistics-2024-phillipson,quantum_routing,Quantum Computing in Logistics and Supply Chain Management an Overview,Frank Phillipson,2024,https://arxiv.org/pdf/2402.17520,literature/papers.csv,candidate,Verify against canonical slide references
cvrp-2025-onah-utility,quantum_routing,Requirements for Early Quantum Utility and Quantum Utility in the Capacitated Vehicle Routing Problem,Chinonso Onah; Kristel Michielsen,2025,https://arxiv.org/pdf/2509.11469,literature/papers.csv,candidate,Verify against canonical slide references
encoding-2022-glos,quantum_routing,Space-efficient binary optimization for variational quantum computing,Adam Glos; Aleksandra Krawiec; Zoltan Zimboras,2022,https://www.nature.com/articles/s41534-022-00546-y,literature/papers.csv,candidate,Verify against canonical slide references
nisq-2018-preskill,benchmarking_methodology,Quantum Computing in the NISQ era and beyond,John Preskill,2018,https://quantum-journal.org/papers/q-2018-08-06-79/,literature/papers.csv,candidate,Verify against canonical slide references
vqa-2021-cerezo,quantum_routing,Variational quantum algorithms,M. Cerezo; Andrew Arrasmith; Ryan Babbush; Simon C. Benjamin; Suguru Endo; Keisuke Fujii; Jarrod R. McClean; Kosuke Mitarai; Xiao Yuan; Lukasz Cincio; Patrick J. Coles,2021,https://arxiv.org/abs/2012.09265,literature/papers.csv,candidate,Verify against canonical slide references
resource-2022-beverland-practical-advantage,quantum_routing,Assessing requirements to scale to practical quantum advantage,Michael E. Beverland; Prakash Murali; Matthias Troyer; Krysta M. Svore; Torsten Hoefler; Vadym Kliuchnikov; Guang Hao Low; Mathias Soeken; Aarthi Sundaram; Alexander Vaschillo,2022,https://arxiv.org/pdf/2211.07629,literature/papers.csv,candidate,Verify against canonical slide references
utility-2023-herrmann,quantum_utility,Quantum utility - definition and assessment of a practical quantum advantage,Nils Herrmann; Daanish Arya; Marcus W. Doherty; Angus Mingare; Jason C. Pillay; Florian Preis; Stefan Prestel,2023,https://arxiv.org/pdf/2303.02138,literature/papers.csv,candidate,Verify against canonical slide references
