source_id,dataset_name,provider,source_url,downloaded_at,observation_start,observation_end,geographic_scope,license_or_terms,original_filename,local_raw_path,sha256,processing_script,processed_outputs,status,limitations
jartic_1h_road3_tokyo_202607042200,JARTIC常設トラカン1時間交通量,JARTIC / MLIT xROAD,https://www.jartic-open-traffic.org/,2026-07-17,2026-07-04T22:00:00+09:00,2026-07-04T22:59:59+09:00,tokyo bbox 139.1 35.45 140 35.95,JARTIC traffic-volume API terms,jartic_1h_road3_tokyo_202607042200.geojson,03_data/raw/traffic_simulation/jartic/jartic_1h_road3_tokyo_202607042200.geojson,877a45cdfc8d212b813c3a05c67aad252778e09197ea73c34e6fabe694e03631,05_src/traffic_simulation/calibration/fetch_jartic.py;05_src/traffic_simulation/calibration/prepare_jartic.py,03_data/processed/traffic_simulation/calibration/jartic_1h_road3_tokyo_202607042200_observations.parquet;03_data/processed/traffic_simulation/calibration/jartic_1h_road3_tokyo_202607042200_quality_summary.json,processed,Road type 3 only; one 1h snapshot; sensor anomaly and missing-data flags require validation
mlit_n03_2026_tokyo,国土数値情報N03行政区域データ2026年東京都版,国土交通省,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-N03-2026.html,2026-07-17,2026-01-01,2026-01-01,東京都,CC BY 4.0,N03-20260101_13_GML.zip,03_data/raw/traffic_simulation/boundaries/N03-20260101_13_GML.zip,94f10b26256566db970dd74b09d614f059c1e8a432f9244ac9c4add76c32ff16,05_src/traffic_simulation/network/study_areas.py,03_data/processed/traffic_simulation/road_network/boundaries/ota_ward_n03_2026.parquet;03_data/processed/traffic_simulation/validation/ota_ward_n03_2026_quality_summary.json,processed,2026年1月1日時点の行政区域;大田区はN03_007=13111かつ東京都・大田区の名称条件で抽出する;大田区は最小統合試験地域であり東京全域の代表性を仮定しない;二次利用時は国土地理院の承認要否を確認する
osm_geofabrik_kanto_20260716,Geofabrik OpenStreetMap Kantō regional extract,Geofabrik GmbH / OpenStreetMap contributors,https://download.geofabrik.de/asia/japan/kanto-260716.osm.pbf,2026-07-17,2026-07-16T20:21:30Z,2026-07-16T20:21:30Z,Kantō source; ota_ward bbox 139.652974773 35.528198081 139.826027782 35.613210171,Open Database License (ODbL) 1.0,kanto-260716.osm.pbf,03_data/raw/traffic_simulation/osm/kanto-260716.osm.pbf,aef890f28b652ed7bd2b0d77e86f263219b479fe3eedbdd8610dcfc1572c420d,05_src/traffic_simulation/network/fetch_osm.py,03_data/processed/traffic_simulation/road_network/osm_extracts/osm_ota_ward_20260716.osm.pbf;03_data/processed/traffic_simulation/validation/osm_ota_ward_20260716_quality_summary.json,processed,OpenStreetMap completeness and tag accuracy vary; the local network is limited to the N03-derived acquisition BBOX; routes outside the BBOX are not represented; signal timing plans are not included
estat_census_2020_500m_jgd2011_mesh5339,令和2年国勢調査500mメッシュ人口及び世帯JGD2011第1次地域区画5339,総務省統計局 / e-Stat,https://www.e-stat.go.jp/gis/statmap-search/data?statsId=T001141&code=5339&downloadType=2,2026-07-18,2020-10-01,2020-10-01,第1次地域区画5339,e-Stat利用規約,tblT001141H5339.zip,03_data/raw/traffic_simulation/population/estat_2020_500m_jgd2011/tblT001141H5339.zip,8a8b47563ffe88ec1afb5a17b8d29ac987b40df65498bec4c2fcf1829777f67d,05_src/traffic_simulation/demand/prepare_baseline_demand.py,03_data/processed/traffic_simulation/demand/ota_ward_baseline_demand_2024_500m.parquet;03_data/processed/traffic_simulation/validation/ota_ward_baseline_demand_2024_500m_quality_summary.json,processed,2020年人口分布を2024年大田区人口総数へ比例調整する推定に使用;ZIP内の正式CSV名だけを明示抽出する
estat_t001141_definition,e-Stat表T001141データ定義書,総務省統計局 / e-Stat,https://www.e-stat.go.jp/help/data-definition-information/downloaddata/T001141.pdf,2026-07-18,2020-10-01,2020-10-01,全国共通表定義,e-Stat利用規約,T001141.pdf,03_data/raw/traffic_simulation/population/estat_2020_500m_jgd2011/T001141_definition.pdf,f9f0ee00aa0dc820a7e8345809b21d5f7044eeb009d3a5e97694f098166db80e,05_src/traffic_simulation/demand/prepare_baseline_demand.py,not_applicable,validated,列T001141001を人口総数として解釈するための定義書
ota_population_20240401,大田区の面積・人口・世帯数令和6年度,大田区 / 東京都オープンデータ,https://www.opendata.metro.tokyo.lg.jp/ota/R6/131113_R6_01_ootakunomenseki_jinkou_setaisuu.xlsx,2026-07-18,2024-04-01,2024-04-01,大田区,CC BY 4.0,131113_R6_01_ootakunomenseki_jinkou_setaisuu.xlsx,03_data/raw/traffic_simulation/population/ota_2024/131113_R6_01_ootakunomenseki_jinkou_setaisuu.xlsx,63b37310b4bf5dd6b17d4c3436983e4ac45b84fdaca395a51a4efccec496f83e,05_src/traffic_simulation/demand/prepare_baseline_demand.py,03_data/processed/traffic_simulation/demand/ota_ward_baseline_demand_2024_500m.parquet,processed,2024年4月1日の住民基本台帳人口736652をメッシュ推定人口の合計制約に使用
statistics_bureau_population_20241001,人口推計2024年10月1日現在第1表,総務省統計局,https://www.stat.go.jp/data/jinsui/2024np/zuhyou/05k2024-1.xlsx,2026-07-18,2024-10-01,2024-10-01,日本,総務省統計局サイトポリシー,05k2024-1.xlsx,03_data/raw/traffic_simulation/population/japan_2024/05k2024-1.xlsx,0fb515bfb5bec519f306cbe22a81f170d65826ad472a173df2a485ffbe86b96e,05_src/traffic_simulation/demand/prepare_baseline_demand.py,03_data/processed/traffic_simulation/demand/ota_ward_baseline_demand_2024_500m.parquet,processed,公表単位は千人;総人口123802千人を全国人口換算の分母に使用
mlit_parcel_2024,令和6年度宅配便等取扱個数,国土交通省,https://www.mlit.go.jp/report/press/content/001906814.pdf,2026-07-18,2024-04-01,2025-03-31,日本,国土交通省ウェブサイト利用規約,001906814.pdf,03_data/raw/traffic_simulation/demand_proxy/mlit_parcel_2024/mlit_parcel_2024_details.pdf,854d8fbffdb745a3fbcbbb79329d79193dd2d2495fe1b717fdd56ea1ef7ebd74,05_src/traffic_simulation/demand/prepare_baseline_demand.py,03_data/processed/traffic_simulation/demand/ota_ward_baseline_demand_2024_500m.parquet,processed,全国集計で地域別集計なし;C2C B2C B2B等を含み個人宅需要や配送停止回数ではない;メール便は対象外
mlit_r3_road_census_tokyo_locations,令和3年度全国道路・街路交通情勢調査東京都箇所別基本表,国土交通省,https://www.mlit.go.jp/road/census/r3/data/csv/kasyo13.csv,2026-08-23,2021-09-08,2021-11-30,東京都,国土交通省ウェブサイト利用規約,kasyo13.csv,03_data/raw/traffic_simulation/road_census/mlit_r3_tokyo_20260823/kasyo13.csv,37c41661cf92ee0f9964138694f43c5764f237dc061262f6457bbb6dd3e30c85,05_src/traffic_simulation/calibration/prepare_ota_official_traffic_calibration.py,reproducibility/outputs/traffic_simulation/calibration/20260823_ota_official_traffic_observation_mapping_v5/mlit_r3_ota_observation_mapping.csv,processed,大田区コード13111で抽出;観測年月20211000は日不詳;非観測値は較正対象外
mlit_r3_road_census_tokyo_hourly,令和3年度全国道路・街路交通情勢調査東京都時間帯別交通量,国土交通省,https://www.mlit.go.jp/road/census/r3/data/csv/zkntrf13.csv,2026-08-23,2021-09-08,2021-11-30,東京都,国土交通省ウェブサイト利用規約,zkntrf13.csv,03_data/raw/traffic_simulation/road_census/mlit_r3_tokyo_20260823/zkntrf13.csv,e3ea70d997c307a190ee790ca7b5f2b52346c7917c40e3a3a5b663cfad5db5e3,05_src/traffic_simulation/calibration/prepare_ota_official_traffic_calibration.py,reproducibility/outputs/traffic_simulation/calibration/20260823_ota_official_traffic_observation_mapping_v5/mlit_r3_ota_hourly_observations.csv,processed,箇所別基本表の観測地点区間へ接続;公式に実測かつ道路対応が一意な行だけ較正用
