scenario_id,scenario_route_proxy_id,seed,customer_count,vehicle_count,charger_condition,charger_candidate_count,nearest_candidate_charger_id,nearest_charger_haversine_distance_km,nearest_charger_distance_km,maximum_charger_access_distance_km,charger_geographically_accessible,charger_public_access_known,charger_power_known,charger_connector_compatibility_known,charger_operating_status_known,charger_arrival_soc_feasible,charging_assisted_range_evaluated,charging_assisted_range_feasible,charging_duration_evaluated,charging_duration_feasible
C025_V01_CHG_balanced_SPEED25_T480,C025_V01_CHG_balanced_SPEED25_T480__S001_R01,1,25,1,balanced,106,17723_17964,0.4234325758643679,0.5292907198304598,5.0,True,False,True,True,False,Not evaluated,True,False,True,True
C025_V01_CHG_broad_SPEED25_T480,C025_V01_CHG_broad_SPEED25_T480__S001_R01,1,25,1,broad,106,17723_17964,0.4234325758643679,0.5292907198304598,10.0,True,False,True,True,False,Not evaluated,True,False,True,True
C025_V01_CHG_conservative_SPEED25_T480,C025_V01_CHG_conservative_SPEED25_T480__S001_R01,1,25,1,conservative,12,62645_79567,1.2611035006411655,1.5763793758014568,3.0,True,False,True,True,True,Not evaluated,True,False,True,True
C025_V03_CHG_balanced_SPEED25_T480,C025_V03_CHG_balanced_SPEED25_T480__S001_R01,1,25,3,balanced,106,17723_17964,0.4234325758643679,0.5292907198304598,5.0,True,False,True,True,False,Not evaluated,False,,False,
C025_V03_CHG_broad_SPEED25_T480,C025_V03_CHG_broad_SPEED25_T480__S001_R01,1,25,3,broad,106,17723_17964,0.4234325758643679,0.5292907198304598,10.0,True,False,True,True,False,Not evaluated,False,,False,
C025_V03_CHG_conservative_SPEED25_T480,C025_V03_CHG_conservative_SPEED25_T480__S001_R01,1,25,3,conservative,12,62644_79566,3.060050303856304,3.82506287982038,3.0,False,False,True,True,True,Not evaluated,False,,False,
C025_V03_CHG_balanced_SPEED25_T480,C025_V03_CHG_balanced_SPEED25_T480__S001_R02,1,25,3,balanced,106,17079_17320,0.5995883285732053,0.7494854107165067,5.0,True,False,True,True,False,Not evaluated,True,True,True,True
C025_V03_CHG_broad_SPEED25_T480,C025_V03_CHG_broad_SPEED25_T480__S001_R02,1,25,3,broad,106,17079_17320,0.5995883285732053,0.7494854107165067,10.0,True,False,True,True,False,Not evaluated,True,True,True,True
C025_V03_CHG_conservative_SPEED25_T480,C025_V03_CHG_conservative_SPEED25_T480__S001_R02,1,25,3,conservative,12,62649_79571,3.406933511253622,4.258666889067028,3.0,False,False,True,True,True,Not evaluated,True,False,False,
C025_V03_CHG_balanced_SPEED25_T480,C025_V03_CHG_balanced_SPEED25_T480__S001_R03,1,25,3,balanced,106,17737_17978,0.6656715099679733,0.8320893874599666,5.0,True,False,True,True,False,Not evaluated,False,,False,
C025_V03_CHG_broad_SPEED25_T480,C025_V03_CHG_broad_SPEED25_T480__S001_R03,1,25,3,broad,106,17737_17978,0.6656715099679733,0.8320893874599666,10.0,True,False,True,True,False,Not evaluated,False,,False,
C025_V03_CHG_conservative_SPEED25_T480,C025_V03_CHG_conservative_SPEED25_T480__S001_R03,1,25,3,conservative,12,62645_79567,1.2611035006411655,1.5763793758014568,3.0,True,False,True,True,True,Not evaluated,False,,False,
C025_V05_CHG_balanced_SPEED25_T480,C025_V05_CHG_balanced_SPEED25_T480__S001_R01,1,25,5,balanced,106,62645_79567,1.2611035006411655,1.5763793758014568,5.0,True,False,True,True,True,Not evaluated,False,,False,
C025_V05_CHG_broad_SPEED25_T480,C025_V05_CHG_broad_SPEED25_T480__S001_R01,1,25,5,broad,106,62645_79567,1.2611035006411655,1.5763793758014568,10.0,True,False,True,True,True,Not evaluated,False,,False,
C025_V05_CHG_conservative_SPEED25_T480,C025_V05_CHG_conservative_SPEED25_T480__S001_R01,1,25,5,conservative,12,62645_79567,1.2611035006411655,1.5763793758014568,3.0,True,False,True,True,True,Not evaluated,False,,False,
C025_V05_CHG_balanced_SPEED25_T480,C025_V05_CHG_balanced_SPEED25_T480__S001_R02,1,25,5,balanced,106,17698_17939,0.7119307969610744,0.8899134962013431,5.0,True,False,True,True,False,Not evaluated,False,,False,
C025_V05_CHG_broad_SPEED25_T480,C025_V05_CHG_broad_SPEED25_T480__S001_R02,1,25,5,broad,106,17698_17939,0.7119307969610744,0.8899134962013431,10.0,True,False,True,True,False,Not evaluated,False,,False,
C025_V05_CHG_conservative_SPEED25_T480,C025_V05_CHG_conservative_SPEED25_T480__S001_R02,1,25,5,conservative,12,62649_79571,3.406933511253622,4.258666889067028,3.0,False,False,True,True,True,Not evaluated,False,,False,
C025_V05_CHG_balanced_SPEED25_T480,C025_V05_CHG_balanced_SPEED25_T480__S001_R03,1,25,5,balanced,106,17723_17964,0.4234325758643679,0.5292907198304598,5.0,True,False,True,True,False,Not evaluated,False,,False,
C025_V05_CHG_broad_SPEED25_T480,C025_V05_CHG_broad_SPEED25_T480__S001_R03,1,25,5,broad,106,17723_17964,0.4234325758643679,0.5292907198304598,10.0,True,False,True,True,False,Not evaluated,False,,False,
C025_V05_CHG_conservative_SPEED25_T480,C025_V05_CHG_conservative_SPEED25_T480__S001_R03,1,25,5,conservative,12,62644_79566,3.060050303856304,3.82506287982038,3.0,False,False,True,True,True,Not evaluated,False,,False,
C025_V05_CHG_balanced_SPEED25_T480,C025_V05_CHG_balanced_SPEED25_T480__S001_R04,1,25,5,balanced,106,17737_17978,0.6656715099679733,0.8320893874599666,5.0,True,False,True,True,False,Not evaluated,False,,False,
C025_V05_CHG_broad_SPEED25_T480,C025_V05_CHG_broad_SPEED25_T480__S001_R04,1,25,5,broad,106,17737_17978,0.6656715099679733,0.8320893874599666,10.0,True,False,True,True,False,Not evaluated,False,,False,
C025_V05_CHG_conservative_SPEED25_T480,C025_V05_CHG_conservative_SPEED25_T480__S001_R04,1,25,5,conservative,12,62643_79565,3.7240529675547154,4.655066209443394,3.0,False,False,True,True,True,Not evaluated,False,,False,
C025_V05_CHG_balanced_SPEED25_T480,C025_V05_CHG_balanced_SPEED25_T480__S001_R05,1,25,5,balanced,106,17079_17320,0.5995883285732053,0.7494854107165067,5.0,True,False,True,True,False,Not evaluated,False,,False,
C025_V05_CHG_broad_SPEED25_T480,C025_V05_CHG_broad_SPEED25_T480__S001_R05,1,25,5,broad,106,17079_17320,0.5995883285732053,0.7494854107165067,10.0,True,False,True,True,False,Not evaluated,False,,False,
C025_V05_CHG_conservative_SPEED25_T480,C025_V05_CHG_conservative_SPEED25_T480__S001_R05,1,25,5,conservative,12,62649_79571,4.246580200767127,5.308225250958909,3.0,False,False,True,True,True,Not evaluated,False,,False,
C025_V01_CHG_balanced_SPEED25_T480,C025_V01_CHG_balanced_SPEED25_T480__S002_R01,2,25,1,balanced,106,17110_17351,0.06230900942513578,0.07788626178141972,5.0,True,False,True,True,False,Not evaluated,True,False,True,False
C025_V01_CHG_broad_SPEED25_T480,C025_V01_CHG_broad_SPEED25_T480__S002_R01,2,25,1,broad,106,17110_17351,0.06230900942513578,0.07788626178141972,10.0,True,False,True,True,False,Not evaluated,True,False,True,True
C025_V01_CHG_conservative_SPEED25_T480,C025_V01_CHG_conservative_SPEED25_T480__S002_R01,2,25,1,conservative,12,62646_79568,1.0715367255136687,1.339420906892086,3.0,True,False,True,True,True,Not evaluated,True,False,True,False
C025_V03_CHG_balanced_SPEED25_T480,C025_V03_CHG_balanced_SPEED25_T480__S002_R01,2,25,3,balanced,106,17090_17331,1.2236060051273565,1.5295075064091956,5.0,True,False,True,True,False,Not evaluated,True,True,True,True
C025_V03_CHG_broad_SPEED25_T480,C025_V03_CHG_broad_SPEED25_T480__S002_R01,2,25,3,broad,106,17090_17331,1.2236060051273565,1.5295075064091956,10.0,True,False,True,True,False,Not evaluated,True,True,True,True
C025_V03_CHG_conservative_SPEED25_T480,C025_V03_CHG_conservative_SPEED25_T480__S002_R01,2,25,3,conservative,12,62641_79563,2.299443233662089,2.874304042077611,3.0,True,False,True,True,True,Not evaluated,True,True,True,True
C025_V03_CHG_balanced_SPEED25_T480,C025_V03_CHG_balanced_SPEED25_T480__S002_R02,2,25,3,balanced,106,17110_17351,0.06230900942513578,0.07788626178141972,5.0,True,False,True,True,False,Not evaluated,True,True,True,True
C025_V03_CHG_broad_SPEED25_T480,C025_V03_CHG_broad_SPEED25_T480__S002_R02,2,25,3,broad,106,17110_17351,0.06230900942513578,0.07788626178141972,10.0,True,False,True,True,False,Not evaluated,True,True,True,True
C025_V03_CHG_conservative_SPEED25_T480,C025_V03_CHG_conservative_SPEED25_T480__S002_R02,2,25,3,conservative,12,62646_79568,1.0715367255136687,1.339420906892086,3.0,True,False,True,True,True,Not evaluated,True,True,True,True
C025_V03_CHG_balanced_SPEED25_T480,C025_V03_CHG_balanced_SPEED25_T480__S002_R03,2,25,3,balanced,106,17112_17353,0.22697643330836387,0.28372054163545485,5.0,True,False,True,True,False,Not evaluated,True,True,True,True
C025_V03_CHG_broad_SPEED25_T480,C025_V03_CHG_broad_SPEED25_T480__S002_R03,2,25,3,broad,106,17112_17353,0.22697643330836387,0.28372054163545485,10.0,True,False,True,True,False,Not evaluated,True,True,True,True
C025_V03_CHG_conservative_SPEED25_T480,C025_V03_CHG_conservative_SPEED25_T480__S002_R03,2,25,3,conservative,12,62650_79572,4.51163686661662,5.6395460832707744,3.0,False,False,True,True,True,Not evaluated,True,False,False,
C025_V05_CHG_balanced_SPEED25_T480,C025_V05_CHG_balanced_SPEED25_T480__S002_R01,2,25,5,balanced,106,17110_17351,0.06230900942513578,0.07788626178141972,5.0,True,False,True,True,False,Not evaluated,False,,False,
C025_V05_CHG_broad_SPEED25_T480,C025_V05_CHG_broad_SPEED25_T480__S002_R01,2,25,5,broad,106,17110_17351,0.06230900942513578,0.07788626178141972,10.0,True,False,True,True,False,Not evaluated,False,,False,
C025_V05_CHG_conservative_SPEED25_T480,C025_V05_CHG_conservative_SPEED25_T480__S002_R01,2,25,5,conservative,12,62646_79568,1.0715367255136687,1.339420906892086,3.0,True,False,True,True,True,Not evaluated,False,,False,
C025_V05_CHG_balanced_SPEED25_T480,C025_V05_CHG_balanced_SPEED25_T480__S002_R02,2,25,5,balanced,106,17090_17331,1.2236060051273565,1.5295075064091956,5.0,True,False,True,True,False,Not evaluated,True,True,True,True
C025_V05_CHG_broad_SPEED25_T480,C025_V05_CHG_broad_SPEED25_T480__S002_R02,2,25,5,broad,106,17090_17331,1.2236060051273565,1.5295075064091956,10.0,True,False,True,True,False,Not evaluated,True,True,True,True
C025_V05_CHG_conservative_SPEED25_T480,C025_V05_CHG_conservative_SPEED25_T480__S002_R02,2,25,5,conservative,12,62641_79563,2.299443233662089,2.874304042077611,3.0,True,False,True,True,True,Not evaluated,True,True,True,True
C025_V05_CHG_balanced_SPEED25_T480,C025_V05_CHG_balanced_SPEED25_T480__S002_R03,2,25,5,balanced,106,17719_17960,0.47436512034980205,0.5929564004372525,5.0,True,False,True,True,False,Not evaluated,False,,False,
C025_V05_CHG_broad_SPEED25_T480,C025_V05_CHG_broad_SPEED25_T480__S002_R03,2,25,5,broad,106,17719_17960,0.47436512034980205,0.5929564004372525,10.0,True,False,True,True,False,Not evaluated,False,,False,
C025_V05_CHG_conservative_SPEED25_T480,C025_V05_CHG_conservative_SPEED25_T480__S002_R03,2,25,5,conservative,12,62644_79566,2.074426407251416,2.59303300906427,3.0,True,False,True,True,True,Not evaluated,False,,False,
C025_V05_CHG_balanced_SPEED25_T480,C025_V05_CHG_balanced_SPEED25_T480__S002_R04,2,25,5,balanced,106,17121_17362,1.7831430501032353,2.228928812629044,5.0,True,False,True,True,False,Not evaluated,False,,False,
C025_V05_CHG_broad_SPEED25_T480,C025_V05_CHG_broad_SPEED25_T480__S002_R04,2,25,5,broad,106,17121_17362,1.7831430501032353,2.228928812629044,10.0,True,False,True,True,False,Not evaluated,False,,False,
C025_V05_CHG_conservative_SPEED25_T480,C025_V05_CHG_conservative_SPEED25_T480__S002_R04,2,25,5,conservative,12,62641_79563,6.893858753108806,8.617323441386008,3.0,False,False,True,True,True,Not evaluated,False,,False,
C025_V05_CHG_balanced_SPEED25_T480,C025_V05_CHG_balanced_SPEED25_T480__S002_R05,2,25,5,balanced,106,17112_17353,0.22697643330836387,0.28372054163545485,5.0,True,False,True,True,False,Not evaluated,False,,False,
C025_V05_CHG_broad_SPEED25_T480,C025_V05_CHG_broad_SPEED25_T480__S002_R05,2,25,5,broad,106,17112_17353,0.22697643330836387,0.28372054163545485,10.0,True,False,True,True,False,Not evaluated,False,,False,
C025_V05_CHG_conservative_SPEED25_T480,C025_V05_CHG_conservative_SPEED25_T480__S002_R05,2,25,5,conservative,12,62650_79572,4.51163686661662,5.6395460832707744,3.0,False,False,True,True,True,Not evaluated,False,,False,
C025_V01_CHG_balanced_SPEED25_T480,C025_V01_CHG_balanced_SPEED25_T480__S003_R01,3,25,1,balanced,106,17737_17978,0.43210825203753656,0.5401353150469207,5.0,True,False,True,True,False,Not evaluated,True,False,True,False
C025_V01_CHG_broad_SPEED25_T480,C025_V01_CHG_broad_SPEED25_T480__S003_R01,3,25,1,broad,106,17737_17978,0.43210825203753656,0.5401353150469207,10.0,True,False,True,True,False,Not evaluated,True,False,True,True
C025_V01_CHG_conservative_SPEED25_T480,C025_V01_CHG_conservative_SPEED25_T480__S003_R01,3,25,1,conservative,12,62650_79572,1.3874874121356622,1.7343592651695778,3.0,True,False,True,True,True,Not evaluated,True,False,True,False
C025_V03_CHG_balanced_SPEED25_T480,C025_V03_CHG_balanced_SPEED25_T480__S003_R01,3,25,3,balanced,106,17089_17330,0.5243875817589404,0.6554844771986755,5.0,True,False,True,True,False,Not evaluated,True,True,True,True
C025_V03_CHG_broad_SPEED25_T480,C025_V03_CHG_broad_SPEED25_T480__S003_R01,3,25,3,broad,106,17089_17330,0.5243875817589404,0.6554844771986755,10.0,True,False,True,True,False,Not evaluated,True,True,True,True
C025_V03_CHG_conservative_SPEED25_T480,C025_V03_CHG_conservative_SPEED25_T480__S003_R01,3,25,3,conservative,12,62649_79571,6.354736236765375,7.943420295956719,3.0,False,False,True,True,True,Not evaluated,True,False,False,
C025_V03_CHG_balanced_SPEED25_T480,C025_V03_CHG_balanced_SPEED25_T480__S003_R02,3,25,3,balanced,106,17737_17978,0.43210825203753656,0.5401353150469207,5.0,True,False,True,True,False,Not evaluated,True,True,True,True
C025_V03_CHG_broad_SPEED25_T480,C025_V03_CHG_broad_SPEED25_T480__S003_R02,3,25,3,broad,106,17737_17978,0.43210825203753656,0.5401353150469207,10.0,True,False,True,True,False,Not evaluated,True,True,True,True
C025_V03_CHG_conservative_SPEED25_T480,C025_V03_CHG_conservative_SPEED25_T480__S003_R02,3,25,3,conservative,12,62650_79572,1.3874874121356622,1.7343592651695778,3.0,True,False,True,True,True,Not evaluated,True,True,True,True
C025_V03_CHG_balanced_SPEED25_T480,C025_V03_CHG_balanced_SPEED25_T480__S003_R03,3,25,3,balanced,106,17087_17328,0.7461389241348325,0.9326736551685406,5.0,True,False,True,True,False,Not evaluated,False,,False,
C025_V03_CHG_broad_SPEED25_T480,C025_V03_CHG_broad_SPEED25_T480__S003_R03,3,25,3,broad,106,17087_17328,0.7461389241348325,0.9326736551685406,10.0,True,False,True,True,False,Not evaluated,False,,False,
C025_V03_CHG_conservative_SPEED25_T480,C025_V03_CHG_conservative_SPEED25_T480__S003_R03,3,25,3,conservative,12,62641_79563,4.9401333978779745,6.175166747347468,3.0,False,False,True,True,True,Not evaluated,False,,False,
C025_V05_CHG_balanced_SPEED25_T480,C025_V05_CHG_balanced_SPEED25_T480__S003_R01,3,25,5,balanced,106,17121_17362,0.7896983260445309,0.9871229075556637,5.0,True,False,True,True,False,Not evaluated,False,,False,
C025_V05_CHG_broad_SPEED25_T480,C025_V05_CHG_broad_SPEED25_T480__S003_R01,3,25,5,broad,106,17121_17362,0.7896983260445309,0.9871229075556637,10.0,True,False,True,True,False,Not evaluated,False,,False,
C025_V05_CHG_conservative_SPEED25_T480,C025_V05_CHG_conservative_SPEED25_T480__S003_R01,3,25,5,conservative,12,62644_79566,2.3773885210293813,2.9717356512867266,3.0,True,False,True,True,True,Not evaluated,False,,False,
C025_V05_CHG_balanced_SPEED25_T480,C025_V05_CHG_balanced_SPEED25_T480__S003_R02,3,25,5,balanced,106,17087_17328,0.7461389241348325,0.9326736551685406,5.0,True,False,True,True,False,Not evaluated,False,,False,
C025_V05_CHG_broad_SPEED25_T480,C025_V05_CHG_broad_SPEED25_T480__S003_R02,3,25,5,broad,106,17087_17328,0.7461389241348325,0.9326736551685406,10.0,True,False,True,True,False,Not evaluated,False,,False,
C025_V05_CHG_conservative_SPEED25_T480,C025_V05_CHG_conservative_SPEED25_T480__S003_R02,3,25,5,conservative,12,62641_79563,4.9401333978779745,6.175166747347468,3.0,False,False,True,True,True,Not evaluated,False,,False,
C025_V05_CHG_balanced_SPEED25_T480,C025_V05_CHG_balanced_SPEED25_T480__S003_R03,3,25,5,balanced,106,17737_17978,0.43210825203753656,0.5401353150469207,5.0,True,False,True,True,False,Not evaluated,False,,False,
C025_V05_CHG_broad_SPEED25_T480,C025_V05_CHG_broad_SPEED25_T480__S003_R03,3,25,5,broad,106,17737_17978,0.43210825203753656,0.5401353150469207,10.0,True,False,True,True,False,Not evaluated,False,,False,
C025_V05_CHG_conservative_SPEED25_T480,C025_V05_CHG_conservative_SPEED25_T480__S003_R03,3,25,5,conservative,12,62645_79567,2.75501101662585,3.4437637707823128,3.0,False,False,True,True,True,Not evaluated,False,,False,
C025_V05_CHG_balanced_SPEED25_T480,C025_V05_CHG_balanced_SPEED25_T480__S003_R04,3,25,5,balanced,106,17089_17330,0.5243875817589404,0.6554844771986755,5.0,True,False,True,True,False,Not evaluated,True,True,True,True
C025_V05_CHG_broad_SPEED25_T480,C025_V05_CHG_broad_SPEED25_T480__S003_R04,3,25,5,broad,106,17089_17330,0.5243875817589404,0.6554844771986755,10.0,True,False,True,True,False,Not evaluated,True,True,True,True
C025_V05_CHG_conservative_SPEED25_T480,C025_V05_CHG_conservative_SPEED25_T480__S003_R04,3,25,5,conservative,12,62649_79571,6.354736236765375,7.943420295956719,3.0,False,False,True,True,True,Not evaluated,True,False,False,
C025_V05_CHG_balanced_SPEED25_T480,C025_V05_CHG_balanced_SPEED25_T480__S003_R05,3,25,5,balanced,106,17121_17362,0.7896983260445309,0.9871229075556637,5.0,True,False,True,True,False,Not evaluated,False,,False,
C025_V05_CHG_broad_SPEED25_T480,C025_V05_CHG_broad_SPEED25_T480__S003_R05,3,25,5,broad,106,17121_17362,0.7896983260445309,0.9871229075556637,10.0,True,False,True,True,False,Not evaluated,False,,False,
C025_V05_CHG_conservative_SPEED25_T480,C025_V05_CHG_conservative_SPEED25_T480__S003_R05,3,25,5,conservative,12,62650_79572,1.3874874121356622,1.7343592651695778,3.0,True,False,True,True,True,Not evaluated,False,,False,
C025_V01_CHG_balanced_SPEED25_T480,C025_V01_CHG_balanced_SPEED25_T480__S004_R01,4,25,1,balanced,106,17738_17979,0.17541399427082452,0.21926749283853064,5.0,True,False,True,True,False,Not evaluated,True,False,True,True
C025_V01_CHG_broad_SPEED25_T480,C025_V01_CHG_broad_SPEED25_T480__S004_R01,4,25,1,broad,106,17738_17979,0.17541399427082452,0.21926749283853064,10.0,True,False,True,True,False,Not evaluated,True,False,True,True
C025_V01_CHG_conservative_SPEED25_T480,C025_V01_CHG_conservative_SPEED25_T480__S004_R01,4,25,1,conservative,12,62645_79567,0.8339824717836193,1.042478089729524,3.0,True,False,True,True,True,Not evaluated,True,False,True,True
C025_V03_CHG_balanced_SPEED25_T480,C025_V03_CHG_balanced_SPEED25_T480__S004_R01,4,25,3,balanced,106,17702_17943,0.2662227895021534,0.33277848687769174,5.0,True,False,True,True,False,Not evaluated,True,True,True,True
C025_V03_CHG_broad_SPEED25_T480,C025_V03_CHG_broad_SPEED25_T480__S004_R01,4,25,3,broad,106,17702_17943,0.2662227895021534,0.33277848687769174,10.0,True,False,True,True,False,Not evaluated,True,True,True,True
C025_V03_CHG_conservative_SPEED25_T480,C025_V03_CHG_conservative_SPEED25_T480__S004_R01,4,25,3,conservative,12,62644_79566,3.4013145761387196,4.251643220173399,3.0,False,False,True,True,True,Not evaluated,True,False,False,
C025_V03_CHG_balanced_SPEED25_T480,C025_V03_CHG_balanced_SPEED25_T480__S004_R02,4,25,3,balanced,106,17123_17364,0.8042062907784031,1.0052578634730038,5.0,True,False,True,True,False,Not evaluated,True,True,True,True
C025_V03_CHG_broad_SPEED25_T480,C025_V03_CHG_broad_SPEED25_T480__S004_R02,4,25,3,broad,106,17123_17364,0.8042062907784031,1.0052578634730038,10.0,True,False,True,True,False,Not evaluated,True,True,True,True
C025_V03_CHG_conservative_SPEED25_T480,C025_V03_CHG_conservative_SPEED25_T480__S004_R02,4,25,3,conservative,12,62647_79569,4.801591703385913,6.0019896292323915,3.0,False,False,True,True,True,Not evaluated,True,False,False,
C025_V03_CHG_balanced_SPEED25_T480,C025_V03_CHG_balanced_SPEED25_T480__S004_R03,4,25,3,balanced,106,17738_17979,0.17541399427082452,0.21926749283853064,5.0,True,False,True,True,False,Not evaluated,False,,False,
C025_V03_CHG_broad_SPEED25_T480,C025_V03_CHG_broad_SPEED25_T480__S004_R03,4,25,3,broad,106,17738_17979,0.17541399427082452,0.21926749283853064,10.0,True,False,True,True,False,Not evaluated,False,,False,
C025_V03_CHG_conservative_SPEED25_T480,C025_V03_CHG_conservative_SPEED25_T480__S004_R03,4,25,3,conservative,12,62645_79567,0.8339824717836193,1.042478089729524,3.0,True,False,True,True,True,Not evaluated,False,,False,
C025_V05_CHG_balanced_SPEED25_T480,C025_V05_CHG_balanced_SPEED25_T480__S004_R01,4,25,5,balanced,106,17738_17979,0.17541399427082452,0.21926749283853064,5.0,True,False,True,True,False,Not evaluated,False,,False,
C025_V05_CHG_broad_SPEED25_T480,C025_V05_CHG_broad_SPEED25_T480__S004_R01,4,25,5,broad,106,17738_17979,0.17541399427082452,0.21926749283853064,10.0,True,False,True,True,False,Not evaluated,False,,False,
