mesh_code,total_population,total_households,htksyori,htksaki
365337581,9,1,0,
374112352,359,30,0,
394271534,1,1,2,394271624
394271624,317,176,1,
394271631,1,1,2,394271624
394271721,1,1,2,394271722
394271722,127,90,1,
404241761,28,13,1,
404241762,4,3,2,404241761
404241763,67,38,1,
404241764,2,1,2,404241763
404241861,49,33,0,
404241863,83,37,1,
404241864,4,2,2,404241863
404241962,1,1,2,404241863
404241964,1,1,2,404241863
404251151,296,183,0,
404251152,71,50,0,
404251153,67,38,0,
404251154,233,120,0,
404251161,3,2,2,404251163
404251163,417,240,1,
404251164,8,8,2,404251163
404251251,10,3,2,404251252
404251252,639,318,1,
404251261,131,78,0,
483956504,83,57,0,
483956513,35,22,1,
483956602,45,33,0,
483956611,6,6,2,483956513
493946734,41,21,0,
493946742,29,15,0,
493946743,8,5,2,493946744
493946744,173,78,1,
493946751,39,19,0,
493946753,106,65,0,
493946824,4,2,2,493946833
493946831,3,3,2,493946833
493946832,170,96,0,
493946833,68,41,1,
493946834,99,60,0,
493946841,32,15,0,
493946842,140,71,0,
493946843,17,8,0,
493946851,75,47,1,
493946852,4,4,2,493946851
493946853,32,14,0,
493946922,6,2,2,493946931
493946931,10,6,1,
493946971,28,21,1,
493946972,6,4,2,493946971
493946973,1,1,2,493946974
493946974,41,24,1,
493946981,12,11,0,
493946983,29,20,0,
493955494,6,3,2,493955693
493955592,1,1,2,493955693
493955593,4,2,2,493955693
493955594,1,1,2,493955693
493955693,6,3,1,
493955791,5,3,2,493955693
493955794,2,1,2,493955693
493955892,4,3,2,493955693
493955894,2,2,2,493955693
493956022,6,3,2,493956122
493956031,3,2,2,493956122
493956072,21,14,1,
493956074,2,2,2,493956072
493956081,124,71,1,
493956083,3,2,2,493956081
493956114,40,19,0,
493956122,6,4,1,
493956123,29,21,0,
493956124,71,36,0,
493956203,1,1,2,493956313
493956204,1,1,2,493956313
493956212,133,71,0,
493956213,35,22,0,
493956214,102,64,0,
493956221,141,73,0,
493956222,113,61,0,
493956223,85,49,0,
493956224,402,188,0,
493956231,37,23,0,
493956233,305,156,0,
493956301,2,1,2,493956303
493956302,1,1,2,493956303
493956303,11,8,1,
493956304,37,21,0,
493956311,60,26,0,
493956312,131,20,0,
493956313,62,39,1,
493956314,79,50,0,
493956321,32,16,0,
493956322,13,9,0,
493956323,30,18,0,
493956331,161,79,0,
493956332,77,50,0,
493956333,194,111,0,
493956334,219,127,0,
493956341,4,3,2,493956343
493956343,160,77,1,
493956401,67,21,1,
493956402,9,6,0,
493956403,4,3,2,493956401
493956411,21,13,1,
493956412,6,6,2,493956411
493956422,25,21,0,
493956431,101,53,0,
493956432,108,62,0,
493956433,222,128,0,
493956434,465,234,0,
493956441,513,285,0,
493956442,60,36,0,
493956443,395,203,0,
493956444,227,120,0,
493956453,47,22,0,
493956531,38,15,0,
493956532,89,40,1,
493956534,3,2,2,493956532
493956541,190,104,0,
493956542,199,105,1,
493956543,28,19,0,
493956544,27,24,0,
493956551,11,3,2,493956542
493956632,3,3,2,493956633
493956633,10,8,1,
493956634,6,3,2,493956633
493956731,2,2,2,493956633
493956803,4,2,2,493956804
493956804,25,13,1,
503964771,213,108,0,
503964773,90,61,0,
503964774,20,18,0,
513903691,6,3,2,513903693
513903693,19,9,1,
513903781,97,32,0,
513903782,103,69,1,
513903783,5,4,2,513903784
513903784,136,83,1,
513903791,6,4,2,513903782
513903882,72,38,0,
513903883,108,62,0,
513903884,33,20,0,
513903981,58,32,0,
513903982,111,70,0,
513903983,13,7,0,
513903984,12,11,0,
513904621,6,4,2,513904624
513904624,14,10,1,
513904633,107,64,0,
513904731,70,50,0,
513904732,158,100,0,
513904734,26,12,0,
513904741,42,28,0,
513904743,43,30,0,
513904841,6,4,2,513904844
513904842,5,4,2,513904844
513904844,8,6,1,
513904942,12,6,1,
513904944,21,12,0,
513904953,5,4,2,513904942
513913084,5,4,0,
513913193,73,40,0,
513913194,48,23,0,
513913291,16,11,1,
513913292,1,1,2,513913291
513913392,9,5,0,
513913394,34,18,0,
513914042,11,4,2,513914142
513914142,5,4,1,
513914234,6,3,2,513914243
513914243,7,5,1,
513914303,44,29,0,
513914334,3,3,2,513914341
513914341,23,15,1,
513914342,2,1,2,513914341
513914343,13,8,0,
513914401,102,59,0,
513914402,71,42,0,
513914411,99,75,0,
513914412,88,66,0,
513914414,90,48,0,
513914421,46,31,1,
513914422,34,19,0,
513914423,62,36,0,
513914424,4,3,2,513914421
513914431,58,34,1,
513914432,16,11,0,
513914433,1,1,2,513914431
513921301,2,1,2,513921304
513921304,12,3,1,
513921314,9,5,2,513921411
513921402,550,249,0,
513921404,598,250,0,
513921411,73,35,1,
513921412,3,2,2,513921411
513921413,72,32,0,
513921421,1,1,2,513921511
513921502,54,25,1,
513921504,1,1,2,513921502
513921511,411,190,1,
513921512,3,2,2,513921511
513921601,6,3,2,513921602
513921602,54,8,1,
513921604,6,1,2,513921602
513931873,78,41,0,
513931874,70,35,0,
513931962,16,6,1,
513931964,9,3,2,513931962
513931971,72,34,0,
513931972,71,40,0,
513931973,106,53,0,
513931974,30,14,0,
513941062,22,15,0,
513941394,43,6,0,
513942304,1,1,2,513942402
513942401,36,15,0,
513942402,102,61,1,
513942403,453,219,0,
513942404,374,174,0,
513942411,15,5,1,
513942412,1,1,2,513942411
513942413,8,5,2,513942414
513942414,17,8,1,
513942501,322,142,0,
513942502,186,96,0,
513942503,115,52,0,
513942504,15,7,0,
513942512,8,4,2,513942414
513942514,1,1,2,513942414
513942923,67,28,0,
513952021,18,7,0,
513952022,59,29,0,
513952024,126,61,0,
513962312,1,1,2,513962321
513962321,140,71,1,
513962322,69,37,0,
513962323,85,60,0,
513962324,32,24,0,
523902492,7,4,2,523902582
523902494,2,2,2,523902582
523902582,9,7,1,
523902584,5,4,2,523902582
523902593,3,2,2,523902582
523902683,13,8,2,523902781
523902781,53,26,1,
523902782,4,1,2,523902781
523902783,169,97,0,
523902784,22,14,0,
523902882,18,9,0,
523902884,53,23,0,
523902981,1,1,2,523902982
523902982,133,68,1,
523902983,170,112,0,
523902984,318,170,0,
523902991,1,1,2,523902993
523902993,79,46,1,
523903124,19,15,0,
523903133,140,83,0,
523903134,21,11,0,
523903143,20,11,0,
523903144,122,56,0,
523903153,24,13,0,
523903213,12,7,0,
523903214,14,8,0,
523903221,39,23,0,
523903222,118,71,0,
523903223,33,15,0,
523903224,21,11,0,
523903231,149,89,0,
523903232,73,41,0,
523903234,12,8,0,
523903241,88,73,0,
523903242,233,133,0,
523903243,45,27,1,
523903244,86,42,0,
523903251,116,64,0,
523903253,207,128,0,
523903302,18,12,0,
523903304,11,6,0,
523903311,90,51,1,
523903312,14,9,1,
523903313,2,2,2,523903311
523903314,2,2,2,523903312
523903321,6,4,2,523903322
523903322,10,5,1,
523903332,191,29,1,
523903333,2,2,2,523903332
523903341,4,2,2,523903243
523903344,1,1,2,523903243
523903351,30,22,0,
523903352,203,9,0,
523903353,15,5,1,
523903354,16,7,0,
523903803,5,3,2,523903353
523912081,216,130,0,
523912082,398,225,0,
523912083,67,37,0,
523912084,187,82,0,
523912091,30,17,1,
523912092,1,1,2,523912091
523912093,11,3,2,523912091
523912181,260,139,0,
523912182,155,109,0,
523912183,75,43,0,
523912184,78,13,0,
523912191,9,4,0,
523912193,2,1,2,523912194
523912194,12,6,1,
523912281,43,29,0,
523912282,27,11,0,
523912283,32,14,0,
523912284,109,55,0,
523912291,15,8,0,
523912292,18,10,0,
523912293,179,48,0,
523912294,40,22,0,
523912381,63,33,0,
523912382,35,20,0,
523912383,62,31,0,
523912384,18,11,0,
523912391,78,49,0,
523912392,98,60,0,
523912393,118,55,0,
523912394,104,56,0,
523912481,17,10,0,
523912482,29,17,0,
523912484,32,18,0,
523912491,31,12,0,
523912492,69,31,0,
523912493,11,7,0,
523912494,54,26,0,
523912582,24,11,0,
523912591,49,26,0,
523912592,27,13,0,
523913021,13,10,0,
523913144,7,2,2,523913332
523913201,8,6,2,523913203
523913203,79,47,1,
523913214,3,1,2,523913321
523913221,4,2,2,523913222
523913222,7,4,1,
523913223,5,3,2,523913222
523913224,11,7,0,
523913242,1,1,2,523913332
523913301,44,24,1,
523913302,7,3,2,523913301
523913303,127,65,0,
523913304,75,33,0,
523913312,11,7,1,
523913313,13,8,0,
523913314,1,1,2,523913312
523913321,17,12,1,
523913322,4,4,2,523913321
523913324,8,4,2,523913321
523913332,41,20,1,
523913333,96,60,0,
523913334,20,11,0,
523913341,2,1,2,523913332
523913401,64,31,0,
523913402,28,15,0,
523913403,20,9,0,
523913411,109,64,0,
523913413,65,40,0,
523913422,30,18,0,
523913431,27,11,0,
533857294,5,3,2,533857391
533857391,11,6,1,
533857392,3,2,2,533857391
533857592,13,6,1,
533857593,6,3,2,533857592
533857594,1,1,2,533857592
533857692,6,2,2,533857592
533923071,182,60,0,
533923072,772,298,0,
533923073,61,26,0,
533923074,2148,841,0,
533923081,1082,439,0,
533923083,1858,738,0,
533923171,505,215,0,
533923172,1209,581,0,
533923173,1765,715,0,
533923174,4978,1704,0,
533923181,789,383,0,
533923183,1947,742,0,
533923261,3,2,2,533923262
533923262,375,152,1,
533923263,166,49,0,
533923264,2008,770,0,
533923271,2254,960,0,
533923272,4779,1925,0,
