scenario_vehicle_id,manufacturer,vehicle_model,include_in_baseline,battery_kwh,catalog_range_km,usable_range_factor,usable_range_km,payload_kg,energy_consumption_kwh_per_km,energy_consumption_rule,soc_reserve_rule,scenario_use,source_id,rule_rationale,limitation
mitsubishi_fuso_ecanter_s_yamato,Mitsubishi Fuso,"eCanter S battery, Yamato deployment specification",yes,41.0,116.0,0.7,81.2,2000.0,0.3534,estimated as battery_kwh / catalog_range_km,Reserve 10-20% battery capacity in feasibility sensitivity checks.,baseline small EV truck,mitsubishi_fuso_ecanter_yamato_2023,Included as an official-specification scenario vehicle.,Manufacturer specification scenario; not observed fleet composition or route energy use.
mitsubishi_fuso_ecanter_m_reference,Mitsubishi Fuso,eCanter M battery reference,no,82.0,236.0,0.7,165.2,,0.3475,estimated as battery_kwh / catalog_range_km,Reserve 10-20% battery capacity in feasibility sensitivity checks.,medium battery sensitivity,mitsubishi_fuso_ecanter_launch_2023,"Excluded from baseline because range, payload, or battery capacity is missing.",Manufacturer specification scenario; not observed fleet composition or route energy use.
mitsubishi_fuso_ecanter_l_reference,Mitsubishi Fuso,eCanter L battery reference,no,123.0,324.0,0.7,226.8,,0.3796,estimated as battery_kwh / catalog_range_km,Reserve 10-20% battery capacity in feasibility sensitivity checks.,large battery sensitivity,mitsubishi_fuso_ecanter_launch_2023,"Excluded from baseline because range, payload, or battery capacity is missing.",Manufacturer specification scenario; not observed fleet composition or route energy use.
isuzu_elfmio_ev_nhr,Isuzu,ELFmio EV standard cab NHR,yes,44.0,115.0,0.7,80.5,1050.0,0.3826,estimated as battery_kwh / catalog_range_km,Reserve 10-20% battery capacity in feasibility sensitivity checks.,ordinary-license small truck scenario,isuzu_elf_ev_product,Included as an official-specification scenario vehicle.,Manufacturer specification scenario; not observed fleet composition or route energy use.
isuzu_elf_ev_njr,Isuzu,ELF EV standard cab NJR,yes,44.0,120.0,0.7,84.0,2000.0,0.3667,estimated as battery_kwh / catalog_range_km,Reserve 10-20% battery capacity in feasibility sensitivity checks.,baseline small EV truck,isuzu_elf_ev_product,Included as an official-specification scenario vehicle.,Manufacturer specification scenario; not observed fleet composition or route energy use.
isuzu_elf_ev_high_cab,Isuzu,ELF EV high cab NLR/NMR,yes,66.0,180.0,0.7,126.0,2000.0,0.3667,estimated as battery_kwh / catalog_range_km,Reserve 10-20% battery capacity in feasibility sensitivity checks.,medium battery truck scenario,isuzu_elf_ev_product,Included as an official-specification scenario vehicle.,Manufacturer specification scenario; not observed fleet composition or route energy use.
isuzu_elf_ev_wide_cab,Isuzu,ELF EV wide cab NPR,yes,110.0,250.0,0.7,175.0,2950.0,0.44,estimated as battery_kwh / catalog_range_km,Reserve 10-20% battery capacity in feasibility sensitivity checks.,large battery truck scenario,isuzu_elf_ev_product,Included as an official-specification scenario vehicle.,Manufacturer specification scenario; not observed fleet composition or route energy use.
hino_dutro_z_ev_walkthrough,Hino,Dutro Z EV walkthrough van,yes,40.0,150.0,0.7,105.0,1000.0,0.2667,estimated as battery_kwh / catalog_range_km,Reserve 10-20% battery capacity in feasibility sensitivity checks.,urban last-mile EV truck scenario,hino_dutro_z_ev_2024,Included as an official-specification scenario vehicle.,Manufacturer specification scenario; not observed fleet composition or route energy use.
hino_dutro_z_ev_aluminum_van,Hino,Dutro Z EV aluminum van with side door,yes,40.0,150.0,0.7,105.0,1050.0,0.2667,estimated as battery_kwh / catalog_range_km,Reserve 10-20% battery capacity in feasibility sensitivity checks.,urban last-mile EV truck scenario,hino_dutro_z_ev_2024,Included as an official-specification scenario vehicle.,Manufacturer specification scenario; not observed fleet composition or route energy use.
toyota_pixis_van_bev_2wd_deluxe,Toyota,Pixis Van BEV 2WD Deluxe,yes,36.6,257.0,0.7,179.9,350.0,0.161,official or source-provided value,Reserve 10-20% battery capacity in feasibility sensitivity checks.,small commercial van scenario,toyota_pixis_van_bev_spec_2026,Included as an official-specification scenario vehicle.,Manufacturer specification scenario; not observed fleet composition or route energy use.
