ocm_id,connection_id,station_title,latitude,longitude,connection_type,level,current_type,quantity,power_kw,voltage,amps,is_fast_charger_proxy,operator,usage_type,status_type,source,downloaded_at
62649,79571,59,35.740059,139.381424,CHAdeMO,Level 3:  High (Over 40kW),DC,,50,,,yes,Stadtwerke Clausthal-Zellerfeld,,Operational,Open Charge Map,2026-07-05
55060,69590,GINZA KABUKIZAパーキング,35.6697366,139.76805330000002,Tesla (Model S/X),Level 2 : Medium (Over 2kW),AC (Single-Phase),,,,80,no,Tesla (Tesla-only charging),Public,Operational,Open Charge Map,2026-07-05
5714,463,Tesla Aoyama Showroom,35.6704409673614,139.718670845031,Tesla (Roadster),Level 2 : Medium (Over 2kW),AC (Single-Phase),1,16.8,230,70,no,Tesla (Tesla-only charging),Public,Operational,Open Charge Map,2026-07-05
302696,568925,Tesla Supercharger Chofu,35.6630804,139.5249781,NACS / Tesla Supercharger,Level 3:  High (Over 40kW),DC,4,72,,,yes,Tesla (Tesla-only charging),Public - Membership Required,Operational,Open Charge Map,2026-07-05
302697,568926,Tesla Supercharger Tokyo - Akasaka,35.6678335,139.7404632,NACS / Tesla Supercharger,Level 3:  High (Over 40kW),DC,4,130,,,yes,Tesla (Tesla-only charging),Public - Membership Required,Operational,Open Charge Map,2026-07-05
302650,568879,Tesla Supercharger Tokyo - Akihabara,35.700806,139.77301,NACS / Tesla Supercharger,Level 3:  High (Over 40kW),DC,4,250,,,yes,Tesla (Tesla-only charging),Public - Membership Required,Operational,Open Charge Map,2026-07-05
302651,568880,Tesla Supercharger Tokyo - Ariake,35.6381102,139.7926951,NACS / Tesla Supercharger,Level 3:  High (Over 40kW),DC,8,250,,,yes,Tesla (Tesla-only charging),Public - Membership Required,Operational,Open Charge Map,2026-07-05
302693,568922,Tesla Supercharger Tokyo - Daikanyama,35.6498578,139.6999268,NACS / Tesla Supercharger,Level 3:  High (Over 40kW),DC,4,250,,,yes,Tesla (Tesla-only charging),Public - Membership Required,Operational,Open Charge Map,2026-07-05
302695,568924,Tesla Supercharger Tokyo - Hibiya,35.6708484,139.7527831,NACS / Tesla Supercharger,Level 3:  High (Over 40kW),DC,4,250,,,yes,Tesla (Tesla-only charging),Public - Membership Required,Operational,Open Charge Map,2026-07-05
302652,568881,Tesla Supercharger Tokyo - Ikebukuro,35.7283387,139.7076034,NACS / Tesla Supercharger,Level 3:  High (Over 40kW),DC,4,250,,,yes,Tesla (Tesla-only charging),Public - Membership Required,Operational,Open Charge Map,2026-07-05
302620,568849,Tesla Supercharger Tokyo - Itabashi Maeno,35.7705912,139.6912243,NACS / Tesla Supercharger,Level 3:  High (Over 40kW),DC,4,250,,,yes,Tesla (Tesla-only charging),Public - Membership Required,Operational,Open Charge Map,2026-07-05
302699,568928,Tesla Supercharger Tokyo - Marunouchi,35.684656,139.761252,NACS / Tesla Supercharger,Level 3:  High (Over 40kW),DC,2,130,,,yes,Tesla (Tesla-only charging),Public - Membership Required,Operational,Open Charge Map,2026-07-05
302698,568927,Tesla Supercharger Tokyo - Odaiba,35.617642,139.776912,NACS / Tesla Supercharger,Level 3:  High (Over 40kW),DC,4,130,,,yes,Tesla (Tesla-only charging),Public - Membership Required,Operational,Open Charge Map,2026-07-05
302653,568882,Tesla Supercharger Tokyo - Roka Koen,35.6671843,139.6131187,NACS / Tesla Supercharger,Level 3:  High (Over 40kW),DC,12,250,,,yes,Tesla (Tesla-only charging),Public - Membership Required,Operational,Open Charge Map,2026-07-05
