ocm_id,uuid,title,address_line_1,town,state_or_province,postcode,latitude,longitude,operator,usage_type,status_type,data_provider,connection_count,connection_types,max_power_kw,has_power_kw,is_fast_charger_proxy,date_last_verified,date_last_status_update,date_created,source,downloaded_at,boundary_filter
55060,FC301D45-6FF7-48FD-859F-6E5A37D297DE,GINZA KABUKIZAパーキング,銀座 4−12−15, 東京, 東京都,104-0061,35.6697366,139.76805330000002,Tesla (Tesla-only charging),Public,Operational,Open Charge Map Contributors,1,Tesla (Model S/X),,no,no,2015-10-16T13:43:00Z,2015-10-16T13:43:00Z,2015-10-13T14:08:00Z,Open Charge Map,2026-07-05,N03 Tokyo boundary polygon
5714,351E5C0F-49C8-4319-9A15-86EA4803159F,Tesla Aoyama Showroom,2-23-8 Minato-Ku,Aoyama,Tokyo,,35.6704409673614,139.718670845031,Tesla (Tesla-only charging),Public,Operational,Open Charge Map Contributors,1,Tesla (Roadster),16.8,yes,no,2011-07-25T00:00:00Z,2011-07-25T00:00:00Z,2011-09-09T11:40:00Z,Open Charge Map,2026-07-05,N03 Tokyo boundary polygon
302696,83C4DAB6-8BDA-4546-B29E-83BFD883665D,Tesla Supercharger Chofu,1-34-17 Tobitakyu,,,,35.6630804,139.5249781,Tesla (Tesla-only charging),Public - Membership Required,Operational,Open Charge Map Contributors,1,NACS / Tesla Supercharger,72.0,yes,yes,2024-09-02T01:54:00Z,2024-09-02T01:54:00Z,2024-08-15T00:54:00Z,Open Charge Map,2026-07-05,N03 Tokyo boundary polygon
302697,511FD4E4-6700-4A8A-A8FF-FFB4556EE38C,Tesla Supercharger Tokyo - Akasaka,1-12-33 Akasaka,,,,35.6678335,139.7404632,Tesla (Tesla-only charging),Public - Membership Required,Operational,Open Charge Map Contributors,1,NACS / Tesla Supercharger,130.0,yes,yes,2024-09-02T01:54:00Z,2024-09-02T01:54:00Z,2024-08-15T00:54:00Z,Open Charge Map,2026-07-05,N03 Tokyo boundary polygon
302650,B740ED32-171A-42CB-A735-830D2521E844,Tesla Supercharger Tokyo - Akihabara,4-14-1 Sotokanda,,,,35.700806,139.77301,Tesla (Tesla-only charging),Public - Membership Required,Operational,Open Charge Map Contributors,1,NACS / Tesla Supercharger,250.0,yes,yes,2024-09-02T01:59:00Z,2024-09-02T01:59:00Z,2024-08-15T00:47:00Z,Open Charge Map,2026-07-05,N03 Tokyo boundary polygon
302651,B47D81A4-1920-4147-A0E4-5884ADA88458,Tesla Supercharger Tokyo - Ariake,2-1-8 Ariake,,,,35.6381102,139.7926951,Tesla (Tesla-only charging),Public - Membership Required,Operational,Open Charge Map Contributors,1,NACS / Tesla Supercharger,250.0,yes,yes,2024-09-02T01:59:00Z,2024-09-02T01:59:00Z,2024-08-15T00:48:00Z,Open Charge Map,2026-07-05,N03 Tokyo boundary polygon
302693,529FC04B-3277-4787-A971-2326AF7FE262,Tesla Supercharger Tokyo - Daikanyama,16-15 Sarugakucho,,,,35.6498578,139.6999268,Tesla (Tesla-only charging),Public - Membership Required,Operational,Open Charge Map Contributors,1,NACS / Tesla Supercharger,250.0,yes,yes,2024-09-02T01:54:00Z,2024-09-02T01:54:00Z,2024-08-15T00:54:00Z,Open Charge Map,2026-07-05,N03 Tokyo boundary polygon
302695,7099D982-3AB2-4927-AEAD-7A1929989CFA,Tesla Supercharger Tokyo - Hibiya,2-1-1 Uchisaiwaicho,,,,35.6708484,139.7527831,Tesla (Tesla-only charging),Public - Membership Required,Operational,Open Charge Map Contributors,1,NACS / Tesla Supercharger,250.0,yes,yes,2024-09-02T01:54:00Z,2024-09-02T01:54:00Z,2024-08-15T00:54:00Z,Open Charge Map,2026-07-05,N03 Tokyo boundary polygon
302652,9629207D-4241-441C-9BE5-BC2A782109E8,Tesla Supercharger Tokyo - Ikebukuro,1-6-1 Nishiikebukuro,,,,35.7283387,139.7076034,Tesla (Tesla-only charging),Public - Membership Required,Operational,Open Charge Map Contributors,1,NACS / Tesla Supercharger,250.0,yes,yes,2024-09-02T01:59:00Z,2024-09-02T01:59:00Z,2024-08-15T00:48:00Z,Open Charge Map,2026-07-05,N03 Tokyo boundary polygon
302620,98C401C5-CBA4-433B-A158-3391B029C731,Tesla Supercharger Tokyo - Itabashi Maeno,4-21-22 Maenocho,,,,35.7705912,139.6912243,Tesla (Tesla-only charging),Public - Membership Required,Operational,Open Charge Map Contributors,1,NACS / Tesla Supercharger,250.0,yes,yes,2024-09-02T01:59:00Z,2024-09-02T01:59:00Z,2024-08-15T00:43:00Z,Open Charge Map,2026-07-05,N03 Tokyo boundary polygon
302699,B2BF430A-3944-41B0-8D37-2EB97951AF58,Tesla Supercharger Tokyo - Marunouchi,1-1-1 Marunouchi,,,,35.684656,139.761252,Tesla (Tesla-only charging),Public - Membership Required,Operational,Open Charge Map Contributors,1,NACS / Tesla Supercharger,130.0,yes,yes,2024-09-02T01:54:00Z,2024-09-02T01:54:00Z,2024-08-15T00:54:00Z,Open Charge Map,2026-07-05,N03 Tokyo boundary polygon
302698,BC4B9C58-C21E-43F4-936A-A71642312661,Tesla Supercharger Tokyo - Odaiba,2-4-32 Aomi,,,,35.617642,139.776912,Tesla (Tesla-only charging),Public - Membership Required,Operational,Open Charge Map Contributors,1,NACS / Tesla Supercharger,130.0,yes,yes,2024-09-02T01:54:00Z,2024-09-02T01:54:00Z,2024-08-15T00:54:00Z,Open Charge Map,2026-07-05,N03 Tokyo boundary polygon
302653,2A042E5F-637F-467F-85E8-13762D17E1DA,Tesla Supercharger Tokyo - Roka Koen,1-18 MinamiKarasuyama,,,,35.6671843,139.6131187,Tesla (Tesla-only charging),Public - Membership Required,Operational,Open Charge Map Contributors,1,NACS / Tesla Supercharger,250.0,yes,yes,2024-09-02T01:59:00Z,2024-09-02T01:59:00Z,2024-08-15T00:48:00Z,Open Charge Map,2026-07-05,N03 Tokyo boundary polygon
302700,5CFDD3DC-C21A-4835-B9FC-E3AD16155151,Tesla Supercharger Tokyo - Roppongi,6-10-3 Roppongi,,,,35.65951,139.72853,Tesla (Tesla-only charging),Public - Membership Required,Operational,Open Charge Map Contributors,1,NACS / Tesla Supercharger,130.0,yes,yes,2024-09-02T01:54:00Z,2024-09-02T01:54:00Z,2024-08-15T00:55:00Z,Open Charge Map,2026-07-05,N03 Tokyo boundary polygon
302654,7E0481B2-B88E-40E2-8FCD-889E3480888D,Tesla Supercharger Tokyo - Roppongi P2,6-10-1 Roppongi,,,,35.6603979,139.729241,Tesla (Tesla-only charging),Public - Membership Required,Operational,Open Charge Map Contributors,1,NACS / Tesla Supercharger,250.0,yes,yes,2024-09-02T01:59:00Z,2024-09-02T01:59:00Z,2024-08-15T00:48:00Z,Open Charge Map,2026-07-05,N03 Tokyo boundary polygon
302649,4809DEC8-3361-473C-BA0F-FD478AD278D1,Tesla Supercharger Tokyo - Senju,1-12-21 Sekibara,,,,35.7636056,139.7895015,Tesla (Tesla-only charging),Public - Membership Required,Operational,Open Charge Map Contributors,1,NACS / Tesla Supercharger,250.0,yes,yes,2024-09-02T01:59:00Z,2024-09-02T01:59:00Z,2024-08-15T00:47:00Z,Open Charge Map,2026-07-05,N03 Tokyo boundary polygon
302655,368B73A3-EE00-4DD9-885C-9103F25F9569,Tesla Supercharger Tokyo - Setagaya Kinuta,1-16-6 Kinuta,,,,35.636582,139.619671,Tesla (Tesla-only charging),Public - Membership Required,Operational,Open Charge Map Contributors,1,NACS / Tesla Supercharger,250.0,yes,yes,2024-09-02T01:59:00Z,2024-09-02T01:59:00Z,2024-08-15T00:48:00Z,Open Charge Map,2026-07-05,N03 Tokyo boundary polygon
302694,66FEABBC-0214-42B3-967A-0873EC2BF089,Tesla Supercharger Tokyo - Shinjuku,Nishi-Shinjuku,,,,35.6882739,139.6934426,Tesla (Tesla-only charging),Public - Membership Required,Operational,Open Charge Map Contributors,1,NACS / Tesla Supercharger,250.0,yes,yes,2024-09-02T01:54:00Z,2024-09-02T01:54:00Z,2024-08-15T00:54:00Z,Open Charge Map,2026-07-05,N03 Tokyo boundary polygon
302656,74BFC505-A021-43C5-A141-93C74A796FC4,Tesla Supercharger Tokyo - Suginami,2-16-20 Shimizu,,,,35.7144467,139.6166538,Tesla (Tesla-only charging),Public - Membership Required,Operational,Open Charge Map Contributors,1,NACS / Tesla Supercharger,250.0,yes,yes,2024-09-02T01:59:00Z,2024-09-02T01:59:00Z,2024-08-15T00:48:00Z,Open Charge Map,2026-07-05,N03 Tokyo boundary polygon
302701,F3565AC7-52FF-4E50-BF25-37662F7101EB,Tesla Supercharger Tokyo - Tokyo Bay,2-7-20 Shinonome,,,,35.642276,139.804322,Tesla (Tesla-only charging),Public - Membership Required,Operational,Open Charge Map Contributors,1,NACS / Tesla Supercharger,72.0,yes,yes,2024-09-02T01:54:00Z,2024-09-02T01:54:00Z,2024-08-15T00:55:00Z,Open Charge Map,2026-07-05,N03 Tokyo boundary polygon
302657,1EF68B74-1021-4001-A8D7-BF9D98E32F4D,Tesla Supercharger Tokyo - Toyotama,3-2-3 Toyotamanaka,,,,35.7323565,139.6565396,Tesla (Tesla-only charging),Public - Membership Required,Operational,Open Charge Map Contributors,1,NACS / Tesla Supercharger,250.0,yes,yes,2024-09-02T01:59:00Z,2024-09-02T01:59:00Z,2024-08-15T00:48:00Z,Open Charge Map,2026-07-05,N03 Tokyo boundary polygon
302658,3B158D1A-C57E-4583-80DB-9FD38AF116D6,Tesla Supercharger Tokyo - Yaesu,2-2-1 Yaesu,,,,35.679191,139.76922,Tesla (Tesla-only charging),Public - Membership Required,Operational,Open Charge Map Contributors,1,NACS / Tesla Supercharger,250.0,yes,yes,2024-09-02T01:59:00Z,2024-09-02T01:59:00Z,2024-08-15T00:49:00Z,Open Charge Map,2026-07-05,N03 Tokyo boundary polygon
17707,21924F28-F214-4632-A01F-7F7F7B98EDB8,あらかわエコセンター,東京都荒川区荒川1丁目53番20号,,,,35.73303276,139.78452,,,,CHAdeMO.com,1,CHAdeMO,48.0,yes,no,2013-06-29T09:02:00Z,2013-06-29T09:02:00Z,2013-06-29T09:02:00Z,Open Charge Map,2026-07-05,N03 Tokyo boundary polygon
17729,E2960748-0C6D-4166-93BD-E5C1B814327E,イオンモールむさし村山,東京都武蔵村山市榎1丁目1-3,,,,35.74642713,139.3849165,,,,CHAdeMO.com,1,CHAdeMO,48.0,yes,no,2013-06-29T09:02:00Z,2013-06-29T09:02:00Z,2013-06-29T09:02:00Z,Open Charge Map,2026-07-05,N03 Tokyo boundary polygon
17712,986893A5-D448-4D16-B18A-6A21A0D803DE,コシダテックコシダ大門ビル,東京都港区芝大門1丁目5-10,,,,35.65842354,139.7541232,,,,CHAdeMO.com,1,CHAdeMO,48.0,yes,no,2013-06-29T09:02:00Z,2013-06-29T09:02:00Z,2013-06-29T09:02:00Z,Open Charge Map,2026-07-05,N03 Tokyo boundary polygon
17104,06A0BB8D-E89E-43F9-8A76-B21BE81D69D3,コスモ石油セルフＮＥＷ江東ＳＳ,東京都江東区南砂2-31-13,,,,35.67589787,139.8227861,,,,CHAdeMO.com,1,CHAdeMO,48.0,yes,no,2013-06-29T08:53:00Z,2013-06-29T08:53:00Z,2013-06-29T08:53:00Z,Open Charge Map,2026-07-05,N03 Tokyo boundary polygon
17724,05A7B67A-A590-4245-B510-DD58F00F6C88,セルリアンタワー,東京都渋谷区桜丘町26-1,,,,35.65635337,139.6994334,,,,CHAdeMO.com,1,CHAdeMO,48.0,yes,no,2013-06-29T09:02:00Z,2013-06-29T09:02:00Z,2013-06-29T09:02:00Z,Open Charge Map,2026-07-05,N03 Tokyo boundary polygon
17115,27E3BF8B-D96F-4E52-BDA4-244D94286E78,デルタ電子,東京都港区芝大門2-1-14,,,,35.65598212,139.7530151,,,,CHAdeMO.com,1,CHAdeMO,48.0,yes,no,2013-06-29T08:54:00Z,2013-06-29T08:54:00Z,2013-06-29T08:54:00Z,Open Charge Map,2026-07-05,N03 Tokyo boundary polygon
17717,10F06DDD-3FDA-48E3-A053-4242BB5E0669,パレスサイドビルディング,東京都千代田区一ﾂ橋1-1-1,,,,35.6909479,139.7574298,,,,CHAdeMO.com,1,CHAdeMO,48.0,yes,no,2013-06-29T09:02:00Z,2013-06-29T09:02:00Z,2013-06-29T09:02:00Z,Open Charge Map,2026-07-05,N03 Tokyo boundary polygon
17727,1799E31F-2BE0-4A37-95DA-179A7048B390,ファミリーマート豊玉中三丁目店,東京都練馬区豊玉中3-2-3,,,,35.73260557,139.6565057,,,,CHAdeMO.com,1,CHAdeMO,48.0,yes,no,2013-06-29T09:02:00Z,2013-06-29T09:02:00Z,2013-06-29T09:02:00Z,Open Charge Map,2026-07-05,N03 Tokyo boundary polygon
17730,D9FA3B68-72C7-495D-9F54-BCB0978C83FE,ホームズ昭島店,東京都昭島市田中町3-8-5,,,,35.70130354,139.3486716,,,,CHAdeMO.com,1,CHAdeMO,48.0,yes,no,2013-06-29T09:02:00Z,2013-06-29T09:02:00Z,2013-06-29T09:02:00Z,Open Charge Map,2026-07-05,N03 Tokyo boundary polygon
17702,19A65D73-7C21-40F7-93C8-EA2C4D241A76,ローソン大井店,東京都品川区大井4-17-16,,,,35.601632,139.7314832,,,,CHAdeMO.com,1,CHAdeMO,48.0,yes,no,2013-06-29T09:02:00Z,2013-06-29T09:02:00Z,2013-06-29T09:02:00Z,Open Charge Map,2026-07-05,N03 Tokyo boundary polygon
17725,DC2FF70E-C8FD-40D9-A80E-EEA7116BB1FA,上板橋駐車場,東京都板橋区南常盤台1-13,,,,35.75551479,139.6886658,,,,CHAdeMO.com,1,CHAdeMO,48.0,yes,no,2013-06-29T09:02:00Z,2013-06-29T09:02:00Z,2013-06-29T09:02:00Z,Open Charge Map,2026-07-05,N03 Tokyo boundary polygon
17714,1F795FCD-1631-4F7B-A445-F2F63B373831,中央区役所附属駐車場,東京都中央区築地1-1-1,,,,35.67078366,139.7726822,,,,CHAdeMO.com,1,CHAdeMO,48.0,yes,no,2013-06-29T09:02:00Z,2013-06-29T09:02:00Z,2013-06-29T09:02:00Z,Open Charge Map,2026-07-05,N03 Tokyo boundary polygon
17709,2FB49CBE-08DC-4F7D-A17F-DED636F45764,丸の内パークビル,東京都千代田区丸の内2-6-1,,,,35.67895206,139.7630771,,,,CHAdeMO.com,1,CHAdeMO,48.0,yes,no,2013-06-29T09:02:00Z,2013-06-29T09:02:00Z,2013-06-29T09:02:00Z,Open Charge Map,2026-07-05,N03 Tokyo boundary polygon
17710,68DD107A-1195-4092-8752-77F16AB693FD,丸ノ内鍛冶橋駐車場,東京都千代田区丸の内3-8-2,,,,35.676894,139.766113,,,,CHAdeMO.com,1,CHAdeMO,48.0,yes,no,2013-06-29T09:02:00Z,2013-06-29T09:02:00Z,2013-06-29T09:02:00Z,Open Charge Map,2026-07-05,N03 Tokyo boundary polygon
17711,8E088849-DFC8-468C-BC30-0E8B42EFA3D7,六本木駐車場,東京都港区六本木3-1,,,,35.66561139,139.7388491,,,,CHAdeMO.com,1,CHAdeMO,48.0,yes,no,2013-06-29T09:02:00Z,2013-06-29T09:02:00Z,2013-06-29T09:02:00Z,Open Charge Map,2026-07-05,N03 Tokyo boundary polygon
17719,852BF0DA-5429-4BD5-830D-51EBE6A6D028,区営月島出張所地下駐車場,東京都中央区月島4-1-1,,,,35.66201532,139.7823179,,,,CHAdeMO.com,1,CHAdeMO,48.0,yes,no,2013-06-29T09:02:00Z,2013-06-29T09:02:00Z,2013-06-29T09:02:00Z,Open Charge Map,2026-07-05,N03 Tokyo boundary polygon
17718,B42BF839-2673-4EB6-8649-314FA5788567,区営浜町公園地下駐車場,東京都中央区日本橋浜町2-59-4,,,,35.68883755,139.7882467,,,,CHAdeMO.com,1,CHAdeMO,48.0,yes,no,2013-06-29T09:02:00Z,2013-06-29T09:02:00Z,2013-06-29T09:02:00Z,Open Charge Map,2026-07-05,N03 Tokyo boundary polygon
17713,83C780CA-C302-4FCF-8A86-7A7136D170CB,千代田区本庁舎地下駐車場,東京都千代田区九段南1-2-1,,,,35.69397529,139.7536522,,,,CHAdeMO.com,1,CHAdeMO,48.0,yes,no,2013-06-29T09:02:00Z,2013-06-29T09:02:00Z,2013-06-29T09:02:00Z,Open Charge Map,2026-07-05,N03 Tokyo boundary polygon
17699,0D74F1DD-2A06-4B21-ADCB-E223B47682D2,国立市役所庁舎駐車場,東京都国立市富士見台2丁目47-1,,,,35.68390149,139.4422479,,,,CHAdeMO.com,1,CHAdeMO,48.0,yes,no,2013-06-29T09:02:00Z,2013-06-29T09:02:00Z,2013-06-29T09:02:00Z,Open Charge Map,2026-07-05,N03 Tokyo boundary polygon
17731,17EBFA60-174A-4A62-B4F0-E39EC01AB7CD,大谷田駐車場,東京都足立区大谷田3-4-20,,,,35.77621805,139.842766,,,,CHAdeMO.com,1,CHAdeMO,48.0,yes,no,2013-06-29T09:02:00Z,2013-06-29T09:02:00Z,2013-06-29T09:02:00Z,Open Charge Map,2026-07-05,N03 Tokyo boundary polygon
