ocm_id,title,latitude,longitude,town,postcode,operator,usage_type,status_type,connection_count,connection_types,max_power_kw,is_fast_charger_proxy,source,downloaded_at
302696,Tesla Supercharger Chofu,35.6630804,139.5249781,,,,,,1,,72.0,yes,Open Charge Map,2026-07-04
302687,Tesla Supercharger Kawaguchi,35.832434,139.735652,,,,,,1,,250.0,yes,Open Charge Map,2026-07-04
302688,Tesla Supercharger Kawasaki,35.5344339,139.6946541,,,,,,1,,250.0,yes,Open Charge Map,2026-07-04
302703,Tesla Supercharger Matsudo,35.817911,139.9340663,,,,,,1,,250.0,yes,Open Charge Map,2026-07-04
302629,Tesla Supercharger Misato,35.8355276,139.8791564,,,,,,1,,250.0,yes,Open Charge Map,2026-07-04
302641,Tesla Supercharger Saitama - Omiya,35.8935606,139.6074036,,,,,,1,,130.0,yes,Open Charge Map,2026-07-04
302642,Tesla Supercharger Saitama - Yono,35.8909156,139.6143888,,,,,,1,,250.0,yes,Open Charge Map,2026-07-04
302648,Tesla Supercharger Tokorozawa,35.8105484,139.5318971,,,,,,1,,250.0,yes,Open Charge Map,2026-07-04
302697,Tesla Supercharger Tokyo - Akasaka,35.6678335,139.7404632,,,,,,1,,130.0,yes,Open Charge Map,2026-07-04
302650,Tesla Supercharger Tokyo - Akihabara,35.700806,139.77301,,,,,,1,,250.0,yes,Open Charge Map,2026-07-04
302651,Tesla Supercharger Tokyo - Ariake,35.6381102,139.7926951,,,,,,1,,250.0,yes,Open Charge Map,2026-07-04
302693,Tesla Supercharger Tokyo - Daikanyama,35.6498578,139.6999268,,,,,,1,,250.0,yes,Open Charge Map,2026-07-04
302695,Tesla Supercharger Tokyo - Hibiya,35.6708484,139.7527831,,,,,,1,,250.0,yes,Open Charge Map,2026-07-04
302652,Tesla Supercharger Tokyo - Ikebukuro,35.7283387,139.7076034,,,,,,1,,250.0,yes,Open Charge Map,2026-07-04
302620,Tesla Supercharger Tokyo - Itabashi Maeno,35.7705912,139.6912243,,,,,,1,,250.0,yes,Open Charge Map,2026-07-04
302699,Tesla Supercharger Tokyo - Marunouchi,35.684656,139.761252,,,,,,1,,130.0,yes,Open Charge Map,2026-07-04
302698,Tesla Supercharger Tokyo - Odaiba,35.617642,139.776912,,,,,,1,,130.0,yes,Open Charge Map,2026-07-04
302653,Tesla Supercharger Tokyo - Roka Koen,35.6671843,139.6131187,,,,,,1,,250.0,yes,Open Charge Map,2026-07-04
302700,Tesla Supercharger Tokyo - Roppongi,35.65951,139.72853,,,,,,1,,130.0,yes,Open Charge Map,2026-07-04
302654,Tesla Supercharger Tokyo - Roppongi P2,35.6603979,139.729241,,,,,,1,,250.0,yes,Open Charge Map,2026-07-04
302649,Tesla Supercharger Tokyo - Senju,35.7636056,139.7895015,,,,,,1,,250.0,yes,Open Charge Map,2026-07-04
302655,Tesla Supercharger Tokyo - Setagaya Kinuta,35.636582,139.619671,,,,,,1,,250.0,yes,Open Charge Map,2026-07-04
302694,Tesla Supercharger Tokyo - Shinjuku,35.6882739,139.6934426,,,,,,1,,250.0,yes,Open Charge Map,2026-07-04
302656,Tesla Supercharger Tokyo - Suginami,35.7144467,139.6166538,,,,,,1,,250.0,yes,Open Charge Map,2026-07-04
302701,Tesla Supercharger Tokyo - Tokyo Bay,35.642276,139.804322,,,,,,1,,72.0,yes,Open Charge Map,2026-07-04
302657,Tesla Supercharger Tokyo - Toyotama,35.7323565,139.6565396,,,,,,1,,250.0,yes,Open Charge Map,2026-07-04
302658,Tesla Supercharger Tokyo - Yaesu,35.679191,139.76922,,,,,,1,,250.0,yes,Open Charge Map,2026-07-04
302659,Tesla Supercharger Tomei Kawasaki,35.587964,139.571373,,,,,,1,,250.0,yes,Open Charge Map,2026-07-04
302665,Tesla Supercharger Yokohama - Aoba,35.545572,139.525478,,,,,,1,,250.0,yes,Open Charge Map,2026-07-04
302667,Tesla Supercharger Yokohama - Kohoku,35.549347,139.618354,,,,,,1,,250.0,yes,Open Charge Map,2026-07-04
17707,あらかわエコセンター,35.73303276,139.78452,,,,,,1,,48.0,no,Open Charge Map,2026-07-04
17679,さいたま市桜区役所,35.85615544,139.6103094,,,,,,1,,48.0,no,Open Charge Map,2026-07-04
17669,さいたま市浦和区役所,35.86150826,139.6454506,,,,,,1,,48.0,no,Open Charge Map,2026-07-04
17168,びっくりドンキー　青葉台店,35.54279017,139.5205285,,,,,,1,,48.0,no,Open Charge Map,2026-07-04
17673,ららぽーと新三郷,35.85978729,139.8659769,,,,,,1,,48.0,no,Open Charge Map,2026-07-04
17538,イオン越谷レイクタウン,35.88187316,139.8282512,,,,,,1,,48.0,no,Open Charge Map,2026-07-04
17712,コシダテックコシダ大門ビル,35.65842354,139.7541232,,,,,,1,,48.0,no,Open Charge Map,2026-07-04
17104,コスモ石油セルフＮＥＷ江東ＳＳ,35.67589787,139.8227861,,,,,,1,,48.0,no,Open Charge Map,2026-07-04
17540,スーパーオートバックス２４６江田店,35.56698835,139.564682,,,,,,1,,48.0,no,Open Charge Map,2026-07-04
17724,セルリアンタワー,35.65635337,139.6994334,,,,,,1,,48.0,no,Open Charge Map,2026-07-04
17115,デルタ電子,35.65598212,139.7530151,,,,,,1,,48.0,no,Open Charge Map,2026-07-04
17156,ハセテック,35.52195237,139.6147216,,,,,,1,,48.0,no,Open Charge Map,2026-07-04
17717,パレスサイドビルディング,35.6909479,139.7574298,,,,,,1,,48.0,no,Open Charge Map,2026-07-04
17166,ファミリーマート荏田南三丁目店,35.54820411,139.5564475,,,,,,1,,48.0,no,Open Charge Map,2026-07-04
17727,ファミリーマート豊玉中三丁目店,35.73260557,139.6565057,,,,,,1,,48.0,no,Open Charge Map,2026-07-04
17164,ファミリーマート青葉大場町店,35.56923203,139.5346955,,,,,,1,,48.0,no,Open Charge Map,2026-07-04
17702,ローソン大井店,35.601632,139.7314832,,,,,,1,,48.0,no,Open Charge Map,2026-07-04
17758,ローソン川崎富士見一丁目店,35.53050319,139.7138019,,,,,,1,,48.0,no,Open Charge Map,2026-07-04
17685,三郷市役所,35.82937121,139.8722472,,,,,,1,,48.0,no,Open Charge Map,2026-07-04
17725,上板橋駐車場,35.75551479,139.6886658,,,,,,1,,48.0,no,Open Charge Map,2026-07-04
17714,中央区役所附属駐車場,35.67078366,139.7726822,,,,,,1,,48.0,no,Open Charge Map,2026-07-04
17709,丸の内パークビル,35.67895206,139.7630771,,,,,,1,,48.0,no,Open Charge Map,2026-07-04
17710,丸ノ内鍛冶橋駐車場,35.676894,139.766113,,,,,,1,,48.0,no,Open Charge Map,2026-07-04
17033,八潮ＰＡ（上り）,35.80939506,139.8427006,,,,,,1,,48.0,no,Open Charge Map,2026-07-04
17711,六本木駐車場,35.66561139,139.7388491,,,,,,1,,48.0,no,Open Charge Map,2026-07-04
17160,出光セルフつきみ野ＳＳ,35.51340611,139.4584072,,,,,,1,,48.0,no,Open Charge Map,2026-07-04
17719,区営月島出張所地下駐車場,35.66201532,139.7823179,,,,,,1,,48.0,no,Open Charge Map,2026-07-04
17718,区営浜町公園地下駐車場,35.68883755,139.7882467,,,,,,1,,48.0,no,Open Charge Map,2026-07-04
17713,千代田区本庁舎地下駐車場,35.69397529,139.7536522,,,,,,1,,48.0,no,Open Charge Map,2026-07-04
17030,埼玉日産自動車川口栄町店,35.80357423,139.7279881,,,,,,1,,48.0,no,Open Charge Map,2026-07-04
17036,埼玉日産自動車戸田店,35.82038254,139.6708338,,,,,,1,,48.0,no,Open Charge Map,2026-07-04
17054,埼玉日産自動車新座店,35.7978776,139.5676989,,,,,,1,,48.0,no,Open Charge Map,2026-07-04
17052,埼玉日産自動車草加店,35.82666231,139.8232486,,,,,,1,,48.0,no,Open Charge Map,2026-07-04
17731,大谷田駐車場,35.77621805,139.842766,,,,,,1,,48.0,no,Open Charge Map,2026-07-04
17101,太洋日産自動車販売芝浦中央支店,35.64121133,139.744522,,,,,,1,,48.0,no,Open Charge Map,2026-07-04
17760,岩田電機通信,35.62583728,139.5461114,,,,,,1,,48.0,no,Open Charge Map,2026-07-04
17785,工藤建設本社,35.56815763,139.5624683,,,,,,1,,48.0,no,Open Charge Map,2026-07-04
17057,市川ＰＡ（上り）,35.67689413,139.9325298,,,,,,1,,48.0,no,Open Charge Map,2026-07-04
17093,平和島ＰＡ（上り）,35.58601443,139.7427691,,,,,,1,,48.0,no,Open Charge Map,2026-07-04
17726,愛工大興,35.73889755,139.7130146,,,,,,1,,48.0,no,Open Charge Map,2026-07-04
17686,戸田市文化会館北側駐車場,35.81770237,139.6764001,,,,,,1,,48.0,no,Open Charge Map,2026-07-04
17716,日本パーキングセンター,35.6851654,139.7694568,,,,,,1,,48.0,no,Open Charge Map,2026-07-04
