base_route_proxy_id,customer_configuration_id,customer_count,vehicle_count,seed,proxy_visit_order,node_id,node_type,latitude,longitude,demand_kg,service_time_min
C025_V01_S001_R01,C025_S001,25,1,1,1,C025_S001_N015,synthetic_customer,35.64375,139.62187500000002,20.0,13.0
C025_V01_S001_R01,C025_S001,25,1,1,2,C025_S001_N021,synthetic_customer,35.62708333333333,139.59062500000002,21.0,12.0
C025_V01_S001_R01,C025_S001,25,1,1,3,C025_S001_N025,synthetic_customer,35.614583333333336,139.665625,23.0,8.0
C025_V01_S001_R01,C025_S001,25,1,1,4,C025_S001_N014,synthetic_customer,35.60208333333333,139.671875,22.0,14.0
C025_V01_S001_R01,C025_S001,25,1,1,5,C025_S001_N019,synthetic_customer,35.61875,139.68437500000002,6.0,10.0
C025_V01_S001_R01,C025_S001,25,1,1,6,C025_S001_N001,synthetic_customer,35.60208333333333,139.703125,15.0,10.0
C025_V01_S001_R01,C025_S001,25,1,1,7,C025_S001_N017,synthetic_customer,35.62708333333333,139.71562500000002,9.0,15.0
C025_V01_S001_R01,C025_S001,25,1,1,8,C025_S001_N011,synthetic_customer,35.677083333333336,139.696875,19.0,7.0
C025_V01_S001_R01,C025_S001,25,1,1,9,C025_S001_N022,synthetic_customer,35.68541666666667,139.734375,13.0,15.0
C025_V01_S001_R01,C025_S001,25,1,1,10,C025_S001_N005,synthetic_customer,35.71041666666667,139.74687500000002,30.0,8.0
C025_V01_S001_R01,C025_S001,25,1,1,11,C025_S001_N009,synthetic_customer,35.706250000000004,139.80312500000002,24.0,10.0
C025_V01_S001_R01,C025_S001,25,1,1,12,C025_S001_N018,synthetic_customer,35.69375,139.80937500000002,21.0,10.0
C025_V01_S001_R01,C025_S001,25,1,1,13,C025_S001_N012,synthetic_customer,35.72291666666667,139.884375,15.0,6.0
C025_V01_S001_R01,C025_S001,25,1,1,14,C025_S001_N010,synthetic_customer,35.73958333333334,139.884375,24.0,7.0
C025_V01_S001_R01,C025_S001,25,1,1,15,C025_S001_N008,synthetic_customer,35.747916666666676,139.87187500000002,10.0,6.0
C025_V01_S001_R01,C025_S001,25,1,1,16,C025_S001_N006,synthetic_customer,35.78958333333333,139.815625,9.0,13.0
C025_V01_S001_R01,C025_S001,25,1,1,17,C025_S001_N004,synthetic_customer,35.71041666666667,139.65312500000002,23.0,7.0
C025_V01_S001_R01,C025_S001,25,1,1,18,C025_S001_N007,synthetic_customer,35.747916666666676,139.509375,13.0,10.0
C025_V01_S001_R01,C025_S001,25,1,1,19,C025_S001_N024,synthetic_customer,35.702083333333334,139.478125,14.0,11.0
C025_V01_S001_R01,C025_S001,25,1,1,20,C025_S001_N023,synthetic_customer,35.69375,139.478125,30.0,14.0
C025_V01_S001_R01,C025_S001,25,1,1,21,C025_S001_N020,synthetic_customer,35.73541666666667,139.42812500000002,29.0,13.0
C025_V01_S001_R01,C025_S001,25,1,1,22,C025_S001_N013,synthetic_customer,35.71041666666667,139.37187500000002,16.0,6.0
C025_V01_S001_R01,C025_S001,25,1,1,23,C025_S001_N002,synthetic_customer,35.66041666666667,139.321875,22.0,8.0
C025_V01_S001_R01,C025_S001,25,1,1,24,C025_S001_N003,synthetic_customer,35.65625000000001,139.415625,19.0,10.0
C025_V01_S001_R01,C025_S001,25,1,1,25,C025_S001_N016,synthetic_customer,35.64375,139.440625,17.0,11.0
C025_V01_S001_R01,C025_S001,25,1,1,0,DEP_022,depot_proxy,35.676843,139.613799,0.0,0.0
C025_V03_S001_R01,C025_S001,25,3,1,1,C025_S001_N005,synthetic_customer,35.71041666666667,139.74687500000002,30.0,8.0
C025_V03_S001_R01,C025_S001,25,3,1,2,C025_S001_N009,synthetic_customer,35.706250000000004,139.80312500000002,24.0,10.0
C025_V03_S001_R01,C025_S001,25,3,1,3,C025_S001_N018,synthetic_customer,35.69375,139.80937500000002,21.0,10.0
C025_V03_S001_R01,C025_S001,25,3,1,4,C025_S001_N012,synthetic_customer,35.72291666666667,139.884375,15.0,6.0
C025_V03_S001_R01,C025_S001,25,3,1,5,C025_S001_N010,synthetic_customer,35.73958333333334,139.884375,24.0,7.0
C025_V03_S001_R01,C025_S001,25,3,1,6,C025_S001_N008,synthetic_customer,35.747916666666676,139.87187500000002,10.0,6.0
C025_V03_S001_R01,C025_S001,25,3,1,7,C025_S001_N006,synthetic_customer,35.78958333333333,139.815625,9.0,13.0
C025_V03_S001_R01,C025_S001,25,3,1,0,DEP_022,depot_proxy,35.676843,139.613799,0.0,0.0
C025_V03_S001_R02,C025_S001,25,3,1,1,C025_S001_N007,synthetic_customer,35.747916666666676,139.509375,13.0,10.0
