origin_code,origin_name_ja,destination_code,destination_name_ja,commodity_code,commodity_ja,weight_origin_to_destination_tons_per_day,weight_destination_to_origin_tons_per_day,trucks_origin_to_destination_per_day,trucks_destination_to_origin_per_day,commodity_en,tokyo_direction,tokyo_counterpart_region_code,tokyo_counterpart_region_name_ja,tokyo_outbound_weight_tons_per_day,tokyo_inbound_weight_tons_per_day,tokyo_outbound_trucks_per_day,tokyo_inbound_trucks_per_day
1,北海道,13,東京都,1,農水産品・食料工業品,1261.02259,1071.525956,13.5325641,30.48,"Agricultural, marine, and food products",Tokyo inbound,1,北海道,1071.525956,1261.02259,30.48,13.5325641
2,青森県,13,東京都,1,農水産品・食料工業品,194.440253,248.9391283,114.0169198,15.75,"Agricultural, marine, and food products",Tokyo inbound,2,青森県,248.9391283,194.440253,15.75,114.0169198
3,岩手県,13,東京都,1,農水産品・食料工業品,262.2411362,345.9897345,7.387745098,15.75,"Agricultural, marine, and food products",Tokyo inbound,3,岩手県,345.9897345,262.2411362,15.75,7.387745098
4,宮城県,13,東京都,1,農水産品・食料工業品,202.7134442,825.26533,14.83494506,88.19204934,"Agricultural, marine, and food products",Tokyo inbound,4,宮城県,825.26533,202.7134442,88.19204934,14.83494506
5,秋田県,13,東京都,1,農水産品・食料工業品,149.5203384,72.91643829,44.2,0.0,"Agricultural, marine, and food products",Tokyo inbound,5,秋田県,72.91643829,149.5203384,0.0,44.2
6,山形県,13,東京都,1,農水産品・食料工業品,261.2819102,590.1482352,14.19333333,255.2423077,"Agricultural, marine, and food products",Tokyo inbound,6,山形県,590.1482352,261.2819102,255.2423077,14.19333333
7,福島県,13,東京都,1,農水産品・食料工業品,133.8689476,556.62374,3.912280702,24.86561866,"Agricultural, marine, and food products",Tokyo inbound,7,福島県,556.62374,133.8689476,24.86561866,3.912280702
8,茨城県,13,東京都,1,農水産品・食料工業品,7176.448145,3014.297523,965.7855397,134.2842707,"Agricultural, marine, and food products",Tokyo inbound,8,茨城県,3014.297523,7176.448145,134.2842707,965.7855397
9,栃木県,13,東京都,1,農水産品・食料工業品,857.6043764,1116.177155,118.6329304,32.93775594,"Agricultural, marine, and food products",Tokyo inbound,9,栃木県,1116.177155,857.6043764,32.93775594,118.6329304
10,群馬県,13,東京都,1,農水産品・食料工業品,2171.066747,2288.316849,54.13367931,31.10084034,"Agricultural, marine, and food products",Tokyo inbound,10,群馬県,2288.316849,2171.066747,31.10084034,54.13367931
11,埼玉県,13,東京都,1,農水産品・食料工業品,20364.8443,10872.11068,8954.382215,1829.616474,"Agricultural, marine, and food products",Tokyo inbound,11,埼玉県,10872.11068,20364.8443,1829.616474,8954.382215
