hub_id,facility_name,facility_major_type_code,facility_major_type,facility_subtype_code,prefecture_code,address_or_municipality,source_attribute_p31_006,source_attribute_p31_007,area_m2_or_source_area_field,remarks_or_related_name,longitude,latitude,depot_candidate_relevance,mainland_tokyo_proxy,use_note
P31_13_0001,岡田港,1,port_or_ferry_terminal,14,13,大島町,1,0,0.0,岡田港,139.391082,34.790731,medium,False,Candidate logistics/depot proxy from MLIT P31; not observed operator depot or delivery-route data.
P31_13_0002,沖港,1,port_or_ferry_terminal,14,13,小笠原村,1,0,0.0,沖港,142.159688,26.63864,medium,False,Candidate logistics/depot proxy from MLIT P31; not observed operator depot or delivery-route data.
P31_13_0003,元町港,1,port_or_ferry_terminal,14,13,大島町,1,0,0.0,元町港,139.350688,34.751831,medium,False,Candidate logistics/depot proxy from MLIT P31; not observed operator depot or delivery-route data.
P31_13_0004,御蔵島港,1,port_or_ferry_terminal,14,13,御蔵島村,1,0,0.0,御蔵島港,139.587919,33.896711,medium,False,Candidate logistics/depot proxy from MLIT P31; not observed operator depot or delivery-route data.
P31_13_0005,三池港,1,port_or_ferry_terminal,14,13,三宅村,1,0,0.0,三池港,139.56535,34.079869,medium,False,Candidate logistics/depot proxy from MLIT P31; not observed operator depot or delivery-route data.
P31_13_0006,式根島港,1,port_or_ferry_terminal,14,13,新島村,1,0,0.0,式根島港,139.219342,34.320564,medium,False,Candidate logistics/depot proxy from MLIT P31; not observed operator depot or delivery-route data.
P31_13_0007,新島港,1,port_or_ferry_terminal,14,13,新島村,1,0,0.0,新島港,139.243389,34.368706,medium,False,Candidate logistics/depot proxy from MLIT P31; not observed operator depot or delivery-route data.
P31_13_0008,神津島港,1,port_or_ferry_terminal,14,13,神津島村,1,0,0.0,神津島港,139.130652,34.209304,medium,False,Candidate logistics/depot proxy from MLIT P31; not observed operator depot or delivery-route data.
P31_13_0009,神湊港,1,port_or_ferry_terminal,14,13,八丈町,1,0,0.0,神湊港,139.818703,33.122842,medium,False,Candidate logistics/depot proxy from MLIT P31; not observed operator depot or delivery-route data.
P31_13_0010,青ヶ島港,1,port_or_ferry_terminal,14,13,青ヶ島村,1,0,0.0,青ヶ島港,139.759782,32.446374,medium,False,Candidate logistics/depot proxy from MLIT P31; not observed operator depot or delivery-route data.
P31_13_0011,大久保港,1,port_or_ferry_terminal,14,13,三宅村,1,0,0.0,大久保港,139.508042,34.121557,medium,False,Candidate logistics/depot proxy from MLIT P31; not observed operator depot or delivery-route data.
P31_13_0012,竹芝ふ頭,1,port_or_ferry_terminal,11,13,港区海岸1丁目,1,0,0.0,東京港,139.763124,35.653994,medium,True,Candidate logistics/depot proxy from MLIT P31; not observed operator depot or delivery-route data.
P31_13_0013,日の出ふ頭,1,port_or_ferry_terminal,11,13,港区海岸2丁目,1,0,0.0,東京港,139.75982,35.649129,medium,True,Candidate logistics/depot proxy from MLIT P31; not observed operator depot or delivery-route data.
P31_13_0014,芝浦ふ頭,1,port_or_ferry_terminal,11,13,港区海岸3丁目,1,0,0.0,東京港,139.759434,35.641387,medium,True,Candidate logistics/depot proxy from MLIT P31; not observed operator depot or delivery-route data.
P31_13_0015,品川ふ頭（内貿）,1,port_or_ferry_terminal,11,13,港区港南5丁目,1,0,0.0,東京港,139.758468,35.629982,medium,True,Candidate logistics/depot proxy from MLIT P31; not observed operator depot or delivery-route data.
P31_13_0016,品川埠頭,1,port_or_ferry_terminal,11,13,港区港南5丁目5-30,2,0,97000.0,東京港,139.758854,35.621889,medium,True,Candidate logistics/depot proxy from MLIT P31; not observed operator depot or delivery-route data.
P31_13_0017,大井埠頭,1,port_or_ferry_terminal,11,13,品川区八潮2丁目4-9,2,0,948000.0,東京港,139.766128,35.602839,medium,True,Candidate logistics/depot proxy from MLIT P31; not observed operator depot or delivery-route data.
P31_13_0018,大井水産物ふ頭,1,port_or_ferry_terminal,11,13,大田区東海5丁目,1,0,0.0,東京港,139.773124,35.592929,medium,True,Candidate logistics/depot proxy from MLIT P31; not observed operator depot or delivery-route data.
P31_13_0019,大井食品ふ頭,1,port_or_ferry_terminal,11,13,大田区東海6丁目,1,0,0.0,東京港,139.774154,35.589299,medium,True,Candidate logistics/depot proxy from MLIT P31; not observed operator depot or delivery-route data.
P31_13_0020,大井建材ふ頭,1,port_or_ferry_terminal,11,13,大田区城南島1丁目,1,0,0.0,東京港,139.770547,35.577714,medium,True,Candidate logistics/depot proxy from MLIT P31; not observed operator depot or delivery-route data.
P31_13_0021,外貿雑貨(中防)埠頭,1,port_or_ferry_terminal,11,13,江東区青海2丁目地先,2,0,69000.0,東京港,139.792997,35.597171,medium,True,Candidate logistics/depot proxy from MLIT P31; not observed operator depot or delivery-route data.
P31_13_0022,青海埠頭,1,port_or_ferry_terminal,11,13,江東区青海3丁目4-7,2,0,480000.0,東京港,139.782547,35.608808,medium,True,Candidate logistics/depot proxy from MLIT P31; not observed operator depot or delivery-route data.
P31_13_0023,お台場ライナーふ頭,1,port_or_ferry_terminal,11,13,江東区青海4丁目2-36,2,0,162000.0,東京港,139.786967,35.615681,medium,True,Candidate logistics/depot proxy from MLIT P31; not observed operator depot or delivery-route data.
P31_13_0024,10号地ふ頭,1,port_or_ferry_terminal,11,13,江東区有明4丁目,1,0,0.0,東京港,139.787997,35.625728,medium,True,Candidate logistics/depot proxy from MLIT P31; not observed operator depot or delivery-route data.
P31_13_0025,フェリーふ頭,1,port_or_ferry_terminal,11,13,江東区有明4丁目,1,0,0.0,東京港,139.796666,35.617739,medium,True,Candidate logistics/depot proxy from MLIT P31; not observed operator depot or delivery-route data.
P31_13_0026,10号地その1多目的ふ頭,1,port_or_ferry_terminal,11,13,江東区有明3丁目,1,0,0.0,東京港,139.797023,35.62427,medium,True,Candidate logistics/depot proxy from MLIT P31; not observed operator depot or delivery-route data.
P31_13_0027,15号地木材ふ頭,1,port_or_ferry_terminal,11,13,江東区若洲1丁目,1,0,0.0,東京港,139.82896,35.625676,medium,True,Candidate logistics/depot proxy from MLIT P31; not observed operator depot or delivery-route data.
P31_13_0028,若洲内貿ふ頭,1,port_or_ferry_terminal,11,13,江東区若洲1丁目,1,0,0.0,東京港,139.827265,35.629844,medium,True,Candidate logistics/depot proxy from MLIT P31; not observed operator depot or delivery-route data.
P31_13_0029,若洲建材ふ頭,1,port_or_ferry_terminal,11,13,江東区若洲1丁目,1,0,0.0,東京港,139.832264,35.630734,medium,True,Candidate logistics/depot proxy from MLIT P31; not observed operator depot or delivery-route data.
P31_13_0030,辰巳ふ頭,1,port_or_ferry_terminal,11,13,江東区辰巳3丁目,1,0,0.0,東京港,139.815055,35.641651,medium,True,Candidate logistics/depot proxy from MLIT P31; not observed operator depot or delivery-route data.
P31_13_0031,豊洲ふ頭,1,port_or_ferry_terminal,11,13,江東区豊洲5丁目,1,0,0.0,東京港,139.796215,35.649899,medium,True,Candidate logistics/depot proxy from MLIT P31; not observed operator depot or delivery-route data.
P31_13_0032,晴海ふ頭,1,port_or_ferry_terminal,11,13,中央区晴海5丁目,1,0,0.0,東京港,139.777848,35.650038,medium,True,Candidate logistics/depot proxy from MLIT P31; not observed operator depot or delivery-route data.
P31_13_0033,晴海ふ頭(客船),1,port_or_ferry_terminal,11,13,中央区晴海5丁目,1,0,0.0,東京港,139.774157,35.647597,medium,True,Candidate logistics/depot proxy from MLIT P31; not observed operator depot or delivery-route data.
P31_13_0034,朝潮ふ頭,1,port_or_ferry_terminal,11,13,中央区晴海5丁目,1,0,0.0,東京港,139.771582,35.650404,medium,True,Candidate logistics/depot proxy from MLIT P31; not observed operator depot or delivery-route data.
P31_13_0035,月島ふ頭,1,port_or_ferry_terminal,11,13,中央区豊海町,1,0,0.0,東京港,139.767484,35.65356,medium,True,Candidate logistics/depot proxy from MLIT P31; not observed operator depot or delivery-route data.
P31_13_0036,二見港,1,port_or_ferry_terminal,14,13,小笠原村,1,0,0.0,二見港,142.196801,27.095307,medium,False,Candidate logistics/depot proxy from MLIT P31; not observed operator depot or delivery-route data.
