方面,高速道路,道路名,調査地点,7～8,8～9,9～10,10～11,11～12,12～13,13～14,14～15,15～16,16～17,17～18,18～19,昼12時間計,19～20,20～21,21～22,22～23,23～24,0～1,1～2,2～3,3～4,4～5,5～6,6～7,夜12時間計,24時間計,昼夜率,構成比
神奈川方面,○,首都高速湾岸線（神奈川）,多摩川トンネル,"6,213",5898.0,5786.0,5588.0,5637.0,4792.0,4612.0,5951.0,6281.0,6272.0,5774.0,5044.0,67848.0,4345.0,3264.0,2404.0,2150.0,1484.0,1332.0,1205.0,964.0,1137.0,1950.0,4039.0,4790.0,29064.0,96912,1.43,
神奈川方面,○,首都高速１号羽田線,高速大師橋,4864,4837.0,4820.0,4143.0,4342.0,4474.0,4813.0,4918.0,4883.0,4992.0,4535.0,4393.0,56014.0,4821.0,3074.0,2856.0,2516.0,1805.0,1675.0,1586.0,1270.0,1306.0,1548.0,2896.0,5035.0,30388.0,86402,1.54,
神奈川方面,,産業道路,大師橋,2098,1746.0,1753.0,1759.0,1876.0,1747.0,1781.0,1847.0,1809.0,1787.0,2146.0,1915.0,22264.0,1464.0,1091.0,751.0,598.0,484.0,366.0,372.0,420.0,511.0,816.0,1312.0,2036.0,10221.0,32485,1.46,
神奈川方面,,第一京浜,六郷橋,2693,2122.0,1855.0,1868.0,1878.0,1769.0,1882.0,1966.0,2121.0,2166.0,2516.0,2415.0,25251.0,2003.0,1528.0,1192.0,1045.0,844.0,708.0,694.0,577.0,664.0,837.0,1459.0,2171.0,13722.0,38973,1.54,
神奈川方面,,第二京浜,多摩川大橋,2987,2396.0,2165.0,2053.0,2009.0,1990.0,2048.0,2106.0,2130.0,2170.0,2671.0,2353.0,27078.0,1923.0,1495.0,1182.0,928.0,694.0,545.0,480.0,472.0,511.0,582.0,1201.0,2156.0,12169.0,39247,1.45,
神奈川方面,,池上通り,ガス橋,756,756.0,686.0,703.0,627.0,631.0,570.0,638.0,763.0,572.0,714.0,781.0,8197.0,671.0,413.0,349.0,317.0,208.0,171.0,97.0,116.0,136.0,138.0,355.0,675.0,3646.0,11843,1.44,
神奈川方面,,中原街道,丸子橋,2457,2190.0,1903.0,1805.0,2053.0,1933.0,1732.0,1900.0,1902.0,1993.0,2404.0,2032.0,24304.0,1912.0,1567.0,1221.0,1104.0,870.0,751.0,770.0,601.0,514.0,579.0,1104.0,1737.0,12730.0,37034,1.52,
神奈川方面,○,第三京浜,新多摩川橋,4987,4625.0,3945.0,3450.0,3239.0,3130.0,2880.0,3094.0,3207.0,3779.0,4648.0,3915.0,44899.0,3152.0,2008.0,1518.0,1242.0,993.0,781.0,703.0,569.0,520.0,701.0,1534.0,3346.0,17067.0,61966,1.38,
神奈川方面,,旧玉川通り,二子橋,1000,1028.0,1102.0,925.0,858.0,940.0,922.0,971.0,932.0,875.0,946.0,999.0,11498.0,914.0,766.0,612.0,516.0,360.0,363.0,283.0,156.0,263.0,349.0,481.0,837.0,5900.0,17398,1.51,
神奈川方面,,玉川通り,新二子橋,3194,2731.0,3251.0,2722.0,2602.0,2649.0,2510.0,2696.0,2779.0,2938.0,3181.0,3048.0,34301.0,2770.0,2377.0,1989.0,1726.0,1293.0,1188.0,976.0,908.0,917.0,1263.0,2278.0,3381.0,21066.0,55367,1.61,
神奈川方面,○,東名高速道路,東名多摩川橋,4374,4018.0,4314.0,4119.0,4326.0,4494.0,4571.0,5353.0,4657.0,4767.0,5465.0,5122.0,55580.0,4561.0,4019.0,3200.0,2932.0,2380.0,2151.0,1930.0,1669.0,1869.0,2169.0,3595.0,4694.0,35169.0,90749,1.63,
神奈川方面,,世田谷通り,多摩水道橋,2244,2156.0,1931.0,1598.0,1499.0,1447.0,1477.0,1714.0,1691.0,1822.0,1958.0,1774.0,21311.0,1383.0,1133.0,892.0,668.0,510.0,382.0,368.0,302.0,347.0,513.0,945.0,1684.0,9127.0,30438,1.43,
神奈川方面,,町田街道,町田辻,1042,926.0,761.0,737.0,749.0,692.0,736.0,712.0,785.0,846.0,995.0,842.0,9823.0,782.0,530.0,417.0,274.0,235.0,160.0,148.0,103.0,109.0,193.0,450.0,785.0,4186.0,14009,1.43,
神奈川方面,,鎌倉街道,森野橋,1010,941.0,912.0,913.0,879.0,967.0,884.0,899.0,991.0,884.0,998.0,1027.0,11305.0,960.0,822.0,672.0,479.0,393.0,291.0,264.0,197.0,195.0,311.0,487.0,903.0,5974.0,17279,1.53,
神奈川方面,,東京環状,相原両国橋,747,717.0,678.0,585.0,624.0,609.0,634.0,591.0,737.0,673.0,741.0,749.0,8085.0,579.0,457.0,349.0,245.0,154.0,127.0,65.0,78.0,58.0,102.0,301.0,587.0,3102.0,11187,1.38,
神奈川方面,,八王子バイパス,稲荷橋,2564,1956.0,2209.0,2233.0,2195.0,2116.0,1952.0,2166.0,2156.0,2385.0,2352.0,2398.0,26682.0,2096.0,1807.0,1330.0,928.0,805.0,562.0,529.0,598.0,765.0,799.0,1504.0,2299.0,14022.0,40704,1.53,
神奈川方面,○,圏央道,相模原八王子トンネル,4268,4241.0,3729.0,4171.0,3985.0,3631.0,3720.0,3395.0,3397.0,3226.0,3654.0,3970.0,45387.0,3048.0,2389.0,1752.0,1678.0,1655.0,1121.0,1004.0,1091.0,1222.0,1728.0,2619.0,4069.0,23376.0,68763,1.52,
神奈川方面,,小計,,47498,43284.0,41800.0,39372.0,39378.0,38011.0,37724.0,40917.0,41221.0,42147.0,45698.0,42777.0,499827.0,37384.0,28740.0,22686.0,19346.0,15167.0,12674.0,11474.0,10091.0,11044.0,14578.0,26560.0,41185.0,250929.0,750756,1.5,34.9
神奈川方面,,構成率,,6.3,5.8,5.6,5.2,5.2,5.1,5.0,5.5,5.5,5.6,6.1,5.7,66.6,5.0,3.8,3.0,2.6,2.0,1.7,1.5,1.3,1.5,1.9,3.5,5.5,33.4,100,,
山梨方面,,甲州街道,大垂水,484,336.0,380.0,269.0,300.0,294.0,307.0,333.0,423.0,441.0,505.0,520.0,4592.0,242.0,211.0,137.0,98.0,70.0,58.0,29.0,27.0,47.0,47.0,110.0,276.0,1352.0,5944,1.29,
山梨方面,○,中央道,小仏トンネル,3326,3403.0,3824.0,3873.0,3413.0,2897.0,2982.0,3357.0,3830.0,3533.0,3250.0,3131.0,40819.0,2346.0,1790.0,1363.0,1221.0,1103.0,756.0,663.0,620.0,957.0,1268.0,1824.0,2850.0,16761.0,57580,1.41,
山梨方面,,小計,,3810,3739.0,4204.0,4142.0,3713.0,3191.0,3289.0,3690.0,4253.0,3974.0,3755.0,3651.0,45411.0,2588.0,2001.0,1500.0,1319.0,1173.0,814.0,692.0,647.0,1004.0,1315.0,1934.0,3126.0,18113.0,63524,1.4,3
山梨方面,,構成率,,6,5.9,6.6,6.5,5.8,5.0,5.2,5.8,6.7,6.3,5.9,5.7,71.5,4.1,3.1,2.4,2.1,1.8,1.3,1.1,1.0,1.6,2.1,3.0,4.9,28.5,100,－,－
埼玉方面,○,圏央道,青梅,4630,4184.0,4172.0,4067.0,3741.0,3730.0,3591.0,3648.0,3637.0,4075.0,3840.0,4265.0,47580.0,3490.0,3142.0,2263.0,1309.0,1337.0,1539.0,1172.0,944.0,1204.0,1666.0,2070.0,3169.0,23305.0,70885,1.49,
埼玉方面,,東京環状,駒形富士山,2284,1956.0,1974.0,2170.0,1899.0,1896.0,2166.0,2131.0,2104.0,2083.0,1967.0,2003.0,24633.0,1594.0,1120.0,972.0,572.0,492.0,443.0,439.0,496.0,601.0,947.0,1359.0,1990.0,11025.0,35658,1.45,
埼玉方面,,所沢街道,ニ柳橋,661,594.0,570.0,604.0,632.0,597.0,588.0,602.0,641.0,683.0,638.0,645.0,7455.0,603.0,517.0,405.0,278.0,223.0,195.0,189.0,148.0,167.0,210.0,414.0,658.0,4007.0,11462,1.54,
埼玉方面,,小金井街道,清瀬橋,1230,1142.0,1040.0,1150.0,1084.0,1112.0,945.0,1085.0,1054.0,1087.0,1196.0,1212.0,13337.0,966.0,841.0,557.0,433.0,276.0,201.0,170.0,166.0,165.0,296.0,502.0,1141.0,5714.0,19051,1.43,
埼玉方面,,志木街道,下清戸,1114,988.0,896.0,850.0,951.0,888.0,899.0,951.0,946.0,957.0,923.0,996.0,11359.0,809.0,650.0,498.0,335.0,281.0,231.0,167.0,184.0,186.0,172.0,467.0,839.0,4819.0,16178,1.42,
埼玉方面,○,関越道,新座料金所,6366,5695.0,5688.0,5296.0,4481.0,5116.0,4971.0,5269.0,5677.0,5820.0,5674.0,5138.0,65191.0,4449.0,3213.0,2257.0,1828.0,1371.0,1182.0,985.0,916.0,892.0,1417.0,3378.0,5480.0,27368.0,92559,1.42,
埼玉方面,○,外環道,大泉,4629,4656.0,4467.0,4237.0,3892.0,3708.0,4148.0,4680.0,4691.0,4950.0,4627.0,4304.0,52989.0,3864.0,2700.0,2006.0,1438.0,1211.0,1155.0,874.0,867.0,1044.0,1640.0,2814.0,3865.0,23478.0,76467,1.44,
埼玉方面,,笹目通り,土支田,1936,2275.0,1995.0,2087.0,2362.0,2029.0,2104.0,2202.0,2210.0,2120.0,2382.0,2147.0,25849.0,2081.0,1670.0,1259.0,1067.0,707.0,675.0,608.0,519.0,580.0,746.0,1410.0,2097.0,13419.0,39268,1.52,
埼玉方面,,川越街道,東埼橋,1729,1832.0,1330.0,1644.0,1601.0,1474.0,1537.0,1546.0,1442.0,1719.0,1795.0,1814.0,19463.0,1535.0,1284.0,983.0,727.0,564.0,515.0,478.0,360.0,358.0,414.0,873.0,1613.0,9704.0,29167,1.5,
埼玉方面,,笹目通り,三園,3001,2742.0,2390.0,2347.0,2373.0,2281.0,2297.0,2288.0,2506.0,2611.0,2661.0,2581.0,30078.0,2181.0,1629.0,1374.0,946.0,671.0,663.0,472.0,503.0,613.0,814.0,1590.0,2392.0,13848.0,43926,1.46,
埼玉方面,,新大宮バイパス,笹目橋,4771,4360.0,3800.0,3477.0,3294.0,3226.0,3376.0,3481.0,3375.0,3524.0,3972.0,3437.0,44093.0,2989.0,2562.0,1795.0,1381.0,1018.0,680.0,707.0,782.0,771.0,1434.0,2107.0,3617.0,19843.0,63936,1.45,
埼玉方面,○,首都高速５号池袋線,高速笹目橋,2747,2675.0,2302.0,2629.0,3329.0,2907.0,2931.0,3384.0,3619.0,3544.0,3831.0,3452.0,37350.0,3217.0,3083.0,2546.0,2284.0,1724.0,1344.0,1166.0,1071.0,994.0,1337.0,2384.0,2616.0,23766.0,61116,1.64,
埼玉方面,,中山道,戸田橋,2210,2294.0,1850.0,1806.0,1934.0,1747.0,1838.0,2050.0,1897.0,1865.0,2128.0,2120.0,23739.0,1853.0,1497.0,1076.0,898.0,690.0,514.0,585.0,514.0,427.0,644.0,1234.0,2072.0,12004.0,35743,1.51,
埼玉方面,,北本通り,新荒川大橋,3156,2950.0,2671.0,2588.0,2413.0,2423.0,2303.0,2482.0,2416.0,2407.0,2713.0,2407.0,30929.0,2093.0,1568.0,1254.0,981.0,873.0,706.0,726.0,640.0,607.0,1010.0,1777.0,2562.0,14797.0,45726,1.48,
埼玉方面,○,首都高速川口線,足立入谷,4540,4539.0,4603.0,5042.0,4258.0,4531.0,4802.0,4851.0,4874.0,4600.0,4305.0,4080.0,55025.0,4090.0,2864.0,2380.0,1916.0,1633.0,1252.0,1067.0,852.0,1154.0,1721.0,3015.0,3704.0,25648.0,80673,1.47,
埼玉方面,,尾久橋通り,舎人３,1568,1385.0,1225.0,1387.0,1343.0,1235.0,1240.0,1121.0,1129.0,1273.0,1465.0,1262.0,15633.0,826.0,809.0,488.0,338.0,258.0,191.0,124.0,166.0,156.0,346.0,827.0,1341.0,5870.0,21503,1.38,
埼玉方面,,草加バイパス,毛長川橋,2046,2059.0,1975.0,1871.0,1953.0,1825.0,1919.0,1747.0,1819.0,1991.0,2625.0,1899.0,23729.0,1778.0,1385.0,949.0,869.0,651.0,557.0,431.0,447.0,523.0,867.0,1611.0,2180.0,12248.0,35977,1.52,
埼玉方面,,足立越谷線,水神橋,974,972.0,794.0,828.0,821.0,844.0,881.0,916.0,1039.0,957.0,1124.0,1216.0,11366.0,871.0,621.0,547.0,360.0,262.0,271.0,173.0,187.0,184.0,241.0,524.0,762.0,5003.0,16369,1.44,
埼玉方面,○,首都高速６号三郷線,加平,3907,3851.0,3888.0,4880.0,5065.0,4154.0,4025.0,5254.0,5420.0,4080.0,3316.0,5150.0,52990.0,4842.0,3174.0,2118.0,2664.0,1972.0,1654.0,1148.0,1674.0,1680.0,1955.0,3092.0,4496.0,30469.0,83459,1.57,
埼玉方面,,旧水戸街道(埼玉方面),天王橋（東金町）,643,615.0,542.0,540.0,513.0,479.0,473.0,550.0,546.0,601.0,638.0,604.0,6744.0,584.0,331.0,286.0,194.0,161.0,95.0,89.0,75.0,90.0,170.0,352.0,536.0,2963.0,9707,1.44,
埼玉方面,,水戸街道(埼玉方面),新葛飾橋(葛飾大橋経由),157,169.0,174.0,167.0,147.0,142.0,182.0,188.0,142.0,189.0,195.0,170.0,2022.0,130.0,90.0,69.0,58.0,48.0,25.0,26.0,20.0,34.0,46.0,138.0,153.0,837.0,2859,1.41,
埼玉方面,,小計,,54299,51933.0,48346.0,49667.0,48086.0,46344.0,47216.0,50426.0,51184.0,51136.0,52015.0,50902.0,601554.0,44845.0,34750.0,26082.0,20876.0,16423.0,14088.0,11796.0,11531.0,12430.0,18093.0,31938.0,47283.0,290135.0,891689,1.48,41.4
埼玉方面,,構成率,,6.1,5.8,5.4,5.6,5.4,5.2,5.3,5.7,5.7,5.7,5.8,5.7,67.5,5.0,3.9,2.9,2.3,1.8,1.6,1.3,1.3,1.4,2.0,3.6,5.3,32.5,100,－,－
千葉方面,,旧水戸街道(千葉方面）,葛飾橋・葛飾大橋,1517,1072.0,744.0,701.0,719.0,685.0,701.0,763.0,807.0,841.0,1040.0,945.0,10535.0,688.0,428.0,320.0,218.0,137.0,113.0,111.0,98.0,98.0,147.0,507.0,1261.0,4126.0,14661,1.39,
千葉方面,,水戸街道(千葉方面）,新葛飾橋(葛飾大橋以外),2505,2247.0,2093.0,1849.0,1995.0,2088.0,1946.0,2072.0,2074.0,2253.0,2513.0,2494.0,26129.0,2292.0,1742.0,1520.0,1165.0,952.0,707.0,720.0,724.0,747.0,1139.0,1822.0,2230.0,15760.0,41889,1.6,
千葉方面,,千葉街道,市川橋,2588,2136.0,1600.0,1590.0,1513.0,1688.0,1570.0,1629.0,1701.0,1984.0,2270.0,2000.0,22269.0,1647.0,1230.0,910.0,614.0,501.0,429.0,410.0,374.0,369.0,504.0,1187.0,2283.0,10458.0,32727,1.47,
千葉方面,○,京葉道路,江戸川大橋,7589,6579.0,6447.0,5791.0,5709.0,5577.0,7021.0,5943.0,6604.0,6801.0,6297.0,6106.0,76464.0,5096.0,3560.0,2985.0,2322.0,1967.0,1597.0,1311.0,1274.0,1206.0,1864.0,4259.0,7268.0,34709.0,111173,1.45,
千葉方面,,新大橋通り,今井橋,2463,2169.0,1750.0,1710.0,1628.0,1654.0,1597.0,1662.0,1788.0,1982.0,2377.0,2040.0,22820.0,1476.0,1278.0,1068.0,737.0,568.0,412.0,362.0,360.0,358.0,558.0,1004.0,1882.0,10063.0,32883,1.44,
千葉方面,,葛西橋通り,浦安橋,2198,2097.0,1630.0,1816.0,1626.0,1590.0,1680.0,1443.0,1581.0,1628.0,2083.0,1617.0,20989.0,1337.0,1004.0,787.0,660.0,464.0,349.0,387.0,290.0,302.0,395.0,912.0,1409.0,8296.0,29285,1.4,
千葉方面,,湾岸道路（千葉）,舞浜大橋,4734,4149.0,3664.0,3564.0,3456.0,3397.0,3328.0,3406.0,3526.0,3542.0,4202.0,4148.0,45116.0,3402.0,3287.0,2891.0,2324.0,1475.0,1257.0,1275.0,1216.0,1380.0,2089.0,3213.0,4308.0,28117.0,73233,1.62,
千葉方面,○,首都高速湾岸線（千葉）,高速舞浜大橋,6020,6106.0,5978.0,6421.0,5636.0,6131.0,5985.0,6469.0,6811.0,7314.0,6025.0,6487.0,75383.0,5389.0,4408.0,3912.0,3170.0,1641.0,1434.0,1289.0,1041.0,1298.0,1732.0,3684.0,5158.0,34156.0,109539,1.45,
千葉方面,,小計,,29614,26555.0,23906.0,23442.0,22282.0,22810.0,23828.0,23387.0,24892.0,26345.0,26807.0,25837.0,299705.0,21327.0,16937.0,14393.0,11210.0,7705.0,6298.0,5865.0,5377.0,5758.0,8428.0,16588.0,25799.0,145685.0,445390,1.49,20.7
