freight_network_class_code,freight_network_class,road_class_code,road_class,segment_count,unique_route_count,total_length_km
1,Primary highway freight network road,1,National expressway,10,5,51.81
1,Primary highway freight network road,2,Urban expressway,28,14,108.781
1,Primary highway freight network road,3,General national highway,28,14,178.109
1,Primary highway freight network road,4,Major local road (prefectural road),7,4,97.434
1,Primary highway freight network road,6,General prefectural road,4,4,4.878
1,Primary highway freight network road,7,Municipal or special-ward road,1,1,0.226
1,Primary highway freight network road,9,Unknown,3,3,0.778
2,Alternative or complementary route,3,General national highway,20,12,85.965
2,Alternative or complementary route,4,Major local road (prefectural road),81,38,154.679
2,Alternative or complementary route,5,Major local road (designated-city road),1,1,0.278
2,Alternative or complementary route,6,General prefectural road,76,57,76.549
2,Alternative or complementary route,7,Municipal or special-ward road,105,105,42.742
2,Alternative or complementary route,9,Unknown,47,47,16.632
