prefecture_code,freight_network_class_code,freight_network_class,road_class_code,road_class,route_name_ja,route_id,branch_id,length_km,use_in_analysis,limitation
13,1,Primary highway freight network road,4,Major local road (prefectural road),東京都道　日比谷豊洲埠頭東雲町線,1,1,0.53951,"Tokyo logistics-corridor proxy for EV last-mile routing context; use as infrastructure-context evidence, not as observed delivery routes.","National Land Numerical Information N12 identifies designated freight-road corridors. It does not provide parcel demand, depot schedules, travel time, or EV charging behavior."
13,1,Primary highway freight network road,4,Major local road (prefectural road),東京都道　環状8号線,2,1,11.721012,"Tokyo logistics-corridor proxy for EV last-mile routing context; use as infrastructure-context evidence, not as observed delivery routes.","National Land Numerical Information N12 identifies designated freight-road corridors. It does not provide parcel demand, depot schedules, travel time, or EV charging behavior."
13,1,Primary highway freight network road,4,Major local road (prefectural road),東京都道　環状8号線,2,2,24.67597,"Tokyo logistics-corridor proxy for EV last-mile routing context; use as infrastructure-context evidence, not as observed delivery routes.","National Land Numerical Information N12 identifies designated freight-road corridors. It does not provide parcel demand, depot schedules, travel time, or EV charging behavior."
13,1,Primary highway freight network road,4,Major local road (prefectural road),東京都道　日本橋芝浦大森線,3,1,2.181811,"Tokyo logistics-corridor proxy for EV last-mile routing context; use as infrastructure-context evidence, not as observed delivery routes.","National Land Numerical Information N12 identifies designated freight-road corridors. It does not provide parcel demand, depot schedules, travel time, or EV charging behavior."
13,1,Primary highway freight network road,4,Major local road (prefectural road),東京都道　日本橋芝浦大森線,3,2,1.015297,"Tokyo logistics-corridor proxy for EV last-mile routing context; use as infrastructure-context evidence, not as observed delivery routes.","National Land Numerical Information N12 identifies designated freight-road corridors. It does not provide parcel demand, depot schedules, travel time, or EV charging behavior."
13,1,Primary highway freight network road,4,Major local road (prefectural road),東京都道　日本橋芝浦大森線,3,3,1.260058,"Tokyo logistics-corridor proxy for EV last-mile routing context; use as infrastructure-context evidence, not as observed delivery routes.","National Land Numerical Information N12 identifies designated freight-road corridors. It does not provide parcel demand, depot schedules, travel time, or EV charging behavior."
13,1,Primary highway freight network road,6,General prefectural road,東京都道　品川埠頭線,4,1,2.357495,"Tokyo logistics-corridor proxy for EV last-mile routing context; use as infrastructure-context evidence, not as observed delivery routes.","National Land Numerical Information N12 identifies designated freight-road corridors. It does not provide parcel demand, depot schedules, travel time, or EV charging behavior."
13,1,Primary highway freight network road,6,General prefectural road,東京都道　台場青海線,5,1,1.345041,"Tokyo logistics-corridor proxy for EV last-mile routing context; use as infrastructure-context evidence, not as observed delivery routes.","National Land Numerical Information N12 identifies designated freight-road corridors. It does not provide parcel demand, depot schedules, travel time, or EV charging behavior."
13,1,Primary highway freight network road,7,Municipal or special-ward road,江東区江617号,6,1,0.226488,"Tokyo logistics-corridor proxy for EV last-mile routing context; use as infrastructure-context evidence, not as observed delivery routes.","National Land Numerical Information N12 identifies designated freight-road corridors. It does not provide parcel demand, depot schedules, travel time, or EV charging behavior."
13,1,Primary highway freight network road,6,General prefectural road,東京都道　王子千住夢の島線,7,1,1.056938,"Tokyo logistics-corridor proxy for EV last-mile routing context; use as infrastructure-context evidence, not as observed delivery routes.","National Land Numerical Information N12 identifies designated freight-road corridors. It does not provide parcel demand, depot schedules, travel time, or EV charging behavior."
13,1,Primary highway freight network road,3,General national highway,一般国道122号,8,1,2.282817,"Tokyo logistics-corridor proxy for EV last-mile routing context; use as infrastructure-context evidence, not as observed delivery routes.","National Land Numerical Information N12 identifies designated freight-road corridors. It does not provide parcel demand, depot schedules, travel time, or EV charging behavior."
13,1,Primary highway freight network road,3,General national highway,一般国道131号,9,1,1.87934,"Tokyo logistics-corridor proxy for EV last-mile routing context; use as infrastructure-context evidence, not as observed delivery routes.","National Land Numerical Information N12 identifies designated freight-road corridors. It does not provide parcel demand, depot schedules, travel time, or EV charging behavior."
13,1,Primary highway freight network road,3,General national highway,一般国道246号,10,1,1.249428,"Tokyo logistics-corridor proxy for EV last-mile routing context; use as infrastructure-context evidence, not as observed delivery routes.","National Land Numerical Information N12 identifies designated freight-road corridors. It does not provide parcel demand, depot schedules, travel time, or EV charging behavior."
13,1,Primary highway freight network road,3,General national highway,一般国道246号,10,2,0.16461,"Tokyo logistics-corridor proxy for EV last-mile routing context; use as infrastructure-context evidence, not as observed delivery routes.","National Land Numerical Information N12 identifies designated freight-road corridors. It does not provide parcel demand, depot schedules, travel time, or EV charging behavior."
13,1,Primary highway freight network road,3,General national highway,一般国道246号,10,3,7.836882,"Tokyo logistics-corridor proxy for EV last-mile routing context; use as infrastructure-context evidence, not as observed delivery routes.","National Land Numerical Information N12 identifies designated freight-road corridors. It does not provide parcel demand, depot schedules, travel time, or EV charging behavior."
13,1,Primary highway freight network road,1,National expressway,関越自動車道新潟線,11,1,1.019141,"Tokyo logistics-corridor proxy for EV last-mile routing context; use as infrastructure-context evidence, not as observed delivery routes.","National Land Numerical Information N12 identifies designated freight-road corridors. It does not provide parcel demand, depot schedules, travel time, or EV charging behavior."
13,1,Primary highway freight network road,1,National expressway,関越自動車道新潟線,11,2,3.395022,"Tokyo logistics-corridor proxy for EV last-mile routing context; use as infrastructure-context evidence, not as observed delivery routes.","National Land Numerical Information N12 identifies designated freight-road corridors. It does not provide parcel demand, depot schedules, travel time, or EV charging behavior."
13,2,Alternative or complementary route,3,General national highway,一般国道1号,12,1,4.519555,"Tokyo logistics-corridor proxy for EV last-mile routing context; use as infrastructure-context evidence, not as observed delivery routes.","National Land Numerical Information N12 identifies designated freight-road corridors. It does not provide parcel demand, depot schedules, travel time, or EV charging behavior."
13,2,Alternative or complementary route,3,General national highway,一般国道1号,12,2,2.786467,"Tokyo logistics-corridor proxy for EV last-mile routing context; use as infrastructure-context evidence, not as observed delivery routes.","National Land Numerical Information N12 identifies designated freight-road corridors. It does not provide parcel demand, depot schedules, travel time, or EV charging behavior."
13,2,Alternative or complementary route,3,General national highway,一般国道14号,13,1,0.362138,"Tokyo logistics-corridor proxy for EV last-mile routing context; use as infrastructure-context evidence, not as observed delivery routes.","National Land Numerical Information N12 identifies designated freight-road corridors. It does not provide parcel demand, depot schedules, travel time, or EV charging behavior."
13,2,Alternative or complementary route,3,General national highway,一般国道14号,13,2,5.872829,"Tokyo logistics-corridor proxy for EV last-mile routing context; use as infrastructure-context evidence, not as observed delivery routes.","National Land Numerical Information N12 identifies designated freight-road corridors. It does not provide parcel demand, depot schedules, travel time, or EV charging behavior."
13,2,Alternative or complementary route,3,General national highway,一般国道14号,13,3,0.807643,"Tokyo logistics-corridor proxy for EV last-mile routing context; use as infrastructure-context evidence, not as observed delivery routes.","National Land Numerical Information N12 identifies designated freight-road corridors. It does not provide parcel demand, depot schedules, travel time, or EV charging behavior."
13,2,Alternative or complementary route,3,General national highway,一般国道130号,14,1,0.460448,"Tokyo logistics-corridor proxy for EV last-mile routing context; use as infrastructure-context evidence, not as observed delivery routes.","National Land Numerical Information N12 identifies designated freight-road corridors. It does not provide parcel demand, depot schedules, travel time, or EV charging behavior."
13,2,Alternative or complementary route,3,General national highway,一般国道131号,9,2,1.134708,"Tokyo logistics-corridor proxy for EV last-mile routing context; use as infrastructure-context evidence, not as observed delivery routes.","National Land Numerical Information N12 identifies designated freight-road corridors. It does not provide parcel demand, depot schedules, travel time, or EV charging behavior."
13,2,Alternative or complementary route,3,General national highway,一般国道254号,15,1,7.467156,"Tokyo logistics-corridor proxy for EV last-mile routing context; use as infrastructure-context evidence, not as observed delivery routes.","National Land Numerical Information N12 identifies designated freight-road corridors. It does not provide parcel demand, depot schedules, travel time, or EV charging behavior."
13,2,Alternative or complementary route,3,General national highway,一般国道254号,15,2,6.46678,"Tokyo logistics-corridor proxy for EV last-mile routing context; use as infrastructure-context evidence, not as observed delivery routes.","National Land Numerical Information N12 identifies designated freight-road corridors. It does not provide parcel demand, depot schedules, travel time, or EV charging behavior."
13,1,Primary highway freight network road,3,General national highway,一般国道298号,16,1,0.891662,"Tokyo logistics-corridor proxy for EV last-mile routing context; use as infrastructure-context evidence, not as observed delivery routes.","National Land Numerical Information N12 identifies designated freight-road corridors. It does not provide parcel demand, depot schedules, travel time, or EV charging behavior."
13,2,Alternative or complementary route,3,General national highway,一般国道411号,17,1,1.168048,"Tokyo logistics-corridor proxy for EV last-mile routing context; use as infrastructure-context evidence, not as observed delivery routes.","National Land Numerical Information N12 identifies designated freight-road corridors. It does not provide parcel demand, depot schedules, travel time, or EV charging behavior."
13,2,Alternative or complementary route,3,General national highway,一般国道411号,17,2,0.657089,"Tokyo logistics-corridor proxy for EV last-mile routing context; use as infrastructure-context evidence, not as observed delivery routes.","National Land Numerical Information N12 identifies designated freight-road corridors. It does not provide parcel demand, depot schedules, travel time, or EV charging behavior."
13,2,Alternative or complementary route,3,General national highway,一般国道411号,17,3,20.143834,"Tokyo logistics-corridor proxy for EV last-mile routing context; use as infrastructure-context evidence, not as observed delivery routes.","National Land Numerical Information N12 identifies designated freight-road corridors. It does not provide parcel demand, depot schedules, travel time, or EV charging behavior."
13,1,Primary highway freight network road,3,General national highway,一般国道357号,18,1,0.351374,"Tokyo logistics-corridor proxy for EV last-mile routing context; use as infrastructure-context evidence, not as observed delivery routes.","National Land Numerical Information N12 identifies designated freight-road corridors. It does not provide parcel demand, depot schedules, travel time, or EV charging behavior."
13,1,Primary highway freight network road,3,General national highway,一般国道357号,18,2,0.212969,"Tokyo logistics-corridor proxy for EV last-mile routing context; use as infrastructure-context evidence, not as observed delivery routes.","National Land Numerical Information N12 identifies designated freight-road corridors. It does not provide parcel demand, depot schedules, travel time, or EV charging behavior."
13,1,Primary highway freight network road,3,General national highway,一般国道357号,18,3,2.0024,"Tokyo logistics-corridor proxy for EV last-mile routing context; use as infrastructure-context evidence, not as observed delivery routes.","National Land Numerical Information N12 identifies designated freight-road corridors. It does not provide parcel demand, depot schedules, travel time, or EV charging behavior."
13,1,Primary highway freight network road,3,General national highway,一般国道357号,18,4,22.512979,"Tokyo logistics-corridor proxy for EV last-mile routing context; use as infrastructure-context evidence, not as observed delivery routes.","National Land Numerical Information N12 identifies designated freight-road corridors. It does not provide parcel demand, depot schedules, travel time, or EV charging behavior."
13,1,Primary highway freight network road,3,General national highway,一般国道357号,18,5,1.526604,"Tokyo logistics-corridor proxy for EV last-mile routing context; use as infrastructure-context evidence, not as observed delivery routes.","National Land Numerical Information N12 identifies designated freight-road corridors. It does not provide parcel demand, depot schedules, travel time, or EV charging behavior."
13,1,Primary highway freight network road,3,General national highway,一般国道357号,18,6,0.265786,"Tokyo logistics-corridor proxy for EV last-mile routing context; use as infrastructure-context evidence, not as observed delivery routes.","National Land Numerical Information N12 identifies designated freight-road corridors. It does not provide parcel demand, depot schedules, travel time, or EV charging behavior."
13,1,Primary highway freight network road,1,National expressway,第1東海自動車道,19,1,0.436257,"Tokyo logistics-corridor proxy for EV last-mile routing context; use as infrastructure-context evidence, not as observed delivery routes.","National Land Numerical Information N12 identifies designated freight-road corridors. It does not provide parcel demand, depot schedules, travel time, or EV charging behavior."
13,1,Primary highway freight network road,3,General national highway,一般国道468号,20,1,24.523084,"Tokyo logistics-corridor proxy for EV last-mile routing context; use as infrastructure-context evidence, not as observed delivery routes.","National Land Numerical Information N12 identifies designated freight-road corridors. It does not provide parcel demand, depot schedules, travel time, or EV charging behavior."
13,2,Alternative or complementary route,4,Major local road (prefectural road),東京都道　世田谷町田線,21,1,0.73025,"Tokyo logistics-corridor proxy for EV last-mile routing context; use as infrastructure-context evidence, not as observed delivery routes.","National Land Numerical Information N12 identifies designated freight-road corridors. It does not provide parcel demand, depot schedules, travel time, or EV charging behavior."
13,2,Alternative or complementary route,4,Major local road (prefectural road),東京都道　世田谷町田線,21,2,1.146908,"Tokyo logistics-corridor proxy for EV last-mile routing context; use as infrastructure-context evidence, not as observed delivery routes.","National Land Numerical Information N12 identifies designated freight-road corridors. It does not provide parcel demand, depot schedules, travel time, or EV charging behavior."
13,2,Alternative or complementary route,4,Major local road (prefectural road),東京都道　東京所沢線,22,1,1.268197,"Tokyo logistics-corridor proxy for EV last-mile routing context; use as infrastructure-context evidence, not as observed delivery routes.","National Land Numerical Information N12 identifies designated freight-road corridors. It does not provide parcel demand, depot schedules, travel time, or EV charging behavior."
13,2,Alternative or complementary route,4,Major local road (prefectural road),東京都道　東京所沢線,22,2,0.480665,"Tokyo logistics-corridor proxy for EV last-mile routing context; use as infrastructure-context evidence, not as observed delivery routes.","National Land Numerical Information N12 identifies designated freight-road corridors. It does not provide parcel demand, depot schedules, travel time, or EV charging behavior."
13,2,Alternative or complementary route,4,Major local road (prefectural road),東京都道　東京所沢線,22,3,0.747147,"Tokyo logistics-corridor proxy for EV last-mile routing context; use as infrastructure-context evidence, not as observed delivery routes.","National Land Numerical Information N12 identifies designated freight-road corridors. It does not provide parcel demand, depot schedules, travel time, or EV charging behavior."
13,2,Alternative or complementary route,4,Major local road (prefectural road),東京都道　東京所沢線,22,4,1.216624,"Tokyo logistics-corridor proxy for EV last-mile routing context; use as infrastructure-context evidence, not as observed delivery routes.","National Land Numerical Information N12 identifies designated freight-road corridors. It does not provide parcel demand, depot schedules, travel time, or EV charging behavior."
13,2,Alternative or complementary route,4,Major local road (prefectural road),東京都道　東京所沢線,22,5,1.403888,"Tokyo logistics-corridor proxy for EV last-mile routing context; use as infrastructure-context evidence, not as observed delivery routes.","National Land Numerical Information N12 identifies designated freight-road corridors. It does not provide parcel demand, depot schedules, travel time, or EV charging behavior."
13,2,Alternative or complementary route,4,Major local road (prefectural road),東京都道　東京所沢線,22,6,1.72019,"Tokyo logistics-corridor proxy for EV last-mile routing context; use as infrastructure-context evidence, not as observed delivery routes.","National Land Numerical Information N12 identifies designated freight-road corridors. It does not provide parcel demand, depot schedules, travel time, or EV charging behavior."
13,2,Alternative or complementary route,4,Major local road (prefectural road),東京都道　新宿青梅線,23,1,4.294961,"Tokyo logistics-corridor proxy for EV last-mile routing context; use as infrastructure-context evidence, not as observed delivery routes.","National Land Numerical Information N12 identifies designated freight-road corridors. It does not provide parcel demand, depot schedules, travel time, or EV charging behavior."
13,2,Alternative or complementary route,4,Major local road (prefectural road),東京都道　新宿青梅線,23,2,9.453352,"Tokyo logistics-corridor proxy for EV last-mile routing context; use as infrastructure-context evidence, not as observed delivery routes.","National Land Numerical Information N12 identifies designated freight-road corridors. It does not provide parcel demand, depot schedules, travel time, or EV charging behavior."
13,2,Alternative or complementary route,4,Major local road (prefectural road),東京都道　新宿青梅線,23,3,0.70174,"Tokyo logistics-corridor proxy for EV last-mile routing context; use as infrastructure-context evidence, not as observed delivery routes.","National Land Numerical Information N12 identifies designated freight-road corridors. It does not provide parcel demand, depot schedules, travel time, or EV charging behavior."
13,2,Alternative or complementary route,4,Major local road (prefectural road),東京都道　新宿青梅線,23,4,0.637591,"Tokyo logistics-corridor proxy for EV last-mile routing context; use as infrastructure-context evidence, not as observed delivery routes.","National Land Numerical Information N12 identifies designated freight-road corridors. It does not provide parcel demand, depot schedules, travel time, or EV charging behavior."
13,2,Alternative or complementary route,4,Major local road (prefectural road),東京都道　新宿青梅線,23,5,1.411587,"Tokyo logistics-corridor proxy for EV last-mile routing context; use as infrastructure-context evidence, not as observed delivery routes.","National Land Numerical Information N12 identifies designated freight-road corridors. It does not provide parcel demand, depot schedules, travel time, or EV charging behavior."
13,2,Alternative or complementary route,4,Major local road (prefectural road),東京都道　新宿青梅線,23,6,5.036052,"Tokyo logistics-corridor proxy for EV last-mile routing context; use as infrastructure-context evidence, not as observed delivery routes.","National Land Numerical Information N12 identifies designated freight-road corridors. It does not provide parcel demand, depot schedules, travel time, or EV charging behavior."
13,2,Alternative or complementary route,4,Major local road (prefectural road),東京都道　杉並あきる野線,24,1,1.472073,"Tokyo logistics-corridor proxy for EV last-mile routing context; use as infrastructure-context evidence, not as observed delivery routes.","National Land Numerical Information N12 identifies designated freight-road corridors. It does not provide parcel demand, depot schedules, travel time, or EV charging behavior."
13,2,Alternative or complementary route,4,Major local road (prefectural road),東京都道　杉並あきる野線,24,2,0.949669,"Tokyo logistics-corridor proxy for EV last-mile routing context; use as infrastructure-context evidence, not as observed delivery routes.","National Land Numerical Information N12 identifies designated freight-road corridors. It does not provide parcel demand, depot schedules, travel time, or EV charging behavior."
13,2,Alternative or complementary route,4,Major local road (prefectural road),東京都道　杉並あきる野線,24,3,5.428267,"Tokyo logistics-corridor proxy for EV last-mile routing context; use as infrastructure-context evidence, not as observed delivery routes.","National Land Numerical Information N12 identifies designated freight-road corridors. It does not provide parcel demand, depot schedules, travel time, or EV charging behavior."
13,2,Alternative or complementary route,4,Major local road (prefectural road),東京都道　杉並あきる野線,24,4,0.041628,"Tokyo logistics-corridor proxy for EV last-mile routing context; use as infrastructure-context evidence, not as observed delivery routes.","National Land Numerical Information N12 identifies designated freight-road corridors. It does not provide parcel demand, depot schedules, travel time, or EV charging behavior."
13,2,Alternative or complementary route,4,Major local road (prefectural road),東京都道　杉並あきる野線,24,5,8.398052,"Tokyo logistics-corridor proxy for EV last-mile routing context; use as infrastructure-context evidence, not as observed delivery routes.","National Land Numerical Information N12 identifies designated freight-road corridors. It does not provide parcel demand, depot schedules, travel time, or EV charging behavior."
13,2,Alternative or complementary route,4,Major local road (prefectural road),東京都道　杉並あきる野線,24,6,2.132434,"Tokyo logistics-corridor proxy for EV last-mile routing context; use as infrastructure-context evidence, not as observed delivery routes.","National Land Numerical Information N12 identifies designated freight-road corridors. It does not provide parcel demand, depot schedules, travel time, or EV charging behavior."
13,2,Alternative or complementary route,4,Major local road (prefectural road),東京都道　杉並あきる野線,24,7,0.380606,"Tokyo logistics-corridor proxy for EV last-mile routing context; use as infrastructure-context evidence, not as observed delivery routes.","National Land Numerical Information N12 identifies designated freight-road corridors. It does not provide parcel demand, depot schedules, travel time, or EV charging behavior."
13,2,Alternative or complementary route,4,Major local road (prefectural road),東京都道　千代田練馬田無線,25,1,1.045697,"Tokyo logistics-corridor proxy for EV last-mile routing context; use as infrastructure-context evidence, not as observed delivery routes.","National Land Numerical Information N12 identifies designated freight-road corridors. It does not provide parcel demand, depot schedules, travel time, or EV charging behavior."
13,2,Alternative or complementary route,4,Major local road (prefectural road),東京都道　川崎府中線,26,1,3.098867,"Tokyo logistics-corridor proxy for EV last-mile routing context; use as infrastructure-context evidence, not as observed delivery routes.","National Land Numerical Information N12 identifies designated freight-road corridors. It does not provide parcel demand, depot schedules, travel time, or EV charging behavior."
13,2,Alternative or complementary route,4,Major local road (prefectural road),東京都道　川崎府中線,26,2,0.136069,"Tokyo logistics-corridor proxy for EV last-mile routing context; use as infrastructure-context evidence, not as observed delivery routes.","National Land Numerical Information N12 identifies designated freight-road corridors. It does not provide parcel demand, depot schedules, travel time, or EV charging behavior."
13,2,Alternative or complementary route,4,Major local road (prefectural road),東京都道　東京浦安線,27,1,0.953541,"Tokyo logistics-corridor proxy for EV last-mile routing context; use as infrastructure-context evidence, not as observed delivery routes.","National Land Numerical Information N12 identifies designated freight-road corridors. It does not provide parcel demand, depot schedules, travel time, or EV charging behavior."
13,2,Alternative or complementary route,4,Major local road (prefectural road),東京都道　東京浦安線,27,2,0.961551,"Tokyo logistics-corridor proxy for EV last-mile routing context; use as infrastructure-context evidence, not as observed delivery routes.","National Land Numerical Information N12 identifies designated freight-road corridors. It does not provide parcel demand, depot schedules, travel time, or EV charging behavior."
13,2,Alternative or complementary route,4,Major local road (prefectural road),東京都道　大田調布線,28,1,3.012207,"Tokyo logistics-corridor proxy for EV last-mile routing context; use as infrastructure-context evidence, not as observed delivery routes.","National Land Numerical Information N12 identifies designated freight-road corridors. It does not provide parcel demand, depot schedules, travel time, or EV charging behavior."
13,2,Alternative or complementary route,4,Major local road (prefectural road),東京都道　大田調布線,28,2,1.287339,"Tokyo logistics-corridor proxy for EV last-mile routing context; use as infrastructure-context evidence, not as observed delivery routes.","National Land Numerical Information N12 identifies designated freight-road corridors. It does not provide parcel demand, depot schedules, travel time, or EV charging behavior."
13,2,Alternative or complementary route,4,Major local road (prefectural road),東京都道　調布田無線,29,1,0.220966,"Tokyo logistics-corridor proxy for EV last-mile routing context; use as infrastructure-context evidence, not as observed delivery routes.","National Land Numerical Information N12 identifies designated freight-road corridors. It does not provide parcel demand, depot schedules, travel time, or EV charging behavior."
13,2,Alternative or complementary route,4,Major local road (prefectural road),東京都道　調布田無線,29,2,0.346334,"Tokyo logistics-corridor proxy for EV last-mile routing context; use as infrastructure-context evidence, not as observed delivery routes.","National Land Numerical Information N12 identifies designated freight-road corridors. It does not provide parcel demand, depot schedules, travel time, or EV charging behavior."
13,2,Alternative or complementary route,4,Major local road (prefectural road),東京都道　調布田無線,29,3,6.261682,"Tokyo logistics-corridor proxy for EV last-mile routing context; use as infrastructure-context evidence, not as observed delivery routes.","National Land Numerical Information N12 identifies designated freight-road corridors. It does not provide parcel demand, depot schedules, travel time, or EV charging behavior."
13,2,Alternative or complementary route,4,Major local road (prefectural road),東京都道　新宿国立線,30,1,0.184599,"Tokyo logistics-corridor proxy for EV last-mile routing context; use as infrastructure-context evidence, not as observed delivery routes.","National Land Numerical Information N12 identifies designated freight-road corridors. It does not provide parcel demand, depot schedules, travel time, or EV charging behavior."
13,2,Alternative or complementary route,4,Major local road (prefectural road),東京都道　府中清瀬線,31,1,5.195371,"Tokyo logistics-corridor proxy for EV last-mile routing context; use as infrastructure-context evidence, not as observed delivery routes.","National Land Numerical Information N12 identifies designated freight-road corridors. It does not provide parcel demand, depot schedules, travel time, or EV charging behavior."
13,2,Alternative or complementary route,4,Major local road (prefectural road),東京都道　立川所沢線,32,1,0.11645,"Tokyo logistics-corridor proxy for EV last-mile routing context; use as infrastructure-context evidence, not as observed delivery routes.","National Land Numerical Information N12 identifies designated freight-road corridors. It does not provide parcel demand, depot schedules, travel time, or EV charging behavior."
