地域コード,地域名,施設種類コード,施設種類名称,事業所数
08,茨城県,1,事務所施設,4214
08,茨城県,2,工場,5411
08,茨城県,3,店舗・飲食店,721
08,茨城県,4,物流施設,1717
08,茨城県,5,その他,282
08,茨城県,9,全施設,12346
11,埼玉県,1,事務所施設,9157
11,埼玉県,2,工場,11200
11,埼玉県,3,店舗・飲食店,1256
11,埼玉県,4,物流施設,4562
11,埼玉県,5,その他,697
11,埼玉県,9,全施設,26872
12,千葉県,1,事務所施設,6417
12,千葉県,2,工場,5379
12,千葉県,3,店舗・飲食店,1218
12,千葉県,4,物流施設,3136
12,千葉県,5,その他,547
12,千葉県,9,全施設,16697
13,東京都,1,事務所施設,38161
13,東京都,2,工場,8900
13,東京都,3,店舗・飲食店,3263
13,東京都,4,物流施設,5311
13,東京都,5,その他,1080
13,東京都,9,全施設,56714
14,神奈川県,1,事務所施設,11206
14,神奈川県,2,工場,7333
14,神奈川県,3,店舗・飲食店,1579
14,神奈川県,4,物流施設,3398
14,神奈川県,5,その他,584
14,神奈川県,9,全施設,24101
99,都市圏計,1,事務所施設,69155
99,都市圏計,2,工場,38224
99,都市圏計,3,店舗・飲食店,8037
99,都市圏計,4,物流施設,18124
99,都市圏計,5,その他,3190
99,都市圏計,9,全施設,136730
