地域コード,地域名,施設種類コード,施設種類名称,搬出重量,搬出トラック台数,搬入重量,搬入トラック台数
08,茨城県,1,事務所施設,89268,17070,75459,13232
08,茨城県,2,工場,219100,32189,155919,24332
08,茨城県,3,店舗・飲食店,658,1673,1577,1772
08,茨城県,4,物流施設,166294,33594,143775,23406
08,茨城県,5,その他,10634,1338,3250,466
08,茨城県,9,全施設,485954,85865,379980,63209
11,埼玉県,1,事務所施設,71806,28310,40201,18213
11,埼玉県,2,工場,253023,48372,192065,48149
11,埼玉県,3,店舗・飲食店,950,2717,2271,4584
11,埼玉県,4,物流施設,219261,75977,171740,44585
11,埼玉県,5,その他,7802,1538,6778,4608
11,埼玉県,9,全施設,552840,156915,413055,120139
12,千葉県,1,事務所施設,113578,24298,61596,16271
12,千葉県,2,工場,342047,33288,314547,24790
12,千葉県,3,店舗・飲食店,1465,2035,2287,3407
12,千葉県,4,物流施設,237648,57165,216296,37826
12,千葉県,5,その他,15206,3177,8004,3104
12,千葉県,9,全施設,709944,119964,602730,85398
13,東京都,1,事務所施設,264899,60441,215004,46605
13,東京都,2,工場,135379,34760,106133,33270
13,東京都,3,店舗・飲食店,2306,8250,3641,5774
13,東京都,4,物流施設,318124,102433,244022,56622
13,東京都,5,その他,18598,8074,33568,8118
13,東京都,9,全施設,739307,213957,602368,150390
14,神奈川県,1,事務所施設,137566,31828,111736,23851
14,神奈川県,2,工場,138367,32534,115385,30778
14,神奈川県,3,店舗・飲食店,1647,3530,5737,4521
14,神奈川県,4,物流施設,376656,78081,276335,45813
14,神奈川県,5,その他,18568,2390,16292,2018
14,神奈川県,9,全施設,672804,148362,525485,106981
99,都市圏計,1,事務所施設,677116,161947,503996,118172
99,都市圏計,2,工場,1087916,181144,884049,161319
99,都市圏計,3,店舗・飲食店,7025,18206,15512,20058
99,都市圏計,4,物流施設,1317983,347250,1052168,208253
99,都市圏計,5,その他,70808,16517,67893,18314
99,都市圏計,9,全施設,3160849,725063,2523617,526116
