発地コード,発地名,着地コード,着地名,品目コード,品目名称,重量（発→着）,重量（着→発）,トラック台数（発→着）,トラック台数（着→発）
01,北海道,08,茨城県,1,農水産品・食料工業品,897.48134,848.5819953,83.23941316,63.38021368
01,北海道,11,埼玉県,1,農水産品・食料工業品,2649.811042,875.3818098,256.6147242,182.5888392
01,北海道,12,千葉県,1,農水産品・食料工業品,754.6416759,1014.925589,38.58333333,34.40664279
01,北海道,13,東京都,1,農水産品・食料工業品,1261.02259,1071.525956,13.5325641,30.48
01,北海道,14,神奈川県,1,農水産品・食料工業品,3269.204274,1233.501426,26.77777778,25.59789721
02,青森県,08,茨城県,1,農水産品・食料工業品,187.4270198,220.6589774,6.453296703,40.38780477
02,青森県,11,埼玉県,1,農水産品・食料工業品,430.3873931,48.42777747,52.59761905,35.75652174
02,青森県,12,千葉県,1,農水産品・食料工業品,90.39143913,127.6939637,6,15.68367452
02,青森県,13,東京都,1,農水産品・食料工業品,194.440253,248.9391283,114.0169198,15.75
02,青森県,14,神奈川県,1,農水産品・食料工業品,162.1207991,91.78119809,6.4,0
03,岩手県,08,茨城県,1,農水産品・食料工業品,108.5864752,206.6757323,14.54,25.30561179
03,岩手県,11,埼玉県,1,農水産品・食料工業品,502.5269124,39.39093075,77.42313718,34.65760664
03,岩手県,12,千葉県,1,農水産品・食料工業品,27.25833333,97.60140014,2.666666667,4.5625
03,岩手県,13,東京都,1,農水産品・食料工業品,262.2411362,345.9897345,7.387745098,15.75
03,岩手県,14,神奈川県,1,農水産品・食料工業品,122.0432162,137.871876,0,0
04,宮城県,08,茨城県,1,農水産品・食料工業品,929.4771756,1454.467204,37.50640693,94.43047394
04,宮城県,11,埼玉県,1,農水産品・食料工業品,349.9737724,965.5026676,106.07115,248.7134781
04,宮城県,12,千葉県,1,農水産品・食料工業品,231.7482209,1257.823068,7,90.52975593
04,宮城県,13,東京都,1,農水産品・食料工業品,202.7134442,825.26533,14.83494506,88.19204934
04,宮城県,14,神奈川県,1,農水産品・食料工業品,552.3120076,1114.099225,45.10823137,44.79885058
05,秋田県,08,茨城県,1,農水産品・食料工業品,28.64,81.34899298,3.58,8.210526316
05,秋田県,11,埼玉県,1,農水産品・食料工業品,326.3924298,0.764124506,21.61210975,10.85310559
05,秋田県,12,千葉県,1,農水産品・食料工業品,50.0620872,22.68561808,0,7.051282051
05,秋田県,13,東京都,1,農水産品・食料工業品,149.5203384,72.91643829,44.2,0
05,秋田県,14,神奈川県,1,農水産品・食料工業品,67.69506728,149.0415002,0,0
06,山形県,08,茨城県,1,農水産品・食料工業品,0,256.4803172,0,28.0374068
06,山形県,11,埼玉県,1,農水産品・食料工業品,234.7733391,26.81719678,37.02908969,37.09622014
06,山形県,12,千葉県,1,農水産品・食料工業品,202.2357215,226.753667,0,7.051282051
06,山形県,13,東京都,1,農水産品・食料工業品,261.2819102,590.1482352,14.19333333,255.2423077
06,山形県,14,神奈川県,1,農水産品・食料工業品,191.110539,290.9608531,11.24731183,0
07,福島県,08,茨城県,1,農水産品・食料工業品,5341.341911,939.8736073,238.7228571,53.89317136
07,福島県,11,埼玉県,1,農水産品・食料工業品,384.16224,347.0363779,73.8202381,95.77412193
07,福島県,12,千葉県,1,農水産品・食料工業品,419.9531923,474.5650141,3.230769231,44.95023435
07,福島県,13,東京都,1,農水産品・食料工業品,133.8689476,556.62374,3.912280702,24.86561866
07,福島県,14,神奈川県,1,農水産品・食料工業品,368.9250752,344.9506016,0,11.69033131
08,茨城県,01,北海道,1,農水産品・食料工業品,848.5819953,897.48134,63.38021368,83.23941316
08,茨城県,02,青森県,1,農水産品・食料工業品,220.6589774,187.4270198,40.38780477,6.453296703
08,茨城県,03,岩手県,1,農水産品・食料工業品,206.6757323,108.5864752,25.30561179,14.54
08,茨城県,04,宮城県,1,農水産品・食料工業品,1454.467204,929.4771756,94.43047394,37.50640693
08,茨城県,05,秋田県,1,農水産品・食料工業品,81.34899298,28.64,8.210526316,3.58
08,茨城県,06,山形県,1,農水産品・食料工業品,256.4803172,0,28.0374068,0
08,茨城県,07,福島県,1,農水産品・食料工業品,939.8736073,5341.341911,53.89317136,238.7228571
08,茨城県,08,茨城県,1,農水産品・食料工業品,51182.07797,51182.07797,9622.370597,9622.370597
08,茨城県,09,栃木県,1,農水産品・食料工業品,6161.328861,5669.364096,298.1680128,434.6741611
08,茨城県,10,群馬県,1,農水産品・食料工業品,5507.990557,2065.483524,296.8796017,265.3761207
08,茨城県,11,埼玉県,1,農水産品・食料工業品,14980.41008,3187.774975,1668.918068,932.8856683
08,茨城県,12,千葉県,1,農水産品・食料工業品,27594.80525,8473.918818,1494.061706,910.3327255
08,茨城県,13,東京都,1,農水産品・食料工業品,7176.448145,3014.297523,965.7855397,134.2842707
08,茨城県,14,神奈川県,1,農水産品・食料工業品,22965.26179,5544.43994,757.0194499,149.8661658
08,茨城県,15,新潟県,1,農水産品・食料工業品,696.0182745,171.9243265,107.3216863,15.60204082
08,茨城県,16,富山県,1,農水産品・食料工業品,2.593230769,24.67205128,5.068376068,8.068376068
08,茨城県,17,石川県,1,農水産品・食料工業品,62.15518803,5.012,6.08,0
08,茨城県,18,福井県,1,農水産品・食料工業品,0.368,6.97,0,0
08,茨城県,19,山梨県,1,農水産品・食料工業品,173.612506,477.7114011,10.23333333,13.10204082
08,茨城県,20,長野県,1,農水産品・食料工業品,563.8574096,789.4968922,90.41116606,86.75858015
08,茨城県,21,岐阜県,1,農水産品・食料工業品,75.84795348,4.686,3.446808511,0
08,茨城県,22,静岡県,1,農水産品・食料工業品,512.4651641,937.6714579,34.00512821,59.28618084
08,茨城県,23,愛知県,1,農水産品・食料工業品,1492.066962,1261.089534,109.4073722,117.6568708
08,茨城県,24,三重県,1,農水産品・食料工業品,159.9524822,187.0472772,3.8,3.8
08,茨城県,25,滋賀県,1,農水産品・食料工業品,837.9601643,151.9474913,8.268376068,6.108108108
08,茨城県,26,京都府,1,農水産品・食料工業品,155.9277758,79.66216216,10.91522292,15.59369369
08,茨城県,27,大阪府,1,農水産品・食料工業品,1789.403446,393.6583543,319.3871791,48.02590047
08,茨城県,28,兵庫県,1,農水産品・食料工業品,1232.793603,223.5641465,79.82287459,13.26837607
08,茨城県,29,奈良県,1,農水産品・食料工業品,18.74570599,0.702375349,0,8.210526316
08,茨城県,30,和歌山県,1,農水産品・食料工業品,1.666,3.958157895,0,10.71052632
08,茨城県,31,鳥取県,1,農水産品・食料工業品,52.61363026,1.5,3.8,2.5
08,茨城県,32,島根県,1,農水産品・食料工業品,0.45182,0,0,0
08,茨城県,33,岡山県,1,農水産品・食料工業品,124.7860327,176.6680342,41.64512821,3.58
08,茨城県,34,広島県,1,農水産品・食料工業品,263.3301385,110.4696484,37.18512821,5.068376068
08,茨城県,35,山口県,1,農水産品・食料工業品,6.530051282,0.9,5.068376068,8
08,茨城県,36,徳島県,1,農水産品・食料工業品,0.1536,0.0716,0,0
08,茨城県,37,香川県,1,農水産品・食料工業品,25.57383761,74.88888889,5.068376068,5.068376068
08,茨城県,38,愛媛県,1,農水産品・食料工業品,14.14227949,0,8.868376068,0
08,茨城県,39,高知県,1,農水産品・食料工業品,0.176,5.94,0,2.9
08,茨城県,40,福岡県,1,農水産品・食料工業品,562.2124013,0,45.54,0
08,茨城県,41,佐賀県,1,農水産品・食料工業品,133.0541333,34,3.58,0
08,茨城県,42,長崎県,1,農水産品・食料工業品,1.284197406,0.530409035,8.183318597,0
08,茨城県,43,熊本県,1,農水産品・食料工業品,28.75892137,27.04285714,19.00512821,16.00204082
08,茨城県,44,大分県,1,農水産品・食料工業品,5.228376068,0,0,0
08,茨城県,45,宮崎県,1,農水産品・食料工業品,0.868625,1.8,0,0
08,茨城県,46,鹿児島県,1,農水産品・食料工業品,18.72196752,14.79965812,8.648376068,5.068376068
08,茨城県,47,沖縄県,1,農水産品・食料工業品,85.94310769,0.02534188,19.24,5.068376068
08,茨城県,90,全国,1,農水産品・食料工業品,239.5157479,919.0641895,117.2839488,60.86
08,茨城県,92,東北,1,農水産品・食料工業品,766.8093045,444.5026316,40.65458297,62.59868421
08,茨城県,93,海外,1,農水産品・食料工業品,84.52789024,6485.89515,8.868376068,22.2375
08,茨城県,94,不特定,1,農水産品・食料工業品,0.522758621,14.32,60.98850575,3.58
08,茨城県,99,全て不明,1,農水産品・食料工業品,184.3945455,4.520273504,15.84545455,27.06837607
09,栃木県,08,茨城県,1,農水産品・食料工業品,5669.364096,6161.328861,434.6741611,298.1680128
09,栃木県,11,埼玉県,1,農水産品・食料工業品,1947.324803,1764.650832,425.4572527,693.8399979
09,栃木県,12,千葉県,1,農水産品・食料工業品,322.0109847,1212.50657,37.01666667,83.06463236
09,栃木県,13,東京都,1,農水産品・食料工業品,857.6043764,1116.177155,118.6329304,32.93775594
09,栃木県,14,神奈川県,1,農水産品・食料工業品,1207.608925,513.0832812,77.85437629,18.81154307
10,群馬県,08,茨城県,1,農水産品・食料工業品,2065.483524,5507.990557,265.3761207,296.8796017
10,群馬県,11,埼玉県,1,農水産品・食料工業品,4110.744479,2851.235158,977.5623709,1519.861077
10,群馬県,12,千葉県,1,農水産品・食料工業品,1066.641443,2743.106329,88.60189494,208.6553513
10,群馬県,13,東京都,1,農水産品・食料工業品,2171.066747,2288.316849,54.13367931,31.10084034
10,群馬県,14,神奈川県,1,農水産品・食料工業品,987.9036131,1357.01812,95.3211857,35.8948764
11,埼玉県,01,北海道,1,農水産品・食料工業品,875.3818098,2649.811042,182.5888392,256.6147242
11,埼玉県,02,青森県,1,農水産品・食料工業品,48.42777747,430.3873931,35.75652174,52.59761905
11,埼玉県,03,岩手県,1,農水産品・食料工業品,39.39093075,502.5269124,34.65760664,77.42313718
11,埼玉県,04,宮城県,1,農水産品・食料工業品,965.5026676,349.9737724,248.7134781,106.07115
11,埼玉県,05,秋田県,1,農水産品・食料工業品,0.764124506,326.3924298,10.85310559,21.61210975
11,埼玉県,06,山形県,1,農水産品・食料工業品,26.81719678,234.7733391,37.09622014,37.02908969
11,埼玉県,07,福島県,1,農水産品・食料工業品,347.0363779,384.16224,95.77412193,73.8202381
11,埼玉県,08,茨城県,1,農水産品・食料工業品,3187.774975,14980.41008,932.8856683,1668.918068
11,埼玉県,09,栃木県,1,農水産品・食料工業品,1764.650832,1947.324803,693.8399979,425.4572527
11,埼玉県,10,群馬県,1,農水産品・食料工業品,2851.235158,4110.744479,1519.861077,977.5623709
11,埼玉県,11,埼玉県,1,農水産品・食料工業品,202115.1488,202115.1488,22041.78811,22041.78811
11,埼玉県,12,千葉県,1,農水産品・食料工業品,10021.81813,9509.279507,4267.010125,1446.582138
11,埼玉県,13,東京都,1,農水産品・食料工業品,20364.8443,10872.11068,8954.382215,1829.616474
11,埼玉県,14,神奈川県,1,農水産品・食料工業品,11326.16861,12167.99969,2572.112621,1306.825004
11,埼玉県,15,新潟県,1,農水産品・食料工業品,532.2830551,1206.800501,187.9169184,238.4678943
11,埼玉県,16,富山県,1,農水産品・食料工業品,30.95413696,172.6597126,21.25864662,37.79317043
11,埼玉県,17,石川県,1,農水産品・食料工業品,4.52310291,37.92230603,30.70033438,0
11,埼玉県,18,福井県,1,農水産品・食料工業品,20.7601275,26.490625,16.77206967,0
11,埼玉県,19,山梨県,1,農水産品・食料工業品,211.860051,537.949355,132.9405329,94.75602052
11,埼玉県,20,長野県,1,農水産品・食料工業品,1003.86723,663.5987559,327.7514995,120.9711749
11,埼玉県,21,岐阜県,1,農水産品・食料工業品,198.9100355,170.2939091,42.31904762,41.45
11,埼玉県,22,静岡県,1,農水産品・食料工業品,420.875817,842.2780136,228.6255186,231.3778667
11,埼玉県,23,愛知県,1,農水産品・食料工業品,387.0695905,810.778469,225.4974212,168.9134864
11,埼玉県,24,三重県,1,農水産品・食料工業品,1434.003107,990.4693803,142.2810755,133.8938919
11,埼玉県,25,滋賀県,1,農水産品・食料工業品,54.5369682,52.92702105,15.81162281,32.90477065
11,埼玉県,26,京都府,1,農水産品・食料工業品,132.9455013,265.5306006,56.28732304,59.14544629
11,埼玉県,27,大阪府,1,農水産品・食料工業品,1174.5235,333.190582,382.5377784,130.6368008
11,埼玉県,28,兵庫県,1,農水産品・食料工業品,824.1057884,768.443544,157.5227043,123.9375955
11,埼玉県,29,奈良県,1,農水産品・食料工業品,3.611652174,21.73797619,18.88478261,23.87380952
11,埼玉県,30,和歌山県,1,農水産品・食料工業品,2.555492241,209.9022708,14.50080022,36.83671971
11,埼玉県,31,鳥取県,1,農水産品・食料工業品,2.931517857,78.66293428,14.83214286,32.05977246
11,埼玉県,32,島根県,1,農水産品・食料工業品,0.083333333,0.023774834,0,14.26490066
11,埼玉県,33,岡山県,1,農水産品・食料工業品,20.29420501,301.7056031,27.68686791,58.53448276
11,埼玉県,34,広島県,1,農水産品・食料工業品,329.7340902,140.1964132,69.71928099,36.51973976
11,埼玉県,35,山口県,1,農水産品・食料工業品,3.924321736,9.405,16.46340852,4.75
11,埼玉県,36,徳島県,1,農水産品・食料工業品,0.174,0.42173913,4.35,4.217391304
11,埼玉県,37,香川県,1,農水産品・食料工業品,18.82806274,0.2014,27.64851533,3.8
11,埼玉県,38,愛媛県,1,農水産品・食料工業品,13.55424924,196.314175,22.45103875,32.2039897
11,埼玉県,39,高知県,1,農水産品・食料工業品,1.157904762,4.225496689,7.945238095,12.25496689
11,埼玉県,40,福岡県,1,農水産品・食料工業品,351.6728261,348.7741778,117.4403911,62.5358309
11,埼玉県,41,佐賀県,1,農水産品・食料工業品,133.4151027,124.8647472,20.8273441,20.4452381
11,埼玉県,42,長崎県,1,農水産品・食料工業品,0.16,59.04615385,0,5.615384615
11,埼玉県,43,熊本県,1,農水産品・食料工業品,53.80264416,145.9023776,29.57797619,13.61538462
11,埼玉県,44,大分県,1,農水産品・食料工業品,0.947403896,0.207965116,12.2952381,0
11,埼玉県,45,宮崎県,1,農水産品・食料工業品,52.66118182,111.002201,8.7,14.31578947
11,埼玉県,46,鹿児島県,1,農水産品・食料工業品,7.465917391,140.7982105,19.0173913,17.6
11,埼玉県,47,沖縄県,1,農水産品・食料工業品,35.10218182,0.038,18,3.8
11,埼玉県,90,全国,1,農水産品・食料工業品,19.4,2263.218155,25.86666667,349.6666667
11,埼玉県,92,東北,1,農水産品・食料工業品,2245.114006,105.8823529,740.4455962,415.5882353
11,埼玉県,93,海外,1,農水産品・食料工業品,16.66666667,365.373841,3.333333333,52.12064531
11,埼玉県,94,不特定,1,農水産品・食料工業品,59.48517647,264.4297619,580.5487616,695.7894737
11,埼玉県,99,全て不明,1,農水産品・食料工業品,7.248062016,21.83631347,7.248062016,259.366078
