"Statistics name :","2020 Population Census Basic Complete Tabulation on Population and Households"
"Table Number :","1-1-3"
"Title :","[Population, Households, Sex, Age and Marital status] Population in 2015 (readjusted), Number of households in 2015 (readjusted), Population change number for 5 years, Population change rate for 5 years, Number of households change number for 5 years, Number of households change rate for 5 years, Sex ratio, Area(reference) and Population density - Japan, Prefectures, Municipalities (including Municipalities as of 2000)"
"Implementation date :","2020","Oct."
"Cities, Towns and Villages :","-"

"***","Data not available"
"-","Data not available"

"","","","","","/Tabulated variable Code","2020_03","","2020_15","","2020_34","","2020_35","","2020_36","","2020_37","","2020_46","","2020_47","","2020_48",""
"Time Code","Time","All Municipalities (including those as of 2000) Code","All Municipalities (including those as of 2000) Level Code","All Municipalities (including those as of 2000)","/Tabulated variable","Population in 2015 (readjusted)[people]","Annotation","Number of households in 2015 (readjusted)[households]","Annotation","Population change number for 5 years[people]","Annotation","Population change rate for 5 years[%]","Annotation","Number of households change number for 5 years[households]","Annotation","Number of households change rate for 5 years[%]","Annotation","Sex ratio","Annotation","Area (reference)[km2]","Annotation","Population density[per km2]","Annotation"
"2020000000","2020","00000","1","Japan","","127,094,745","","53,448,685","","-948,646","","-0.74641","","2,381,469","","4.45562","","94.68037","","377,976.41","","338.2",""
"2020000000","2020","01000","2","Hokkaido","","5,381,733","","2,444,810","","-157,119","","-2.91949","","32,036","","1.31037","","89.33012","","83,424.44","","66.6",""
"2020000000","2020","01100","4","Sapporo-shi","","1,952,356","","921,837","","21,039","","1.07762","","47,324","","5.13366","","87.10256","","1,121.26","","1,760.0",""
"2020000000","2020","01101","5","Sapporo-shi Chuo-ku","","237,627","","132,006","","11,053","","4.65141","","9,423","","7.13831","","83.08584","","46.42","","5,357.2",""
"2020000000","2020","01102","5","Sapporo-shi Kita-ku","","285,321","","133,662","","4,002","","1.40263","","6,013","","4.49866","","89.43802","","63.57","","4,551.3",""
"2020000000","2020","01103","5","Sapporo-shi Higashi-ku","","261,912","","124,425","","3,467","","1.32373","","6,763","","5.43540","","90.43242","","56.97","","4,658.2",""
"2020000000","2020","01104","5","Sapporo-shi Shiroishi-ku","","209,584","","104,608","","2,251","","1.07403","","3,625","","3.46532","","89.52251","","34.47","","6,145.5",""
"2020000000","2020","01105","5","Sapporo-shi Toyohira-ku","","218,652","","110,171","","6,646","","3.03953","","8,479","","7.69622","","85.97537","","46.23","","4,873.4",""
"2020000000","2020","01106","5","Sapporo-shi Minami-ku","","141,190","","61,291","","-5,413","","-3.83384","","843","","1.37541","","84.90671","","657.48","","206.5",""
"2020000000","2020","01107","5","Sapporo-shi Nishi-ku","","213,578","","97,750","","3,462","","1.62095","","6,099","","6.23939","","85.48366","","75.10","","2,890.0",""
"2020000000","2020","01108","5","Sapporo-shi Atsubetsu-ku","","127,767","","55,585","","-2,684","","-2.10070","","1,704","","3.06558","","83.06258","","24.38","","5,130.6",""
"2020000000","2020","01109","5","Sapporo-shi Teine-ku","","140,999","","57,333","","1,626","","1.15320","","3,747","","6.53550","","88.37833","","56.77","","2,512.3",""
"2020000000","2020","01110","5","Sapporo-shi Kiyota-ku","","115,726","","45,006","","-3,371","","-2.91291","","628","","1.39537","","89.14028","","59.87","","1,876.6",""
"2020000000","2020","01202","4","Hakodate-shi","","265,979","","123,950","","-14,895","","-5.60007","","-2,157","","-1.74022","","83.11394","","677.87","","370.4",""
"2020000000","2020","0120B","7","(Municipalities as of 2000) Hakodate-shi","","254,157","","119,177","","-13,133","","-5.16728","","-1,711","","-1.43568","","82.95430","","346.90","","694.8",""
"2020000000","2020","01339","7","(Municipalities as of 2000) Toi-cho","","2,677","","1,067","","-386","","-14.41913","","-101","","-9.46579","","81.10672","","53.04","","43.2",""
"2020000000","2020","01340","7","(Municipalities as of 2000) Esan-cho","","2,993","","1,287","","-507","","-16.93953","","-139","","-10.80031","","88.04841","","94.27","","26.4",""
