base_route_proxy_id,customer_count,vehicle_count,seed,route_proxy_distance_km
C025_V01_S001_R01,25,1,1,179.9530529365179
C025_V03_S001_R01,25,3,1,73.7392030775854
C025_V03_S001_R02,25,3,1,82.10185207760718
C025_V03_S001_R03,25,3,1,56.94382842137572
C025_V05_S001_R01,25,5,1,37.082480263423925
C025_V05_S001_R02,25,5,1,74.4061418348514
C025_V05_S001_R03,25,5,1,73.39378263075173
C025_V05_S001_R04,25,5,1,42.46098599423422
C025_V05_S001_R05,25,5,1,54.38540803824425
C025_V01_S002_R01,25,1,2,247.20083449498736
C025_V03_S002_R01,25,3,2,100.7371480385312
C025_V03_S002_R02,25,3,2,102.77838881568434
C025_V03_S002_R03,25,3,2,104.73953920731395
C025_V05_S002_R01,25,5,2,57.998570363517786
C025_V05_S002_R02,25,5,2,100.7371480385312
C025_V05_S002_R03,25,5,2,80.45656426858099
C025_V05_S002_R04,25,5,2,54.36930363857911
C025_V05_S002_R05,25,5,2,43.493259728765935
C025_V01_S003_R01,25,1,3,248.15481434708423
C025_V03_S003_R01,25,3,3,83.25187865324146
C025_V03_S003_R02,25,3,3,126.51915824546778
C025_V03_S003_R03,25,3,3,66.50044334326641
C025_V05_S003_R01,25,5,3,72.78515462769509
C025_V05_S003_R02,25,5,3,59.81245969438477
C025_V05_S003_R03,25,5,3,60.07026994340117
C025_V05_S003_R04,25,5,3,83.25187865324146
C025_V05_S003_R05,25,5,3,46.4133712380276
C025_V01_S004_R01,25,1,4,213.34592497811397
C025_V03_S004_R01,25,3,4,89.91252468356424
C025_V03_S004_R02,25,3,4,97.02476378982246
C025_V03_S004_R03,25,3,4,67.22708257114607
C025_V05_S004_R01,25,5,4,58.08334868649608
C025_V05_S004_R02,25,5,4,80.11606868686758
C025_V05_S004_R03,25,5,4,68.69662211344037
C025_V05_S004_R04,25,5,4,58.36043190996904
C025_V05_S004_R05,25,5,4,47.045105264881286
C025_V01_S005_R01,25,1,5,178.85018605330444
C025_V03_S005_R01,25,3,5,72.2387150505528
C025_V03_S005_R02,25,3,5,67.61449228168338
C025_V03_S005_R03,25,3,5,81.40005499770902
C025_V05_S005_R01,25,5,5,56.72933512934543
C025_V05_S005_R02,25,5,5,44.12143535787492
C025_V05_S005_R03,25,5,5,66.61761565011332
C025_V05_S005_R04,25,5,5,55.54340829830995
C025_V05_S005_R05,25,5,5,38.607772383551456
C025_V01_S006_R01,25,1,6,223.88066992837457
C025_V03_S006_R01,25,3,6,71.09626223170883
C025_V03_S006_R02,25,3,6,110.6797712495188
C025_V03_S006_R03,25,3,6,80.70182466918924
C025_V05_S006_R01,25,5,6,71.09626223170883
C025_V05_S006_R02,25,5,6,89.66438476138453
C025_V05_S006_R03,25,5,6,44.289670248033715
C025_V05_S006_R04,25,5,6,57.58928556330092
C025_V05_S006_R05,25,5,6,62.51806026114109
C025_V01_S007_R01,25,1,7,267.13433364254615
C025_V03_S007_R01,25,3,7,85.84685326149754
C025_V03_S007_R02,25,3,7,115.35599616076868
C025_V03_S007_R03,25,3,7,104.3710486575783
C025_V05_S007_R01,25,5,7,54.2817225145484
C025_V05_S007_R02,25,5,7,76.37259030146228
C025_V05_S007_R03,25,5,7,65.35127780917229
C025_V05_S007_R04,25,5,7,87.46214561597341
C025_V05_S007_R05,25,5,7,36.71000180967144
C025_V01_S008_R01,25,1,8,230.1888470395868
C025_V03_S008_R01,25,3,8,81.48764599490877
C025_V03_S008_R02,25,3,8,73.3001797779874
C025_V03_S008_R03,25,3,8,106.09161830334052
C025_V05_S008_R01,25,5,8,73.3001797779874
C025_V05_S008_R02,25,5,8,53.33997681168631
C025_V05_S008_R03,25,5,8,92.15548474482792
C025_V05_S008_R04,25,5,8,64.49798768030858
C025_V05_S008_R05,25,5,8,61.97296582334408
C025_V01_S009_R01,25,1,9,243.70866940998505
C025_V03_S009_R01,25,3,9,93.34755034230363
C025_V03_S009_R02,25,3,9,123.90555857124583
C025_V03_S009_R03,25,3,9,66.66164888717938
C025_V05_S009_R01,25,5,9,47.41460245262418
C025_V05_S009_R02,25,5,9,90.263884401289
C025_V05_S009_R03,25,5,9,74.33135680830631
C025_V05_S009_R04,25,5,9,69.87159937791786
C025_V05_S009_R05,25,5,9,63.09640572258008
C025_V01_S010_R01,25,1,10,211.2927237277162
C025_V03_S010_R01,25,3,10,34.535043199105274
C025_V03_S010_R02,25,3,10,130.64585664717913
C025_V03_S010_R03,25,3,10,73.6305667438906
C025_V05_S010_R01,25,5,10,68.87860230300251
C025_V05_S010_R02,25,5,10,73.6305667438906
C025_V05_S010_R03,25,5,10,46.45523448893799
C025_V05_S010_R04,25,5,10,25.109076481933062
