scenario_id,seed,constraint_name,case_unmet_rate
C025_V01_CHG_balanced_SPEED25_T480,1,Payload capacity,0.0
C025_V01_CHG_broad_SPEED25_T480,1,Payload capacity,0.0
C025_V01_CHG_conservative_SPEED25_T480,1,Payload capacity,0.0
C025_V03_CHG_balanced_SPEED25_T480,1,Payload capacity,0.0
C025_V03_CHG_broad_SPEED25_T480,1,Payload capacity,0.0
C025_V03_CHG_conservative_SPEED25_T480,1,Payload capacity,0.0
C025_V05_CHG_balanced_SPEED25_T480,1,Payload capacity,0.0
C025_V05_CHG_broad_SPEED25_T480,1,Payload capacity,0.0
C025_V05_CHG_conservative_SPEED25_T480,1,Payload capacity,0.0
C025_V01_CHG_balanced_SPEED25_T480,2,Payload capacity,0.0
C025_V01_CHG_broad_SPEED25_T480,2,Payload capacity,0.0
C025_V01_CHG_conservative_SPEED25_T480,2,Payload capacity,0.0
C025_V03_CHG_balanced_SPEED25_T480,2,Payload capacity,0.0
C025_V03_CHG_broad_SPEED25_T480,2,Payload capacity,0.0
C025_V03_CHG_conservative_SPEED25_T480,2,Payload capacity,0.0
C025_V05_CHG_balanced_SPEED25_T480,2,Payload capacity,0.0
C025_V05_CHG_broad_SPEED25_T480,2,Payload capacity,0.0
C025_V05_CHG_conservative_SPEED25_T480,2,Payload capacity,0.0
C025_V01_CHG_balanced_SPEED25_T480,3,Payload capacity,0.0
C025_V01_CHG_broad_SPEED25_T480,3,Payload capacity,0.0
C025_V01_CHG_conservative_SPEED25_T480,3,Payload capacity,0.0
C025_V03_CHG_balanced_SPEED25_T480,3,Payload capacity,0.0
C025_V03_CHG_broad_SPEED25_T480,3,Payload capacity,0.0
C025_V03_CHG_conservative_SPEED25_T480,3,Payload capacity,0.0
C025_V05_CHG_balanced_SPEED25_T480,3,Payload capacity,0.0
C025_V05_CHG_broad_SPEED25_T480,3,Payload capacity,0.0
C025_V05_CHG_conservative_SPEED25_T480,3,Payload capacity,0.0
C025_V01_CHG_balanced_SPEED25_T480,4,Payload capacity,0.0
C025_V01_CHG_broad_SPEED25_T480,4,Payload capacity,0.0
C025_V01_CHG_conservative_SPEED25_T480,4,Payload capacity,0.0
C025_V03_CHG_balanced_SPEED25_T480,4,Payload capacity,0.0
C025_V03_CHG_broad_SPEED25_T480,4,Payload capacity,0.0
C025_V03_CHG_conservative_SPEED25_T480,4,Payload capacity,0.0
C025_V05_CHG_balanced_SPEED25_T480,4,Payload capacity,0.0
C025_V05_CHG_broad_SPEED25_T480,4,Payload capacity,0.0
C025_V05_CHG_conservative_SPEED25_T480,4,Payload capacity,0.0
C025_V01_CHG_balanced_SPEED25_T480,5,Payload capacity,0.0
C025_V01_CHG_broad_SPEED25_T480,5,Payload capacity,0.0
C025_V01_CHG_conservative_SPEED25_T480,5,Payload capacity,0.0
C025_V03_CHG_balanced_SPEED25_T480,5,Payload capacity,0.0
C025_V03_CHG_broad_SPEED25_T480,5,Payload capacity,0.0
C025_V03_CHG_conservative_SPEED25_T480,5,Payload capacity,0.0
C025_V05_CHG_balanced_SPEED25_T480,5,Payload capacity,0.0
C025_V05_CHG_broad_SPEED25_T480,5,Payload capacity,0.0
C025_V05_CHG_conservative_SPEED25_T480,5,Payload capacity,0.0
C025_V01_CHG_balanced_SPEED25_T480,6,Payload capacity,0.0
C025_V01_CHG_broad_SPEED25_T480,6,Payload capacity,0.0
C025_V01_CHG_conservative_SPEED25_T480,6,Payload capacity,0.0
C025_V03_CHG_balanced_SPEED25_T480,6,Payload capacity,0.0
C025_V03_CHG_broad_SPEED25_T480,6,Payload capacity,0.0
C025_V03_CHG_conservative_SPEED25_T480,6,Payload capacity,0.0
C025_V05_CHG_balanced_SPEED25_T480,6,Payload capacity,0.0
C025_V05_CHG_broad_SPEED25_T480,6,Payload capacity,0.0
C025_V05_CHG_conservative_SPEED25_T480,6,Payload capacity,0.0
C025_V01_CHG_balanced_SPEED25_T480,7,Payload capacity,0.0
C025_V01_CHG_broad_SPEED25_T480,7,Payload capacity,0.0
C025_V01_CHG_conservative_SPEED25_T480,7,Payload capacity,0.0
C025_V03_CHG_balanced_SPEED25_T480,7,Payload capacity,0.0
C025_V03_CHG_broad_SPEED25_T480,7,Payload capacity,0.0
C025_V03_CHG_conservative_SPEED25_T480,7,Payload capacity,0.0
C025_V05_CHG_balanced_SPEED25_T480,7,Payload capacity,0.0
C025_V05_CHG_broad_SPEED25_T480,7,Payload capacity,0.0
C025_V05_CHG_conservative_SPEED25_T480,7,Payload capacity,0.0
C025_V01_CHG_balanced_SPEED25_T480,8,Payload capacity,0.0
C025_V01_CHG_broad_SPEED25_T480,8,Payload capacity,0.0
C025_V01_CHG_conservative_SPEED25_T480,8,Payload capacity,0.0
C025_V03_CHG_balanced_SPEED25_T480,8,Payload capacity,0.0
C025_V03_CHG_broad_SPEED25_T480,8,Payload capacity,0.0
C025_V03_CHG_conservative_SPEED25_T480,8,Payload capacity,0.0
C025_V05_CHG_balanced_SPEED25_T480,8,Payload capacity,0.0
C025_V05_CHG_broad_SPEED25_T480,8,Payload capacity,0.0
C025_V05_CHG_conservative_SPEED25_T480,8,Payload capacity,0.0
C025_V01_CHG_balanced_SPEED25_T480,9,Payload capacity,0.0
C025_V01_CHG_broad_SPEED25_T480,9,Payload capacity,0.0
C025_V01_CHG_conservative_SPEED25_T480,9,Payload capacity,0.0
C025_V03_CHG_balanced_SPEED25_T480,9,Payload capacity,0.0
C025_V03_CHG_broad_SPEED25_T480,9,Payload capacity,0.0
C025_V03_CHG_conservative_SPEED25_T480,9,Payload capacity,0.0
C025_V05_CHG_balanced_SPEED25_T480,9,Payload capacity,0.0
C025_V05_CHG_broad_SPEED25_T480,9,Payload capacity,0.0
C025_V05_CHG_conservative_SPEED25_T480,9,Payload capacity,0.0
C025_V01_CHG_balanced_SPEED25_T480,10,Payload capacity,0.0
C025_V01_CHG_broad_SPEED25_T480,10,Payload capacity,0.0
C025_V01_CHG_conservative_SPEED25_T480,10,Payload capacity,0.0
C025_V03_CHG_balanced_SPEED25_T480,10,Payload capacity,0.0
C025_V03_CHG_broad_SPEED25_T480,10,Payload capacity,0.0
C025_V03_CHG_conservative_SPEED25_T480,10,Payload capacity,0.0
