scenario_id,customer_count,vehicle_count,charger_condition,constraint_name,route_weighted_unmet_rate,confidence_interval_lower,confidence_interval_upper,evaluated_route_count,unmet_route_count,independent_seed_count,bootstrap_iterations,label
C025_V01_CHG_balanced_SPEED25_T480,25,1,balanced,Operating-time limit,1.0,1.0,1.0,100,100,100,1000,C25 V1 | Operating-time limit
C025_V03_CHG_balanced_SPEED25_T480,25,3,balanced,Operating-time limit,0.0166666666666666,0.0033333333333333,0.0333333333333333,300,5,100,1000,C25 V3 | Operating-time limit
C025_V05_CHG_balanced_SPEED25_T480,25,5,balanced,Operating-time limit,0.0,0.0,0.0,500,0,100,1000,C25 V5 | Operating-time limit
C050_V01_CHG_balanced_SPEED25_T480,50,1,balanced,Operating-time limit,1.0,1.0,1.0,100,100,100,1000,C50 V1 | Operating-time limit
C050_V03_CHG_balanced_SPEED25_T480,50,3,balanced,Operating-time limit,0.3833333333333333,0.34,0.4266666666666667,300,115,100,1000,C50 V3 | Operating-time limit
C050_V05_CHG_balanced_SPEED25_T480,50,5,balanced,Operating-time limit,0.008,0.002,0.016,500,4,100,1000,C50 V5 | Operating-time limit
C100_V01_CHG_balanced_SPEED25_T480,100,1,balanced,Operating-time limit,1.0,1.0,1.0,100,100,100,1000,C100 V1 | Operating-time limit
C100_V03_CHG_balanced_SPEED25_T480,100,3,balanced,Operating-time limit,0.99,0.98,1.0,300,297,100,1000,C100 V3 | Operating-time limit
C100_V05_CHG_balanced_SPEED25_T480,100,5,balanced,Operating-time limit,0.368,0.338,0.398,500,184,100,1000,C100 V5 | Operating-time limit
C025_V01_CHG_balanced_SPEED25_T480,25,1,balanced,Range feasibility,1.0,1.0,1.0,100,100,100,1000,C25 V1 | Range feasibility
C025_V03_CHG_balanced_SPEED25_T480,25,3,balanced,Range feasibility,0.6233333333333333,0.5733333333333334,0.67,300,187,100,1000,C25 V3 | Range feasibility
C025_V05_CHG_balanced_SPEED25_T480,25,5,balanced,Range feasibility,0.2,0.172,0.226,500,100,100,1000,C25 V5 | Range feasibility
C050_V01_CHG_balanced_SPEED25_T480,50,1,balanced,Range feasibility,1.0,1.0,1.0,100,100,100,1000,C50 V1 | Range feasibility
C050_V03_CHG_balanced_SPEED25_T480,50,3,balanced,Range feasibility,0.94,0.9133333333333332,0.9633333333333334,300,282,100,1000,C50 V3 | Range feasibility
C050_V05_CHG_balanced_SPEED25_T480,50,5,balanced,Range feasibility,0.412,0.38,0.448,500,206,100,1000,C50 V5 | Range feasibility
C100_V01_CHG_balanced_SPEED25_T480,100,1,balanced,Range feasibility,1.0,1.0,1.0,100,100,100,1000,C100 V1 | Range feasibility
C100_V03_CHG_balanced_SPEED25_T480,100,3,balanced,Range feasibility,1.0,1.0,1.0,300,300,100,1000,C100 V3 | Range feasibility
C100_V05_CHG_balanced_SPEED25_T480,100,5,balanced,Range feasibility,0.73,0.696,0.76005,500,365,100,1000,C100 V5 | Range feasibility
