parameter,constraint_name,abs_change
assumed_speed_kmh,Charging-assisted range feasibility,0.0
assumed_speed_kmh,Charging-duration feasibility,0.0
assumed_speed_kmh,Charging-station access,0.0
assumed_speed_kmh,Operating-time limit,0.2733333333333332
assumed_speed_kmh,Payload capacity,0.0
assumed_speed_kmh,Range feasibility,0.0
charger_power_kw,Charging-assisted range feasibility,0.0
charger_power_kw,Charging-duration feasibility,0.0
charger_power_kw,Charging-station access,0.0
charger_power_kw,Operating-time limit,0.0
charger_power_kw,Payload capacity,0.0
charger_power_kw,Range feasibility,0.0
charging_time_limit_min,Charging-assisted range feasibility,0.0
charging_time_limit_min,Charging-duration feasibility,0.1099290780141844
charging_time_limit_min,Charging-station access,0.0
charging_time_limit_min,Operating-time limit,0.0
charging_time_limit_min,Payload capacity,0.0
charging_time_limit_min,Range feasibility,0.0
customer_count,Charging-assisted range feasibility,0.3832624113475177
customer_count,Charging-duration feasibility,0.0466666666666666
customer_count,Charging-station access,0.0
customer_count,Operating-time limit,0.6066666666666667
customer_count,Payload capacity,0.0
customer_count,Range feasibility,0.3166666666666666
customer_demand_scale,Charging-assisted range feasibility,0.0
customer_demand_scale,Charging-duration feasibility,0.0
customer_demand_scale,Charging-station access,0.0
customer_demand_scale,Operating-time limit,0.0
customer_demand_scale,Payload capacity,0.0
customer_demand_scale,Range feasibility,0.0
maximum_charger_access_distance_km,Charging-assisted range feasibility,0.0
maximum_charger_access_distance_km,Charging-duration feasibility,0.0
maximum_charger_access_distance_km,Charging-station access,0.0
maximum_charger_access_distance_km,Operating-time limit,0.0
maximum_charger_access_distance_km,Payload capacity,0.0
maximum_charger_access_distance_km,Range feasibility,0.0
operating_time_limit_min,Charging-assisted range feasibility,0.0
operating_time_limit_min,Charging-duration feasibility,0.0
operating_time_limit_min,Charging-station access,0.0
operating_time_limit_min,Operating-time limit,0.4433333333333333
operating_time_limit_min,Payload capacity,0.0
operating_time_limit_min,Range feasibility,0.0
reserve_soc_ratio,Charging-assisted range feasibility,0.1144033509448331
reserve_soc_ratio,Charging-duration feasibility,0.0
reserve_soc_ratio,Charging-station access,0.0
reserve_soc_ratio,Operating-time limit,0.0
reserve_soc_ratio,Payload capacity,0.0
reserve_soc_ratio,Range feasibility,0.1166666666666665
road_distance_multiplier,Charging-assisted range feasibility,0.0661293055454699
road_distance_multiplier,Charging-duration feasibility,0.0068259385665529
road_distance_multiplier,Charging-station access,0.0
road_distance_multiplier,Operating-time limit,0.1866666666666667
road_distance_multiplier,Payload capacity,0.0
road_distance_multiplier,Range feasibility,0.0999999999999999
service_time_per_customer_min,Charging-assisted range feasibility,0.0
service_time_per_customer_min,Charging-duration feasibility,0.0
service_time_per_customer_min,Charging-station access,0.0
service_time_per_customer_min,Operating-time limit,0.31
service_time_per_customer_min,Payload capacity,0.0
service_time_per_customer_min,Range feasibility,0.0
usable_battery_ratio,Charging-assisted range feasibility,0.1144033509448331
usable_battery_ratio,Charging-duration feasibility,0.0
usable_battery_ratio,Charging-station access,0.0
usable_battery_ratio,Operating-time limit,0.0
usable_battery_ratio,Payload capacity,0.0
usable_battery_ratio,Range feasibility,0.1166666666666665
vehicle_count,Charging-assisted range feasibility,0.9432624113475178
vehicle_count,Charging-duration feasibility,1.0
vehicle_count,Charging-station access,0.0
vehicle_count,Operating-time limit,0.6166666666666667
vehicle_count,Payload capacity,0.0
vehicle_count,Range feasibility,0.528
vehicle_payload_capacity_kg,Charging-assisted range feasibility,0.0
vehicle_payload_capacity_kg,Charging-duration feasibility,0.0
vehicle_payload_capacity_kg,Charging-station access,0.0
vehicle_payload_capacity_kg,Operating-time limit,0.0
vehicle_payload_capacity_kg,Payload capacity,0.0
vehicle_payload_capacity_kg,Range feasibility,0.0
