parameter,most_responsive_constraint,low_change,high_change,maximum_absolute_change
charger_power_kw,Charging-assisted range feasibility,0.0,0.0,0.0
customer_demand_scale,Charging-assisted range feasibility,0.0,0.0,0.0
maximum_charger_access_distance_km,Charging-assisted range feasibility,0.0,0.0,0.0
vehicle_payload_capacity_kg,Charging-assisted range feasibility,0.0,0.0,0.0
charging_time_limit_min,Charging-duration feasibility,0.1099290780141844,0.0,0.1099290780141844
reserve_soc_ratio,Range feasibility,-0.1166666666666665,0.0533333333333333,0.1166666666666665
usable_battery_ratio,Range feasibility,0.0533333333333333,-0.1166666666666665,0.1166666666666665
road_distance_multiplier,Operating-time limit,-0.1866666666666667,0.1133333333333332,0.1866666666666667
assumed_speed_kmh,Operating-time limit,0.2733333333333332,-0.2233333333333333,0.2733333333333332
service_time_per_customer_min,Operating-time limit,-0.2966666666666667,0.31,0.31
operating_time_limit_min,Operating-time limit,0.4433333333333333,-0.3366666666666666,0.4433333333333333
customer_count,Operating-time limit,-0.3666666666666667,0.6066666666666667,0.6066666666666667
vehicle_count,Charging-duration feasibility,1.0,0.0,1.0
