ocm_id,connection_id,station_title,latitude,longitude,connection_type,level,current_type,quantity,power_kw,voltage,amps,is_fast_charger_proxy,operator,usage_type,status_type,source,downloaded_at,power_kw_numeric,charger_candidate_id,charger_condition,charger_public_access_known,charger_power_known,charger_connector_compatibility_known,charger_operating_status_known,assistance_eligible,screening_interpretation,condition_priority
62649,79571,59,35.740059,139.381424,CHAdeMO,Level 3:  High (Over 40kW),DC,,50.0,,,yes,Stadtwerke Clausthal-Zellerfeld,,Operational,Open Charge Map,2026-07-05,50.0,62649_79571,conservative,False,True,True,True,True,Candidate retained under an analytical condition; actual access and availability are not established.,0
62643,79565,第一京浜,35.647057,139.748703,CHAdeMO,Level 3:  High (Over 40kW),DC,,50.0,,,yes,Stadtwerke Clausthal-Zellerfeld,,Operational,Open Charge Map,2026-07-05,50.0,62643_79565,conservative,False,True,True,True,True,Candidate retained under an analytical condition; actual access and availability are not established.,0
62647,79569,立川南通り,35.692211,139.42099,CHAdeMO,Level 3:  High (Over 40kW),DC,,50.0,,,yes,Stadtwerke Clausthal-Zellerfeld,,Operational,Open Charge Map,2026-07-05,50.0,62647_79569,conservative,False,True,True,True,True,Candidate retained under an analytical condition; actual access and availability are not established.,0
62650,79572,環八通り,35.74485,139.629562,CHAdeMO,Level 3:  High (Over 40kW),DC,,50.0,,,yes,Stadtwerke Clausthal-Zellerfeld,,Operational,Open Charge Map,2026-07-05,50.0,62650_79572,conservative,False,True,True,True,True,Candidate retained under an analytical condition; actual access and availability are not established.,0
62642,95266,海岸通り,35.643322,139.756592,CHAdeMO,Level 3:  High (Over 40kW),DC,,50.0,,,yes,Stadtwerke Clausthal-Zellerfeld,,Operational,Open Charge Map,2026-07-05,50.0,62642_95266,conservative,False,True,True,True,True,Candidate retained under an analytical condition; actual access and availability are not established.,0
62642,79564,海岸通り,35.643322,139.756592,CHAdeMO,Level 3:  High (Over 40kW),DC,,50.0,,,yes,Stadtwerke Clausthal-Zellerfeld,,Operational,Open Charge Map,2026-07-05,50.0,62642_79564,conservative,False,True,True,True,True,Candidate retained under an analytical condition; actual access and availability are not established.,0
62644,79566,首都高速1号上野線,35.683239,139.778061,CHAdeMO,Level 3:  High (Over 40kW),DC,,50.0,,,yes,Stadtwerke Clausthal-Zellerfeld,,Operational,Open Charge Map,2026-07-05,50.0,62644_79566,conservative,False,True,True,True,True,Candidate retained under an analytical condition; actual access and availability are not established.,0
62641,79563,多摩境通り,35.599213,139.380753,CHAdeMO,Level 3:  High (Over 40kW),DC,,50.0,,,yes,Stadtwerke Clausthal-Zellerfeld,,Operational,Open Charge Map,2026-07-05,50.0,62641_79563,conservative,False,True,True,True,True,Candidate retained under an analytical condition; actual access and availability are not established.,0
62645,79567,副10,35.688072,139.69342,CHAdeMO,Level 3:  High (Over 40kW),DC,,50.0,,,yes,Stadtwerke Clausthal-Zellerfeld,,Operational,Open Charge Map,2026-07-05,50.0,62645_79567,conservative,False,True,True,True,True,Candidate retained under an analytical condition; actual access and availability are not established.,0
62646,95267,中央通り,35.691586,139.697769,CHAdeMO,Level 3:  High (Over 40kW),DC,,50.0,,,yes,Stadtwerke Clausthal-Zellerfeld,,Operational,Open Charge Map,2026-07-05,50.0,62646_95267,conservative,False,True,True,True,True,Candidate retained under an analytical condition; actual access and availability are not established.,0
