customer_count,vehicle_count,charger_condition,feasible_share
25,1,balanced,1.0
25,1,broad,1.0
25,1,conservative,0.93
25,3,balanced,1.0
25,3,broad,1.0
25,3,conservative,0.5366666666666666
25,5,balanced,1.0
25,5,broad,1.0
25,5,conservative,0.348
50,1,balanced,1.0
50,1,broad,1.0
50,1,conservative,1.0
50,3,balanced,1.0
50,3,broad,1.0
50,3,conservative,0.82
50,5,balanced,1.0
50,5,broad,1.0
50,5,conservative,0.602
100,1,balanced,1.0
100,1,broad,1.0
100,1,conservative,1.0
100,3,balanced,1.0
100,3,broad,1.0
100,3,conservative,0.9366666666666666
100,5,balanced,1.0
100,5,broad,1.0
100,5,conservative,0.756
