customer_count,vehicle_count,charger_condition,feasible_share
25,1,balanced,0.0
25,1,broad,0.0
25,1,conservative,0.0
25,3,balanced,1.0
25,3,broad,1.0
25,3,conservative,0.5614973262032086
25,5,balanced,1.0
25,5,broad,1.0
25,5,conservative,0.38
50,1,balanced,0.0
50,1,broad,0.0
50,1,conservative,0.0
50,3,balanced,0.9432624113475178
50,3,broad,0.9432624113475178
50,3,conservative,0.7836879432624113
50,5,balanced,0.9951456310679612
50,5,broad,0.9951456310679612
50,5,conservative,0.6407766990291263
100,1,balanced,0.0
100,1,broad,0.0
100,1,conservative,0.0
100,3,balanced,0.56
100,3,broad,0.56
100,3,conservative,0.52
100,5,balanced,0.9643835616438357
100,5,broad,0.9643835616438357
100,5,conservative,0.7506849315068493
