reference_id,requirement,reported_text,coverage_indicator
QVRP-AZAD-2020,customer_scale_coverage,Limited small problem tuples,1
QCVRP-PALACKAL-2023,customer_scale_coverage,Not reported,0
QVRPTW-LEONIDAS-2023,customer_scale_coverage,11-3964 routes reported but not directly comparable to customers,1
QCVRP-XIE-2023,customer_scale_coverage,Not reported,0
QHVRP-FITZEK-2024,customer_scale_coverage,3 customers and up to 21 simulated qubits reported,1
QVRP-AZFAR-2025,customer_scale_coverage,Not reported,0
QCVRP-ONAH-2025,customer_scale_coverage,Golden-5 resource example; customer count Not reported,1
QVRP-AZAD-2020,multiple_vehicle_coverage,Reported,1
QCVRP-PALACKAL-2023,multiple_vehicle_coverage,Not reported,0
QVRPTW-LEONIDAS-2023,multiple_vehicle_coverage,Not reported,0
QCVRP-XIE-2023,multiple_vehicle_coverage,Not reported,0
QHVRP-FITZEK-2024,multiple_vehicle_coverage,Reported,1
QVRP-AZFAR-2025,multiple_vehicle_coverage,Not reported,0
QCVRP-ONAH-2025,multiple_vehicle_coverage,Not reported,0
QVRP-AZAD-2020,capacity_coverage,Not reported,0
QCVRP-PALACKAL-2023,capacity_coverage,Reported,1
QVRPTW-LEONIDAS-2023,capacity_coverage,Not reported,0
QCVRP-XIE-2023,capacity_coverage,Reported,1
QHVRP-FITZEK-2024,capacity_coverage,Reported,1
QVRP-AZFAR-2025,capacity_coverage,Not reported,0
QCVRP-ONAH-2025,capacity_coverage,Reported,1
QVRP-AZAD-2020,time_window_coverage,Not reported,0
QCVRP-PALACKAL-2023,time_window_coverage,Not reported,0
QVRPTW-LEONIDAS-2023,time_window_coverage,Reported,1
QCVRP-XIE-2023,time_window_coverage,Not reported,0
QHVRP-FITZEK-2024,time_window_coverage,Not reported,0
QVRP-AZFAR-2025,time_window_coverage,Not reported,0
QCVRP-ONAH-2025,time_window_coverage,Not reported,0
QVRP-AZAD-2020,battery_soc_coverage,Not reported,0
QCVRP-PALACKAL-2023,battery_soc_coverage,Not reported,0
QVRPTW-LEONIDAS-2023,battery_soc_coverage,Not reported,0
QCVRP-XIE-2023,battery_soc_coverage,Not reported,0
QHVRP-FITZEK-2024,battery_soc_coverage,Not reported,0
QVRP-AZFAR-2025,battery_soc_coverage,Not reported,0
QCVRP-ONAH-2025,battery_soc_coverage,Not reported,0
QVRP-AZAD-2020,charging_station_coverage,Not reported,0
QCVRP-PALACKAL-2023,charging_station_coverage,Not reported,0
QVRPTW-LEONIDAS-2023,charging_station_coverage,Not reported,0
QCVRP-XIE-2023,charging_station_coverage,Not reported,0
QHVRP-FITZEK-2024,charging_station_coverage,Not reported,0
QVRP-AZFAR-2025,charging_station_coverage,Not reported,0
QCVRP-ONAH-2025,charging_station_coverage,Not reported,0
QVRP-AZAD-2020,charging_duration_coverage,Not reported,0
QCVRP-PALACKAL-2023,charging_duration_coverage,Not reported,0
QVRPTW-LEONIDAS-2023,charging_duration_coverage,Not reported,0
QCVRP-XIE-2023,charging_duration_coverage,Not reported,0
QHVRP-FITZEK-2024,charging_duration_coverage,Not reported,0
QVRP-AZFAR-2025,charging_duration_coverage,Not reported,0
QCVRP-ONAH-2025,charging_duration_coverage,Not reported,0
QVRP-AZAD-2020,multi_depot_coverage,Not reported,0
QCVRP-PALACKAL-2023,multi_depot_coverage,Not reported,0
QVRPTW-LEONIDAS-2023,multi_depot_coverage,Not reported,0
QCVRP-XIE-2023,multi_depot_coverage,Not reported,0
QHVRP-FITZEK-2024,multi_depot_coverage,Not reported,0
QVRP-AZFAR-2025,multi_depot_coverage,Not reported,0
QCVRP-ONAH-2025,multi_depot_coverage,Not reported,0
QVRP-AZAD-2020,heterogeneous_vehicle_coverage,Not reported,0
QCVRP-PALACKAL-2023,heterogeneous_vehicle_coverage,Not reported,0
QVRPTW-LEONIDAS-2023,heterogeneous_vehicle_coverage,Not reported,0
QCVRP-XIE-2023,heterogeneous_vehicle_coverage,Not reported,0
QHVRP-FITZEK-2024,heterogeneous_vehicle_coverage,Reported,1
QVRP-AZFAR-2025,heterogeneous_vehicle_coverage,Not reported,0
QCVRP-ONAH-2025,heterogeneous_vehicle_coverage,Not reported,0
QVRP-AZAD-2020,dynamic_demand_coverage,Not reported,0
QCVRP-PALACKAL-2023,dynamic_demand_coverage,Not reported,0
QVRPTW-LEONIDAS-2023,dynamic_demand_coverage,Not reported,0
QCVRP-XIE-2023,dynamic_demand_coverage,Not reported,0
QHVRP-FITZEK-2024,dynamic_demand_coverage,Not reported,0
QVRP-AZFAR-2025,dynamic_demand_coverage,Not reported,0
QCVRP-ONAH-2025,dynamic_demand_coverage,Not reported,0
QVRP-AZAD-2020,traffic_coverage,Not reported,0
QCVRP-PALACKAL-2023,traffic_coverage,Not reported,0
QVRPTW-LEONIDAS-2023,traffic_coverage,Not reported,0
QCVRP-XIE-2023,traffic_coverage,Not reported,0
QHVRP-FITZEK-2024,traffic_coverage,Not reported,0
QVRP-AZFAR-2025,traffic_coverage,Not reported,0
QCVRP-ONAH-2025,traffic_coverage,Not reported,0
QVRP-AZAD-2020,driver_hours_coverage,Not reported,0
QCVRP-PALACKAL-2023,driver_hours_coverage,Not reported,0
QVRPTW-LEONIDAS-2023,driver_hours_coverage,Not reported,0
QCVRP-XIE-2023,driver_hours_coverage,Not reported,0
QHVRP-FITZEK-2024,driver_hours_coverage,Not reported,0
QVRP-AZFAR-2025,driver_hours_coverage,Not reported,0
QCVRP-ONAH-2025,driver_hours_coverage,Not reported,0
