scenario_id,scenario_size,customer_count,vehicle_count,customers_per_vehicle,independent_seed_count,conditional_case_count,charger_condition,eligible_charger_candidate_count,selected_charger_count,vehicle_type,payload_capacity_kg,usable_range_km,operating_time_limit_min,assumed_speed_kmh,road_distance_multiplier,route_generation_method,customer_demand_source,factorial_design_note
C025_V01_CHG_balanced_SPEED25_T480,small,25,1,25.0,100,100,balanced,106,106,"eCanter S battery, Yamato deployment specification",2000.0,81.19999999999999,480.0,25.0,1.25,KMeans customer assignment plus nearest-neighbor visit-order proxy,Synthetic discrete-uniform integer 5-30 kg assumption,Customer count and vehicle count are crossed independently (3 x 3); charger condition is a third factor.
C025_V01_CHG_broad_SPEED25_T480,small,25,1,25.0,100,100,broad,106,106,"eCanter S battery, Yamato deployment specification",2000.0,81.19999999999999,480.0,25.0,1.25,KMeans customer assignment plus nearest-neighbor visit-order proxy,Synthetic discrete-uniform integer 5-30 kg assumption,Customer count and vehicle count are crossed independently (3 x 3); charger condition is a third factor.
C025_V01_CHG_conservative_SPEED25_T480,small,25,1,25.0,100,100,conservative,12,12,"eCanter S battery, Yamato deployment specification",2000.0,81.19999999999999,480.0,25.0,1.25,KMeans customer assignment plus nearest-neighbor visit-order proxy,Synthetic discrete-uniform integer 5-30 kg assumption,Customer count and vehicle count are crossed independently (3 x 3); charger condition is a third factor.
C025_V03_CHG_balanced_SPEED25_T480,small,25,3,8.333333333333334,100,100,balanced,106,106,"eCanter S battery, Yamato deployment specification",2000.0,81.19999999999999,480.0,25.0,1.25,KMeans customer assignment plus nearest-neighbor visit-order proxy,Synthetic discrete-uniform integer 5-30 kg assumption,Customer count and vehicle count are crossed independently (3 x 3); charger condition is a third factor.
C025_V03_CHG_broad_SPEED25_T480,small,25,3,8.333333333333334,100,100,broad,106,106,"eCanter S battery, Yamato deployment specification",2000.0,81.19999999999999,480.0,25.0,1.25,KMeans customer assignment plus nearest-neighbor visit-order proxy,Synthetic discrete-uniform integer 5-30 kg assumption,Customer count and vehicle count are crossed independently (3 x 3); charger condition is a third factor.
C025_V03_CHG_conservative_SPEED25_T480,small,25,3,8.333333333333334,100,100,conservative,12,12,"eCanter S battery, Yamato deployment specification",2000.0,81.19999999999999,480.0,25.0,1.25,KMeans customer assignment plus nearest-neighbor visit-order proxy,Synthetic discrete-uniform integer 5-30 kg assumption,Customer count and vehicle count are crossed independently (3 x 3); charger condition is a third factor.
C025_V05_CHG_balanced_SPEED25_T480,small,25,5,5.0,100,100,balanced,106,106,"eCanter S battery, Yamato deployment specification",2000.0,81.19999999999999,480.0,25.0,1.25,KMeans customer assignment plus nearest-neighbor visit-order proxy,Synthetic discrete-uniform integer 5-30 kg assumption,Customer count and vehicle count are crossed independently (3 x 3); charger condition is a third factor.
C025_V05_CHG_broad_SPEED25_T480,small,25,5,5.0,100,100,broad,106,106,"eCanter S battery, Yamato deployment specification",2000.0,81.19999999999999,480.0,25.0,1.25,KMeans customer assignment plus nearest-neighbor visit-order proxy,Synthetic discrete-uniform integer 5-30 kg assumption,Customer count and vehicle count are crossed independently (3 x 3); charger condition is a third factor.
C025_V05_CHG_conservative_SPEED25_T480,small,25,5,5.0,100,100,conservative,12,12,"eCanter S battery, Yamato deployment specification",2000.0,81.19999999999999,480.0,25.0,1.25,KMeans customer assignment plus nearest-neighbor visit-order proxy,Synthetic discrete-uniform integer 5-30 kg assumption,Customer count and vehicle count are crossed independently (3 x 3); charger condition is a third factor.
C050_V01_CHG_balanced_SPEED25_T480,medium,50,1,50.0,100,100,balanced,106,106,"eCanter S battery, Yamato deployment specification",2000.0,81.19999999999999,480.0,25.0,1.25,KMeans customer assignment plus nearest-neighbor visit-order proxy,Synthetic discrete-uniform integer 5-30 kg assumption,Customer count and vehicle count are crossed independently (3 x 3); charger condition is a third factor.
C050_V01_CHG_broad_SPEED25_T480,medium,50,1,50.0,100,100,broad,106,106,"eCanter S battery, Yamato deployment specification",2000.0,81.19999999999999,480.0,25.0,1.25,KMeans customer assignment plus nearest-neighbor visit-order proxy,Synthetic discrete-uniform integer 5-30 kg assumption,Customer count and vehicle count are crossed independently (3 x 3); charger condition is a third factor.
C050_V01_CHG_conservative_SPEED25_T480,medium,50,1,50.0,100,100,conservative,12,12,"eCanter S battery, Yamato deployment specification",2000.0,81.19999999999999,480.0,25.0,1.25,KMeans customer assignment plus nearest-neighbor visit-order proxy,Synthetic discrete-uniform integer 5-30 kg assumption,Customer count and vehicle count are crossed independently (3 x 3); charger condition is a third factor.
C050_V03_CHG_balanced_SPEED25_T480,medium,50,3,16.666666666666668,100,100,balanced,106,106,"eCanter S battery, Yamato deployment specification",2000.0,81.19999999999999,480.0,25.0,1.25,KMeans customer assignment plus nearest-neighbor visit-order proxy,Synthetic discrete-uniform integer 5-30 kg assumption,Customer count and vehicle count are crossed independently (3 x 3); charger condition is a third factor.
C050_V03_CHG_broad_SPEED25_T480,medium,50,3,16.666666666666668,100,100,broad,106,106,"eCanter S battery, Yamato deployment specification",2000.0,81.19999999999999,480.0,25.0,1.25,KMeans customer assignment plus nearest-neighbor visit-order proxy,Synthetic discrete-uniform integer 5-30 kg assumption,Customer count and vehicle count are crossed independently (3 x 3); charger condition is a third factor.
C050_V03_CHG_conservative_SPEED25_T480,medium,50,3,16.666666666666668,100,100,conservative,12,12,"eCanter S battery, Yamato deployment specification",2000.0,81.19999999999999,480.0,25.0,1.25,KMeans customer assignment plus nearest-neighbor visit-order proxy,Synthetic discrete-uniform integer 5-30 kg assumption,Customer count and vehicle count are crossed independently (3 x 3); charger condition is a third factor.
C050_V05_CHG_balanced_SPEED25_T480,medium,50,5,10.0,100,100,balanced,106,106,"eCanter S battery, Yamato deployment specification",2000.0,81.19999999999999,480.0,25.0,1.25,KMeans customer assignment plus nearest-neighbor visit-order proxy,Synthetic discrete-uniform integer 5-30 kg assumption,Customer count and vehicle count are crossed independently (3 x 3); charger condition is a third factor.
C050_V05_CHG_broad_SPEED25_T480,medium,50,5,10.0,100,100,broad,106,106,"eCanter S battery, Yamato deployment specification",2000.0,81.19999999999999,480.0,25.0,1.25,KMeans customer assignment plus nearest-neighbor visit-order proxy,Synthetic discrete-uniform integer 5-30 kg assumption,Customer count and vehicle count are crossed independently (3 x 3); charger condition is a third factor.
C050_V05_CHG_conservative_SPEED25_T480,medium,50,5,10.0,100,100,conservative,12,12,"eCanter S battery, Yamato deployment specification",2000.0,81.19999999999999,480.0,25.0,1.25,KMeans customer assignment plus nearest-neighbor visit-order proxy,Synthetic discrete-uniform integer 5-30 kg assumption,Customer count and vehicle count are crossed independently (3 x 3); charger condition is a third factor.
C100_V01_CHG_balanced_SPEED25_T480,large,100,1,100.0,100,100,balanced,106,106,"eCanter S battery, Yamato deployment specification",2000.0,81.19999999999999,480.0,25.0,1.25,KMeans customer assignment plus nearest-neighbor visit-order proxy,Synthetic discrete-uniform integer 5-30 kg assumption,Customer count and vehicle count are crossed independently (3 x 3); charger condition is a third factor.
C100_V01_CHG_broad_SPEED25_T480,large,100,1,100.0,100,100,broad,106,106,"eCanter S battery, Yamato deployment specification",2000.0,81.19999999999999,480.0,25.0,1.25,KMeans customer assignment plus nearest-neighbor visit-order proxy,Synthetic discrete-uniform integer 5-30 kg assumption,Customer count and vehicle count are crossed independently (3 x 3); charger condition is a third factor.
C100_V01_CHG_conservative_SPEED25_T480,large,100,1,100.0,100,100,conservative,12,12,"eCanter S battery, Yamato deployment specification",2000.0,81.19999999999999,480.0,25.0,1.25,KMeans customer assignment plus nearest-neighbor visit-order proxy,Synthetic discrete-uniform integer 5-30 kg assumption,Customer count and vehicle count are crossed independently (3 x 3); charger condition is a third factor.
C100_V03_CHG_balanced_SPEED25_T480,large,100,3,33.333333333333336,100,100,balanced,106,106,"eCanter S battery, Yamato deployment specification",2000.0,81.19999999999999,480.0,25.0,1.25,KMeans customer assignment plus nearest-neighbor visit-order proxy,Synthetic discrete-uniform integer 5-30 kg assumption,Customer count and vehicle count are crossed independently (3 x 3); charger condition is a third factor.
C100_V03_CHG_broad_SPEED25_T480,large,100,3,33.333333333333336,100,100,broad,106,106,"eCanter S battery, Yamato deployment specification",2000.0,81.19999999999999,480.0,25.0,1.25,KMeans customer assignment plus nearest-neighbor visit-order proxy,Synthetic discrete-uniform integer 5-30 kg assumption,Customer count and vehicle count are crossed independently (3 x 3); charger condition is a third factor.
C100_V03_CHG_conservative_SPEED25_T480,large,100,3,33.333333333333336,100,100,conservative,12,12,"eCanter S battery, Yamato deployment specification",2000.0,81.19999999999999,480.0,25.0,1.25,KMeans customer assignment plus nearest-neighbor visit-order proxy,Synthetic discrete-uniform integer 5-30 kg assumption,Customer count and vehicle count are crossed independently (3 x 3); charger condition is a third factor.
C100_V05_CHG_balanced_SPEED25_T480,large,100,5,20.0,100,100,balanced,106,106,"eCanter S battery, Yamato deployment specification",2000.0,81.19999999999999,480.0,25.0,1.25,KMeans customer assignment plus nearest-neighbor visit-order proxy,Synthetic discrete-uniform integer 5-30 kg assumption,Customer count and vehicle count are crossed independently (3 x 3); charger condition is a third factor.
C100_V05_CHG_broad_SPEED25_T480,large,100,5,20.0,100,100,broad,106,106,"eCanter S battery, Yamato deployment specification",2000.0,81.19999999999999,480.0,25.0,1.25,KMeans customer assignment plus nearest-neighbor visit-order proxy,Synthetic discrete-uniform integer 5-30 kg assumption,Customer count and vehicle count are crossed independently (3 x 3); charger condition is a third factor.
