path,reason,size,category,references
05_src/traffic_simulation/calibration/__pycache__/__init__.cpython-311.pyc,reproducible bytecode; source exists,232,C/D,1
05_src/traffic_simulation/calibration/__pycache__/fetch_jartic.cpython-311.pyc,reproducible bytecode; source exists,22347,C/D,1
05_src/traffic_simulation/calibration/__pycache__/prepare_jartic.cpython-311.pyc,reproducible bytecode; source exists,28326,C/D,1
05_src/traffic_simulation/calibration/__pycache__/__init__.cpython-313.pyc,reproducible bytecode; source exists,221,C/D,1
05_src/traffic_simulation/calibration/__pycache__/road_census_sumo_pipeline.cpython-313.pyc,reproducible bytecode; source exists,64624,C/D,1
05_src/traffic_simulation/calibration/__pycache__/extract_osm_sumo_edge_attributes_normalized.cpython-313.pyc,reproducible bytecode; source exists,39601,C/D,1
05_src/traffic_simulation/calibration/__pycache__/investigate_route1_opposite_carriageway_boundary.cpython-313.pyc,reproducible bytecode; source exists,42698,C/D,1
05_src/traffic_simulation/calibration/__pycache__/analyze_marouter_getkpaths_trace.cpython-313.pyc,reproducible bytecode; source exists,28452,C/D,1
05_src/traffic_simulation/calibration/__pycache__/analyze_marouter_getkpaths_trace.cpython-311.pyc,reproducible bytecode; source exists,37519,C/D,1
05_src/traffic_simulation/calibration/__pycache__/assess_tokyo_pt_external_through_driver_integration.cpython-311.pyc,reproducible bytecode; source exists,9443,C/D,1
05_src/traffic_simulation/calibration/__pycache__/build_canonical_calibration_detectors.cpython-311.pyc,reproducible bytecode; source exists,25432,C/D,1
05_src/traffic_simulation/calibration/__pycache__/build_road_census_sumo_rebaseline.cpython-311.pyc,reproducible bytecode; source exists,25749,C/D,1
05_src/traffic_simulation/calibration/__pycache__/calibrate_ota_general_traffic.cpython-311.pyc,reproducible bytecode; source exists,29061,C/D,1
05_src/traffic_simulation/calibration/__pycache__/calibrate_ota_small_zone_general_traffic.cpython-311.pyc,reproducible bytecode; source exists,26972,C/D,1
05_src/traffic_simulation/calibration/__pycache__/compare_ota_spatial_support_experiments.cpython-311.pyc,reproducible bytecode; source exists,8913,C/D,1
05_src/traffic_simulation/calibration/__pycache__/compare_tokyo_pt_small_zone_driver_support.cpython-311.pyc,reproducible bytecode; source exists,9980,C/D,1
05_src/traffic_simulation/calibration/__pycache__/diagnose_marouter_route_generation.cpython-311.pyc,reproducible bytecode; source exists,46442,C/D,1
05_src/traffic_simulation/calibration/__pycache__/diagnose_ota_external_through_prior.cpython-311.pyc,reproducible bytecode; source exists,30573,C/D,1
05_src/traffic_simulation/calibration/__pycache__/diagnose_ota_initial_demand_spatial_support.cpython-311.pyc,reproducible bytecode; source exists,23397,C/D,1
05_src/traffic_simulation/calibration/__pycache__/extract_osm_sumo_edge_attributes_normalized.cpython-311.pyc,reproducible bytecode; source exists,49833,C/D,1
05_src/traffic_simulation/calibration/__pycache__/fetch_tokyo_pt_od.cpython-311.pyc,reproducible bytecode; source exists,5488,C/D,1
05_src/traffic_simulation/calibration/__pycache__/finalize_external_observation_mapping.cpython-311.pyc,reproducible bytecode; source exists,81894,C/D,1
05_src/traffic_simulation/calibration/__pycache__/finalize_external_observation_mapping_candidates.cpython-311.pyc,reproducible bytecode; source exists,35008,C/D,1
05_src/traffic_simulation/calibration/__pycache__/finalize_lane_direction_assumption_review.cpython-311.pyc,reproducible bytecode; source exists,28745,C/D,1
05_src/traffic_simulation/calibration/__pycache__/finalize_road_census_sumo_mapping.cpython-311.pyc,reproducible bytecode; source exists,44138,C/D,1
05_src/traffic_simulation/calibration/__pycache__/finalize_traffic_comparison_cross_section_review.cpython-311.pyc,reproducible bytecode; source exists,25883,C/D,1
05_src/traffic_simulation/calibration/__pycache__/fix_ota_sumo_measurement_locations.cpython-311.pyc,reproducible bytecode; source exists,49152,C/D,1
05_src/traffic_simulation/calibration/__pycache__/formalize_external_observation_inventory.cpython-311.pyc,reproducible bytecode; source exists,41001,C/D,1
05_src/traffic_simulation/calibration/__pycache__/formalize_partial_edge_mapping.cpython-311.pyc,reproducible bytecode; source exists,41233,C/D,1
05_src/traffic_simulation/calibration/__pycache__/inventory_final_mapping_manual_review.cpython-311.pyc,reproducible bytecode; source exists,44025,C/D,1
05_src/traffic_simulation/calibration/__pycache__/inventory_research_assumptions.cpython-311.pyc,reproducible bytecode; source exists,31722,C/D,1
05_src/traffic_simulation/calibration/__pycache__/investigate_external_observation_directions.cpython-311.pyc,reproducible bytecode; source exists,55588,C/D,1
05_src/traffic_simulation/calibration/__pycache__/investigate_external_observation_reverse_gaps.cpython-311.pyc,reproducible bytecode; source exists,47861,C/D,1
05_src/traffic_simulation/calibration/__pycache__/investigate_route1_opposite_carriageway_boundary.cpython-311.pyc,reproducible bytecode; source exists,50452,C/D,1
05_src/traffic_simulation/calibration/__pycache__/investigate_route316_directions.cpython-311.pyc,reproducible bytecode; source exists,59081,C/D,1
05_src/traffic_simulation/calibration/__pycache__/normalize_road_census_section_attributes.cpython-311.pyc,reproducible bytecode; source exists,30296,C/D,1
05_src/traffic_simulation/calibration/__pycache__/prepare_ota_official_traffic_calibration.cpython-311.pyc,reproducible bytecode; source exists,52939,C/D,1
05_src/traffic_simulation/calibration/__pycache__/prepare_tokyo_pt_external_through_driver_od.cpython-311.pyc,reproducible bytecode; source exists,26893,C/D,1
05_src/traffic_simulation/calibration/__pycache__/prepare_tokyo_pt_small_zone_driving_od.cpython-311.pyc,reproducible bytecode; source exists,24754,C/D,1
05_src/traffic_simulation/calibration/__pycache__/prepare_tokyo_pt_sumo_od.cpython-311.pyc,reproducible bytecode; source exists,30204,C/D,1
05_src/traffic_simulation/calibration/__pycache__/refine_lane_direction_assumptions.cpython-311.pyc,reproducible bytecode; source exists,27073,C/D,1
05_src/traffic_simulation/calibration/__pycache__/refine_speed_assumptions.cpython-311.pyc,reproducible bytecode; source exists,23598,C/D,1
05_src/traffic_simulation/calibration/__pycache__/refine_traffic_comparison_cross_sections.cpython-311.pyc,reproducible bytecode; source exists,26891,C/D,1
05_src/traffic_simulation/calibration/__pycache__/review_external_observation_opposite_carriageway_adoption.cpython-311.pyc,reproducible bytecode; source exists,40003,C/D,1
05_src/traffic_simulation/calibration/__pycache__/review_route316_opposite_carriageway_adoption.cpython-311.pyc,reproducible bytecode; source exists,42155,C/D,1
05_src/traffic_simulation/calibration/__pycache__/review_traffic_comparison_data_availability.cpython-311.pyc,reproducible bytecode; source exists,28633,C/D,1
05_src/traffic_simulation/calibration/__pycache__/road_census_sumo_pipeline.cpython-311.pyc,reproducible bytecode; source exists,76886,C/D,1
05_src/traffic_simulation/demand/__pycache__/__init__.cpython-311.pyc,reproducible bytecode; source exists,235,C/D,1
05_src/traffic_simulation/demand/__pycache__/prepare_baseline_demand.cpython-311.pyc,reproducible bytecode; source exists,42977,C/D,1
05_src/traffic_simulation/demand/__pycache__/finalize_evrp_r09_v18_manifest.cpython-313.pyc,reproducible bytecode; source exists,2344,C/D,1
05_src/traffic_simulation/demand/__pycache__/generate_evrp_r04_demand_weights.cpython-313.pyc,reproducible bytecode; source exists,18053,C/D,1
05_src/traffic_simulation/demand/__pycache__/generate_evrp_r05_pps_sampling.cpython-313.pyc,reproducible bytecode; source exists,11647,C/D,1
05_src/traffic_simulation/demand/__pycache__/generate_evrp_r06_customer_demand.cpython-313.pyc,reproducible bytecode; source exists,10458,C/D,1
05_src/traffic_simulation/demand/__pycache__/generate_evrp_r07_time_windows.cpython-313.pyc,reproducible bytecode; source exists,12012,C/D,1
05_src/traffic_simulation/demand/__pycache__/generate_evrp_r08_service_times.cpython-313.pyc,reproducible bytecode; source exists,8772,C/D,1
05_src/traffic_simulation/demand/__pycache__/generate_evrp_r09_depot.cpython-313.pyc,reproducible bytecode; source exists,12879,C/D,1
05_src/traffic_simulation/demand/__pycache__/generate_evrp_r10_ev.cpython-313.pyc,reproducible bytecode; source exists,7036,C/D,1
05_src/traffic_simulation/demand/__pycache__/validate_candidate_delivery_locations.cpython-313.pyc,reproducible bytecode; source exists,9133,C/D,1
