Deleted path,SHA-256,Size,Modified date,Git status,Latest retained,Reason,Deletion timestamp,Result
/Users/tstakuma/Desktop/github/research/07_presentations/archived_versions/700_20260701_0701_quantum_assesment_v1.pptx,56ab1a813f99a02dbdd31ac73e7d028204076b5c01befd1d856de364da17d774,28597,2026-07-01T21:36:39.122390,??,07_presentations/current/701_20260712_v02_mdr2_presentation.pptx,"confirmed superseded, archived, backup, deprecated, or generated old version",2026-07-12T15:14:55.088097+00:00,deleted
/Users/tstakuma/Desktop/github/research/07_presentations/archived_versions/704_20260711_from_technical_success_to_unseen_impacts_revised_with_sources.pptx,e16c41af34a88facc10461fdb494b1e21572744216b3c345c5bce672a8abdef5,2311927,2026-07-11T02:00:43.773243,??,07_presentations/current/701_20260712_v02_mdr2_presentation.pptx,"confirmed superseded, archived, backup, deprecated, or generated old version",2026-07-12T15:14:55.088097+00:00,deleted
/Users/tstakuma/Desktop/github/research/07_presentations/archived_versions/702_20260712_from_technical_success_to_unseen_impacts_4_slides13_19_added.pptx,eef6cd9af3b96a93aa11a5ae64f0cac63aac98ed7e2b0098d0208fd9c9cf68be,2654329,2026-07-12T02:17:00.852804,??,07_presentations/current/701_20260712_v02_mdr2_presentation.pptx,"confirmed superseded, archived, backup, deprecated, or generated old version",2026-07-12T15:14:55.088097+00:00,deleted
/Users/tstakuma/Desktop/github/research/07_presentations/archived_versions/706_20260712_research_overview_wip.pptx,7457c59dfd78eeddae6cf8dc496d32edae4b41e0c3ac672395fb3e94dfddc8b7,14176,2026-07-12T02:05:41.658459,??,07_presentations/current/701_20260712_v02_mdr2_presentation.pptx,"confirmed superseded, archived, backup, deprecated, or generated old version",2026-07-12T15:14:55.088097+00:00,deleted
/Users/tstakuma/Desktop/github/research/07_presentations/archived_versions/708_20260711_untitled_presentation.pptx,61d3a3971355d19cece2588aa25919a0aa0ac5e9b0462c590f1b7a0cb0dc4a84,5250128,2026-07-11T01:29:33.506065,??,07_presentations/current/701_20260712_v02_mdr2_presentation.pptx,"confirmed superseded, archived, backup, deprecated, or generated old version",2026-07-12T15:14:55.088097+00:00,deleted
/Users/tstakuma/Desktop/github/research/07_presentations/archived_versions/701_20260712_0712_mdr2_v1_slide19_revised.pptx,8045a12c0c657ce954c0158c6039de00bb694079a60d095bcea9e7912ad0cfd3,2732974,2026-07-12T03:58:48.123334,??,07_presentations/current/701_20260712_v02_mdr2_presentation.pptx,"confirmed superseded, archived, backup, deprecated, or generated old version",2026-07-12T15:14:55.088097+00:00,deleted
/Users/tstakuma/Desktop/github/research/07_presentations/archived_versions/707_20260625_research_progress_stage_gap_assessment.pptx,4d154954da051d21828a83f6778e4683dadf8f3227faf1bccf177b82395d16e8,448757,2026-06-25T09:33:22.910455,??,07_presentations/current/701_20260712_v02_mdr2_presentation.pptx,"confirmed superseded, archived, backup, deprecated, or generated old version",2026-07-12T15:14:55.088097+00:00,deleted
/Users/tstakuma/Desktop/github/research/07_presentations/archived_versions/703_20260711_from_technical_success_to_unseen_impacts.pptx,bd2966f054eccf4345919a2d6bdfe3d372406681c4994190cb40a92bfd06d15f,222413,2026-07-11T20:57:31.854000,??,07_presentations/current/701_20260712_v02_mdr2_presentation.pptx,"confirmed superseded, archived, backup, deprecated, or generated old version",2026-07-12T15:14:55.088097+00:00,deleted
/Users/tstakuma/Desktop/github/research/07_presentations/archived_versions/705_20260702_quantum_slides.pptx,cd7074ece165ebb766e622165dad8345b422c9942da5ef47e70b1af09602e17d,28666,2026-07-02T17:45:55.998762,??,07_presentations/current/701_20260712_v02_mdr2_presentation.pptx,"confirmed superseded, archived, backup, deprecated, or generated old version",2026-07-12T15:14:55.088097+00:00,deleted
/Users/tstakuma/Desktop/github/research/90_archive/deprecated_outputs/902_20260711_v04_manifest.csv,590b8ebb48ad8fe8db5a811c4a18a8e9e4cc52c4b6734607c4401799ca4a2780,2171,2026-07-12T04:52:44.181963,??,active files under 01_research_design through 08_documents,"confirmed superseded, archived, backup, deprecated, or generated old version",2026-07-12T15:14:55.088097+00:00,deleted
