parameter,constraint_name,low_unmet_rate,minimum_unmet_rate,maximum_unmet_rate,maximum_absolute_change_from_base
assumed_speed_kmh,Charging-assisted range feasibility,0.05673758865248227,0.05673758865248227,0.05673758865248227,0.0
assumed_speed_kmh,Charging-duration feasibility,0.0,0.0,0.0,0.0
assumed_speed_kmh,Charging-station access,0.0,0.0,0.0,0.0
assumed_speed_kmh,Operating-time limit,0.6566666666666666,0.16,0.6566666666666666,0.27333333333333326
assumed_speed_kmh,Payload capacity,0.0,0.0,0.0,0.0
assumed_speed_kmh,Range feasibility,0.94,0.94,0.94,0.0
charger_power_kw,Charging-assisted range feasibility,0.05673758865248227,0.05673758865248227,0.05673758865248227,0.0
charger_power_kw,Charging-duration feasibility,0.0,0.0,0.0,0.0
charger_power_kw,Charging-station access,0.0,0.0,0.0,0.0
charger_power_kw,Operating-time limit,0.38333333333333336,0.38333333333333336,0.38333333333333336,0.0
charger_power_kw,Payload capacity,0.0,0.0,0.0,0.0
charger_power_kw,Range feasibility,0.94,0.94,0.94,0.0
charging_time_limit_min,Charging-assisted range feasibility,0.05673758865248227,0.05673758865248227,0.05673758865248227,0.0
charging_time_limit_min,Charging-duration feasibility,0.1099290780141844,0.0,0.1099290780141844,0.1099290780141844
charging_time_limit_min,Charging-station access,0.0,0.0,0.0,0.0
charging_time_limit_min,Operating-time limit,0.38333333333333336,0.38333333333333336,0.38333333333333336,0.0
charging_time_limit_min,Payload capacity,0.0,0.0,0.0,0.0
charging_time_limit_min,Range feasibility,0.94,0.94,0.94,0.0
customer_count,Charging-assisted range feasibility,0.0,0.0,0.44,0.3832624113475177
customer_count,Charging-duration feasibility,0.0,0.0,0.04666666666666667,0.04666666666666667
customer_count,Charging-station access,0.0,0.0,0.0,0.0
customer_count,Operating-time limit,0.016666666666666666,0.016666666666666666,0.99,0.6066666666666667
customer_count,Payload capacity,0.0,0.0,0.0,0.0
customer_count,Range feasibility,0.6233333333333333,0.6233333333333333,1.0,0.31666666666666665
customer_demand_scale,Charging-assisted range feasibility,0.05673758865248227,0.05673758865248227,0.05673758865248227,0.0
customer_demand_scale,Charging-duration feasibility,0.0,0.0,0.0,0.0
customer_demand_scale,Charging-station access,0.0,0.0,0.0,0.0
customer_demand_scale,Operating-time limit,0.38333333333333336,0.38333333333333336,0.38333333333333336,0.0
customer_demand_scale,Payload capacity,0.0,0.0,0.0,0.0
customer_demand_scale,Range feasibility,0.94,0.94,0.94,0.0
maximum_charger_access_distance_km,Charging-assisted range feasibility,0.05673758865248227,0.05673758865248227,0.05673758865248227,0.0
maximum_charger_access_distance_km,Charging-duration feasibility,0.0,0.0,0.0,0.0
maximum_charger_access_distance_km,Charging-station access,0.0,0.0,0.0,0.0
maximum_charger_access_distance_km,Operating-time limit,0.38333333333333336,0.38333333333333336,0.38333333333333336,0.0
maximum_charger_access_distance_km,Payload capacity,0.0,0.0,0.0,0.0
maximum_charger_access_distance_km,Range feasibility,0.94,0.94,0.94,0.0
operating_time_limit_min,Charging-assisted range feasibility,0.05673758865248227,0.05673758865248227,0.05673758865248227,0.0
operating_time_limit_min,Charging-duration feasibility,0.0,0.0,0.0,0.0
operating_time_limit_min,Charging-station access,0.0,0.0,0.0,0.0
operating_time_limit_min,Operating-time limit,0.8266666666666667,0.04666666666666667,0.8266666666666667,0.4433333333333333
operating_time_limit_min,Payload capacity,0.0,0.0,0.0,0.0
operating_time_limit_min,Range feasibility,0.94,0.94,0.94,0.0
reserve_soc_ratio,Charging-assisted range feasibility,0.012145748987854251,0.012145748987854251,0.17114093959731544,0.11440335094483317
reserve_soc_ratio,Charging-duration feasibility,0.0,0.0,0.0,0.0
reserve_soc_ratio,Charging-station access,0.0,0.0,0.0,0.0
reserve_soc_ratio,Operating-time limit,0.38333333333333336,0.38333333333333336,0.38333333333333336,0.0
reserve_soc_ratio,Payload capacity,0.0,0.0,0.0,0.0
reserve_soc_ratio,Range feasibility,0.8233333333333334,0.8233333333333334,0.9933333333333333,0.11666666666666659
road_distance_multiplier,Charging-assisted range feasibility,0.011904761904761904,0.011904761904761904,0.12286689419795221,0.06612930554546995
road_distance_multiplier,Charging-duration feasibility,0.0,0.0,0.006825938566552901,0.006825938566552901
road_distance_multiplier,Charging-station access,0.0,0.0,0.0,0.0
road_distance_multiplier,Operating-time limit,0.19666666666666666,0.19666666666666666,0.49666666666666665,0.1866666666666667
road_distance_multiplier,Payload capacity,0.0,0.0,0.0,0.0
road_distance_multiplier,Range feasibility,0.84,0.84,0.9766666666666667,0.09999999999999998
service_time_per_customer_min,Charging-assisted range feasibility,0.05673758865248227,0.05673758865248227,0.05673758865248227,0.0
service_time_per_customer_min,Charging-duration feasibility,0.0,0.0,0.0,0.0
service_time_per_customer_min,Charging-station access,0.0,0.0,0.0,0.0
service_time_per_customer_min,Operating-time limit,0.056666666666666664,0.056666666666666664,0.6633333333333333,0.31
service_time_per_customer_min,Payload capacity,0.0,0.0,0.0,0.0
