scenario_id,customer_count,vehicle_count,charger_condition,constraint_name,route_weighted_unmet_rate,confidence_interval_lower,confidence_interval_upper,evaluated_route_count,unmet_route_count,independent_seed_count,bootstrap_iterations
C025_V01_CHG_balanced_SPEED25_T480,25,1,balanced,Payload capacity,0.0,0.0,0.0,100,0,100,1000
C025_V01_CHG_broad_SPEED25_T480,25,1,broad,Payload capacity,0.0,0.0,0.0,100,0,100,1000
C025_V01_CHG_conservative_SPEED25_T480,25,1,conservative,Payload capacity,0.0,0.0,0.0,100,0,100,1000
C025_V03_CHG_balanced_SPEED25_T480,25,3,balanced,Payload capacity,0.0,0.0,0.0,300,0,100,1000
C025_V03_CHG_broad_SPEED25_T480,25,3,broad,Payload capacity,0.0,0.0,0.0,300,0,100,1000
C025_V03_CHG_conservative_SPEED25_T480,25,3,conservative,Payload capacity,0.0,0.0,0.0,300,0,100,1000
C025_V05_CHG_balanced_SPEED25_T480,25,5,balanced,Payload capacity,0.0,0.0,0.0,500,0,100,1000
C025_V05_CHG_broad_SPEED25_T480,25,5,broad,Payload capacity,0.0,0.0,0.0,500,0,100,1000
C025_V05_CHG_conservative_SPEED25_T480,25,5,conservative,Payload capacity,0.0,0.0,0.0,500,0,100,1000
C050_V01_CHG_balanced_SPEED25_T480,50,1,balanced,Payload capacity,0.0,0.0,0.0,100,0,100,1000
C050_V01_CHG_broad_SPEED25_T480,50,1,broad,Payload capacity,0.0,0.0,0.0,100,0,100,1000
C050_V01_CHG_conservative_SPEED25_T480,50,1,conservative,Payload capacity,0.0,0.0,0.0,100,0,100,1000
C050_V03_CHG_balanced_SPEED25_T480,50,3,balanced,Payload capacity,0.0,0.0,0.0,300,0,100,1000
C050_V03_CHG_broad_SPEED25_T480,50,3,broad,Payload capacity,0.0,0.0,0.0,300,0,100,1000
C050_V03_CHG_conservative_SPEED25_T480,50,3,conservative,Payload capacity,0.0,0.0,0.0,300,0,100,1000
C050_V05_CHG_balanced_SPEED25_T480,50,5,balanced,Payload capacity,0.0,0.0,0.0,500,0,100,1000
C050_V05_CHG_broad_SPEED25_T480,50,5,broad,Payload capacity,0.0,0.0,0.0,500,0,100,1000
C050_V05_CHG_conservative_SPEED25_T480,50,5,conservative,Payload capacity,0.0,0.0,0.0,500,0,100,1000
C100_V01_CHG_balanced_SPEED25_T480,100,1,balanced,Payload capacity,0.0,0.0,0.0,100,0,100,1000
C100_V01_CHG_broad_SPEED25_T480,100,1,broad,Payload capacity,0.0,0.0,0.0,100,0,100,1000
C100_V01_CHG_conservative_SPEED25_T480,100,1,conservative,Payload capacity,0.0,0.0,0.0,100,0,100,1000
C100_V03_CHG_balanced_SPEED25_T480,100,3,balanced,Payload capacity,0.0,0.0,0.0,300,0,100,1000
C100_V03_CHG_broad_SPEED25_T480,100,3,broad,Payload capacity,0.0,0.0,0.0,300,0,100,1000
C100_V03_CHG_conservative_SPEED25_T480,100,3,conservative,Payload capacity,0.0,0.0,0.0,300,0,100,1000
C100_V05_CHG_balanced_SPEED25_T480,100,5,balanced,Payload capacity,0.0,0.0,0.0,500,0,100,1000
C100_V05_CHG_broad_SPEED25_T480,100,5,broad,Payload capacity,0.0,0.0,0.0,500,0,100,1000
C100_V05_CHG_conservative_SPEED25_T480,100,5,conservative,Payload capacity,0.0,0.0,0.0,500,0,100,1000
C025_V01_CHG_balanced_SPEED25_T480,25,1,balanced,Operating-time limit,1.0,1.0,1.0,100,100,100,1000
C025_V01_CHG_broad_SPEED25_T480,25,1,broad,Operating-time limit,1.0,1.0,1.0,100,100,100,1000
C025_V01_CHG_conservative_SPEED25_T480,25,1,conservative,Operating-time limit,1.0,1.0,1.0,100,100,100,1000
C025_V03_CHG_balanced_SPEED25_T480,25,3,balanced,Operating-time limit,0.016666666666666666,0.0033333333333333335,0.03333333333333333,300,5,100,1000
C025_V03_CHG_broad_SPEED25_T480,25,3,broad,Operating-time limit,0.016666666666666666,0.0033333333333333335,0.03333333333333333,300,5,100,1000
C025_V03_CHG_conservative_SPEED25_T480,25,3,conservative,Operating-time limit,0.016666666666666666,0.0033333333333333335,0.03333333333333333,300,5,100,1000
C025_V05_CHG_balanced_SPEED25_T480,25,5,balanced,Operating-time limit,0.0,0.0,0.0,500,0,100,1000
C025_V05_CHG_broad_SPEED25_T480,25,5,broad,Operating-time limit,0.0,0.0,0.0,500,0,100,1000
C025_V05_CHG_conservative_SPEED25_T480,25,5,conservative,Operating-time limit,0.0,0.0,0.0,500,0,100,1000
C050_V01_CHG_balanced_SPEED25_T480,50,1,balanced,Operating-time limit,1.0,1.0,1.0,100,100,100,1000
C050_V01_CHG_broad_SPEED25_T480,50,1,broad,Operating-time limit,1.0,1.0,1.0,100,100,100,1000
C050_V01_CHG_conservative_SPEED25_T480,50,1,conservative,Operating-time limit,1.0,1.0,1.0,100,100,100,1000
C050_V03_CHG_balanced_SPEED25_T480,50,3,balanced,Operating-time limit,0.38333333333333336,0.34,0.4266666666666667,300,115,100,1000
C050_V03_CHG_broad_SPEED25_T480,50,3,broad,Operating-time limit,0.38333333333333336,0.34325,0.4266666666666667,300,115,100,1000
C050_V03_CHG_conservative_SPEED25_T480,50,3,conservative,Operating-time limit,0.38333333333333336,0.34325,0.42333333333333334,300,115,100,1000
C050_V05_CHG_balanced_SPEED25_T480,50,5,balanced,Operating-time limit,0.008,0.002,0.016,500,4,100,1000
C050_V05_CHG_broad_SPEED25_T480,50,5,broad,Operating-time limit,0.008,0.0,0.016,500,4,100,1000
C050_V05_CHG_conservative_SPEED25_T480,50,5,conservative,Operating-time limit,0.008,0.002,0.016,500,4,100,1000
C100_V01_CHG_balanced_SPEED25_T480,100,1,balanced,Operating-time limit,1.0,1.0,1.0,100,100,100,1000
C100_V01_CHG_broad_SPEED25_T480,100,1,broad,Operating-time limit,1.0,1.0,1.0,100,100,100,1000
C100_V01_CHG_conservative_SPEED25_T480,100,1,conservative,Operating-time limit,1.0,1.0,1.0,100,100,100,1000
C100_V03_CHG_balanced_SPEED25_T480,100,3,balanced,Operating-time limit,0.99,0.98,1.0,300,297,100,1000
C100_V03_CHG_broad_SPEED25_T480,100,3,broad,Operating-time limit,0.99,0.9766666666666667,1.0,300,297,100,1000
C100_V03_CHG_conservative_SPEED25_T480,100,3,conservative,Operating-time limit,0.99,0.9766666666666667,1.0,300,297,100,1000
C100_V05_CHG_balanced_SPEED25_T480,100,5,balanced,Operating-time limit,0.368,0.338,0.398,500,184,100,1000
C100_V05_CHG_broad_SPEED25_T480,100,5,broad,Operating-time limit,0.368,0.336,0.394,500,184,100,1000
C100_V05_CHG_conservative_SPEED25_T480,100,5,conservative,Operating-time limit,0.368,0.338,0.398,500,184,100,1000
C025_V01_CHG_balanced_SPEED25_T480,25,1,balanced,Range feasibility,1.0,1.0,1.0,100,100,100,1000
C025_V01_CHG_broad_SPEED25_T480,25,1,broad,Range feasibility,1.0,1.0,1.0,100,100,100,1000
C025_V01_CHG_conservative_SPEED25_T480,25,1,conservative,Range feasibility,1.0,1.0,1.0,100,100,100,1000
C025_V03_CHG_balanced_SPEED25_T480,25,3,balanced,Range feasibility,0.6233333333333333,0.5733333333333334,0.67,300,187,100,1000
C025_V03_CHG_broad_SPEED25_T480,25,3,broad,Range feasibility,0.6233333333333333,0.5766666666666667,0.6733333333333333,300,187,100,1000
C025_V03_CHG_conservative_SPEED25_T480,25,3,conservative,Range feasibility,0.6233333333333333,0.5733333333333334,0.67,300,187,100,1000
C025_V05_CHG_balanced_SPEED25_T480,25,5,balanced,Range feasibility,0.2,0.172,0.226,500,100,100,1000
C025_V05_CHG_broad_SPEED25_T480,25,5,broad,Range feasibility,0.2,0.17,0.22604999999999997,500,100,100,1000
C025_V05_CHG_conservative_SPEED25_T480,25,5,conservative,Range feasibility,0.2,0.172,0.228,500,100,100,1000
C050_V01_CHG_balanced_SPEED25_T480,50,1,balanced,Range feasibility,1.0,1.0,1.0,100,100,100,1000
C050_V01_CHG_broad_SPEED25_T480,50,1,broad,Range feasibility,1.0,1.0,1.0,100,100,100,1000
C050_V01_CHG_conservative_SPEED25_T480,50,1,conservative,Range feasibility,1.0,1.0,1.0,100,100,100,1000
C050_V03_CHG_balanced_SPEED25_T480,50,3,balanced,Range feasibility,0.94,0.9133333333333333,0.9633333333333334,300,282,100,1000
C050_V03_CHG_broad_SPEED25_T480,50,3,broad,Range feasibility,0.94,0.9133333333333333,0.9633333333333334,300,282,100,1000
C050_V03_CHG_conservative_SPEED25_T480,50,3,conservative,Range feasibility,0.94,0.9133333333333333,0.9633333333333334,300,282,100,1000
C050_V05_CHG_balanced_SPEED25_T480,50,5,balanced,Range feasibility,0.412,0.38,0.448,500,206,100,1000
C050_V05_CHG_broad_SPEED25_T480,50,5,broad,Range feasibility,0.412,0.378,0.444,500,206,100,1000
C050_V05_CHG_conservative_SPEED25_T480,50,5,conservative,Range feasibility,0.412,0.376,0.444,500,206,100,1000
C100_V01_CHG_balanced_SPEED25_T480,100,1,balanced,Range feasibility,1.0,1.0,1.0,100,100,100,1000
C100_V01_CHG_broad_SPEED25_T480,100,1,broad,Range feasibility,1.0,1.0,1.0,100,100,100,1000
C100_V01_CHG_conservative_SPEED25_T480,100,1,conservative,Range feasibility,1.0,1.0,1.0,100,100,100,1000
C100_V03_CHG_balanced_SPEED25_T480,100,3,balanced,Range feasibility,1.0,1.0,1.0,300,300,100,1000
C100_V03_CHG_broad_SPEED25_T480,100,3,broad,Range feasibility,1.0,1.0,1.0,300,300,100,1000
C100_V03_CHG_conservative_SPEED25_T480,100,3,conservative,Range feasibility,1.0,1.0,1.0,300,300,100,1000
C100_V05_CHG_balanced_SPEED25_T480,100,5,balanced,Range feasibility,0.73,0.696,0.76005,500,365,100,1000
C100_V05_CHG_broad_SPEED25_T480,100,5,broad,Range feasibility,0.73,0.7,0.76,500,365,100,1000
C100_V05_CHG_conservative_SPEED25_T480,100,5,conservative,Range feasibility,0.73,0.698,0.76,500,365,100,1000
C025_V01_CHG_balanced_SPEED25_T480,25,1,balanced,SOC feasibility,,,,0,0,100,1000
C025_V01_CHG_broad_SPEED25_T480,25,1,broad,SOC feasibility,,,,0,0,100,1000
C025_V01_CHG_conservative_SPEED25_T480,25,1,conservative,SOC feasibility,,,,0,0,100,1000
C025_V03_CHG_balanced_SPEED25_T480,25,3,balanced,SOC feasibility,,,,0,0,100,1000
C025_V03_CHG_broad_SPEED25_T480,25,3,broad,SOC feasibility,,,,0,0,100,1000
C025_V03_CHG_conservative_SPEED25_T480,25,3,conservative,SOC feasibility,,,,0,0,100,1000
C025_V05_CHG_balanced_SPEED25_T480,25,5,balanced,SOC feasibility,,,,0,0,100,1000
C025_V05_CHG_broad_SPEED25_T480,25,5,broad,SOC feasibility,,,,0,0,100,1000
C025_V05_CHG_conservative_SPEED25_T480,25,5,conservative,SOC feasibility,,,,0,0,100,1000
C050_V01_CHG_balanced_SPEED25_T480,50,1,balanced,SOC feasibility,,,,0,0,100,1000
C050_V01_CHG_broad_SPEED25_T480,50,1,broad,SOC feasibility,,,,0,0,100,1000
C050_V01_CHG_conservative_SPEED25_T480,50,1,conservative,SOC feasibility,,,,0,0,100,1000
C050_V03_CHG_balanced_SPEED25_T480,50,3,balanced,SOC feasibility,,,,0,0,100,1000
C050_V03_CHG_broad_SPEED25_T480,50,3,broad,SOC feasibility,,,,0,0,100,1000
C050_V03_CHG_conservative_SPEED25_T480,50,3,conservative,SOC feasibility,,,,0,0,100,1000
C050_V05_CHG_balanced_SPEED25_T480,50,5,balanced,SOC feasibility,,,,0,0,100,1000
C050_V05_CHG_broad_SPEED25_T480,50,5,broad,SOC feasibility,,,,0,0,100,1000
C050_V05_CHG_conservative_SPEED25_T480,50,5,conservative,SOC feasibility,,,,0,0,100,1000
C100_V01_CHG_balanced_SPEED25_T480,100,1,balanced,SOC feasibility,,,,0,0,100,1000
C100_V01_CHG_broad_SPEED25_T480,100,1,broad,SOC feasibility,,,,0,0,100,1000
C100_V01_CHG_conservative_SPEED25_T480,100,1,conservative,SOC feasibility,,,,0,0,100,1000
C100_V03_CHG_balanced_SPEED25_T480,100,3,balanced,SOC feasibility,,,,0,0,100,1000
C100_V03_CHG_broad_SPEED25_T480,100,3,broad,SOC feasibility,,,,0,0,100,1000
C100_V03_CHG_conservative_SPEED25_T480,100,3,conservative,SOC feasibility,,,,0,0,100,1000
C100_V05_CHG_balanced_SPEED25_T480,100,5,balanced,SOC feasibility,,,,0,0,100,1000
C100_V05_CHG_broad_SPEED25_T480,100,5,broad,SOC feasibility,,,,0,0,100,1000
C100_V05_CHG_conservative_SPEED25_T480,100,5,conservative,SOC feasibility,,,,0,0,100,1000
C025_V01_CHG_balanced_SPEED25_T480,25,1,balanced,Charging-station access,0.0,0.0,0.0,100,0,100,1000
C025_V01_CHG_broad_SPEED25_T480,25,1,broad,Charging-station access,0.0,0.0,0.0,100,0,100,1000
C025_V01_CHG_conservative_SPEED25_T480,25,1,conservative,Charging-station access,0.07,0.03,0.12,100,7,100,1000
C025_V03_CHG_balanced_SPEED25_T480,25,3,balanced,Charging-station access,0.0,0.0,0.0,300,0,100,1000
C025_V03_CHG_broad_SPEED25_T480,25,3,broad,Charging-station access,0.0,0.0,0.0,300,0,100,1000
C025_V03_CHG_conservative_SPEED25_T480,25,3,conservative,Charging-station access,0.4633333333333333,0.41,0.5200833333333332,300,139,100,1000
C025_V05_CHG_balanced_SPEED25_T480,25,5,balanced,Charging-station access,0.0,0.0,0.0,500,0,100,1000
C025_V05_CHG_broad_SPEED25_T480,25,5,broad,Charging-station access,0.0,0.0,0.0,500,0,100,1000
C025_V05_CHG_conservative_SPEED25_T480,25,5,conservative,Charging-station access,0.652,0.616,0.688,500,326,100,1000
C050_V01_CHG_balanced_SPEED25_T480,50,1,balanced,Charging-station access,0.0,0.0,0.0,100,0,100,1000
C050_V01_CHG_broad_SPEED25_T480,50,1,broad,Charging-station access,0.0,0.0,0.0,100,0,100,1000
C050_V01_CHG_conservative_SPEED25_T480,50,1,conservative,Charging-station access,0.0,0.0,0.0,100,0,100,1000
C050_V03_CHG_balanced_SPEED25_T480,50,3,balanced,Charging-station access,0.0,0.0,0.0,300,0,100,1000
C050_V03_CHG_broad_SPEED25_T480,50,3,broad,Charging-station access,0.0,0.0,0.0,300,0,100,1000
C050_V03_CHG_conservative_SPEED25_T480,50,3,conservative,Charging-station access,0.18,0.13333333333333333,0.22666666666666666,300,54,100,1000
C050_V05_CHG_balanced_SPEED25_T480,50,5,balanced,Charging-station access,0.0,0.0,0.0,500,0,100,1000
C050_V05_CHG_broad_SPEED25_T480,50,5,broad,Charging-station access,0.0,0.0,0.0,500,0,100,1000
C050_V05_CHG_conservative_SPEED25_T480,50,5,conservative,Charging-station access,0.398,0.362,0.438,500,199,100,1000
C100_V01_CHG_balanced_SPEED25_T480,100,1,balanced,Charging-station access,0.0,0.0,0.0,100,0,100,1000
C100_V01_CHG_broad_SPEED25_T480,100,1,broad,Charging-station access,0.0,0.0,0.0,100,0,100,1000
C100_V01_CHG_conservative_SPEED25_T480,100,1,conservative,Charging-station access,0.0,0.0,0.0,100,0,100,1000
C100_V03_CHG_balanced_SPEED25_T480,100,3,balanced,Charging-station access,0.0,0.0,0.0,300,0,100,1000
C100_V03_CHG_broad_SPEED25_T480,100,3,broad,Charging-station access,0.0,0.0,0.0,300,0,100,1000
C100_V03_CHG_conservative_SPEED25_T480,100,3,conservative,Charging-station access,0.06333333333333334,0.03666666666666667,0.09,300,19,100,1000
C100_V05_CHG_balanced_SPEED25_T480,100,5,balanced,Charging-station access,0.0,0.0,0.0,500,0,100,1000
C100_V05_CHG_broad_SPEED25_T480,100,5,broad,Charging-station access,0.0,0.0,0.0,500,0,100,1000
