scenario_depot_id,hub_id,facility_name,facility_major_type_code,facility_major_type,address_or_municipality,longitude,latitude,depot_priority_rank,scenario_role,selection_rule,limitation
DEP_001,P31_13_0419,東京主管支店,5,truck_terminal_or_parcel_operator_terminal,江東区有明1-6-26,139.781956,35.63424,1,eligible_depot_candidate,"mainland_tokyo_proxy == True and facility_major_type_code in {3,4,5}",Public logistics-facility proxy; not an observed operator depot.
DEP_002,P31_13_0420,南東京主管支店,5,truck_terminal_or_parcel_operator_terminal,品川区八潮3-3-8,139.759685,35.585989,1,eligible_depot_candidate,"mainland_tokyo_proxy == True and facility_major_type_code in {3,4,5}",Public logistics-facility proxy; not an observed operator depot.
DEP_003,P31_13_0421,西東京主管支店,5,truck_terminal_or_parcel_operator_terminal,昭島市拝島町4-10-5,139.345398,35.700998,1,eligible_depot_candidate,"mainland_tokyo_proxy == True and facility_major_type_code in {3,4,5}",Public logistics-facility proxy; not an observed operator depot.
DEP_004,P31_13_0422,新東京主管支店,5,truck_terminal_or_parcel_operator_terminal,品川区八潮3-2-35,139.761146,35.593761,1,eligible_depot_candidate,"mainland_tokyo_proxy == True and facility_major_type_code in {3,4,5}",Public logistics-facility proxy; not an observed operator depot.
DEP_005,P31_13_0423,東東京主管支店,5,truck_terminal_or_parcel_operator_terminal,江東区枝川3-7-19,139.809477,35.658232,1,eligible_depot_candidate,"mainland_tokyo_proxy == True and facility_major_type_code in {3,4,5}",Public logistics-facility proxy; not an observed operator depot.
DEP_006,P31_13_0424,京浜トラックターミナル,5,truck_terminal_or_parcel_operator_terminal,大田区平和島2-1-1,139.745306,35.586971,1,eligible_depot_candidate,"mainland_tokyo_proxy == True and facility_major_type_code in {3,4,5}",Public logistics-facility proxy; not an observed operator depot.
DEP_007,P31_13_0425,板橋トラックターミナル,5,truck_terminal_or_parcel_operator_terminal,板橋区高島平6-1-1,139.646484,35.793672,1,eligible_depot_candidate,"mainland_tokyo_proxy == True and facility_major_type_code in {3,4,5}",Public logistics-facility proxy; not an observed operator depot.
DEP_008,P31_13_0426,足立トラックターミナル,5,truck_terminal_or_parcel_operator_terminal,足立区入谷6-1-1,139.766915,35.799352,1,eligible_depot_candidate,"mainland_tokyo_proxy == True and facility_major_type_code in {3,4,5}",Public logistics-facility proxy; not an observed operator depot.
DEP_009,P31_13_0427,葛西トラックターミナル,5,truck_terminal_or_parcel_operator_terminal,江戸川区臨海町4-3-1,139.865029,35.645609,1,eligible_depot_candidate,"mainland_tokyo_proxy == True and facility_major_type_code in {3,4,5}",Public logistics-facility proxy; not an observed operator depot.
DEP_010,P31_13_0428,東京店,5,truck_terminal_or_parcel_operator_terminal,江東区東雲2-13-32,139.802667,35.637067,1,eligible_depot_candidate,"mainland_tokyo_proxy == True and facility_major_type_code in {3,4,5}",Public logistics-facility proxy; not an observed operator depot.
DEP_011,P31_13_0429,城南店・目黒店,5,truck_terminal_or_parcel_operator_terminal,品川区八潮3-2-38,139.761457,35.593809,1,eligible_depot_candidate,"mainland_tokyo_proxy == True and facility_major_type_code in {3,4,5}",Public logistics-facility proxy; not an observed operator depot.
DEP_012,P31_13_0430,江東店,5,truck_terminal_or_parcel_operator_terminal,江東区新木場2-15-25,139.822354,35.637994,1,eligible_depot_candidate,"mainland_tokyo_proxy == True and facility_major_type_code in {3,4,5}",Public logistics-facility proxy; not an observed operator depot.
DEP_013,P31_13_0431,台東店,5,truck_terminal_or_parcel_operator_terminal,江東区新砂3-5-15,139.837824,35.663269,1,eligible_depot_candidate,"mainland_tokyo_proxy == True and facility_major_type_code in {3,4,5}",Public logistics-facility proxy; not an observed operator depot.
DEP_014,P31_13_0432,渋谷店,5,truck_terminal_or_parcel_operator_terminal,品川区勝島1-1-1,139.744163,35.601458,1,eligible_depot_candidate,"mainland_tokyo_proxy == True and facility_major_type_code in {3,4,5}",Public logistics-facility proxy; not an observed operator depot.
DEP_015,P31_13_0433,品川店,5,truck_terminal_or_parcel_operator_terminal,大田区東糀谷6-5-2,139.747645,35.559439,1,eligible_depot_candidate,"mainland_tokyo_proxy == True and facility_major_type_code in {3,4,5}",Public logistics-facility proxy; not an observed operator depot.
DEP_016,P31_13_0434,城西店・関東航空店,5,truck_terminal_or_parcel_operator_terminal,江東区新砂1-12-14,139.822343,35.660578,1,eligible_depot_candidate,"mainland_tokyo_proxy == True and facility_major_type_code in {3,4,5}",Public logistics-facility proxy; not an observed operator depot.
DEP_017,P31_13_0435,城北店(豊島区)・城北店(板橋区),5,truck_terminal_or_parcel_operator_terminal,板橋区新河岸1-11-11,139.669736,35.794973,1,eligible_depot_candidate,"mainland_tokyo_proxy == True and facility_major_type_code in {3,4,5}",Public logistics-facility proxy; not an observed operator depot.
DEP_018,P31_13_0436,赤羽店,5,truck_terminal_or_parcel_operator_terminal,板橋区舟渡4-12-28,139.678894,35.794346,1,eligible_depot_candidate,"mainland_tokyo_proxy == True and facility_major_type_code in {3,4,5}",Public logistics-facility proxy; not an observed operator depot.
DEP_019,P31_13_0437,羽田店,5,truck_terminal_or_parcel_operator_terminal,大田区昭和島1-6-7,139.747999,35.573108,1,eligible_depot_candidate,"mainland_tokyo_proxy == True and facility_major_type_code in {3,4,5}",Public logistics-facility proxy; not an observed operator depot.
DEP_020,P31_13_0438,荒川店,5,truck_terminal_or_parcel_operator_terminal,墨田区東墨田3-4-45,139.835307,35.718887,1,eligible_depot_candidate,"mainland_tokyo_proxy == True and facility_major_type_code in {3,4,5}",Public logistics-facility proxy; not an observed operator depot.
DEP_021,P31_13_0439,中野店,5,truck_terminal_or_parcel_operator_terminal,練馬区石神井町2-36-19,139.606051,35.75001,1,eligible_depot_candidate,"mainland_tokyo_proxy == True and facility_major_type_code in {3,4,5}",Public logistics-facility proxy; not an observed operator depot.
DEP_022,P31_13_0440,杉並店,5,truck_terminal_or_parcel_operator_terminal,杉並区上高井戸2-2-40,139.613799,35.676843,1,eligible_depot_candidate,"mainland_tokyo_proxy == True and facility_major_type_code in {3,4,5}",Public logistics-facility proxy; not an observed operator depot.
DEP_023,P31_13_0441,世田谷用賀店,5,truck_terminal_or_parcel_operator_terminal,世田谷区用賀1-15-23,139.637882,35.623623,1,eligible_depot_candidate,"mainland_tokyo_proxy == True and facility_major_type_code in {3,4,5}",Public logistics-facility proxy; not an observed operator depot.
DEP_024,P31_13_0442,墨田店,5,truck_terminal_or_parcel_operator_terminal,江東区新木場1-17-4,139.829382,35.644179,1,eligible_depot_candidate,"mainland_tokyo_proxy == True and facility_major_type_code in {3,4,5}",Public logistics-facility proxy; not an observed operator depot.
DEP_025,P31_13_0443,千代田店,5,truck_terminal_or_parcel_operator_terminal,江東区新砂2-2-11,139.827169,35.667072,1,eligible_depot_candidate,"mainland_tokyo_proxy == True and facility_major_type_code in {3,4,5}",Public logistics-facility proxy; not an observed operator depot.
DEP_026,P31_13_0444,文京店,5,truck_terminal_or_parcel_operator_terminal,江東区新砂2-1-19,139.826127,35.66872,1,eligible_depot_candidate,"mainland_tokyo_proxy == True and facility_major_type_code in {3,4,5}",Public logistics-facility proxy; not an observed operator depot.
DEP_027,P31_13_0445,三多摩店,5,truck_terminal_or_parcel_operator_terminal,昭島市拝島町4-8-1,139.346177,35.701822,1,eligible_depot_candidate,"mainland_tokyo_proxy == True and facility_major_type_code in {3,4,5}",Public logistics-facility proxy; not an observed operator depot.
DEP_028,P31_13_0446,武蔵村山店,5,truck_terminal_or_parcel_operator_terminal,武蔵村山市伊奈平2-62-1,139.376108,35.742038,1,eligible_depot_candidate,"mainland_tokyo_proxy == True and facility_major_type_code in {3,4,5}",Public logistics-facility proxy; not an observed operator depot.
DEP_029,P31_13_0447,三鷹店,5,truck_terminal_or_parcel_operator_terminal,三鷹市野崎1-14-5,139.551884,35.681204,1,eligible_depot_candidate,"mainland_tokyo_proxy == True and facility_major_type_code in {3,4,5}",Public logistics-facility proxy; not an observed operator depot.
DEP_030,P31_13_0448,武蔵野店,5,truck_terminal_or_parcel_operator_terminal,三鷹市北野3-2-3,139.583515,35.678607,1,eligible_depot_candidate,"mainland_tokyo_proxy == True and facility_major_type_code in {3,4,5}",Public logistics-facility proxy; not an observed operator depot.
DEP_031,P31_13_0449,八王子店,5,truck_terminal_or_parcel_operator_terminal,八王子市兵衛2-21-1,139.333039,35.624315,1,eligible_depot_candidate,"mainland_tokyo_proxy == True and facility_major_type_code in {3,4,5}",Public logistics-facility proxy; not an observed operator depot.
DEP_032,P31_13_0450,福生店,5,truck_terminal_or_parcel_operator_terminal,福生市福生2217-1,139.337277,35.742565,1,eligible_depot_candidate,"mainland_tokyo_proxy == True and facility_major_type_code in {3,4,5}",Public logistics-facility proxy; not an observed operator depot.
DEP_033,P31_13_0451,府中店,5,truck_terminal_or_parcel_operator_terminal,国立市谷保3158-3,139.428394,35.675214,1,eligible_depot_candidate,"mainland_tokyo_proxy == True and facility_major_type_code in {3,4,5}",Public logistics-facility proxy; not an observed operator depot.
