base_route_proxy_id,customer_configuration_id,customer_count,vehicle_count,seed,route_index,depot_candidate_id,eligible_depot_candidate_count,selected_depot_count,customer_count_on_route,haversine_distance_km,road_adjusted_distance_km,network_distance_km,route_proxy_distance_km,route_total_demand_kg,service_time_total_min,route_generation_method,route_proxy_limitation
C025_V01_S001_R01,C025_S001,25,1,1,1,DEP_022,440,1,25,143.96244234921434,179.95305293651793,,179.95305293651793,464.0,254.0,KMeans assignment plus nearest-neighbor visit-order proxy,Not an EVRP optimum; not time-window/SOC optimized; not a road-network path.
C025_V03_S001_R01,C025_S001,25,3,1,1,DEP_022,440,1,7,58.991362462068324,73.7392030775854,,73.7392030775854,133.0,60.0,KMeans assignment plus nearest-neighbor visit-order proxy,Not an EVRP optimum; not time-window/SOC optimized; not a road-network path.
C025_V03_S001_R02,C025_S001,25,3,1,2,DEP_022,440,1,8,65.68148166208574,82.10185207760718,,82.10185207760718,160.0,83.0,KMeans assignment plus nearest-neighbor visit-order proxy,Not an EVRP optimum; not time-window/SOC optimized; not a road-network path.
C025_V03_S001_R03,C025_S001,25,3,1,3,DEP_022,440,1,10,45.55506273710058,56.94382842137572,,56.94382842137572,171.0,111.0,KMeans assignment plus nearest-neighbor visit-order proxy,Not an EVRP optimum; not time-window/SOC optimized; not a road-network path.
C025_V05_S001_R01,C025_S001,25,5,1,1,DEP_022,440,1,4,29.66598421073914,37.082480263423925,,37.082480263423925,85.0,37.0,KMeans assignment plus nearest-neighbor visit-order proxy,Not an EVRP optimum; not time-window/SOC optimized; not a road-network path.
C025_V05_S001_R02,C025_S001,25,5,1,2,DEP_022,440,1,4,59.52491346788112,74.4061418348514,,74.4061418348514,74.0,35.0,KMeans assignment plus nearest-neighbor visit-order proxy,Not an EVRP optimum; not time-window/SOC optimized; not a road-network path.
C025_V05_S001_R03,C025_S001,25,5,1,3,DEP_022,440,1,6,58.71502610460138,73.39378263075173,,73.39378263075173,103.0,52.0,KMeans assignment plus nearest-neighbor visit-order proxy,Not an EVRP optimum; not time-window/SOC optimized; not a road-network path.
C025_V05_S001_R04,C025_S001,25,5,1,4,DEP_022,440,1,7,33.968788795387376,42.46098599423422,,42.46098599423422,116.0,82.0,KMeans assignment plus nearest-neighbor visit-order proxy,Not an EVRP optimum; not time-window/SOC optimized; not a road-network path.
C025_V05_S001_R05,C025_S001,25,5,1,5,DEP_022,440,1,4,43.5083264305954,54.38540803824425,,54.38540803824425,86.0,48.0,KMeans assignment plus nearest-neighbor visit-order proxy,Not an EVRP optimum; not time-window/SOC optimized; not a road-network path.
C025_V01_S002_R01,C025_S002,25,1,2,1,DEP_030,440,1,25,197.7606675959899,247.20083449498736,,247.20083449498736,415.0,248.0,KMeans assignment plus nearest-neighbor visit-order proxy,Not an EVRP optimum; not time-window/SOC optimized; not a road-network path.
C025_V03_S002_R01,C025_S002,25,3,2,1,DEP_030,440,1,5,80.58971843082495,100.73714803853119,,100.73714803853119,78.0,51.0,KMeans assignment plus nearest-neighbor visit-order proxy,Not an EVRP optimum; not time-window/SOC optimized; not a road-network path.
C025_V03_S002_R02,C025_S002,25,3,2,2,DEP_030,440,1,10,82.22271105254747,102.77838881568434,,102.77838881568434,157.0,94.0,KMeans assignment plus nearest-neighbor visit-order proxy,Not an EVRP optimum; not time-window/SOC optimized; not a road-network path.
C025_V03_S002_R03,C025_S002,25,3,2,3,DEP_030,440,1,10,83.79163136585117,104.73953920731397,,104.73953920731397,180.0,103.0,KMeans assignment plus nearest-neighbor visit-order proxy,Not an EVRP optimum; not time-window/SOC optimized; not a road-network path.
C025_V05_S002_R01,C025_S002,25,5,2,1,DEP_030,440,1,6,46.39885629081423,57.998570363517786,,57.998570363517786,103.0,63.0,KMeans assignment plus nearest-neighbor visit-order proxy,Not an EVRP optimum; not time-window/SOC optimized; not a road-network path.
C025_V05_S002_R02,C025_S002,25,5,2,2,DEP_030,440,1,5,80.58971843082495,100.73714803853119,,100.73714803853119,78.0,51.0,KMeans assignment plus nearest-neighbor visit-order proxy,Not an EVRP optimum; not time-window/SOC optimized; not a road-network path.
C025_V05_S002_R03,C025_S002,25,5,2,3,DEP_030,440,1,5,64.36525141486479,80.45656426858099,,80.45656426858099,69.0,44.0,KMeans assignment plus nearest-neighbor visit-order proxy,Not an EVRP optimum; not time-window/SOC optimized; not a road-network path.
C025_V05_S002_R04,C025_S002,25,5,2,4,DEP_030,440,1,3,43.49544291086329,54.36930363857911,,54.36930363857911,63.0,30.0,KMeans assignment plus nearest-neighbor visit-order proxy,Not an EVRP optimum; not time-window/SOC optimized; not a road-network path.
C025_V05_S002_R05,C025_S002,25,5,2,5,DEP_030,440,1,6,34.79460778301275,43.493259728765935,,43.493259728765935,102.0,60.0,KMeans assignment plus nearest-neighbor visit-order proxy,Not an EVRP optimum; not time-window/SOC optimized; not a road-network path.
C025_V01_S003_R01,C025_S003,25,1,3,1,DEP_071,440,1,25,198.5238514776674,248.15481434708425,,248.15481434708425,436.0,257.0,KMeans assignment plus nearest-neighbor visit-order proxy,Not an EVRP optimum; not time-window/SOC optimized; not a road-network path.
C025_V03_S003_R01,C025_S003,25,3,3,1,DEP_071,440,1,3,66.60150292259317,83.25187865324146,,83.25187865324146,49.0,41.0,KMeans assignment plus nearest-neighbor visit-order proxy,Not an EVRP optimum; not time-window/SOC optimized; not a road-network path.
C025_V03_S003_R02,C025_S003,25,3,3,2,DEP_071,440,1,14,101.21532659637423,126.51915824546778,,126.51915824546778,255.0,132.0,KMeans assignment plus nearest-neighbor visit-order proxy,Not an EVRP optimum; not time-window/SOC optimized; not a road-network path.
C025_V03_S003_R03,C025_S003,25,3,3,3,DEP_071,440,1,8,53.20035467461313,66.50044334326641,,66.50044334326641,132.0,84.0,KMeans assignment plus nearest-neighbor visit-order proxy,Not an EVRP optimum; not time-window/SOC optimized; not a road-network path.
