customer_configuration_id,seed,customer_count,customer_locations_randomized,customer_demands_randomized,service_times_randomized,vehicle_assignment_randomized,charger_availability_randomized,speed_randomized,pairing_rule,analysis_name
C025_S001,1,25,True,True,True,True,False,False,Seed identifier retained across all vehicle-count and charger conditions,Monte Carlo spatial sensitivity analysis
C025_S002,2,25,True,True,True,True,False,False,Seed identifier retained across all vehicle-count and charger conditions,Monte Carlo spatial sensitivity analysis
C025_S003,3,25,True,True,True,True,False,False,Seed identifier retained across all vehicle-count and charger conditions,Monte Carlo spatial sensitivity analysis
C025_S004,4,25,True,True,True,True,False,False,Seed identifier retained across all vehicle-count and charger conditions,Monte Carlo spatial sensitivity analysis
C025_S005,5,25,True,True,True,True,False,False,Seed identifier retained across all vehicle-count and charger conditions,Monte Carlo spatial sensitivity analysis
C025_S006,6,25,True,True,True,True,False,False,Seed identifier retained across all vehicle-count and charger conditions,Monte Carlo spatial sensitivity analysis
C025_S007,7,25,True,True,True,True,False,False,Seed identifier retained across all vehicle-count and charger conditions,Monte Carlo spatial sensitivity analysis
C025_S008,8,25,True,True,True,True,False,False,Seed identifier retained across all vehicle-count and charger conditions,Monte Carlo spatial sensitivity analysis
C025_S009,9,25,True,True,True,True,False,False,Seed identifier retained across all vehicle-count and charger conditions,Monte Carlo spatial sensitivity analysis
C025_S010,10,25,True,True,True,True,False,False,Seed identifier retained across all vehicle-count and charger conditions,Monte Carlo spatial sensitivity analysis
C025_S011,11,25,True,True,True,True,False,False,Seed identifier retained across all vehicle-count and charger conditions,Monte Carlo spatial sensitivity analysis
C025_S012,12,25,True,True,True,True,False,False,Seed identifier retained across all vehicle-count and charger conditions,Monte Carlo spatial sensitivity analysis
C025_S013,13,25,True,True,True,True,False,False,Seed identifier retained across all vehicle-count and charger conditions,Monte Carlo spatial sensitivity analysis
C025_S014,14,25,True,True,True,True,False,False,Seed identifier retained across all vehicle-count and charger conditions,Monte Carlo spatial sensitivity analysis
C025_S015,15,25,True,True,True,True,False,False,Seed identifier retained across all vehicle-count and charger conditions,Monte Carlo spatial sensitivity analysis
C025_S016,16,25,True,True,True,True,False,False,Seed identifier retained across all vehicle-count and charger conditions,Monte Carlo spatial sensitivity analysis
C025_S017,17,25,True,True,True,True,False,False,Seed identifier retained across all vehicle-count and charger conditions,Monte Carlo spatial sensitivity analysis
C025_S018,18,25,True,True,True,True,False,False,Seed identifier retained across all vehicle-count and charger conditions,Monte Carlo spatial sensitivity analysis
C025_S019,19,25,True,True,True,True,False,False,Seed identifier retained across all vehicle-count and charger conditions,Monte Carlo spatial sensitivity analysis
C025_S020,20,25,True,True,True,True,False,False,Seed identifier retained across all vehicle-count and charger conditions,Monte Carlo spatial sensitivity analysis
C025_S021,21,25,True,True,True,True,False,False,Seed identifier retained across all vehicle-count and charger conditions,Monte Carlo spatial sensitivity analysis
C025_S022,22,25,True,True,True,True,False,False,Seed identifier retained across all vehicle-count and charger conditions,Monte Carlo spatial sensitivity analysis
C025_S023,23,25,True,True,True,True,False,False,Seed identifier retained across all vehicle-count and charger conditions,Monte Carlo spatial sensitivity analysis
