scenario_id,analysis_configuration_id,experimental_condition,scenario_size,customer_count,vehicle_count,customers_per_vehicle,charger_condition,eligible_charger_candidate_count,selected_charger_count,minimum_power_kw,maximum_access_distance_km,usage_type_policy,missing_power_policy,missing_usage_type_policy,public_access_required,charging_time_limit_min,connector_compatibility_policy,vehicle_type,vehicle_scenario_id,payload_capacity_kg,battery_capacity_kwh,nominal_range_km,usable_range_km,initial_soc_ratio,reserve_soc_ratio,operating_time_limit_min,assumed_speed_kmh,road_distance_multiplier,service_time_per_customer_min,route_generation_method,customer_demand_source,customer_location_source,independent_seed_count,conditional_case_count,route_proxy_status
C025_V01_CHG_conservative_SPEED25_T480,C025_V01_CHG_conservative_SPEED25_T480,Factorial synthetic EVRP constraint evaluation,small,25,1,25.0,conservative,12,12,50.0,3.0,Retain missing usage type and flag public access as unknown,Exclude,Retain and flag Unknown,False,60.0,Require reported CHAdeMO,"eCanter S battery, Yamato deployment specification",mitsubishi_fuso_ecanter_s_yamato,2000.0,41.0,116.0,81.19999999999999,0.9,0.2,480.0,25.0,1.25,Synthetic discrete uniform integer 5-15,KMeans customer assignment plus nearest-neighbor visit-order proxy,Synthetic discrete-uniform integer 5-30 kg assumption,Population-weighted synthetic sample from e-Stat mesh,100,100,Not an optimized EVRP solution or road-network route
C025_V01_CHG_balanced_SPEED25_T480,C025_V01_CHG_balanced_SPEED25_T480,Factorial synthetic EVRP constraint evaluation,small,25,1,25.0,balanced,106,106,40.0,5.0,Retain missing usage type and flag public access as unknown,Exclude,Retain and flag Unknown,False,60.0,Require reported CHAdeMO,"eCanter S battery, Yamato deployment specification",mitsubishi_fuso_ecanter_s_yamato,2000.0,41.0,116.0,81.19999999999999,0.9,0.2,480.0,25.0,1.25,Synthetic discrete uniform integer 5-15,KMeans customer assignment plus nearest-neighbor visit-order proxy,Synthetic discrete-uniform integer 5-30 kg assumption,Population-weighted synthetic sample from e-Stat mesh,100,100,Not an optimized EVRP solution or road-network route
C025_V01_CHG_broad_SPEED25_T480,C025_V01_CHG_broad_SPEED25_T480,Factorial synthetic EVRP constraint evaluation,small,25,1,25.0,broad,106,106,,10.0,Retain missing usage type and flag public access as unknown,Retain for geography; exclude from duration evaluation,Retain and flag Unknown,False,90.0,Retain non-Tesla candidates; compatibility must be reported CHAdeMO for range assistance,"eCanter S battery, Yamato deployment specification",mitsubishi_fuso_ecanter_s_yamato,2000.0,41.0,116.0,81.19999999999999,0.9,0.2,480.0,25.0,1.25,Synthetic discrete uniform integer 5-15,KMeans customer assignment plus nearest-neighbor visit-order proxy,Synthetic discrete-uniform integer 5-30 kg assumption,Population-weighted synthetic sample from e-Stat mesh,100,100,Not an optimized EVRP solution or road-network route
C025_V03_CHG_conservative_SPEED25_T480,C025_V03_CHG_conservative_SPEED25_T480,Factorial synthetic EVRP constraint evaluation,small,25,3,8.333333333333334,conservative,12,12,50.0,3.0,Retain missing usage type and flag public access as unknown,Exclude,Retain and flag Unknown,False,60.0,Require reported CHAdeMO,"eCanter S battery, Yamato deployment specification",mitsubishi_fuso_ecanter_s_yamato,2000.0,41.0,116.0,81.19999999999999,0.9,0.2,480.0,25.0,1.25,Synthetic discrete uniform integer 5-15,KMeans customer assignment plus nearest-neighbor visit-order proxy,Synthetic discrete-uniform integer 5-30 kg assumption,Population-weighted synthetic sample from e-Stat mesh,100,100,Not an optimized EVRP solution or road-network route
C025_V03_CHG_balanced_SPEED25_T480,C025_V03_CHG_balanced_SPEED25_T480,Factorial synthetic EVRP constraint evaluation,small,25,3,8.333333333333334,balanced,106,106,40.0,5.0,Retain missing usage type and flag public access as unknown,Exclude,Retain and flag Unknown,False,60.0,Require reported CHAdeMO,"eCanter S battery, Yamato deployment specification",mitsubishi_fuso_ecanter_s_yamato,2000.0,41.0,116.0,81.19999999999999,0.9,0.2,480.0,25.0,1.25,Synthetic discrete uniform integer 5-15,KMeans customer assignment plus nearest-neighbor visit-order proxy,Synthetic discrete-uniform integer 5-30 kg assumption,Population-weighted synthetic sample from e-Stat mesh,100,100,Not an optimized EVRP solution or road-network route
C025_V03_CHG_broad_SPEED25_T480,C025_V03_CHG_broad_SPEED25_T480,Factorial synthetic EVRP constraint evaluation,small,25,3,8.333333333333334,broad,106,106,,10.0,Retain missing usage type and flag public access as unknown,Retain for geography; exclude from duration evaluation,Retain and flag Unknown,False,90.0,Retain non-Tesla candidates; compatibility must be reported CHAdeMO for range assistance,"eCanter S battery, Yamato deployment specification",mitsubishi_fuso_ecanter_s_yamato,2000.0,41.0,116.0,81.19999999999999,0.9,0.2,480.0,25.0,1.25,Synthetic discrete uniform integer 5-15,KMeans customer assignment plus nearest-neighbor visit-order proxy,Synthetic discrete-uniform integer 5-30 kg assumption,Population-weighted synthetic sample from e-Stat mesh,100,100,Not an optimized EVRP solution or road-network route
C025_V05_CHG_conservative_SPEED25_T480,C025_V05_CHG_conservative_SPEED25_T480,Factorial synthetic EVRP constraint evaluation,small,25,5,5.0,conservative,12,12,50.0,3.0,Retain missing usage type and flag public access as unknown,Exclude,Retain and flag Unknown,False,60.0,Require reported CHAdeMO,"eCanter S battery, Yamato deployment specification",mitsubishi_fuso_ecanter_s_yamato,2000.0,41.0,116.0,81.19999999999999,0.9,0.2,480.0,25.0,1.25,Synthetic discrete uniform integer 5-15,KMeans customer assignment plus nearest-neighbor visit-order proxy,Synthetic discrete-uniform integer 5-30 kg assumption,Population-weighted synthetic sample from e-Stat mesh,100,100,Not an optimized EVRP solution or road-network route
C025_V05_CHG_balanced_SPEED25_T480,C025_V05_CHG_balanced_SPEED25_T480,Factorial synthetic EVRP constraint evaluation,small,25,5,5.0,balanced,106,106,40.0,5.0,Retain missing usage type and flag public access as unknown,Exclude,Retain and flag Unknown,False,60.0,Require reported CHAdeMO,"eCanter S battery, Yamato deployment specification",mitsubishi_fuso_ecanter_s_yamato,2000.0,41.0,116.0,81.19999999999999,0.9,0.2,480.0,25.0,1.25,Synthetic discrete uniform integer 5-15,KMeans customer assignment plus nearest-neighbor visit-order proxy,Synthetic discrete-uniform integer 5-30 kg assumption,Population-weighted synthetic sample from e-Stat mesh,100,100,Not an optimized EVRP solution or road-network route
C025_V05_CHG_broad_SPEED25_T480,C025_V05_CHG_broad_SPEED25_T480,Factorial synthetic EVRP constraint evaluation,small,25,5,5.0,broad,106,106,,10.0,Retain missing usage type and flag public access as unknown,Retain for geography; exclude from duration evaluation,Retain and flag Unknown,False,90.0,Retain non-Tesla candidates; compatibility must be reported CHAdeMO for range assistance,"eCanter S battery, Yamato deployment specification",mitsubishi_fuso_ecanter_s_yamato,2000.0,41.0,116.0,81.19999999999999,0.9,0.2,480.0,25.0,1.25,Synthetic discrete uniform integer 5-15,KMeans customer assignment plus nearest-neighbor visit-order proxy,Synthetic discrete-uniform integer 5-30 kg assumption,Population-weighted synthetic sample from e-Stat mesh,100,100,Not an optimized EVRP solution or road-network route
C050_V01_CHG_conservative_SPEED25_T480,C050_V01_CHG_conservative_SPEED25_T480,Factorial synthetic EVRP constraint evaluation,medium,50,1,50.0,conservative,12,12,50.0,3.0,Retain missing usage type and flag public access as unknown,Exclude,Retain and flag Unknown,False,60.0,Require reported CHAdeMO,"eCanter S battery, Yamato deployment specification",mitsubishi_fuso_ecanter_s_yamato,2000.0,41.0,116.0,81.19999999999999,0.9,0.2,480.0,25.0,1.25,Synthetic discrete uniform integer 5-15,KMeans customer assignment plus nearest-neighbor visit-order proxy,Synthetic discrete-uniform integer 5-30 kg assumption,Population-weighted synthetic sample from e-Stat mesh,100,100,Not an optimized EVRP solution or road-network route
C050_V01_CHG_balanced_SPEED25_T480,C050_V01_CHG_balanced_SPEED25_T480,Factorial synthetic EVRP constraint evaluation,medium,50,1,50.0,balanced,106,106,40.0,5.0,Retain missing usage type and flag public access as unknown,Exclude,Retain and flag Unknown,False,60.0,Require reported CHAdeMO,"eCanter S battery, Yamato deployment specification",mitsubishi_fuso_ecanter_s_yamato,2000.0,41.0,116.0,81.19999999999999,0.9,0.2,480.0,25.0,1.25,Synthetic discrete uniform integer 5-15,KMeans customer assignment plus nearest-neighbor visit-order proxy,Synthetic discrete-uniform integer 5-30 kg assumption,Population-weighted synthetic sample from e-Stat mesh,100,100,Not an optimized EVRP solution or road-network route
C050_V01_CHG_broad_SPEED25_T480,C050_V01_CHG_broad_SPEED25_T480,Factorial synthetic EVRP constraint evaluation,medium,50,1,50.0,broad,106,106,,10.0,Retain missing usage type and flag public access as unknown,Retain for geography; exclude from duration evaluation,Retain and flag Unknown,False,90.0,Retain non-Tesla candidates; compatibility must be reported CHAdeMO for range assistance,"eCanter S battery, Yamato deployment specification",mitsubishi_fuso_ecanter_s_yamato,2000.0,41.0,116.0,81.19999999999999,0.9,0.2,480.0,25.0,1.25,Synthetic discrete uniform integer 5-15,KMeans customer assignment plus nearest-neighbor visit-order proxy,Synthetic discrete-uniform integer 5-30 kg assumption,Population-weighted synthetic sample from e-Stat mesh,100,100,Not an optimized EVRP solution or road-network route
C050_V03_CHG_conservative_SPEED25_T480,C050_V03_CHG_conservative_SPEED25_T480,Factorial synthetic EVRP constraint evaluation,medium,50,3,16.666666666666668,conservative,12,12,50.0,3.0,Retain missing usage type and flag public access as unknown,Exclude,Retain and flag Unknown,False,60.0,Require reported CHAdeMO,"eCanter S battery, Yamato deployment specification",mitsubishi_fuso_ecanter_s_yamato,2000.0,41.0,116.0,81.19999999999999,0.9,0.2,480.0,25.0,1.25,Synthetic discrete uniform integer 5-15,KMeans customer assignment plus nearest-neighbor visit-order proxy,Synthetic discrete-uniform integer 5-30 kg assumption,Population-weighted synthetic sample from e-Stat mesh,100,100,Not an optimized EVRP solution or road-network route
C050_V03_CHG_balanced_SPEED25_T480,C050_V03_CHG_balanced_SPEED25_T480,Factorial synthetic EVRP constraint evaluation,medium,50,3,16.666666666666668,balanced,106,106,40.0,5.0,Retain missing usage type and flag public access as unknown,Exclude,Retain and flag Unknown,False,60.0,Require reported CHAdeMO,"eCanter S battery, Yamato deployment specification",mitsubishi_fuso_ecanter_s_yamato,2000.0,41.0,116.0,81.19999999999999,0.9,0.2,480.0,25.0,1.25,Synthetic discrete uniform integer 5-15,KMeans customer assignment plus nearest-neighbor visit-order proxy,Synthetic discrete-uniform integer 5-30 kg assumption,Population-weighted synthetic sample from e-Stat mesh,100,100,Not an optimized EVRP solution or road-network route
C050_V03_CHG_broad_SPEED25_T480,C050_V03_CHG_broad_SPEED25_T480,Factorial synthetic EVRP constraint evaluation,medium,50,3,16.666666666666668,broad,106,106,,10.0,Retain missing usage type and flag public access as unknown,Retain for geography; exclude from duration evaluation,Retain and flag Unknown,False,90.0,Retain non-Tesla candidates; compatibility must be reported CHAdeMO for range assistance,"eCanter S battery, Yamato deployment specification",mitsubishi_fuso_ecanter_s_yamato,2000.0,41.0,116.0,81.19999999999999,0.9,0.2,480.0,25.0,1.25,Synthetic discrete uniform integer 5-15,KMeans customer assignment plus nearest-neighbor visit-order proxy,Synthetic discrete-uniform integer 5-30 kg assumption,Population-weighted synthetic sample from e-Stat mesh,100,100,Not an optimized EVRP solution or road-network route
C050_V05_CHG_conservative_SPEED25_T480,C050_V05_CHG_conservative_SPEED25_T480,Factorial synthetic EVRP constraint evaluation,medium,50,5,10.0,conservative,12,12,50.0,3.0,Retain missing usage type and flag public access as unknown,Exclude,Retain and flag Unknown,False,60.0,Require reported CHAdeMO,"eCanter S battery, Yamato deployment specification",mitsubishi_fuso_ecanter_s_yamato,2000.0,41.0,116.0,81.19999999999999,0.9,0.2,480.0,25.0,1.25,Synthetic discrete uniform integer 5-15,KMeans customer assignment plus nearest-neighbor visit-order proxy,Synthetic discrete-uniform integer 5-30 kg assumption,Population-weighted synthetic sample from e-Stat mesh,100,100,Not an optimized EVRP solution or road-network route
C050_V05_CHG_balanced_SPEED25_T480,C050_V05_CHG_balanced_SPEED25_T480,Factorial synthetic EVRP constraint evaluation,medium,50,5,10.0,balanced,106,106,40.0,5.0,Retain missing usage type and flag public access as unknown,Exclude,Retain and flag Unknown,False,60.0,Require reported CHAdeMO,"eCanter S battery, Yamato deployment specification",mitsubishi_fuso_ecanter_s_yamato,2000.0,41.0,116.0,81.19999999999999,0.9,0.2,480.0,25.0,1.25,Synthetic discrete uniform integer 5-15,KMeans customer assignment plus nearest-neighbor visit-order proxy,Synthetic discrete-uniform integer 5-30 kg assumption,Population-weighted synthetic sample from e-Stat mesh,100,100,Not an optimized EVRP solution or road-network route
C050_V05_CHG_broad_SPEED25_T480,C050_V05_CHG_broad_SPEED25_T480,Factorial synthetic EVRP constraint evaluation,medium,50,5,10.0,broad,106,106,,10.0,Retain missing usage type and flag public access as unknown,Retain for geography; exclude from duration evaluation,Retain and flag Unknown,False,90.0,Retain non-Tesla candidates; compatibility must be reported CHAdeMO for range assistance,"eCanter S battery, Yamato deployment specification",mitsubishi_fuso_ecanter_s_yamato,2000.0,41.0,116.0,81.19999999999999,0.9,0.2,480.0,25.0,1.25,Synthetic discrete uniform integer 5-15,KMeans customer assignment plus nearest-neighbor visit-order proxy,Synthetic discrete-uniform integer 5-30 kg assumption,Population-weighted synthetic sample from e-Stat mesh,100,100,Not an optimized EVRP solution or road-network route
C100_V01_CHG_conservative_SPEED25_T480,C100_V01_CHG_conservative_SPEED25_T480,Factorial synthetic EVRP constraint evaluation,large,100,1,100.0,conservative,12,12,50.0,3.0,Retain missing usage type and flag public access as unknown,Exclude,Retain and flag Unknown,False,60.0,Require reported CHAdeMO,"eCanter S battery, Yamato deployment specification",mitsubishi_fuso_ecanter_s_yamato,2000.0,41.0,116.0,81.19999999999999,0.9,0.2,480.0,25.0,1.25,Synthetic discrete uniform integer 5-15,KMeans customer assignment plus nearest-neighbor visit-order proxy,Synthetic discrete-uniform integer 5-30 kg assumption,Population-weighted synthetic sample from e-Stat mesh,100,100,Not an optimized EVRP solution or road-network route
C100_V01_CHG_balanced_SPEED25_T480,C100_V01_CHG_balanced_SPEED25_T480,Factorial synthetic EVRP constraint evaluation,large,100,1,100.0,balanced,106,106,40.0,5.0,Retain missing usage type and flag public access as unknown,Exclude,Retain and flag Unknown,False,60.0,Require reported CHAdeMO,"eCanter S battery, Yamato deployment specification",mitsubishi_fuso_ecanter_s_yamato,2000.0,41.0,116.0,81.19999999999999,0.9,0.2,480.0,25.0,1.25,Synthetic discrete uniform integer 5-15,KMeans customer assignment plus nearest-neighbor visit-order proxy,Synthetic discrete-uniform integer 5-30 kg assumption,Population-weighted synthetic sample from e-Stat mesh,100,100,Not an optimized EVRP solution or road-network route
C100_V01_CHG_broad_SPEED25_T480,C100_V01_CHG_broad_SPEED25_T480,Factorial synthetic EVRP constraint evaluation,large,100,1,100.0,broad,106,106,,10.0,Retain missing usage type and flag public access as unknown,Retain for geography; exclude from duration evaluation,Retain and flag Unknown,False,90.0,Retain non-Tesla candidates; compatibility must be reported CHAdeMO for range assistance,"eCanter S battery, Yamato deployment specification",mitsubishi_fuso_ecanter_s_yamato,2000.0,41.0,116.0,81.19999999999999,0.9,0.2,480.0,25.0,1.25,Synthetic discrete uniform integer 5-15,KMeans customer assignment plus nearest-neighbor visit-order proxy,Synthetic discrete-uniform integer 5-30 kg assumption,Population-weighted synthetic sample from e-Stat mesh,100,100,Not an optimized EVRP solution or road-network route
C100_V03_CHG_conservative_SPEED25_T480,C100_V03_CHG_conservative_SPEED25_T480,Factorial synthetic EVRP constraint evaluation,large,100,3,33.333333333333336,conservative,12,12,50.0,3.0,Retain missing usage type and flag public access as unknown,Exclude,Retain and flag Unknown,False,60.0,Require reported CHAdeMO,"eCanter S battery, Yamato deployment specification",mitsubishi_fuso_ecanter_s_yamato,2000.0,41.0,116.0,81.19999999999999,0.9,0.2,480.0,25.0,1.25,Synthetic discrete uniform integer 5-15,KMeans customer assignment plus nearest-neighbor visit-order proxy,Synthetic discrete-uniform integer 5-30 kg assumption,Population-weighted synthetic sample from e-Stat mesh,100,100,Not an optimized EVRP solution or road-network route
C100_V03_CHG_balanced_SPEED25_T480,C100_V03_CHG_balanced_SPEED25_T480,Factorial synthetic EVRP constraint evaluation,large,100,3,33.333333333333336,balanced,106,106,40.0,5.0,Retain missing usage type and flag public access as unknown,Exclude,Retain and flag Unknown,False,60.0,Require reported CHAdeMO,"eCanter S battery, Yamato deployment specification",mitsubishi_fuso_ecanter_s_yamato,2000.0,41.0,116.0,81.19999999999999,0.9,0.2,480.0,25.0,1.25,Synthetic discrete uniform integer 5-15,KMeans customer assignment plus nearest-neighbor visit-order proxy,Synthetic discrete-uniform integer 5-30 kg assumption,Population-weighted synthetic sample from e-Stat mesh,100,100,Not an optimized EVRP solution or road-network route
C100_V03_CHG_broad_SPEED25_T480,C100_V03_CHG_broad_SPEED25_T480,Factorial synthetic EVRP constraint evaluation,large,100,3,33.333333333333336,broad,106,106,,10.0,Retain missing usage type and flag public access as unknown,Retain for geography; exclude from duration evaluation,Retain and flag Unknown,False,90.0,Retain non-Tesla candidates; compatibility must be reported CHAdeMO for range assistance,"eCanter S battery, Yamato deployment specification",mitsubishi_fuso_ecanter_s_yamato,2000.0,41.0,116.0,81.19999999999999,0.9,0.2,480.0,25.0,1.25,Synthetic discrete uniform integer 5-15,KMeans customer assignment plus nearest-neighbor visit-order proxy,Synthetic discrete-uniform integer 5-30 kg assumption,Population-weighted synthetic sample from e-Stat mesh,100,100,Not an optimized EVRP solution or road-network route
C100_V05_CHG_conservative_SPEED25_T480,C100_V05_CHG_conservative_SPEED25_T480,Factorial synthetic EVRP constraint evaluation,large,100,5,20.0,conservative,12,12,50.0,3.0,Retain missing usage type and flag public access as unknown,Exclude,Retain and flag Unknown,False,60.0,Require reported CHAdeMO,"eCanter S battery, Yamato deployment specification",mitsubishi_fuso_ecanter_s_yamato,2000.0,41.0,116.0,81.19999999999999,0.9,0.2,480.0,25.0,1.25,Synthetic discrete uniform integer 5-15,KMeans customer assignment plus nearest-neighbor visit-order proxy,Synthetic discrete-uniform integer 5-30 kg assumption,Population-weighted synthetic sample from e-Stat mesh,100,100,Not an optimized EVRP solution or road-network route
C100_V05_CHG_balanced_SPEED25_T480,C100_V05_CHG_balanced_SPEED25_T480,Factorial synthetic EVRP constraint evaluation,large,100,5,20.0,balanced,106,106,40.0,5.0,Retain missing usage type and flag public access as unknown,Exclude,Retain and flag Unknown,False,60.0,Require reported CHAdeMO,"eCanter S battery, Yamato deployment specification",mitsubishi_fuso_ecanter_s_yamato,2000.0,41.0,116.0,81.19999999999999,0.9,0.2,480.0,25.0,1.25,Synthetic discrete uniform integer 5-15,KMeans customer assignment plus nearest-neighbor visit-order proxy,Synthetic discrete-uniform integer 5-30 kg assumption,Population-weighted synthetic sample from e-Stat mesh,100,100,Not an optimized EVRP solution or road-network route
C100_V05_CHG_broad_SPEED25_T480,C100_V05_CHG_broad_SPEED25_T480,Factorial synthetic EVRP constraint evaluation,large,100,5,20.0,broad,106,106,,10.0,Retain missing usage type and flag public access as unknown,Retain for geography; exclude from duration evaluation,Retain and flag Unknown,False,90.0,Retain non-Tesla candidates; compatibility must be reported CHAdeMO for range assistance,"eCanter S battery, Yamato deployment specification",mitsubishi_fuso_ecanter_s_yamato,2000.0,41.0,116.0,81.19999999999999,0.9,0.2,480.0,25.0,1.25,Synthetic discrete uniform integer 5-15,KMeans customer assignment plus nearest-neighbor visit-order proxy,Synthetic discrete-uniform integer 5-30 kg assumption,Population-weighted synthetic sample from e-Stat mesh,100,100,Not an optimized EVRP solution or road-network route
