run_id,condition_id,planned_order,instance_id,n,p,initialization_type,initialization_id,initialization_seed,initial_parameters,initialization_vector_sha256,optimizer,terminal_scientific_status,best_decoded_route,exact_optimal_route,best_route_feasible,exact_optimum_found,best_route_objective,exact_optimal_objective,absolute_optimality_gap,relative_optimality_gap,P_feasible,P_optimal,invalid_probability_mass,nfev,nit,optimizer_success,optimizer_status,optimizer_message,termination_reason,budget_hit,objective_evaluation_count,total_runtime_seconds,Aer_runtime_seconds,transpile_runtime_seconds,circuit_build_runtime_seconds,expectation_runtime_seconds,decode_runtime_seconds,optimizer_runtime_seconds,objective_eval_runtime_seconds,total_runtime_per_nfev_seconds,Aer_runtime_per_nfev_seconds,probability_integrity_status,exact_reference_status,exact_reference_hash
routing_v18_n4_rank01_p2_init_fixed01_rep1_optimizer_cobyla,routing_v18_n4_rank01_p2_init_fixed01_rep1,1,routing_v18_n4_rank01,4,2,fixed,fixed_0.1,,"[0.1,0.1,0.1,0.1]",feb9fc119ee0c3b37a384cf1ed684d2ed05a6346d4d0ca932fc5ab7d7d53e942,COBYLA,OPTIMIZER_REPORTED_FAILURE,2026-01-01-13111-bldg-138702 -> 2026-01-01-13111-bldg-130096 -> 2026-01-01-13111-bldg-2510665 -> 2026-01-01-13111-bldg-117556,DEP_006 -> 2026-01-01-13111-bldg-138702 -> 2026-01-01-13111-bldg-130096 -> 2026-01-01-13111-bldg-2510665 -> 2026-01-01-13111-bldg-117556 -> DEP_006,True,True,2.8250723884460647,2.8250723884460647,0.0,0.0,0.02836846736249481,0.0012164684983990818,0.9716315326375119,300,,False,3,Return from COBYLA because the objective function has been evaluated MAXFUN times.,native_optimizer,False,300,375.2656244887039,248.54911896493286,16.315216071438044,0.5225941096432507,3.944584136363119,1.5019049849361181,372.5827633435838,372.2187549965456,1.2508854149623463,0.8284970632164429,True,True,
routing_v18_n4_rank01_p2_init_random_seed_11_rep1_optimizer_cobyla,routing_v18_n4_rank01_p2_init_random_seed_11_rep1,2,routing_v18_n4_rank01,4,2,random,random_seed_11,11,"[-2.333762244609258,-0.004537324106032248,0.3188664946609694,-1.4806671488548195]",2073a4331cf2478e753b89d4978c3f865a0dc93ea1fe5837aea3a8b920f29c15,COBYLA,OPTIMIZER_REPORTED_FAILURE,2026-01-01-13111-bldg-138702 -> 2026-01-01-13111-bldg-130096 -> 2026-01-01-13111-bldg-2510665 -> 2026-01-01-13111-bldg-117556,DEP_006 -> 2026-01-01-13111-bldg-138702 -> 2026-01-01-13111-bldg-130096 -> 2026-01-01-13111-bldg-2510665 -> 2026-01-01-13111-bldg-117556 -> DEP_006,True,True,2.8250723884460647,2.8250723884460647,0.0,0.0,0.01555407530638478,0.0009059281250643264,0.9844459246935999,300,,False,3,Return from COBYLA because the objective function has been evaluated MAXFUN times.,native_optimizer,False,300,401.92081070598215,275.20905525702983,16.298710974399,0.5158797558397055,3.9437892041169107,1.6385196619667113,398.9418740053661,398.593949646689,1.3397360356866073,0.9173635175234328,True,True,
routing_v18_n4_rank01_p2_init_random_seed_23_rep1_optimizer_cobyla,routing_v18_n4_rank01_p2_init_random_seed_23_rep1,3,routing_v18_n4_rank01,4,2,random,random_seed_23,23,"[1.218517482962425,0.8888082150018626,-1.1666485767518533,-1.2135719518482924]",d3385871a30412f9b71b4f073fd39e793ec70ccfe7c020f3a815ba83971d074d,COBYLA,OPTIMIZER_REPORTED_SUCCESS,2026-01-01-13111-bldg-138702 -> 2026-01-01-13111-bldg-130096 -> 2026-01-01-13111-bldg-2510665 -> 2026-01-01-13111-bldg-117556,DEP_006 -> 2026-01-01-13111-bldg-138702 -> 2026-01-01-13111-bldg-130096 -> 2026-01-01-13111-bldg-2510665 -> 2026-01-01-13111-bldg-117556 -> DEP_006,True,True,2.8250723884460647,2.8250723884460647,0.0,0.0,0.002105135037486603,9.908807310408498e-05,0.9978948649625123,247,,True,0,Return from COBYLA because the trust region radius reaches its lower bound.,native_optimizer,False,247,332.55089594516903,227.50181051297113,13.520624370779842,0.42000558227300644,3.2201603683643043,1.5274878069758415,329.4954919568263,329.2178299371153,1.3463599026120203,0.9210599615909763,True,True,
routing_v18_n4_rank01_p2_init_random_seed_37_rep1_optimizer_cobyla,routing_v18_n4_rank01_p2_init_random_seed_37_rep1,4,routing_v18_n4_rank01,4,2,random,random_seed_37,37,"[1.2827313286505495,1.015794531176624,-1.3540476827009895,0.6371201646958022]",9b8859cb76260e87d7543246af235e3aac16966b88ae46bbfb29410b40a1215a,COBYLA,OPTIMIZER_REPORTED_FAILURE,2026-01-01-13111-bldg-138702 -> 2026-01-01-13111-bldg-130096 -> 2026-01-01-13111-bldg-2510665 -> 2026-01-01-13111-bldg-117556,DEP_006 -> 2026-01-01-13111-bldg-138702 -> 2026-01-01-13111-bldg-130096 -> 2026-01-01-13111-bldg-2510665 -> 2026-01-01-13111-bldg-117556 -> DEP_006,True,True,2.8250723884460647,2.8250723884460647,0.0,0.0,0.000879068272898542,6.347013630445419e-05,0.9991209317271039,300,,False,3,Return from COBYLA because the objective function has been evaluated MAXFUN times.,native_optimizer,False,300,439.15184141136706,310.57378410501406,16.71067656762898,0.5182315618731081,3.986587689258158,1.5719567299820483,436.2527423808351,435.8926246291958,1.4638394713712235,1.0352459470167135,True,True,
routing_v18_n4_rank01_p2_init_random_seed_53_rep1_optimizer_cobyla,routing_v18_n4_rank01_p2_init_random_seed_53_rep1,5,routing_v18_n4_rank01,4,2,random,random_seed_53,53,"[-3.0716796848305283,1.3754562033382962,-0.5305295756711068,1.3605881639816961]",37c7c511cff79ac73a9f83236b186d6676afd2ce652c80af3f476bea46688463,COBYLA,OPTIMIZER_REPORTED_FAILURE,2026-01-01-13111-bldg-138702 -> 2026-01-01-13111-bldg-130096 -> 2026-01-01-13111-bldg-2510665 -> 2026-01-01-13111-bldg-117556,DEP_006 -> 2026-01-01-13111-bldg-138702 -> 2026-01-01-13111-bldg-130096 -> 2026-01-01-13111-bldg-2510665 -> 2026-01-01-13111-bldg-117556 -> DEP_006,True,True,2.8250723884460647,2.8250723884460647,0.0,0.0,0.002931695200729904,0.00022883655431407007,0.9970683047992701,300,,False,3,Return from COBYLA because the objective function has been evaluated MAXFUN times.,native_optimizer,False,300,405.92998078791425,279.3819711157121,16.32894465047866,0.5102344024926424,3.9264023299328983,1.640463586896658,403.0712998509407,402.72850758070126,1.3530999359597142,0.9312732370523736,True,True,
routing_v18_n4_rank01_p2_init_random_seed_71_rep1_optimizer_cobyla,routing_v18_n4_rank01_p2_init_random_seed_71_rep1,6,routing_v18_n4_rank01,4,2,random,random_seed_71,71,"[-1.5493475588773857,0.1730316075104561,0.8199134556560548,0.42336436406867217]",4d7afb40827481f35d0d69032dbfbb4f9fa6102d1536431a100858425bba8f71,COBYLA,OPTIMIZER_REPORTED_SUCCESS,2026-01-01-13111-bldg-138702 -> 2026-01-01-13111-bldg-130096 -> 2026-01-01-13111-bldg-2510665 -> 2026-01-01-13111-bldg-117556,DEP_006 -> 2026-01-01-13111-bldg-138702 -> 2026-01-01-13111-bldg-130096 -> 2026-01-01-13111-bldg-2510665 -> 2026-01-01-13111-bldg-117556 -> DEP_006,True,True,2.8250723884460647,2.8250723884460647,0.0,0.0,0.0005338787580392479,2.754926712117958e-05,0.9994661212419703,287,,True,0,Return from COBYLA because the trust region radius reaches its lower bound.,native_optimizer,False,287,367.1878857994452,246.4769256147556,15.429329307284206,0.4847029126249254,3.727651482447982,1.478810504078865,364.197863555979,363.88973954040557,1.2794002989527709,0.8588046188667443,True,True,
routing_v18_n4_rank01_p3_init_fixed01_rep1_optimizer_cobyla,routing_v18_n4_rank01_p3_init_fixed01_rep1,7,routing_v18_n4_rank01,4,3,fixed,fixed_0.1,,"[0.1,0.1,0.1,0.1,0.1,0.1]",1739bc738d2f537026b13a5183c10f84df624c0af265ab3abf376cad217ff9f5,COBYLA,OPTIMIZER_REPORTED_FAILURE,2026-01-01-13111-bldg-138702 -> 2026-01-01-13111-bldg-130096 -> 2026-01-01-13111-bldg-2510665 -> 2026-01-01-13111-bldg-117556,DEP_006 -> 2026-01-01-13111-bldg-138702 -> 2026-01-01-13111-bldg-130096 -> 2026-01-01-13111-bldg-2510665 -> 2026-01-01-13111-bldg-117556 -> DEP_006,True,True,2.8250723884460647,2.8250723884460647,0.0,0.0,0.11681400707775073,0.005098615048683088,0.8831859929222589,300,,False,3,Return from COBYLA because the objective function has been evaluated MAXFUN times.,native_optimizer,False,300,503.3929017968476,376.37347512412816,16.41598947532475,0.7246111305430532,3.884243427310139,1.6506169950589538,500.11730713490397,499.7709568385035,1.6779763393228253,1.2545782504137606,True,True,
routing_v18_n4_rank01_p3_init_random_seed_11_rep1_optimizer_cobyla,routing_v18_n4_rank01_p3_init_random_seed_11_rep1,8,routing_v18_n4_rank01,4,3,random,random_seed_11,11,"[-2.333762244609258,-0.004537324106032248,0.6377329893219388,-1.4806671488548195,-1.1060728262120585,1.345264603918467]",428f4d8bd33c14165f020a6f154bcca00d3a0a3c1744983f0fde899e9a6607bc,COBYLA,OPTIMIZER_REPORTED_FAILURE,2026-01-01-13111-bldg-138702 -> 2026-01-01-13111-bldg-130096 -> 2026-01-01-13111-bldg-2510665 -> 2026-01-01-13111-bldg-117556,DEP_006 -> 2026-01-01-13111-bldg-138702 -> 2026-01-01-13111-bldg-130096 -> 2026-01-01-13111-bldg-2510665 -> 2026-01-01-13111-bldg-117556 -> DEP_006,True,True,2.8250723884460647,2.8250723884460647,0.0,0.0,0.012243712371945345,0.0004303967810512406,0.9877562876280485,300,,False,3,Return from COBYLA because the objective function has been evaluated MAXFUN times.,native_optimizer,False,300,520.4605768602341,391.9914421122521,16.50928670959547,0.7249991386197507,3.8807767471298575,1.7071948847733438,516.8222431079485,516.4857926121913,1.7348685895341138,1.3066381403741738,True,True,
routing_v18_n4_rank01_p3_init_random_seed_23_rep1_optimizer_cobyla,routing_v18_n4_rank01_p3_init_random_seed_23_rep1,9,routing_v18_n4_rank01,4,3,random,random_seed_23,23,"[1.218517482962425,0.8888082150018626,-2.3332971535037066,-1.2135719518482924,0.48174916328563633,1.1104182474592577]",49d8e598436083598c81ebfdeec7c655b1ac02fe6467cfca53cf3b0e62486f7c,COBYLA,OPTIMIZER_REPORTED_FAILURE,2026-01-01-13111-bldg-138702 -> 2026-01-01-13111-bldg-130096 -> 2026-01-01-13111-bldg-2510665 -> 2026-01-01-13111-bldg-117556,DEP_006 -> 2026-01-01-13111-bldg-138702 -> 2026-01-01-13111-bldg-130096 -> 2026-01-01-13111-bldg-2510665 -> 2026-01-01-13111-bldg-117556 -> DEP_006,True,True,2.8250723884460647,2.8250723884460647,0.0,0.0,0.001968249845021167,0.00017011970577346863,0.9980317501549788,300,,False,3,Return from COBYLA because the objective function has been evaluated MAXFUN times.,native_optimizer,False,300,614.0444262209348,483.627833194565,16.771562322508544,0.7332438915036619,3.899591501802206,1.4658894622698426,610.4991002217866,610.1526568811387,2.046814754069783,1.6120927773152167,True,True,
routing_v18_n4_rank01_p3_init_random_seed_37_rep1_optimizer_cobyla,routing_v18_n4_rank01_p3_init_random_seed_37_rep1,10,routing_v18_n4_rank01,4,3,random,random_seed_37,37,"[1.2827313286505495,1.015794531176624,-2.708095365401979,0.6371201646958022,-0.56874697816091,-0.15677906328309343]",58a1767c50bec5395ac542e6664e62b2ba9e320753b32135fb8ddc51a0b467be,COBYLA,OPTIMIZER_REPORTED_FAILURE,2026-01-01-13111-bldg-138702 -> 2026-01-01-13111-bldg-130096 -> 2026-01-01-13111-bldg-2510665 -> 2026-01-01-13111-bldg-117556,DEP_006 -> 2026-01-01-13111-bldg-138702 -> 2026-01-01-13111-bldg-130096 -> 2026-01-01-13111-bldg-2510665 -> 2026-01-01-13111-bldg-117556 -> DEP_006,True,True,2.8250723884460647,2.8250723884460647,0.0,0.0,0.011159558042574265,0.0004023226218626794,0.9888404419574408,300,,False,3,Return from COBYLA because the objective function has been evaluated MAXFUN times.,native_optimizer,False,300,596.7921342011541,467.6207423568703,16.726248824968934,0.7325571761466563,3.925225342158228,1.5039571062661707,593.5671842671,593.2165958890691,1.989307114003847,1.5587358078562343,True,True,
