relative_path,file_type,bytes,modified_utc,sha256,inferred_use,data_layer,used_by_notebook,source,license,redistributability
.gitignore,no_extension,5475,2026-07-13T01:47:18.598817+00:00,543a00dc98f2cec7fe8a373cdb636776b93dcc2ad6fe4279923fce0efdf965a9,Repository inventory,intermediate,False,Repository/local artifact,See repository/source metadata; not inferred,UNKNOWN—verify upstream terms
.pytest_cache/.gitignore,no_extension,37,2026-07-13T03:35:31.858284+00:00,3ed731b65d06150c138e2dadb0be0697550888a6b47eb8c45ecc9adba8b8e9bd,Repository inventory,intermediate,False,Repository/local artifact,See repository/source metadata; not inferred,UNKNOWN—verify upstream terms
.pytest_cache/CACHEDIR.TAG,tag,191,2026-07-13T03:35:31.859244+00:00,37dc88ef9a0abeddbe81053a6dd8fdfb13afb613045ea1eb4a5c815a74a3bde4,Repository inventory,intermediate,False,Repository/local artifact,See repository/source metadata; not inferred,UNKNOWN—verify upstream terms
.pytest_cache/README.md,md,302,2026-07-13T03:35:31.857714+00:00,73fd6fccdd802c419a6b2d983d6c3173b7da97558ac4b589edec2dfe443db9ad,Repository inventory,intermediate,False,Repository/local artifact,See repository/source metadata; not inferred,UNKNOWN—verify upstream terms
.pytest_cache/v/cache/lastfailed,no_extension,2,2026-07-13T03:36:25.431756+00:00,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a,Repository inventory,intermediate,False,Repository/local artifact,See repository/source metadata; not inferred,UNKNOWN—verify upstream terms
.pytest_cache/v/cache/nodeids,no_extension,284,2026-07-13T03:36:25.429536+00:00,242b939e40b35cc0e003f2d9a8a949f696e6e68973b2438fab612b3e41c32654,Repository inventory,intermediate,False,Repository/local artifact,See repository/source metadata; not inferred,UNKNOWN—verify upstream terms
.pytest_cache/v/cache/stepwise,no_extension,2,2026-07-13T03:36:25.434294+00:00,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,Repository inventory,intermediate,False,Repository/local artifact,See repository/source metadata; not inferred,UNKNOWN—verify upstream terms
.vscode/settings.json,json,36,2026-06-22T12:34:49.888819+00:00,c9ad2639f67d15f4734645deda156f3e64093e53d886688c0bd8cb513eb0f0b9,Repository inventory,intermediate,False,Repository/local artifact,See repository/source metadata; not inferred,UNKNOWN—verify upstream terms
.vscode/tasks.json,json,1007,2026-07-01T06:55:26.164812+00:00,6b9be97ecec247c787dc7a998974081bcd546b9bc81732eb8a15f2ebdd47c06a,Repository inventory,intermediate,False,Repository/local artifact,See repository/source metadata; not inferred,UNKNOWN—verify upstream terms
001_20260712_file_inventory.csv,csv,16287344,2026-07-11T19:44:14.287953+00:00,2d11a7d039fc92a4ed5ff75da4720ac8d24aaf05860c56dfb9ac451797683e72,Repository inventory,intermediate,False,Repository/local artifact,See repository/source metadata; not inferred,UNKNOWN—verify upstream terms
001_20260712_readme.md,md,1601,2026-07-11T19:55:26.481788+00:00,986e79380b5b45e14f8f79977a3df9fa681ff50124bf9e6faf3e637af35caf6d,Repository inventory,intermediate,False,Repository/local artifact,See repository/source metadata; not inferred,UNKNOWN—verify upstream terms
002_20260712_file_inventory.md,md,551,2026-07-11T19:44:14.353875+00:00,2f957b79330ea27157eecff8bc3da18df34b67171094302b85465612e67def65,Repository inventory,intermediate,False,Repository/local artifact,See repository/source metadata; not inferred,UNKNOWN—verify upstream terms
002_20260712_research_structure.md,md,2675,2026-07-11T19:45:26.143176+00:00,ad79a0b091104cd2ef026fb277dbc44259984b0cd41a5a00aecd1504810cdf3f,Repository inventory,intermediate,False,Repository/local artifact,See repository/source metadata; not inferred,UNKNOWN—verify upstream terms
003_20260712_research_environment.md,md,1530,2026-07-11T19:56:27.074867+00:00,f6e2988593ef220643bfc429a9f792dac5892b740f7767e6ffc294919b28b622,Repository inventory,intermediate,False,Repository/local artifact,See repository/source metadata; not inferred,UNKNOWN—verify upstream terms
003_20260712_usage_map.csv,csv,1697081,2026-07-11T19:44:14.372461+00:00,de7cd54047313eeb51be16c8a92808d9090152d1b31f1e115b5222a23b16e584,Repository inventory,intermediate,False,Repository/local artifact,See repository/source metadata; not inferred,UNKNOWN—verify upstream terms
004_20260712_cleanup_plan.md,md,1436,2026-07-11T19:44:14.443997+00:00,350f02f334f3e9bff1ae839e50316d55464b7b68e7ca12b37bb66580c02eb824,Repository inventory,intermediate,False,Repository/local artifact,See repository/source metadata; not inferred,UNKNOWN—verify upstream terms
004_20260712_data_provenance.md,md,2141,2026-07-11T19:45:26.143911+00:00,300bbeefbe90161779bd3ea64b2629319a090d1cd7edadef11fa5299eaf9ea0b,Repository inventory,intermediate,False,Repository/local artifact,See repository/source metadata; not inferred,UNKNOWN—verify upstream terms
005_20260712_cleanup_report.md,md,1075,2026-07-12T15:16:26.339977+00:00,afe05d4b290956f90dc912608d9679f319634c133e7635c7acc28120f29bf6e8,Repository inventory,intermediate,False,Repository/local artifact,See repository/source metadata; not inferred,UNKNOWN—verify upstream terms
005_20260712_markdown_audit.csv,csv,54579,2026-07-11T19:46:15.309658+00:00,738268f13195f3a7146d1b88f5183f490084a2b6e5059ea76c42951bdc3b6a8a,Repository inventory,intermediate,False,Repository/local artifact,See repository/source metadata; not inferred,UNKNOWN—verify upstream terms
006_20260712_folder_structure.md,md,1616,2026-07-12T15:16:26.340929+00:00,1de3ec8b3e2ef2f05de41c48292719340c92079b5fbf7f77296fa8c1b83b37a2,Repository inventory,intermediate,False,Repository/local artifact,See repository/source metadata; not inferred,UNKNOWN—verify upstream terms
006_20260712_markdown_migration_map.md,md,486,2026-07-11T19:44:14.444242+00:00,34dd19c66a8dc25b1eebb8b0993cc6921cbffa9d6ec8e669d686d90ddff200a4,Repository inventory,intermediate,False,Repository/local artifact,See repository/source metadata; not inferred,UNKNOWN—verify upstream terms
007_20260712_deleted_markdown_log.csv,csv,57096,2026-07-11T19:46:15.305864+00:00,ad63011ff0d24df010e6d81cae45e08bc906325abae4598fd03f1644cff36f56,Repository inventory,intermediate,False,Repository/local artifact,See repository/source metadata; not inferred,UNKNOWN—verify upstream terms
008_20260712_presentation_asset_map.csv,csv,57110,2026-07-11T19:30:30.513803+00:00,c61033777dc5203c2ab4b4c18e9095d742b48bdf8ff2fd03a69e8eb9c1ad9246,Repository inventory,intermediate,False,Repository/local artifact,See repository/source metadata; not inferred,UNKNOWN—verify upstream terms
009_20260712_presentation_asset_map.md,md,3861,2026-07-11T19:30:30.514128+00:00,e4c95a292be555c8b11bd4c86b396043a3f5785798bb4aefebb72a9e4bc137fe,Repository inventory,intermediate,False,Repository/local artifact,See repository/source metadata; not inferred,UNKNOWN—verify upstream terms
00_project_management/001_20260711_requirements.txt,txt,259,2026-07-11T07:04:33.231911+00:00,3b20b8ebde016efe135ebb8bad606fa990b637f16be3303b3921b91a5a339d13,Repository inventory,intermediate,False,Repository/local artifact,See repository/source metadata; not inferred,UNKNOWN—verify upstream terms
