scenario_id,seed,customer_count,vehicle_count,charger_condition,constraint_name,evaluated_route_count,unmet_route_count,case_unmet_rate
C025_V01_CHG_balanced_SPEED25_T480,1,25,1,balanced,Payload capacity,1,0,0.0
C025_V01_CHG_broad_SPEED25_T480,1,25,1,broad,Payload capacity,1,0,0.0
C025_V01_CHG_conservative_SPEED25_T480,1,25,1,conservative,Payload capacity,1,0,0.0
C025_V03_CHG_balanced_SPEED25_T480,1,25,3,balanced,Payload capacity,3,0,0.0
C025_V03_CHG_broad_SPEED25_T480,1,25,3,broad,Payload capacity,3,0,0.0
C025_V03_CHG_conservative_SPEED25_T480,1,25,3,conservative,Payload capacity,3,0,0.0
C025_V05_CHG_balanced_SPEED25_T480,1,25,5,balanced,Payload capacity,5,0,0.0
C025_V05_CHG_broad_SPEED25_T480,1,25,5,broad,Payload capacity,5,0,0.0
C025_V05_CHG_conservative_SPEED25_T480,1,25,5,conservative,Payload capacity,5,0,0.0
C025_V01_CHG_balanced_SPEED25_T480,2,25,1,balanced,Payload capacity,1,0,0.0
C025_V01_CHG_broad_SPEED25_T480,2,25,1,broad,Payload capacity,1,0,0.0
C025_V01_CHG_conservative_SPEED25_T480,2,25,1,conservative,Payload capacity,1,0,0.0
C025_V03_CHG_balanced_SPEED25_T480,2,25,3,balanced,Payload capacity,3,0,0.0
C025_V03_CHG_broad_SPEED25_T480,2,25,3,broad,Payload capacity,3,0,0.0
C025_V03_CHG_conservative_SPEED25_T480,2,25,3,conservative,Payload capacity,3,0,0.0
C025_V05_CHG_balanced_SPEED25_T480,2,25,5,balanced,Payload capacity,5,0,0.0
C025_V05_CHG_broad_SPEED25_T480,2,25,5,broad,Payload capacity,5,0,0.0
C025_V05_CHG_conservative_SPEED25_T480,2,25,5,conservative,Payload capacity,5,0,0.0
C025_V01_CHG_balanced_SPEED25_T480,3,25,1,balanced,Payload capacity,1,0,0.0
C025_V01_CHG_broad_SPEED25_T480,3,25,1,broad,Payload capacity,1,0,0.0
C025_V01_CHG_conservative_SPEED25_T480,3,25,1,conservative,Payload capacity,1,0,0.0
C025_V03_CHG_balanced_SPEED25_T480,3,25,3,balanced,Payload capacity,3,0,0.0
C025_V03_CHG_broad_SPEED25_T480,3,25,3,broad,Payload capacity,3,0,0.0
C025_V03_CHG_conservative_SPEED25_T480,3,25,3,conservative,Payload capacity,3,0,0.0
C025_V05_CHG_balanced_SPEED25_T480,3,25,5,balanced,Payload capacity,5,0,0.0
C025_V05_CHG_broad_SPEED25_T480,3,25,5,broad,Payload capacity,5,0,0.0
C025_V05_CHG_conservative_SPEED25_T480,3,25,5,conservative,Payload capacity,5,0,0.0
C025_V01_CHG_balanced_SPEED25_T480,4,25,1,balanced,Payload capacity,1,0,0.0
C025_V01_CHG_broad_SPEED25_T480,4,25,1,broad,Payload capacity,1,0,0.0
C025_V01_CHG_conservative_SPEED25_T480,4,25,1,conservative,Payload capacity,1,0,0.0
C025_V03_CHG_balanced_SPEED25_T480,4,25,3,balanced,Payload capacity,3,0,0.0
C025_V03_CHG_broad_SPEED25_T480,4,25,3,broad,Payload capacity,3,0,0.0
C025_V03_CHG_conservative_SPEED25_T480,4,25,3,conservative,Payload capacity,3,0,0.0
C025_V05_CHG_balanced_SPEED25_T480,4,25,5,balanced,Payload capacity,5,0,0.0
C025_V05_CHG_broad_SPEED25_T480,4,25,5,broad,Payload capacity,5,0,0.0
C025_V05_CHG_conservative_SPEED25_T480,4,25,5,conservative,Payload capacity,5,0,0.0
C025_V01_CHG_balanced_SPEED25_T480,5,25,1,balanced,Payload capacity,1,0,0.0
C025_V01_CHG_broad_SPEED25_T480,5,25,1,broad,Payload capacity,1,0,0.0
C025_V01_CHG_conservative_SPEED25_T480,5,25,1,conservative,Payload capacity,1,0,0.0
C025_V03_CHG_balanced_SPEED25_T480,5,25,3,balanced,Payload capacity,3,0,0.0
C025_V03_CHG_broad_SPEED25_T480,5,25,3,broad,Payload capacity,3,0,0.0
C025_V03_CHG_conservative_SPEED25_T480,5,25,3,conservative,Payload capacity,3,0,0.0
C025_V05_CHG_balanced_SPEED25_T480,5,25,5,balanced,Payload capacity,5,0,0.0
C025_V05_CHG_broad_SPEED25_T480,5,25,5,broad,Payload capacity,5,0,0.0
C025_V05_CHG_conservative_SPEED25_T480,5,25,5,conservative,Payload capacity,5,0,0.0
C025_V01_CHG_balanced_SPEED25_T480,6,25,1,balanced,Payload capacity,1,0,0.0
C025_V01_CHG_broad_SPEED25_T480,6,25,1,broad,Payload capacity,1,0,0.0
C025_V01_CHG_conservative_SPEED25_T480,6,25,1,conservative,Payload capacity,1,0,0.0
C025_V03_CHG_balanced_SPEED25_T480,6,25,3,balanced,Payload capacity,3,0,0.0
C025_V03_CHG_broad_SPEED25_T480,6,25,3,broad,Payload capacity,3,0,0.0
C025_V03_CHG_conservative_SPEED25_T480,6,25,3,conservative,Payload capacity,3,0,0.0
C025_V05_CHG_balanced_SPEED25_T480,6,25,5,balanced,Payload capacity,5,0,0.0
C025_V05_CHG_broad_SPEED25_T480,6,25,5,broad,Payload capacity,5,0,0.0
C025_V05_CHG_conservative_SPEED25_T480,6,25,5,conservative,Payload capacity,5,0,0.0
C025_V01_CHG_balanced_SPEED25_T480,7,25,1,balanced,Payload capacity,1,0,0.0
C025_V01_CHG_broad_SPEED25_T480,7,25,1,broad,Payload capacity,1,0,0.0
C025_V01_CHG_conservative_SPEED25_T480,7,25,1,conservative,Payload capacity,1,0,0.0
C025_V03_CHG_balanced_SPEED25_T480,7,25,3,balanced,Payload capacity,3,0,0.0
C025_V03_CHG_broad_SPEED25_T480,7,25,3,broad,Payload capacity,3,0,0.0
C025_V03_CHG_conservative_SPEED25_T480,7,25,3,conservative,Payload capacity,3,0,0.0
C025_V05_CHG_balanced_SPEED25_T480,7,25,5,balanced,Payload capacity,5,0,0.0
C025_V05_CHG_broad_SPEED25_T480,7,25,5,broad,Payload capacity,5,0,0.0
C025_V05_CHG_conservative_SPEED25_T480,7,25,5,conservative,Payload capacity,5,0,0.0
C025_V01_CHG_balanced_SPEED25_T480,8,25,1,balanced,Payload capacity,1,0,0.0
C025_V01_CHG_broad_SPEED25_T480,8,25,1,broad,Payload capacity,1,0,0.0
C025_V01_CHG_conservative_SPEED25_T480,8,25,1,conservative,Payload capacity,1,0,0.0
C025_V03_CHG_balanced_SPEED25_T480,8,25,3,balanced,Payload capacity,3,0,0.0
C025_V03_CHG_broad_SPEED25_T480,8,25,3,broad,Payload capacity,3,0,0.0
C025_V03_CHG_conservative_SPEED25_T480,8,25,3,conservative,Payload capacity,3,0,0.0
C025_V05_CHG_balanced_SPEED25_T480,8,25,5,balanced,Payload capacity,5,0,0.0
C025_V05_CHG_broad_SPEED25_T480,8,25,5,broad,Payload capacity,5,0,0.0
C025_V05_CHG_conservative_SPEED25_T480,8,25,5,conservative,Payload capacity,5,0,0.0
C025_V01_CHG_balanced_SPEED25_T480,9,25,1,balanced,Payload capacity,1,0,0.0
C025_V01_CHG_broad_SPEED25_T480,9,25,1,broad,Payload capacity,1,0,0.0
C025_V01_CHG_conservative_SPEED25_T480,9,25,1,conservative,Payload capacity,1,0,0.0
C025_V03_CHG_balanced_SPEED25_T480,9,25,3,balanced,Payload capacity,3,0,0.0
C025_V03_CHG_broad_SPEED25_T480,9,25,3,broad,Payload capacity,3,0,0.0
C025_V03_CHG_conservative_SPEED25_T480,9,25,3,conservative,Payload capacity,3,0,0.0
C025_V05_CHG_balanced_SPEED25_T480,9,25,5,balanced,Payload capacity,5,0,0.0
C025_V05_CHG_broad_SPEED25_T480,9,25,5,broad,Payload capacity,5,0,0.0
C025_V05_CHG_conservative_SPEED25_T480,9,25,5,conservative,Payload capacity,5,0,0.0
C025_V01_CHG_balanced_SPEED25_T480,10,25,1,balanced,Payload capacity,1,0,0.0
C025_V01_CHG_broad_SPEED25_T480,10,25,1,broad,Payload capacity,1,0,0.0
C025_V01_CHG_conservative_SPEED25_T480,10,25,1,conservative,Payload capacity,1,0,0.0
C025_V03_CHG_balanced_SPEED25_T480,10,25,3,balanced,Payload capacity,3,0,0.0
C025_V03_CHG_broad_SPEED25_T480,10,25,3,broad,Payload capacity,3,0,0.0
C025_V03_CHG_conservative_SPEED25_T480,10,25,3,conservative,Payload capacity,3,0,0.0
C025_V05_CHG_balanced_SPEED25_T480,10,25,5,balanced,Payload capacity,5,0,0.0
C025_V05_CHG_broad_SPEED25_T480,10,25,5,broad,Payload capacity,5,0,0.0
C025_V05_CHG_conservative_SPEED25_T480,10,25,5,conservative,Payload capacity,5,0,0.0
C025_V01_CHG_balanced_SPEED25_T480,11,25,1,balanced,Payload capacity,1,0,0.0
C025_V01_CHG_broad_SPEED25_T480,11,25,1,broad,Payload capacity,1,0,0.0
C025_V01_CHG_conservative_SPEED25_T480,11,25,1,conservative,Payload capacity,1,0,0.0
C025_V03_CHG_balanced_SPEED25_T480,11,25,3,balanced,Payload capacity,3,0,0.0
C025_V03_CHG_broad_SPEED25_T480,11,25,3,broad,Payload capacity,3,0,0.0
C025_V03_CHG_conservative_SPEED25_T480,11,25,3,conservative,Payload capacity,3,0,0.0
C025_V05_CHG_balanced_SPEED25_T480,11,25,5,balanced,Payload capacity,5,0,0.0
C025_V05_CHG_broad_SPEED25_T480,11,25,5,broad,Payload capacity,5,0,0.0
C025_V05_CHG_conservative_SPEED25_T480,11,25,5,conservative,Payload capacity,5,0,0.0
C025_V01_CHG_balanced_SPEED25_T480,12,25,1,balanced,Payload capacity,1,0,0.0
C025_V01_CHG_broad_SPEED25_T480,12,25,1,broad,Payload capacity,1,0,0.0
C025_V01_CHG_conservative_SPEED25_T480,12,25,1,conservative,Payload capacity,1,0,0.0
C025_V03_CHG_balanced_SPEED25_T480,12,25,3,balanced,Payload capacity,3,0,0.0
C025_V03_CHG_broad_SPEED25_T480,12,25,3,broad,Payload capacity,3,0,0.0
C025_V03_CHG_conservative_SPEED25_T480,12,25,3,conservative,Payload capacity,3,0,0.0
C025_V05_CHG_balanced_SPEED25_T480,12,25,5,balanced,Payload capacity,5,0,0.0
C025_V05_CHG_broad_SPEED25_T480,12,25,5,broad,Payload capacity,5,0,0.0
C025_V05_CHG_conservative_SPEED25_T480,12,25,5,conservative,Payload capacity,5,0,0.0
C025_V01_CHG_balanced_SPEED25_T480,13,25,1,balanced,Payload capacity,1,0,0.0
C025_V01_CHG_broad_SPEED25_T480,13,25,1,broad,Payload capacity,1,0,0.0
C025_V01_CHG_conservative_SPEED25_T480,13,25,1,conservative,Payload capacity,1,0,0.0
