paper_id,title,problem_variant,constraint,status,interpretation_rule
vrptw-2023-leonidas,Qubit efficient quantum algorithms for the vehicle routing problem on NISQ processors,VRPTW,capacity,Not reported,Not reported is not treated as Not implemented
vrptw-2023-leonidas,Qubit efficient quantum algorithms for the vehicle routing problem on NISQ processors,VRPTW,time window,Reported,Not reported is not treated as Not implemented
vrptw-2023-leonidas,Qubit efficient quantum algorithms for the vehicle routing problem on NISQ processors,VRPTW,multiple vehicles,Insufficient information,Not reported is not treated as Not implemented
vrptw-2023-leonidas,Qubit efficient quantum algorithms for the vehicle routing problem on NISQ processors,VRPTW,multiple depots,Not reported,Not reported is not treated as Not implemented
vrptw-2023-leonidas,Qubit efficient quantum algorithms for the vehicle routing problem on NISQ processors,VRPTW,range,Not reported,Not reported is not treated as Not implemented
vrptw-2023-leonidas,Qubit efficient quantum algorithms for the vehicle routing problem on NISQ processors,VRPTW,charging,Not reported,Not reported is not treated as Not implemented
vrptw-2023-leonidas,Qubit efficient quantum algorithms for the vehicle routing problem on NISQ processors,VRPTW,SOC,Not reported,Not reported is not treated as Not implemented
vrptw-2023-leonidas,Qubit efficient quantum algorithms for the vehicle routing problem on NISQ processors,VRPTW,heterogeneous fleet,Not reported,Not reported is not treated as Not implemented
vrptw-2023-leonidas,Qubit efficient quantum algorithms for the vehicle routing problem on NISQ processors,VRPTW,precedence,Not reported,Not reported is not treated as Not implemented
vrptw-2023-leonidas,Qubit efficient quantum algorithms for the vehicle routing problem on NISQ processors,VRPTW,subtour elimination,Not reported,Not reported is not treated as Not implemented
hvrp-2024-fitzek,Applying quantum approximate optimization to the heterogeneous vehicle routing problem,HVRP,capacity,Reported,Not reported is not treated as Not implemented
hvrp-2024-fitzek,Applying quantum approximate optimization to the heterogeneous vehicle routing problem,HVRP,time window,Not reported,Not reported is not treated as Not implemented
hvrp-2024-fitzek,Applying quantum approximate optimization to the heterogeneous vehicle routing problem,HVRP,multiple vehicles,Reported,Not reported is not treated as Not implemented
hvrp-2024-fitzek,Applying quantum approximate optimization to the heterogeneous vehicle routing problem,HVRP,multiple depots,Not reported,Not reported is not treated as Not implemented
hvrp-2024-fitzek,Applying quantum approximate optimization to the heterogeneous vehicle routing problem,HVRP,range,Not reported,Not reported is not treated as Not implemented
hvrp-2024-fitzek,Applying quantum approximate optimization to the heterogeneous vehicle routing problem,HVRP,charging,Not reported,Not reported is not treated as Not implemented
hvrp-2024-fitzek,Applying quantum approximate optimization to the heterogeneous vehicle routing problem,HVRP,SOC,Not reported,Not reported is not treated as Not implemented
hvrp-2024-fitzek,Applying quantum approximate optimization to the heterogeneous vehicle routing problem,HVRP,heterogeneous fleet,Reported,Not reported is not treated as Not implemented
hvrp-2024-fitzek,Applying quantum approximate optimization to the heterogeneous vehicle routing problem,HVRP,precedence,Not reported,Not reported is not treated as Not implemented
hvrp-2024-fitzek,Applying quantum approximate optimization to the heterogeneous vehicle routing problem,HVRP,subtour elimination,Not reported,Not reported is not treated as Not implemented
cvrp-2025-onah-utility,Requirements for Early Quantum Utility and Quantum Utility in the Capacitated Vehicle Routing Problem,CVRP,capacity,Reported,Not reported is not treated as Not implemented
cvrp-2025-onah-utility,Requirements for Early Quantum Utility and Quantum Utility in the Capacitated Vehicle Routing Problem,CVRP,time window,Not reported,Not reported is not treated as Not implemented
cvrp-2025-onah-utility,Requirements for Early Quantum Utility and Quantum Utility in the Capacitated Vehicle Routing Problem,CVRP,multiple vehicles,Not reported,Not reported is not treated as Not implemented
cvrp-2025-onah-utility,Requirements for Early Quantum Utility and Quantum Utility in the Capacitated Vehicle Routing Problem,CVRP,multiple depots,Not reported,Not reported is not treated as Not implemented
cvrp-2025-onah-utility,Requirements for Early Quantum Utility and Quantum Utility in the Capacitated Vehicle Routing Problem,CVRP,range,Not reported,Not reported is not treated as Not implemented
cvrp-2025-onah-utility,Requirements for Early Quantum Utility and Quantum Utility in the Capacitated Vehicle Routing Problem,CVRP,charging,Not reported,Not reported is not treated as Not implemented
cvrp-2025-onah-utility,Requirements for Early Quantum Utility and Quantum Utility in the Capacitated Vehicle Routing Problem,CVRP,SOC,Not reported,Not reported is not treated as Not implemented
cvrp-2025-onah-utility,Requirements for Early Quantum Utility and Quantum Utility in the Capacitated Vehicle Routing Problem,CVRP,heterogeneous fleet,Not reported,Not reported is not treated as Not implemented
cvrp-2025-onah-utility,Requirements for Early Quantum Utility and Quantum Utility in the Capacitated Vehicle Routing Problem,CVRP,precedence,Not reported,Not reported is not treated as Not implemented
cvrp-2025-onah-utility,Requirements for Early Quantum Utility and Quantum Utility in the Capacitated Vehicle Routing Problem,CVRP,subtour elimination,Not reported,Not reported is not treated as Not implemented
encoding-2022-glos,Space-efficient binary optimization for variational quantum computing,TSP,capacity,Not applicable,Not reported is not treated as Not implemented
encoding-2022-glos,Space-efficient binary optimization for variational quantum computing,TSP,time window,Not reported,Not reported is not treated as Not implemented
encoding-2022-glos,Space-efficient binary optimization for variational quantum computing,TSP,multiple vehicles,Not applicable,Not reported is not treated as Not implemented
encoding-2022-glos,Space-efficient binary optimization for variational quantum computing,TSP,multiple depots,Not reported,Not reported is not treated as Not implemented
encoding-2022-glos,Space-efficient binary optimization for variational quantum computing,TSP,range,Not reported,Not reported is not treated as Not implemented
encoding-2022-glos,Space-efficient binary optimization for variational quantum computing,TSP,charging,Not reported,Not reported is not treated as Not implemented
encoding-2022-glos,Space-efficient binary optimization for variational quantum computing,TSP,SOC,Not reported,Not reported is not treated as Not implemented
encoding-2022-glos,Space-efficient binary optimization for variational quantum computing,TSP,heterogeneous fleet,Not reported,Not reported is not treated as Not implemented
encoding-2022-glos,Space-efficient binary optimization for variational quantum computing,TSP,precedence,Not reported,Not reported is not treated as Not implemented
encoding-2022-glos,Space-efficient binary optimization for variational quantum computing,TSP,subtour elimination,Not reported,Not reported is not treated as Not implemented
