survey_id,record_scope,paper_id,authors,year,title,venue,doi,url,problem_family,problem_variant,application_domain,algorithm,hardware_or_simulator,formulation,encoding,objective_function,constraints_included,constraints_omitted,customer_count,node_count,vehicle_count,depot_count,instance_size_value,instance_size_unit,problem_instance_description,decision_variable_count,auxiliary_variable_count,ancilla_count,reported_width,width_unit,width_definition,logical_or_physical,width_formula,formula_page,formula_substitution,recalculated_width,formula_matches_reported,rounding_rule,derivation_status,reported_value_page,table_or_figure,depth_reported,gate_count_reported,runtime_reported,solution_quality_reported,hardware_executed,maximum_executed_width,maximum_estimated_width,evidence_type,value_type,extraction_method,extractor,reviewer,verification_status,evidence_quality,notes
SURV-001,STRUCTURED_SURVEY,vrptw-2023-leonidas,Ioannis D. Leonidas; Alexander Dukakis; Benjamin Tan; Dimitris G. Angelakis,2023,Qubit efficient quantum algorithms for the vehicle routing problem on NISQ processors,arXiv:2306.08507,10.48550/arXiv.2306.08507,https://arxiv.org/abs/2306.08507,transportation/routing optimization,VRPTW,transportation and logistics,Variational quantum optimization with qubit-efficient encoding,simulator; IBM; Rigetti; IonQ,full encoding,Reduced binary-variable encoding; QUBO based on realistic shipping scenarios,See primary source; not normalized across studies,time window,Not inferred from silence; see constraint-coverage table,,,,,11.0,routes,11-route instance,11 routes,NOT_REPORTED,NOT_REPORTED,11.0,qubits,logical qubits or circuit wires used by the reported formulation,logical/resource-level; physical mapping not evaluated,W = n_c,vrptw-2023-leonidas Fig. 3 and Section VI.B,W = 11,11.0,True,none,RECALCULATED_MATCH,vrptw-2023-leonidas Fig. 3 and Section VI.B,Fig. 3 and Section VI,L = 4,CNOT gates plus single-qubit Y rotations repeated for L layers,Not reported in width extraction table,Not extracted for this width record,True,11.0,,DIRECTLY_REPORTED_VALUE,NUMERIC_VALUE,local primary-source PDF/text extraction followed by structured normalization,Existing project extraction; normalized with a generative-AI coding assistant,NOT_DOCUMENTED,DIRECTLY_REPORTED,A,"Full encoding maps one route variable to one qubit. The paper reports ansatz layer count L=4, not backend-transpiled circuit depth."
SURV-002,STRUCTURED_SURVEY,vrptw-2023-leonidas,Ioannis D. Leonidas; Alexander Dukakis; Benjamin Tan; Dimitris G. Angelakis,2023,Qubit efficient quantum algorithms for the vehicle routing problem on NISQ processors,arXiv:2306.08507,10.48550/arXiv.2306.08507,https://arxiv.org/abs/2306.08507,transportation/routing optimization,VRPTW,transportation and logistics,Variational quantum optimization with qubit-efficient encoding,simulator; IBM; Rigetti; IonQ,full encoding,Reduced binary-variable encoding; QUBO based on realistic shipping scenarios,See primary source; not normalized across studies,time window,Not inferred from silence; see constraint-coverage table,,,,,16.0,routes,16-route instance,16 routes,NOT_REPORTED,NOT_REPORTED,16.0,qubits,logical qubits or circuit wires used by the reported formulation,logical/resource-level; physical mapping not evaluated,W = n_c,vrptw-2023-leonidas Fig. 4 and Section VI.B,W = 16,16.0,True,none,RECALCULATED_MATCH,vrptw-2023-leonidas Fig. 4 and Section VI.B,Fig. 4 and Section VI,L = 4,CNOT gates plus single-qubit Y rotations repeated for L layers,Not reported in width extraction table,Not extracted for this width record,True,16.0,,DIRECTLY_REPORTED_VALUE,NUMERIC_VALUE,local primary-source PDF/text extraction followed by structured normalization,Existing project extraction; normalized with a generative-AI coding assistant,NOT_DOCUMENTED,DIRECTLY_REPORTED,A,"Full encoding maps one route variable to one qubit. The paper reports ansatz layer count L=4, not backend-transpiled circuit depth."
SURV-003,STRUCTURED_SURVEY,vrptw-2023-leonidas,Ioannis D. Leonidas; Alexander Dukakis; Benjamin Tan; Dimitris G. Angelakis,2023,Qubit efficient quantum algorithms for the vehicle routing problem on NISQ processors,arXiv:2306.08507,10.48550/arXiv.2306.08507,https://arxiv.org/abs/2306.08507,transportation/routing optimization,VRPTW,transportation and logistics,Variational quantum optimization with qubit-efficient encoding,simulator; IBM; Rigetti; IonQ,minimal encoding,Reduced binary-variable encoding; QUBO based on realistic shipping scenarios,See primary source; not normalized across studies,time window,Not inferred from silence; see constraint-coverage table,,,,,16.0,routes,16-route instance,16 routes,NOT_REPORTED,NOT_REPORTED,5.0,qubits,logical qubits or circuit wires used by the reported formulation,logical/resource-level; physical mapping not evaluated,W = 1 + ceil(log2(n_c)),vrptw-2023-leonidas Fig. 4 and Section VI.B,1 + ceil(log2(16)) = 5,5.0,True,ceiling to the next integer address width,RECALCULATED_MATCH,vrptw-2023-leonidas Fig. 4 and Section VI.B,Fig. 4 and Section VI,L = 4,CNOT gates plus single-qubit Y rotations repeated for L layers,Not reported in width extraction table,Not extracted for this width record,True,5.0,,DIRECTLY_REPORTED_VALUE,NUMERIC_VALUE,local primary-source PDF/text extraction followed by structured normalization,Existing project extraction; normalized with a generative-AI coding assistant,NOT_DOCUMENTED,DIRECTLY_REPORTED,A,"Minimal encoding uses 1 + ceil(log2(n_c)) qubits. The depth value is the ansatz layer count shared by the experiments, not backend-transpiled circuit depth."
SURV-004,STRUCTURED_SURVEY,vrptw-2023-leonidas,Ioannis D. Leonidas; Alexander Dukakis; Benjamin Tan; Dimitris G. Angelakis,2023,Qubit efficient quantum algorithms for the vehicle routing problem on NISQ processors,arXiv:2306.08507,10.48550/arXiv.2306.08507,https://arxiv.org/abs/2306.08507,transportation/routing optimization,VRPTW,transportation and logistics,Variational quantum optimization with qubit-efficient encoding,simulator,minimal encoding,Reduced binary-variable encoding; QUBO based on realistic shipping scenarios,See primary source; not normalized across studies,time window,Not inferred from silence; see constraint-coverage table,,,,,128.0,routes,128-route instance,128 routes,NOT_REPORTED,NOT_REPORTED,8.0,qubits,logical qubits or circuit wires used by the reported formulation,logical/resource-level; physical mapping not evaluated,W = 1 + ceil(log2(n_c)),vrptw-2023-leonidas Fig. 6 and Section VI.B,1 + ceil(log2(128)) = 8,8.0,True,ceiling to the next integer address width,RECALCULATED_MATCH,vrptw-2023-leonidas Fig. 6 and Section VI.B,Fig. 6 and Section VI,L = 4,CNOT gates plus single-qubit Y rotations repeated for L layers,Not reported in width extraction table,Not extracted for this width record,True,8.0,,DIRECTLY_REPORTED_VALUE,NUMERIC_VALUE,local primary-source PDF/text extraction followed by structured normalization,Existing project extraction; normalized with a generative-AI coding assistant,NOT_DOCUMENTED,DIRECTLY_REPORTED,A,"Minimal encoding uses 1 + ceil(log2(n_c)) qubits. The paper applies the same basic variational ansatz; depth should be treated as ansatz layers, not physical depth."
SURV-005,STRUCTURED_SURVEY,vrptw-2023-leonidas,Ioannis D. Leonidas; Alexander Dukakis; Benjamin Tan; Dimitris G. Angelakis,2023,Qubit efficient quantum algorithms for the vehicle routing problem on NISQ processors,arXiv:2306.08507,10.48550/arXiv.2306.08507,https://arxiv.org/abs/2306.08507,transportation/routing optimization,VRPTW,transportation and logistics,Variational quantum optimization with qubit-efficient encoding,simulator,minimal encoding,Reduced binary-variable encoding; QUBO based on realistic shipping scenarios,See primary source; not normalized across studies,time window,Not inferred from silence; see constraint-coverage table,,,,,3964.0,routes,3964-route instance,3964 routes,NOT_REPORTED,NOT_REPORTED,13.0,qubits,logical qubits or circuit wires used by the reported formulation,logical/resource-level; physical mapping not evaluated,W = 1 + ceil(log2(n_c)),vrptw-2023-leonidas Fig. 6 and Section VI.B,1 + ceil(log2(3964)) = 13,13.0,True,ceiling to the next integer address width,RECALCULATED_MATCH,vrptw-2023-leonidas Fig. 6 and Section VI.B,Fig. 6 and Section VI,L = 4,CNOT gates plus single-qubit Y rotations repeated for L layers,Not reported in width extraction table,Not extracted for this width record,True,13.0,,DIRECTLY_REPORTED_VALUE,NUMERIC_VALUE,local primary-source PDF/text extraction followed by structured normalization,Existing project extraction; normalized with a generative-AI coding assistant,NOT_DOCUMENTED,DIRECTLY_REPORTED,A,"Minimal encoding uses 1 + ceil(log2(n_c)) qubits. The paper applies the same basic variational ansatz; depth should be treated as ansatz layers, not physical depth."
SURV-006,STRUCTURED_SURVEY,hvrp-2024-fitzek,David Fitzek; Toheed Ghandriz; Leo Laine; Mats Granath; et al.; Anton Frisk Kockum,2024,Applying quantum approximate optimization to the heterogeneous vehicle routing problem,"Scientific Reports 14, 25415",10.1038/s41598-024-76967-w,https://www.nature.com/articles/s41598-024-76967-w,transportation/routing optimization,HVRP,transportation and logistics,QAOA,simulation,Ising mapping,Ising Hamiltonian mapping for heterogeneous fleet capacities,See primary source; not normalized across studies,capacity; multiple vehicles; heterogeneous fleet,Not inferred from silence; see constraint-coverage table,3.0,,1.0,,3.0,customers,problem instance I,3 cities; 1 truck; routing 9 qubits; capacity 2 qubits,NOT_REPORTED,NOT_REPORTED,11.0,qubits,logical qubits or circuit wires used by the reported formulation,logical/resource-level; physical mapping not evaluated,W = W_routing + W_capacity,hvrp-2024-fitzek Table 1; Figs. 7-9; resource estimate around Eq. 26,9 + 2 = 11,11.0,True,none,RECALCULATED_MATCH,hvrp-2024-fitzek Table 1; Figs. 7-9; resource estimate around Eq. 26,Table 1; Figs; Eq. 26,p = 1 to 5,Per QAOA layer: routing O(N0^2 V) single-qubit gates and O(N0^3 V) two-qubit gates; capacity O(N0^2 Q) two-qubit gates; physical circuit depth depends on hardware connectivity,Not reported in width extraction table,Not extracted for this width record,False,,,DIRECTLY_REPORTED_VALUE,NUMERIC_VALUE,local primary-source PDF/text extraction followed by structured normalization,Existing project extraction; normalized with a generative-AI coding assistant,NOT_DOCUMENTED,DIRECTLY_REPORTED,A,"The paper treats p as circuit depth and reports distributions/success probabilities from p=1 to p=5. This is QAOA layer depth, not transpiled hardware depth."
SURV-007,STRUCTURED_SURVEY,hvrp-2024-fitzek,David Fitzek; Toheed Ghandriz; Leo Laine; Mats Granath; et al.; Anton Frisk Kockum,2024,Applying quantum approximate optimization to the heterogeneous vehicle routing problem,"Scientific Reports 14, 25415",10.1038/s41598-024-76967-w,https://www.nature.com/articles/s41598-024-76967-w,transportation/routing optimization,HVRP,transportation and logistics,QAOA,simulation,Ising mapping,Ising Hamiltonian mapping for heterogeneous fleet capacities,See primary source; not normalized across studies,capacity; multiple vehicles; heterogeneous fleet,Not inferred from silence; see constraint-coverage table,4.0,,1.0,,4.0,customers,problem instance II,4 cities; 1 truck; routing 16 qubits; capacity 3 qubits,NOT_REPORTED,NOT_REPORTED,19.0,qubits,logical qubits or circuit wires used by the reported formulation,logical/resource-level; physical mapping not evaluated,W = W_routing + W_capacity,hvrp-2024-fitzek Table 1; Figs. 7-8; resource estimate around Eq. 26,16 + 3 = 19,19.0,True,none,RECALCULATED_MATCH,hvrp-2024-fitzek Table 1; Figs. 7-8; resource estimate around Eq. 26,Table 1; Figs; Eq. 26,p = 1 to 5,Per QAOA layer: routing O(N0^2 V) single-qubit gates and O(N0^3 V) two-qubit gates; capacity O(N0^2 Q) two-qubit gates; physical circuit depth depends on hardware connectivity,Not reported in width extraction table,Not extracted for this width record,False,,,DIRECTLY_REPORTED_VALUE,NUMERIC_VALUE,local primary-source PDF/text extraction followed by structured normalization,Existing project extraction; normalized with a generative-AI coding assistant,NOT_DOCUMENTED,DIRECTLY_REPORTED,A,"The paper treats p as circuit depth and reports distributions from p=1 to p=5. This is QAOA layer depth, not transpiled hardware depth."
SURV-008,STRUCTURED_SURVEY,hvrp-2024-fitzek,David Fitzek; Toheed Ghandriz; Leo Laine; Mats Granath; et al.; Anton Frisk Kockum,2024,Applying quantum approximate optimization to the heterogeneous vehicle routing problem,"Scientific Reports 14, 25415",10.1038/s41598-024-76967-w,https://www.nature.com/articles/s41598-024-76967-w,transportation/routing optimization,HVRP,transportation and logistics,QAOA,simulation,Ising mapping,Ising Hamiltonian mapping for heterogeneous fleet capacities,See primary source; not normalized across studies,capacity; multiple vehicles; heterogeneous fleet,Not inferred from silence; see constraint-coverage table,3.0,,2.0,,3.0,customers,problem instance III,3 cities; 2 trucks; routing 18 qubits; capacity 3 qubits,NOT_REPORTED,NOT_REPORTED,21.0,qubits,logical qubits or circuit wires used by the reported formulation,logical/resource-level; physical mapping not evaluated,W = W_routing + W_capacity,hvrp-2024-fitzek Table 1; Figs. 7-8; resource estimate around Eq. 26,18 + 3 = 21,21.0,True,none,RECALCULATED_MATCH,hvrp-2024-fitzek Table 1; Figs. 7-8; resource estimate around Eq. 26,Table 1; Figs; Eq. 26,p = 1 to 5,Per QAOA layer: routing O(N0^2 V) single-qubit gates and O(N0^3 V) two-qubit gates; capacity O(N0^2 Q) two-qubit gates; physical circuit depth depends on hardware connectivity,Not reported in width extraction table,Not extracted for this width record,False,,,DIRECTLY_REPORTED_VALUE,NUMERIC_VALUE,local primary-source PDF/text extraction followed by structured normalization,Existing project extraction; normalized with a generative-AI coding assistant,NOT_DOCUMENTED,DIRECTLY_REPORTED,A,"The paper treats p as circuit depth and reports distributions from p=1 to p=5. This is QAOA layer depth, not transpiled hardware depth."
SURV-009,STRUCTURED_SURVEY,cvrp-2025-onah-utility,Chinonso Onah; Kristel Michielsen,2025,Requirements for Early Quantum Utility and Quantum Utility in the Capacitated Vehicle Routing Problem,arXiv:2509.11469,10.48550/arXiv.2509.11469,https://arxiv.org/abs/2509.11469,transportation/routing optimization,CVRP,transportation and logistics,Resource estimation and utility framework,resource estimation,HOBO/direct encoding,Encoding-agnostic go/no-go framework; QUBO versus HOBO/direct encoding resource counts,See primary source; not normalized across studies,capacity,Not inferred from silence; see constraint-coverage table,,200.0,5.0,,200.0,nodes,Golden_5,Golden_5; n=200; vehicles=5; capacity=900,NOT_REPORTED,NOT_REPORTED,7685.0,qubits,logical/resource-estimate qubit count; not a physical error-corrected qubit estimate,logical/resource-level; physical mapping not evaluated,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,,,NOT_APPLICABLE,NOT_RECALCULATED,cvrp-2025-onah-utility Table 3; Fig. 1; Table 1,Table 3; Fig. 1; Table 1,38425,Quantum Vol.=295296125; error rate=3.3e-09; qubit/gate feasibility lines,Not reported in width extraction table,Not extracted for this width record,False,,7685.0,DIRECTLY_REPORTED_VALUE,NUMERIC_VALUE,local primary-source PDF/text extraction followed by structured normalization,Existing project extraction; normalized with a generative-AI coding assistant,NOT_DOCUMENTED,DIRECTLY_REPORTED,A,"Table 3 reports HOBO qubits, Depth(N), quantum volume, and error rate for Golden_5. Depth and volume rely on asymptotic assumptions."
SURV-010,STRUCTURED_SURVEY,cvrp-2025-onah-utility,Chinonso Onah; Kristel Michielsen,2025,Requirements for Early Quantum Utility and Quantum Utility in the Capacitated Vehicle Routing Problem,arXiv:2509.11469,10.48550/arXiv.2509.11469,https://arxiv.org/abs/2509.11469,transportation/routing optimization,CVRP,transportation and logistics,Resource estimation and utility framework,resource estimation,QUBO,Encoding-agnostic go/no-go framework; QUBO versus HOBO/direct encoding resource counts,See primary source; not normalized across studies,capacity,Not inferred from silence; see constraint-coverage table,,200.0,5.0,,200.0,nodes,Golden_5,Golden_5; n=200; vehicles=5; capacity=900,NOT_REPORTED,NOT_REPORTED,202505.0,qubits,logical/resource-estimate qubit count; not a physical error-corrected qubit estimate,logical/resource-level; physical mapping not evaluated,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,,,NOT_APPLICABLE,NOT_RECALCULATED,cvrp-2025-onah-utility Table 3; Table 1,Table 3; Table 1,Not reported,Table 1 gives asymptotic QUBO circuit volume 12N^3; Table 3 reports QUBO qubit count only for this row,Not reported in width extraction table,Not extracted for this width record,False,,202505.0,DIRECTLY_REPORTED_VALUE,NUMERIC_VALUE,local primary-source PDF/text extraction followed by structured normalization,Existing project extraction; normalized with a generative-AI coding assistant,NOT_DOCUMENTED,DIRECTLY_REPORTED,A,"Table 3 reports Golden_5 QUBO width as 202505 qubits. The Golden_5 Depth(N) and quantum volume columns correspond to the HOBO feasibility calculation, so QUBO depth is left blank."
