table_name,column_name,description,data_type,unit,allowed_range,missing_value_policy,source,generated_by,used_in
input_population_mesh,mesh_code,mesh code,int64,dimensionless/text,,Allowed only when not evaluated/not available; audited by table tests,frozen input,source module or notebook,"scenario synthesis, constraint evaluation, or audit"
input_population_mesh,total_population,total population,int64,dimensionless/text,,Allowed only when not evaluated/not available; audited by table tests,frozen input,source module or notebook,"scenario synthesis, constraint evaluation, or audit"
input_population_mesh,total_households,total households,int64,dimensionless/text,,Allowed only when not evaluated/not available; audited by table tests,frozen input,source module or notebook,"scenario synthesis, constraint evaluation, or audit"
input_population_mesh,htksyori,htksyori,int64,dimensionless/text,,Allowed only when not evaluated/not available; audited by table tests,frozen input,source module or notebook,"scenario synthesis, constraint evaluation, or audit"
input_population_mesh,htksaki,htksaki,float64,dimensionless/text,,Allowed only when not evaluated/not available; audited by table tests,frozen input,source module or notebook,"scenario synthesis, constraint evaluation, or audit"
input_charger_connections,ocm_id,ocm id,int64,dimensionless/text,,Allowed only when not evaluated/not available; audited by table tests,frozen input,source module or notebook,"scenario synthesis, constraint evaluation, or audit"
input_charger_connections,connection_id,connection id,int64,dimensionless/text,,Allowed only when not evaluated/not available; audited by table tests,frozen input,source module or notebook,"scenario synthesis, constraint evaluation, or audit"
input_charger_connections,station_title,station title,str,dimensionless/text,,Allowed only when not evaluated/not available; audited by table tests,frozen input,source module or notebook,"scenario synthesis, constraint evaluation, or audit"
input_charger_connections,latitude,latitude,float64,decimal degrees,"[-90, 90]",Allowed only when not evaluated/not available; audited by table tests,frozen input,source module or notebook,"scenario synthesis, constraint evaluation, or audit"
input_charger_connections,longitude,longitude,float64,decimal degrees,"[-180, 180]",Allowed only when not evaluated/not available; audited by table tests,frozen input,source module or notebook,"scenario synthesis, constraint evaluation, or audit"
input_charger_connections,connection_type,connection type,str,dimensionless/text,,Allowed only when not evaluated/not available; audited by table tests,frozen input,source module or notebook,"scenario synthesis, constraint evaluation, or audit"
