constraint_name,weighting_method,evaluated_count,excluded_count,unmet_count,unmet_rate,confidence_interval
Charging-assisted range feasibility,route-weighted,5220,2880.0,1738,0.33295019157088124,computed for route-weighted seed-cluster estimand in Section 20
Charging-assisted range feasibility,scenario-weighted,2619,,1738,0.46985490645284456,computed for route-weighted seed-cluster estimand in Section 20
Charging-assisted range feasibility,seed-weighted,100,,1738,0.33518215758269937,computed for route-weighted seed-cluster estimand in Section 20
Charging-duration feasibility,route-weighted,4849,3251.0,742,0.15302124149309135,computed for route-weighted seed-cluster estimand in Section 20
Charging-duration feasibility,scenario-weighted,2534,,742,0.2865693238621415,computed for route-weighted seed-cluster estimand in Section 20
Charging-duration feasibility,seed-weighted,100,,742,0.15408261003640925,computed for route-weighted seed-cluster estimand in Section 20
Charging-station access,route-weighted,8100,0.0,866,0.10691358024691358,computed for route-weighted seed-cluster estimand in Section 20
Charging-station access,scenario-weighted,2700,,866,0.07669135802469136,computed for route-weighted seed-cluster estimand in Section 20
Charging-station access,seed-weighted,100,,866,0.10691358024691358,computed for route-weighted seed-cluster estimand in Section 20
Operating-time limit,route-weighted,8100,0.0,2715,0.3351851851851852,computed for route-weighted seed-cluster estimand in Section 20
Operating-time limit,scenario-weighted,2700,,2715,0.5295555555555556,computed for route-weighted seed-cluster estimand in Section 20
Operating-time limit,seed-weighted,100,,2715,0.3351851851851852,computed for route-weighted seed-cluster estimand in Section 20
Payload capacity,route-weighted,8100,0.0,0,0.0,computed for route-weighted seed-cluster estimand in Section 20
Payload capacity,scenario-weighted,2700,,0,0.0,computed for route-weighted seed-cluster estimand in Section 20
Payload capacity,seed-weighted,100,,0,0.0,computed for route-weighted seed-cluster estimand in Section 20
Range feasibility,route-weighted,8100,0.0,5220,0.6444444444444445,computed for route-weighted seed-cluster estimand in Section 20
Range feasibility,scenario-weighted,2700,,5220,0.7672592592592594,computed for route-weighted seed-cluster estimand in Section 20
Range feasibility,seed-weighted,100,,5220,0.6444444444444444,computed for route-weighted seed-cluster estimand in Section 20
SOC feasibility,route-weighted,0,8100.0,0,,computed for route-weighted seed-cluster estimand in Section 20
SOC feasibility,scenario-weighted,0,,0,,computed for route-weighted seed-cluster estimand in Section 20
SOC feasibility,seed-weighted,0,,0,,computed for route-weighted seed-cluster estimand in Section 20
