FW-ID,Required artifact,status
FW-01,expert_constraint_review.csv,PLANNED_NOT_EXECUTED
FW-02,synthetic_observed_comparison.csv,PLANNED_NOT_EXECUTED
FW-03,proxy_solver_comparison.csv,PLANNED_NOT_EXECUTED
FW-04,route_soc_profiles.csv,PLANNED_NOT_EXECUTED
FW-05,joint_constraint_feasibility.csv,PLANNED_NOT_EXECUTED
FW-06,stagewise_variable_count.csv,PLANNED_NOT_EXECUTED
FW-07,literature_model_stage_mapping.csv,PLANNED_NOT_EXECUTED
FW-08,classical_baseline_results.csv,PLANNED_NOT_EXECUTED
FW-09,quantum_resource_estimates.csv,PLANNED_NOT_EXECUTED
FW-10,technology_application_stage_matrix.csv,PLANNED_NOT_EXECUTED
FW-11,stage_transition_probability_model.csv,PLANNED_NOT_EXECUTED
