parameter_id,parameter_name,value,unit,data_type,category,source_type,source,rationale,used_in,sensitivity_tested,uncertainty
P01,customer_counts,25; 50; 100,customers,list,scenario,RESEARCHER_ASSUMPTION,slide/config,factorial levels,generation,True,not calibrated
P02,vehicle_counts,1; 3; 5,vehicles,list,scenario,RESEARCHER_ASSUMPTION,slide/config,factorial levels,routing,True,not calibrated
P03,charger_conditions,conservative; balanced; broad,condition,list,scenario,RESEARCHER_ASSUMPTION,source function,screening policies,charger evaluation,True,attribute missingness
P04,n_seeds,100,seeds,integer,randomness,RESEARCHER_ASSUMPTION,slide/config,spatial variation,all stochastic stages,False,finite Monte Carlo
P05,road_distance_multiplier,1.25,ratio,float,route,RESEARCHER_ASSUMPTION,BaselineAssumptions,straight-line proxy adjustment,distance/time/range,True,not calibrated
P06,demand_min_max,5–30,kg/customer,integer range,demand,RESEARCHER_ASSUMPTION,BaselineAssumptions,synthetic demand,payload,False,not observed
P07,service_time_min_max,5–15,minutes/customer,integer range,time,RESEARCHER_ASSUMPTION,BaselineAssumptions,synthetic service,operating time,True,not observed
P08,travel_speed,25,km/h,float,time,RESEARCHER_ASSUMPTION,slide/config,constant proxy speed,operating time,True,no traffic
P09,usable_range,81.2,km,float,vehicle,DERIVED,116 km × (0.90−0.20),scenario range,range,True,source URL incomplete
P10,payload_capacity,2000,kg,float,vehicle,PUBLIC_DATA,vehicle snapshot,selected row,payload,True,not observed fleet
P11,operating_limit,480,minutes,float,time,RESEARCHER_ASSUMPTION,slide/config,daily proxy limit,operating time,True,breaks omitted
P12,earth_radius,6371.0088,km,float,geodesy,IMPLEMENTATION_DEFAULT,scenario_utils.py,Haversine mean Earth radius,distance,False,spherical Earth
P13,bootstrap_iterations,1000,iterations,integer,statistics,RESEARCHER_ASSUMPTION,slide/config,percentile CI,bootstrap,False,Monte Carlo error
P14,bootstrap_seed,20260711,integer,integer,randomness,IMPLEMENTATION_DEFAULT,analysis code,deterministic bootstrap,bootstrap,False,none conditional on implementation
