parameter,level,alternative_value,constraint_name,sensitivity_result,evaluated_route_count,unmet_route_count,customer_count_for_evaluation,vehicle_count_for_evaluation,charger_condition_for_evaluation,independent_seed_count,sensitivity_design,evidence_status,baseline_result,absolute_change,baseline_value,unit,direction_of_change,affected_metric,relative_change,interpretation,limitation
assumed_speed_kmh,low,20.0,Payload capacity,0.0,300,0,50,3,balanced,100,Three-level one-at-a-time paired-seed analysis,Exploratory parameter sensitivity; not calibrated operational evidence,0.0,0.0,25.0,km/h,low,Payload capacity,,OAT model response under frozen synthetic data,No parameter interaction or operational calibration
assumed_speed_kmh,low,20.0,Operating-time limit,0.6566666666666666,300,197,50,3,balanced,100,Three-level one-at-a-time paired-seed analysis,Exploratory parameter sensitivity; not calibrated operational evidence,0.38333333333333336,0.27333333333333326,25.0,km/h,low,Operating-time limit,0.7130434782608693,OAT model response under frozen synthetic data,No parameter interaction or operational calibration
assumed_speed_kmh,low,20.0,Range feasibility,0.94,300,282,50,3,balanced,100,Three-level one-at-a-time paired-seed analysis,Exploratory parameter sensitivity; not calibrated operational evidence,0.94,0.0,25.0,km/h,low,Range feasibility,0.0,OAT model response under frozen synthetic data,No parameter interaction or operational calibration
assumed_speed_kmh,low,20.0,Charging-station access,0.0,300,0,50,3,balanced,100,Three-level one-at-a-time paired-seed analysis,Exploratory parameter sensitivity; not calibrated operational evidence,0.0,0.0,25.0,km/h,low,Charging-station access,,OAT model response under frozen synthetic data,No parameter interaction or operational calibration
assumed_speed_kmh,low,20.0,Charging-assisted range feasibility,0.05673758865248227,282,16,50,3,balanced,100,Three-level one-at-a-time paired-seed analysis,Exploratory parameter sensitivity; not calibrated operational evidence,0.05673758865248227,0.0,25.0,km/h,low,Charging-assisted range feasibility,0.0,OAT model response under frozen synthetic data,No parameter interaction or operational calibration
assumed_speed_kmh,low,20.0,Charging-duration feasibility,0.0,282,0,50,3,balanced,100,Three-level one-at-a-time paired-seed analysis,Exploratory parameter sensitivity; not calibrated operational evidence,0.0,0.0,25.0,km/h,low,Charging-duration feasibility,,OAT model response under frozen synthetic data,No parameter interaction or operational calibration
assumed_speed_kmh,base,25.0,Payload capacity,0.0,300,0,50,3,balanced,100,Three-level one-at-a-time paired-seed analysis,Exploratory parameter sensitivity; not calibrated operational evidence,0.0,0.0,25.0,km/h,base,Payload capacity,,OAT model response under frozen synthetic data,No parameter interaction or operational calibration
assumed_speed_kmh,base,25.0,Operating-time limit,0.38333333333333336,300,115,50,3,balanced,100,Three-level one-at-a-time paired-seed analysis,Exploratory parameter sensitivity; not calibrated operational evidence,0.38333333333333336,0.0,25.0,km/h,base,Operating-time limit,0.0,OAT model response under frozen synthetic data,No parameter interaction or operational calibration
assumed_speed_kmh,base,25.0,Range feasibility,0.94,300,282,50,3,balanced,100,Three-level one-at-a-time paired-seed analysis,Exploratory parameter sensitivity; not calibrated operational evidence,0.94,0.0,25.0,km/h,base,Range feasibility,0.0,OAT model response under frozen synthetic data,No parameter interaction or operational calibration
assumed_speed_kmh,base,25.0,Charging-station access,0.0,300,0,50,3,balanced,100,Three-level one-at-a-time paired-seed analysis,Exploratory parameter sensitivity; not calibrated operational evidence,0.0,0.0,25.0,km/h,base,Charging-station access,,OAT model response under frozen synthetic data,No parameter interaction or operational calibration
