evidence_id,country_match,residential_destination_match,b2c_match,last_mile_match,parcel_level_match,ec_match,temporal_match,distribution_usability,overall_class,decisive_gap
MLIT_OGAWA_2015,HIGH,MEDIUM,MEDIUM,HIGH,LOW,UNKNOWN,LOW,NONE,CLOSE_PROXY_EVIDENCE,"public report exposes daily aggregate chart only; rural small sample"
MLIT_AIR_2024,HIGH,LOW,UNKNOWN,LOW,LOW,UNKNOWN,HIGH,NONE,WEAK_PROXY_EVIDENCE,"air-cargo case population and no parcel distribution"
MLIT_AIR_2020,HIGH,LOW,UNKNOWN,LOW,LOW,UNKNOWN,MEDIUM,NONE,WEAK_PROXY_EVIDENCE,"air-cargo case population and no parcel distribution"
MLIT_AIR_2007,HIGH,LOW,UNKNOWN,LOW,LOW,UNKNOWN,LOW,NONE,WEAK_PROXY_EVIDENCE,"air-cargo case population and no parcel distribution"
MLIT_LOGISTICS_CENSUS_2021,HIGH,LOW,LOW,LOW,LOW,LOW,HIGH,NONE,INCOMPATIBLE_POPULATION,"shipper industries exclude retail/individual origins; household B2C courier subset cannot be identified"
YAMATO_PUBLIC,HIGH,UNKNOWN,UNKNOWN,HIGH,NONE,UNKNOWN,HIGH,NONE,DESCRIPTIVE_ONLY,"service eligibility maximums are not empirical weights"
SAGAWA_PUBLIC,HIGH,UNKNOWN,UNKNOWN,HIGH,NONE,UNKNOWN,HIGH,NONE,DESCRIPTIVE_ONLY,"service eligibility maximums are not empirical weights"
JAPANPOST_PUBLIC,HIGH,UNKNOWN,UNKNOWN,HIGH,NONE,UNKNOWN,HIGH,NONE,DESCRIPTIVE_ONLY,"service eligibility maximums are not empirical weights"
RBP_STUDY_2025,HIGH,LOW,UNKNOWN,MEDIUM,NONE,UNKNOWN,HIGH,NONE,INCOMPATIBLE_POPULATION,"measurement unit is loaded cage rather than parcel"
SIP_11_8KG,HIGH,LOW,LOW,LOW,NONE,UNKNOWN,LOW,NONE,WEAK_PROXY_EVIDENCE,"secondary old mean with no sampling frame/distribution"
IPC_2017,LOW,HIGH,HIGH,HIGH,MEDIUM,HIGH,MEDIUM,MEDIUM,WEAK_PROXY_EVIDENCE,"international cross-border and self-reported population"
