name,file,schema,data_type,semantic_meaning,unit,provenance,cardinality,non_null_distinct,null_count,null_rate,uniqueness,current_use
source_row,03_data/processed/traffic_simulation/demand/household_parcel_v1/additional/catalog.csv,source_row;row_type;cell_01;cell_02;cell_03;cell_04;cell_05;cell_06;cell_07;cell_08;cell_09;cell_10,CSV UTF-8 text; logical=integer,upstream table row reference,row index,CANDIDATE_SAVED_SYNTHETIC_OR_SOURCE_STATISTIC; source byte hash in INSPECTED_FILES.csv; no generator reproduction claim,44,44,0,0.0,UNIQUE_NON_NULL,CANDIDATE_SAVED_SYNTHETIC_OR_SOURCE_STATISTIC
row_type,03_data/processed/traffic_simulation/demand/household_parcel_v1/additional/catalog.csv,source_row;row_type;cell_01;cell_02;cell_03;cell_04;cell_05;cell_06;cell_07;cell_08;cell_09;cell_10,CSV UTF-8 text; logical=string,source column row_type; detailed operational semantics NOT_ESTABLISHED; no promotion to request/event evidence,source unit column if present; otherwise NOT_ESTABLISHED,CANDIDATE_SAVED_SYNTHETIC_OR_SOURCE_STATISTIC; source byte hash in INSPECTED_FILES.csv; no generator reproduction claim,44,3,0,0.0,NOT_UNIQUE,CANDIDATE_SAVED_SYNTHETIC_OR_SOURCE_STATISTIC
cell_01,03_data/processed/traffic_simulation/demand/household_parcel_v1/additional/catalog.csv,source_row;row_type;cell_01;cell_02;cell_03;cell_04;cell_05;cell_06;cell_07;cell_08;cell_09;cell_10,CSV UTF-8 text; logical=string,source column cell_01; detailed operational semantics NOT_ESTABLISHED; no promotion to request/event evidence,source unit column if present; otherwise NOT_ESTABLISHED,CANDIDATE_SAVED_SYNTHETIC_OR_SOURCE_STATISTIC; source byte hash in INSPECTED_FILES.csv; no generator reproduction claim,44,37,7,0.1590909090909091,UNIQUE_NON_NULL,CANDIDATE_SAVED_SYNTHETIC_OR_SOURCE_STATISTIC
cell_02,03_data/processed/traffic_simulation/demand/household_parcel_v1/additional/catalog.csv,source_row;row_type;cell_01;cell_02;cell_03;cell_04;cell_05;cell_06;cell_07;cell_08;cell_09;cell_10,CSV UTF-8 text; logical=string,source column cell_02; detailed operational semantics NOT_ESTABLISHED; no promotion to request/event evidence,source unit column if present; otherwise NOT_ESTABLISHED,CANDIDATE_SAVED_SYNTHETIC_OR_SOURCE_STATISTIC; source byte hash in INSPECTED_FILES.csv; no generator reproduction claim,44,36,8,0.18181818181818182,UNIQUE_NON_NULL,CANDIDATE_SAVED_SYNTHETIC_OR_SOURCE_STATISTIC
cell_03,03_data/processed/traffic_simulation/demand/household_parcel_v1/additional/catalog.csv,source_row;row_type;cell_01;cell_02;cell_03;cell_04;cell_05;cell_06;cell_07;cell_08;cell_09;cell_10,CSV UTF-8 text; logical=string,source column cell_03; detailed operational semantics NOT_ESTABLISHED; no promotion to request/event evidence,source unit column if present; otherwise NOT_ESTABLISHED,CANDIDATE_SAVED_SYNTHETIC_OR_SOURCE_STATISTIC; source byte hash in INSPECTED_FILES.csv; no generator reproduction claim,44,36,8,0.18181818181818182,UNIQUE_NON_NULL,CANDIDATE_SAVED_SYNTHETIC_OR_SOURCE_STATISTIC
cell_04,03_data/processed/traffic_simulation/demand/household_parcel_v1/additional/catalog.csv,source_row;row_type;cell_01;cell_02;cell_03;cell_04;cell_05;cell_06;cell_07;cell_08;cell_09;cell_10,CSV UTF-8 text; logical=string,source column cell_04; detailed operational semantics NOT_ESTABLISHED; no promotion to request/event evidence,source unit column if present; otherwise NOT_ESTABLISHED,CANDIDATE_SAVED_SYNTHETIC_OR_SOURCE_STATISTIC; source byte hash in INSPECTED_FILES.csv; no generator reproduction claim,44,39,1,0.022727272727272728,NOT_UNIQUE,CANDIDATE_SAVED_SYNTHETIC_OR_SOURCE_STATISTIC
cell_05,03_data/processed/traffic_simulation/demand/household_parcel_v1/additional/catalog.csv,source_row;row_type;cell_01;cell_02;cell_03;cell_04;cell_05;cell_06;cell_07;cell_08;cell_09;cell_10,CSV UTF-8 text; logical=string,source column cell_05; detailed operational semantics NOT_ESTABLISHED; no promotion to request/event evidence,source unit column if present; otherwise NOT_ESTABLISHED,CANDIDATE_SAVED_SYNTHETIC_OR_SOURCE_STATISTIC; source byte hash in INSPECTED_FILES.csv; no generator reproduction claim,44,6,1,0.022727272727272728,NOT_UNIQUE,CANDIDATE_SAVED_SYNTHETIC_OR_SOURCE_STATISTIC
cell_06,03_data/processed/traffic_simulation/demand/household_parcel_v1/additional/catalog.csv,source_row;row_type;cell_01;cell_02;cell_03;cell_04;cell_05;cell_06;cell_07;cell_08;cell_09;cell_10,CSV UTF-8 text; logical=string,source column cell_06; detailed operational semantics NOT_ESTABLISHED; no promotion to request/event evidence,source unit column if present; otherwise NOT_ESTABLISHED,CANDIDATE_SAVED_SYNTHETIC_OR_SOURCE_STATISTIC; source byte hash in INSPECTED_FILES.csv; no generator reproduction claim,44,38,1,0.022727272727272728,NOT_UNIQUE,CANDIDATE_SAVED_SYNTHETIC_OR_SOURCE_STATISTIC
cell_07,03_data/processed/traffic_simulation/demand/household_parcel_v1/additional/catalog.csv,source_row;row_type;cell_01;cell_02;cell_03;cell_04;cell_05;cell_06;cell_07;cell_08;cell_09;cell_10,CSV UTF-8 text; logical=string,source column cell_07; detailed operational semantics NOT_ESTABLISHED; no promotion to request/event evidence,source unit column if present; otherwise NOT_ESTABLISHED,CANDIDATE_SAVED_SYNTHETIC_OR_SOURCE_STATISTIC; source byte hash in INSPECTED_FILES.csv; no generator reproduction claim,44,6,1,0.022727272727272728,NOT_UNIQUE,CANDIDATE_SAVED_SYNTHETIC_OR_SOURCE_STATISTIC
cell_08,03_data/processed/traffic_simulation/demand/household_parcel_v1/additional/catalog.csv,source_row;row_type;cell_01;cell_02;cell_03;cell_04;cell_05;cell_06;cell_07;cell_08;cell_09;cell_10,CSV UTF-8 text; logical=string,source column cell_08; detailed operational semantics NOT_ESTABLISHED; no promotion to request/event evidence,source unit column if present; otherwise NOT_ESTABLISHED,CANDIDATE_SAVED_SYNTHETIC_OR_SOURCE_STATISTIC; source byte hash in INSPECTED_FILES.csv; no generator reproduction claim,44,0,44,1.0,UNIQUE_NON_NULL,CANDIDATE_SAVED_SYNTHETIC_OR_SOURCE_STATISTIC
