metric,reference_value,reproduced_value,absolute_difference,relative_difference,tolerance,status,reason,data_source,calculation_cell
Payload capacity,0.0,0.0,0.0,,0.05,PASS,Recalculated from stored route-level evaluations; reference is rounded to one decimal.,03_data/processed/constraints/constraint_summary.csv,Section 14
Operating-time limit,33.5,33.51851851851852,0.018518518518519045,0.0005527915975677327,0.05,PASS,Recalculated from stored route-level evaluations; reference is rounded to one decimal.,03_data/processed/constraints/constraint_summary.csv,Section 14
Range feasibility,64.4,64.44444444444444,0.04444444444443718,0.0006901311249136208,0.05,PASS,Recalculated from stored route-level evaluations; reference is rounded to one decimal.,03_data/processed/constraints/constraint_summary.csv,Section 14
SOC feasibility,,,,,0.05,NOT_EVALUATED,Sequential SOC model is absent by study design.,03_data/processed/constraints/constraint_summary.csv,Section 14
Charging-station access,10.7,10.69135802469135,0.008641975308648853,0.0008076612437989582,0.05,PASS,Recalculated from stored route-level evaluations; reference is rounded to one decimal.,03_data/processed/constraints/constraint_summary.csv,Section 14
Charging-assisted range feasibility,33.3,33.29501915708812,0.004980842911876948,0.000149574862218527,0.05,PASS,Recalculated from stored route-level evaluations; reference is rounded to one decimal.,03_data/processed/constraints/constraint_summary.csv,Section 14
Charging-duration feasibility,15.3,15.30212414930913,0.0021241493091288532,0.0001388332881783564,0.05,PASS,Recalculated from stored route-level evaluations; reference is rounded to one decimal.,03_data/processed/constraints/constraint_summary.csv,Section 14
Leonidas minimal formulation circuit width,128.0,,,,0.0,NOT_REPRODUCIBLE,Slide value was not verified in the locally extracted primary-source evidence; retained as REFERENCE_ONLY. Local sources report different instance-dependent quantities.,Slides 7 and 22; local primary-source PDFs,Section 7
Leonidas full formulation circuit width,256.0,,,,0.0,NOT_REPRODUCIBLE,Slide value was not verified in the locally extracted primary-source evidence; retained as REFERENCE_ONLY. Local sources report different instance-dependent quantities.,Slides 7 and 22; local primary-source PDFs,Section 7
Onah higher-order binary terms circuit width,6080.0,,,,0.0,NOT_REPRODUCIBLE,Slide value was not verified in the locally extracted primary-source evidence; retained as REFERENCE_ONLY. Local sources report different instance-dependent quantities.,Slides 7 and 22; local primary-source PDFs,Section 7
Onah quadratic binary terms circuit width,14528.0,,,,0.0,NOT_REPRODUCIBLE,Slide value was not verified in the locally extracted primary-source evidence; retained as REFERENCE_ONLY. Local sources report different instance-dependent quantities.,Slides 7 and 22; local primary-source PDFs,Section 7
