metric,value
population_total,125000000.0
baseline_avg_intake_g_per_day,283.0
new_avg_intake_g_per_day,286.37097703115376
avg_intake_change_g_per_day,3.370977031153757
baseline_recommended_share,0.1905890842752126
new_recommended_share,0.20321683977302193
recommended_share_change_pct_pt,1.262775549780934
baseline_annual_quantity_tons,12911875.0
new_annual_quantity_tons,13065675.82704639
annual_quantity_change_tons,153800.82704639062
total_daly_baseline,5900000.0
total_daly_new,5885841.896469154
total_daly_reduction,14158.10353084578
healthy_life_expectancy_proxy_baseline_years,72.0
healthy_life_expectancy_proxy_new_years,72.00011326482824
healthy_life_expectancy_proxy_gain_days,0.04134166231006967
social_insurance_premium_baseline_jpy,45000000000000.0
social_insurance_premium_new_jpy,44995139051121.08
social_insurance_premium_reduction_jpy,4860948878.9237175
